timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field
1680273900000,0.03104,0.03113,0.03098,0.031,1212985,1680274799999,37689.12602,341,673691,20936.3355,0
1680274800000,0.031,0.03112,0.031,0.03105,1288629,1680275699999,40023.65785,346,620708,19276.26318,0
1680275700000,0.03105,0.03105,0.03088,0.03096,1829406,1680276599999,56606.07615,420,721698,22331.03045,0
1680276600000,0.03095,0.03105,0.03095,0.03096,1025494,1680277499999,31800.529,231,454570,14103.60263,0
1680277500000,0.03097,0.031,0.03096,0.031,317686,1680278399999,9842.2207,159,123605,3829.61023,0
1680278400000,0.031,0.0311,0.03099,0.03107,726630,1680279299999,22565.43734,317,468229,14538.50747,0
1680279300000,0.03107,0.0311,0.031,0.031,486546,1680280199999,15111.34861,354,311290,9669.14014,0
1680280200000,0.031,0.03111,0.03097,0.03104,741240,1680281099999,22997.76267,224,459421,14253.76732,0
1680281100000,0.03105,0.0311,0.03104,0.03108,649776,1680281999999,20186.45039,198,369143,11468.3687,0
1680282000000,0.03109,0.03116,0.03107,0.03112,755464,1680282899999,23506.82216,223,330763,10294.75216,0
1680282900000,0.03111,0.03111,0.03102,0.03109,551100,1680283799999,17123.65588,170,221345,6875.17977,0
1680283800000,0.03109,0.03109,0.03095,0.03095,496352,1680284699999,15399.97837,199,187248,5810.80095,0
1680284700000,0.03096,0.03099,0.0309,0.03095,590303,1680285599999,18271.32968,185,332080,10281.57348,0
1680285600000,0.03094,0.03099,0.03093,0.03096,760601,1680286499999,23541.64408,271,422201,13066.82181,0
1680286500000,0.03097,0.03098,0.03092,0.03098,385686,1680287399999,11936.80244,142,202476,6267.18869,0
1680287400000,0.03098,0.03104,0.03097,0.03103,364259,1680288299999,11289.63204,110,245983,7624.89745,0
1680288300000,0.03102,0.03104,0.03101,0.03101,270209,1680289199999,8384.22739,76,145112,4503.46056,0
1680289200000,0.03101,0.03107,0.03099,0.03104,654240,1680290099999,20301.24774,180,384004,11915.95518,0
1680290100000,0.03104,0.03108,0.03101,0.03106,507640,1680290999999,15761.53195,174,216799,6732.47215,0
1680291000000,0.03106,0.03115,0.03106,0.03107,412035,1680291899999,12814.66152,172,212148,6598.38203,0
1680291900000,0.03107,0.03111,0.03105,0.0311,254454,1680292799999,7906.79737,98,96138,2987.84832,0
1680292800000,0.03109,0.03116,0.03109,0.03114,588461,1680293699999,18316.01535,200,361813,11261.75303,0
1680293700000,0.03113,0.03114,0.031,0.03101,2521577,1680294599999,78371.07852,483,1092136,33956.13821,0
1680294600000,0.03102,0.03107,0.03102,0.03107,287217,1680295499999,8914.90356,95,174480,5415.41562,0
1680295500000,0.03107,0.03109,0.03101,0.03101,707590,1680296399999,21984.7618,352,248872,7732.55367,0
1680296400000,0.03102,0.03107,0.03102,0.03104,461732,1680297299999,14332.28951,203,172514,5354.74662,0
1680297300000,0.03104,0.03104,0.03098,0.03101,677337,1680298199999,21008.12598,205,291746,9050.57258,0
1680298200000,0.03102,0.03112,0.03102,0.03111,1158441,1680299099999,35996.90004,264,545027,16939.16825,0
1680299100000,0.0311,0.03111,0.03105,0.03107,516185,1680299999999,16043.67226,144,141071,4386.73172,0
1680300000000,0.03106,0.03111,0.03106,0.03109,635979,1680300899999,19765.95768,250,338228,10513.32083,0
1680300900000,0.03108,0.03116,0.03108,0.03115,776492,1680301799999,24168.66742,261,444876,13849.00728,0
1680301800000,0.03115,0.03121,0.03112,0.03117,1317829,1680302699999,41074.58554,325,506920,15803.70228,0
1680302700000,0.03118,0.0312,0.03114,0.03114,457278,1680303599999,14253.04703,139,206785,6447.05483,0
1680303600000,0.03115,0.03123,0.03112,0.0312,1700993,1680304499999,53053.53234,536,1033818,32241.73442,0
1680304500000,0.0312,0.03122,0.03114,0.03115,1259695,1680305399999,39280.61918,374,475205,14823.14228,0
1680305400000,0.03116,0.03121,0.03113,0.03114,1510040,1680306299999,47069.83466,333,731739,22812.9076,0
1680306300000,0.03114,0.03119,0.03111,0.03117,1791373,1680307199999,55804.80325,335,1249099,38914.96197,0
1680307200000,0.03116,0.0313,0.03114,0.03129,3095487,1680308099999,96654.78062,913,1432743,44741.13829,0
1680308100000,0.03128,0.03134,0.03125,0.0313,2022128,1680308999999,63302.55078,775,965521,30226.9957,0
1680309000000,0.03131,0.03133,0.03109,0.03109,3738814,1680309899999,116782.76719,734,793600,24801.90767,0
