timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field
1681083900000,11.074,11.091,11.068,11.077,2095.3,1681084799999,23217.2663,128,1413.5,15663.2593,0
1681084800000,11.076,11.111,11.061,11.11,15626.1,1681085699999,173134.6145,431,9514.2,105473.4083,0
1681085700000,11.108,11.115,11.065,11.077,2814.0,1681086599999,31206.0608,218,1299.3,14405.2597,0
1681086600000,11.08,11.083,11.034,11.059,5074.7,1681087499999,56093.95065,240,2133.8,23585.4733,0
1681087500000,11.053,11.057,11.037,11.053,2815.7,1681088399999,31105.7012,134,1274.6,14077.9145,0
1681088400000,11.048,11.049,10.979,10.981,19130.4,1681089299999,210340.59043,558,5704.6,62724.3855,0
1681089300000,10.979,10.999,10.944,10.944,7910.2,1681090199999,86775.09053,323,3063.7,33609.8706,0
1681090200000,10.942,10.942,10.899,10.915,12776.5,1681091099999,139540.22957,420,4569.3,49904.7007,0
1681091100000,10.915,10.946,10.915,10.937,7099.4,1681091999999,77631.6704,199,4620.4,50521.6576,0
1681092000000,10.94,10.976,10.935,10.967,7206.1,1681092899999,78971.37578,211,4455.6,48816.55488,0
1681092900000,10.962,10.969,10.948,10.967,2666.7,1681093799999,29219.864,109,1583.1,17344.6683,0
1681093800000,10.964,11.001,10.964,10.986,4481.8,1681094699999,49222.6539,189,2621.2,28791.2958,0
1681094700000,10.985,10.995,10.967,10.972,6357.6,1681095599999,69778.7052,256,2182.7,23950.5428,0
1681095600000,10.969,11.0,10.962,10.98,10365.3,1681096499999,113782.0112,413,4966.3,54507.3998,0
1681096500000,10.98,10.997,10.964,10.995,4183.1,1681097399999,45919.7465,267,2237.9,24564.8301,0
1681097400000,10.995,11.033,10.995,11.028,13271.8,1681098299999,146221.86763,546,6908.4,76107.32273,0
1681098300000,11.027,11.027,11.005,11.008,3639.6,1681099199999,40078.3913,153,1746.8,19233.0278,0
1681099200000,11.009,11.029,11.006,11.012,8202.2,1681100099999,90359.0156,258,4318.8,47573.6097,0
