timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field
1681083900000,0.301,0.3022,0.3006,0.3009,1030768,1681084799999,310762.8859,1944,543765,163965.9393,0
1681084800000,0.301,0.3042,0.3008,0.3031,2647292,1681085699999,801164.3738,3941,1560825,472192.2756,0
1681085700000,0.3032,0.3065,0.3023,0.3065,2677775,1681086599999,814211.0429,3975,1444644,439361.088,0
1681086600000,0.3065,0.3065,0.3029,0.3042,2127948,1681087499999,647523.7126,2983,815900,248226.5612,0
1681087500000,0.3041,0.3046,0.3037,0.3039,1064382,1681088399999,323739.0302,1558,553229,168285.3137,0
1681088400000,0.3038,0.3047,0.3026,0.303,1286507,1681089299999,390288.6465,2341,476786,144692.3797,0
1681089300000,0.303,0.3032,0.3,0.3003,1724446,1681090199999,520078.4034,2605,651822,196655.2515,0
1681090200000,0.3003,0.3015,0.2993,0.3013,1233726,1681091099999,370814.9131,2412,574274,172648.125,0
1681091100000,0.3014,0.3029,0.3014,0.3024,1103613,1681091999999,333739.0501,1943,566522,171335.681,0
1681092000000,0.3024,0.3025,0.3009,0.3009,752698,1681092899999,226962.9592,1548,299923,90438.4415,0
1681092900000,0.3009,0.3014,0.3001,0.3009,750650,1681093799999,225749.22,1615,342095,102885.2173,0
1681093800000,0.3008,0.3008,0.3,0.3,488147,1681094699999,146685.8753,1144,241086,72459.4289,0
1681094700000,0.3001,0.3005,0.2993,0.3002,701497,1681095599999,210316.0673,1385,329492,98815.6906,0
1681095600000,0.3001,0.3014,0.3001,0.3012,656689,1681096499999,197485.6728,1484,370977,111567.7584,0
1681096500000,0.3012,0.3018,0.3001,0.3017,578902,1681097399999,174100.0901,1470,251919,75795.0567,0
1681097400000,0.3018,0.3028,0.3017,0.3028,662980,1681098299999,200484.9667,1313,422243,127690.7028,0
1681098300000,0.3029,0.3029,0.3013,0.3023,690177,1681099199999,208490.6799,1234,332222,100344.7659,0
1681099200000,0.3023,0.3027,0.301,0.3012,645572,1681100099999,194750.6606,1622,318176,95956.5179,0
1681100100000,0.3013,0.3022,0.3012,0.3014,465298,1681100999999,140362.2314,980,238829,72047.5264,0
1681101000000,0.3014,0.3024,0.3008,0.3023,719121,1681101899999,216717.7823,1425,381755,115080.3828,0
1681101900000,0.3023,0.3032,0.3003,0.3007,789907,1681102799999,238410.1222,1398,352892,106521.7383,0
1681102800000,0.3007,0.3029,0.3006,0.3012,1014161,1681103699999,306114.7061,1966,543637,164118.2926,0
1681103700000,0.3012,0.3017,0.3004,0.301,702916,1681104599999,211537.7495,1250,331978,99921.3591,0
1681104600000,0.301,0.303,0.301,0.3026,451489,1681105499999,136398.1793,1045,220559,66615.7789,0
1681105500000,0.3026,0.305,0.3026,0.3049,2126123,1681106399999,646875.1497,3174,1320478,401765.0746,0
1681106400000,0.3048,0.3048,0.3034,0.3041,456631,1681107299999,138818.1614,800,164228,49942.3382,0
1681107300000,0.3041,0.3046,0.3031,0.3042,350327,1681108199999,106387.7318,543,170811,51910.8664,0
1681108200000,0.3043,0.3046,0.303,0.3044,296230,1681109099999,89969.8263,389,135334,41112.1975,0
1681109100000,0.3044,0.3044,0.302,0.3027,371126,1681109999999,112452.4048,694,119866,36341.4716,0
1681110000000,0.3027,0.3037,0.3014,0.3029,392762,1681110899999,118842.074,831,220354,66711.3538,0
1681110900000,0.3029,0.3034,0.3006,0.3019,710236,1681111799999,214561.8494,1062,199249,60284.2866,0
1681111800000,0.3019,0.3039,0.3018,0.3034,703275,1681112699999,213219.8254,1206,428398,129886.2146,0
1681112700000,0.3035,0.3056,0.3029,0.3047,1022336,1681113599999,311242.2859,1862,608037,185112.5598,0
1681113600000,0.3047,0.3076,0.3037,0.3066,2508990,1681114499999,767585.961,3889,1205160,368703.3987,0
1681114500000,0.3066,0.309,0.3059,0.308,2186236,1681115399999,672124.3454,3550,1078966,331859.9323,0
1681115400000,0.3079,0.3085,0.3053,0.3059,1670585,1681116299999,512426.9142,2790,700777,214985.4244,0
1681116300000,0.306,0.3064,0.3046,0.3052,808608,1681117199999,247068.2431,1464,368450,112602.0384,0
1681117200000,0.3052,0.306,0.3041,0.3044,1089231,1681118099999,332299.8952,1736,434923,132699.9866,0
1681118100000,0.3044,0.3057,0.304,0.3053,802055,1681118999999,244423.5134,1288,403388,122956.9902,0
1681119000000,0.3053,0.3058,0.3048,0.3056,689362,1681119899999,210546.2464,1370,322418,98475.9957,0
1681119900000,0.3057,0.3067,0.3056,0.3059,664832,1681120799999,203496.03,1227,353504,108203.558,0
1681120800000,0.3059,0.3081,0.3059,0.3073,936970,1681121699999,287921.5447,2039,512682,157533.4638,0
1681121700000,0.3073,0.3084,0.3062,0.3064,1282797,1681122599999,394389.2837,2463,469908,144488.4348,0
1681122600000,0.3064,0.308,0.3062,0.3068,865160,1681123499999,265720.5481,1903,428880,131722.1396,0
1681123500000,0.3068,0.3077,0.3057,0.3062,955309,1681124399999,292845.4987,1538,452153,138617.5766,0
1681124400000,0.3061,0.3067,0.3052,0.3056,998752,1681125299999,305332.8384,1405,423796,129568.2918,0
1681125300000,0.3057,0.306,0.3041,0.3044,790616,1681126199999,241034.2286,1420,336375,102564.0548,0
1681126200000,0.3045,0.3055,0.3034,0.3036,865895,1681127099999,263500.0706,1478,317371,96607.0039,0
1681127100000,0.3037,0.305,0.3027,0.3034,1451187,1681127999999,441060.721,2048,599763,182266.694,0
1681128000000,0.3033,0.3036,0.3011,0.3017,1321519,1681128899999,399289.6804,1837,635618,192017.0109,0
