timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field
1681083900000,0.1743,0.1748,0.1742,0.1744,528982.8,1681084799999,92309.80458,756,280413.5,48930.09765,0
1681084800000,0.1745,0.1755,0.1739,0.1751,1479913.9,1681085699999,258477.76135,1617,730259.3,127520.20502,0
1681085700000,0.1752,0.1755,0.1745,0.1755,573555.7,1681086599999,100360.60563,578,339021.8,59326.84229,0
1681086600000,0.1755,0.1755,0.1743,0.1748,963780.4,1681087499999,168451.1224,1053,314546.8,54997.9248,0
1681087500000,0.1747,0.1747,0.1741,0.1747,371440.7,1681088399999,64781.75272,616,188620.0,32902.23415,0
1681088400000,0.1747,0.1748,0.1741,0.1742,523883.5,1681089299999,91404.66962,781,257875.8,45002.85677,0
1681089300000,0.1742,0.1742,0.1729,0.1729,971458.6,1681090199999,168664.62017,1144,399355.9,69368.32426,0
1681090200000,0.1728,0.1735,0.1725,0.1729,507066.4,1681091099999,87748.44782,686,257606.1,44593.59273,0
1681091100000,0.173,0.1737,0.173,0.1733,629832.9,1681091999999,109185.56248,627,418078.5,72473.61273,0
1681092000000,0.1733,0.1734,0.173,0.173,354238.9,1681092899999,61335.04872,650,134357.8,23269.32175,0
1681092900000,0.1731,0.1731,0.1725,0.1728,326394.4,1681093799999,56395.20605,540,142761.5,24668.73685,0
1681093800000,0.1729,0.1734,0.1728,0.1733,234076.6,1681094699999,40541.33736,448,131042.5,22696.01129,0
1681094700000,0.1732,0.1732,0.1729,0.1731,277208.9,1681095599999,47974.24329,437,135707.4,23487.00919,0
1681095600000,0.1731,0.1735,0.173,0.1735,305223.1,1681096499999,52866.75442,546,185369.8,32108.0403,0
1681096500000,0.1735,0.1741,0.1729,0.1739,619144.5,1681097399999,107446.84911,774,346303.9,60156.20655,0
1681097400000,0.1738,0.1738,0.1733,0.1736,360595.1,1681098299999,62588.45974,482,219704.6,38133.86742,0
1681098300000,0.1737,0.174,0.1733,0.1738,436147.4,1681099199999,75715.9191,591,272531.9,47321.85813,0
1681099200000,0.1738,0.1744,0.1734,0.1736,379011.3,1681100099999,65901.86479,730,179158.6,31152.16739,0
1681100100000,0.1735,0.1736,0.1732,0.1732,266630.5,1681100999999,46232.98107,502,89090.1,15450.20871,0
1681101000000,0.1733,0.1738,0.1732,0.1735,281369.9,1681101899999,48801.90012,500,143608.2,24905.80163,0
1681101900000,0.1734,0.1737,0.1725,0.1727,451508.0,1681102799999,78156.89302,462,142501.9,24716.69026,0
1681102800000,0.1728,0.1731,0.1726,0.1728,401096.8,1681103699999,69345.806,752,141867.9,24533.22744,0
1681103700000,0.1727,0.1731,0.1722,0.173,563713.3,1681104599999,97280.20438,626,328570.7,56720.19831,0
1681104600000,0.173,0.1738,0.173,0.1737,276526.6,1681105499999,47925.65786,461,193362.9,33512.48528,0
1681105500000,0.1737,0.1737,0.1726,0.1727,769907.3,1681106399999,133315.74542,833,128572.8,22257.38512,0
1681106400000,0.1727,0.1731,0.1727,0.173,89333.4,1681107299999,15450.87682,151,64423.4,11143.5391,0
1681107300000,0.173,0.1732,0.173,0.1731,69368.9,1681108199999,12007.72184,82,47604.8,8242.23125,0
1681108200000,0.1732,0.1732,0.1729,0.1731,90188.7,1681109099999,15606.48286,109,47774.0,8267.28688,0
1681109100000,0.1731,0.1732,0.1729,0.1731,208965.9,1681109999999,36159.64476,263,84897.9,14694.13361,0
1681110000000,0.173,0.1732,0.1725,0.1726,373746.6,1681110899999,64570.7053,390,121683.5,21028.14822,0
1681110900000,0.1726,0.1729,0.1725,0.1727,227859.5,1681111799999,39356.96049,344,108580.2,18759.23394,0
1681111800000,0.1727,0.1731,0.1724,0.1727,333794.7,1681112699999,57642.22327,398,173983.0,30061.19316,0
