timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field
1681083900000,12.88,12.901,12.863,12.871,3930.6,1681084799999,50619.5453,371,1532.9,19747.3909,0
1681084800000,12.874,12.954,12.871,12.939,10988.6,1681085699999,141774.9935,973,7393.5,95403.7743,0
1681085700000,12.94,12.948,12.9,12.936,10743.8,1681086599999,138902.4659,543,5221.8,67512.1987,0
1681086600000,12.935,12.935,12.877,12.887,4859.1,1681087499999,62671.7108,831,2503.0,32278.7295,0
1681087500000,12.886,12.893,12.852,12.867,5605.0,1681088399999,72165.1997,701,2812.4,36206.8051,0
1681088400000,12.865,12.872,12.809,12.827,11153.1,1681089299999,143254.878,1033,6533.3,83921.6905,0
1681089300000,12.829,12.837,12.804,12.808,10286.2,1681090199999,131858.4178,798,6058.8,77671.7742,0
1681090200000,12.807,12.837,12.804,12.813,11844.8,1681091099999,151805.0042,938,7255.7,92989.4818,0
1681091100000,12.813,12.827,12.802,12.803,6977.4,1681091999999,89398.6201,519,3255.3,41701.9463,0
1681092000000,12.802,12.836,12.789,12.833,6969.0,1681092899999,89290.2606,704,3713.4,47587.701,0
1681092900000,12.832,12.832,12.806,12.809,7779.0,1681093799999,99677.4922,430,3434.5,44001.314,0
1681093800000,12.808,12.884,12.806,12.856,10542.0,1681094699999,135444.6871,785,7075.4,90903.8667,0
1681094700000,12.855,12.864,12.831,12.832,5195.6,1681095599999,66733.6175,544,3675.1,47204.7823,0
1681095600000,12.834,12.855,12.792,12.844,15311.6,1681096499999,196235.8534,989,6280.7,80511.4883,0
1681096500000,12.844,12.89,12.838,12.885,7294.4,1681097399999,93838.4,505,5390.5,69343.1531,0
1681097400000,12.884,12.912,12.873,12.909,9013.7,1681098299999,116161.3544,1063,6146.7,79218.8696,0
1681098300000,12.904,12.929,12.886,12.924,7401.0,1681099199999,95538.2275,568,4938.4,63754.4486,0
1681099200000,12.924,12.929,12.883,12.884,8054.0,1681100099999,103971.3207,1225,3512.4,45337.0529,0
1681100100000,12.885,12.937,12.885,12.891,5317.8,1681100999999,68650.5889,598,3383.4,43677.2728,0
1681101000000,12.89,12.927,12.89,12.897,2734.7,1681101899999,35300.4794,419,1049.7,13545.1953,0
1681101900000,12.897,12.923,12.864,12.882,3937.3,1681102799999,50754.739,389,1778.7,22933.9177,0
1681102800000,12.884,12.889,12.852,12.855,4598.6,1681103699999,59185.6921,503,2027.7,26103.1131,0
1681103700000,12.857,12.887,12.848,12.884,5074.7,1681104599999,65282.0781,425,1878.9,24173.5706,0
1681104600000,12.883,12.93,12.878,12.916,4817.7,1681105499999,62151.6256,648,1755.0,22641.9736,0
1681105500000,12.922,12.933,12.9,12.906,6691.6,1681106399999,86448.0773,518,2536.2,32770.3879,0
1681106400000,12.904,12.909,12.901,12.905,1412.9,1681107299999,18232.8413,149,495.1,6389.7111,0
1681107300000,12.909,12.91,12.899,12.899,1020.0,1681108199999,13161.7991,71,232.6,3002.2163,0
1681108200000,12.903,12.911,12.902,12.907,585.9,1681109099999,7561.613,51,329.1,4247.5703,0
1681109100000,12.907,12.907,12.886,12.894,2613.1,1681109999999,33699.6742,171,465.8,6006.6483,0
1681110000000,12.894,12.9,12.884,12.893,2132.5,1681110899999,27488.1347,221,645.4,8321.4913,0
1681110900000,12.898,12.901,12.884,12.884,2101.1,1681111799999,27081.6079,155,479.8,6185.1813,0
1681111800000,12.885,12.885,12.87,12.876,2323.1,1681112699999,29918.943,174,510.5,6574.5234,0
1681112700000,12.876,12.914,12.867,12.902,5444.2,1681113599999,70185.5081,593,2780.7,35848.2929,0
1681113600000,12.904,12.915,12.881,12.915,4816.2,1681114499999,62117.7412,667,2114.4,27272.7231,0
1681114500000,12.916,12.928,12.909,12.927,3850.3,1681115399999,49748.192,559,2276.5,29415.7332,0
1681115400000,12.927,12.935,12.906,12.915,4591.3,1681116299999,59331.6104,498,2653.6,34298.9872,0
1681116300000,12.914,12.927,12.88,12.88,6523.7,1681117199999,84176.9995,441,2097.5,27074.1074,0
1681117200000,12.882,12.921,12.867,12.907,30591.1,1681118099999,394430.1016,2079,18952.1,244395.7801,0
1681118100000,12.905,12.92,12.897,12.919,9502.3,1681118999999,122685.2901,1009,6260.6,80841.057,0
