timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field
1681101900000,0.02577,0.02581,0.02572,0.02574,1142152,1681102799999,29421.38855,259,536160,13811.41321,0
1681102800000,0.02573,0.02575,0.02567,0.02569,2618020,1681103699999,67322.16365,677,1351870,34767.65722,0
1681103700000,0.02568,0.02572,0.02566,0.02572,1589689,1681104599999,40817.65057,337,964855,24776.54428,0
1681104600000,0.02572,0.0258,0.0257,0.02579,1532475,1681105499999,39449.30154,472,619727,15953.36974,0
1681105500000,0.02578,0.0258,0.02571,0.02573,3662760,1681106399999,94360.22776,512,965568,24881.67097,0
1681106400000,0.02573,0.02577,0.02572,0.02575,682293,1681107299999,17571.15268,160,368511,9490.9479,0
1681107300000,0.02575,0.02575,0.02569,0.02569,616598,1681108199999,15858.40255,59,125657,3232.11385,0
1681108200000,0.0257,0.0257,0.02567,0.02568,1048184,1681109099999,26925.54679,76,91782,2358.57527,0
1681109100000,0.02568,0.02568,0.02564,0.02566,1265650,1681109999999,32470.41597,111,307816,7896.81584,0
1681110000000,0.02566,0.02571,0.02562,0.02565,1142971,1681110899999,29327.99048,161,695832,17864.75124,0
1681110900000,0.02563,0.02569,0.02561,0.02564,1118424,1681111799999,28674.8966,139,534282,13702.82969,0
1681111800000,0.02564,0.02564,0.02548,0.02553,4222288,1681112699999,107800.89354,610,1657159,42286.69616,0
1681112700000,0.02554,0.02557,0.02546,0.02548,6561053,1681113599999,167356.98628,862,4130052,105358.23117,0
1681113600000,0.02548,0.02554,0.02548,0.02554,4072915,1681114499999,103890.95572,672,2340660,59702.86936,0
1681114500000,0.02553,0.02559,0.02553,0.02556,2400637,1681115399999,61362.95464,558,1136436,29053.11829,0
1681115400000,0.02556,0.0256,0.02554,0.02557,1453883,1681116299999,37177.49938,436,885099,22634.19818,0
1681116300000,0.02558,0.02559,0.02555,0.02557,2386329,1681117199999,61015.6701,459,1625243,41560.06455,0
1681117200000,0.02556,0.02559,0.02554,0.02557,1617731,1681118099999,41361.45377,500,1056030,27003.24267,0
1681118100000,0.02556,0.02562,0.02556,0.02559,1297759,1681118999999,33205.7095,405,816214,20884.11157,0
1681119000000,0.0256,0.02563,0.02556,0.02559,2190215,1681119899999,56069.83977,462,953185,24397.403,0
1681119900000,0.02558,0.02562,0.02557,0.02561,1713269,1681120799999,43853.13982,576,639198,16364.53476,0
1681120800000,0.02561,0.02567,0.02559,0.0256,5278023,1681121699999,135284.66806,1011,1560273,40010.7828,0
1681121700000,0.02561,0.02567,0.02558,0.02567,3179306,1681122599999,81435.53731,795,1644431,42124.46344,0
1681122600000,0.02567,0.02567,0.02561,0.02566,2652572,1681123499999,68012.27933,654,1067515,27375.23551,0
1681123500000,0.02565,0.02572,0.02565,0.02571,2765495,1681124399999,71024.5755,652,1463585,37592.39121,0
1681124400000,0.0257,0.02577,0.02569,0.02576,4144913,1681125299999,106664.12938,941,1923571,49512.62885,0
1681125300000,0.02576,0.02576,0.02572,0.02575,2175185,1681126199999,55995.23313,590,876619,22570.50146,0
1681126200000,0.02575,0.02585,0.02573,0.02579,7925602,1681127099999,204484.40918,1274,4469281,115298.39137,0
1681127100000,0.0258,0.02584,0.02576,0.02576,3060402,1681127999999,78937.86188,723,1306426,33703.82805,0
1681128000000,0.02577,0.02577,0.02566,0.02567,3333707,1681128899999,85722.23723,772,1295721,33323.93138,0
1681128900000,0.02567,0.02582,0.02565,0.02572,6319506,1681129799999,162693.5752,874,2703296,69605.84732,0
1681129800000,0.02572,0.0258,0.02565,0.02579,3780028,1681130699999,97220.53257,792,2081833,53528.30485,0
1681130700000,0.02579,0.0258,0.02572,0.02575,2137646,1681131599999,55055.376,569,669648,17246.33386,0
