timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field
1681101900000,0.7644,0.7649,0.7605,0.761,196204,1681102799999,149630.9098,906,60510,46153.8046,0
1681102800000,0.7614,0.7629,0.7604,0.7605,210401,1681103699999,160249.8044,1045,89866,68463.2866,0
1681103700000,0.7606,0.7613,0.7574,0.7598,235372,1681104599999,178604.3096,972,80481,61071.0361,0
1681104600000,0.7598,0.7645,0.7593,0.764,255494,1681105499999,194571.4676,959,165492,126047.8084,0
1681105500000,0.7642,0.7657,0.7598,0.7603,444006,1681106399999,338719.0045,1244,254800,194465.561,0
1681106400000,0.7604,0.7624,0.7603,0.7604,100797,1681107299999,76764.5486,404,43842,33392.0698,0
1681107300000,0.7604,0.7605,0.7595,0.7599,28415,1681108199999,21592.4566,94,4651,3534.3762,0
1681108200000,0.7599,0.7607,0.7595,0.7607,43138,1681109099999,32786.0753,162,20930,15908.7956,0
1681109100000,0.7607,0.7619,0.7603,0.7613,48730,1681109999999,37085.8716,200,25033,19057.8364,0
1681110000000,0.7613,0.7636,0.761,0.7635,95941,1681110899999,73161.6064,246,60334,46008.4432,0
1681110900000,0.7635,0.7664,0.7632,0.7646,141740,1681111799999,108372.9077,470,80797,61801.7282,0
1681111800000,0.7647,0.7654,0.7612,0.7639,226027,1681112699999,172557.1683,657,72502,55368.777,0
1681112700000,0.7639,0.7688,0.761,0.7677,510840,1681113599999,390880.2805,1606,266912,204353.0388,0
1681113600000,0.7677,0.7721,0.7675,0.7703,654265,1681114499999,503674.9309,2241,349260,268890.7498,0
1681114500000,0.7702,0.7717,0.7696,0.7705,230751,1681115399999,177822.6136,1027,116936,90121.2182,0
1681115400000,0.7706,0.7742,0.7686,0.7737,434738,1681116299999,335072.2294,1295,241915,186517.819,0
1681116300000,0.7737,0.7745,0.7688,0.7696,564857,1681117199999,435841.825,1675,151998,117348.1586,0
1681117200000,0.7695,0.773,0.7673,0.7724,412204,1681118099999,317392.5609,1272,245667,189281.2716,0
1681118100000,0.7723,0.7776,0.772,0.7767,428761,1681118999999,332142.4889,1494,256144,198425.4155,0
1681119000000,0.7766,0.7805,0.7747,0.7795,585066,1681119899999,455196.4272,2145,297404,231426.4693,0
1681119900000,0.7795,0.7868,0.7779,0.7819,1530752,1681120799999,1198039.2072,4389,792567,620354.975,0
1681120800000,0.7818,0.7819,0.7749,0.7777,1261431,1681121699999,981156.4035,3642,520437,404859.7814,0
1681121700000,0.7776,0.7817,0.7765,0.78,389034,1681122599999,303282.2063,1391,190332,148356.4276,0
1681122600000,0.7799,0.7838,0.7776,0.7819,736827,1681123499999,575007.0858,2439,330447,257967.6663,0
1681123500000,0.7819,0.7826,0.7769,0.7779,522444,1681124399999,407452.852,1688,198774,155157.5534,0
1681124400000,0.7779,0.779,0.7765,0.7786,210078,1681125299999,163358.0111,954,97024,75434.9915,0
1681125300000,0.7786,0.7786,0.7739,0.7764,528783,1681126199999,410311.5807,1414,169917,131811.4914,0
1681126200000,0.7764,0.778,0.7747,0.778,297121,1681127099999,230641.61,1083,151121,117318.2367,0
1681127100000,0.778,0.7812,0.7746,0.7756,598089,1681127999999,465254.2451,1630,246405,191873.7704,0
1681128000000,0.7757,0.7776,0.7745,0.7774,311663,1681128899999,241889.4292,1220,156532,121524.0898,0
1681128900000,0.7774,0.7806,0.7763,0.7766,303270,1681129799999,236030.1471,1169,140127,109087.1354,0
1681129800000,0.7766,0.7841,0.7754,0.7823,652828,1681130699999,509810.4925,2035,412299,322026.8946,0
1681130700000,0.7822,0.7858,0.7799,0.7813,573072,1681131599999,448367.6933,1873,283147,221642.1565,0
1681131600000,0.7815,0.7863,0.776,0.778,1130870,1681132499999,883871.62,3401,503310,393637.1761,0
1681132500000,0.778,0.7849,0.7756,0.7844,919279,1681133399999,716452.916,2419,506213,394674.2861,0
1681133400000,0.7844,0.7847,0.7787,0.7804,731977,1681134299999,571944.1125,2228,315110,246216.8757,0
1681134300000,0.7805,0.7816,0.7705,0.776,1324107,1681135199999,1025487.6866,3833,547157,423680.7699,0
1681135200000,0.7762,0.7834,0.7726,0.7806,1001501,1681136099999,780631.072,3070,490846,382632.9003,0
1681136100000,0.7806,0.7894,0.7794,0.7862,1431438,1681136999999,1123977.4496,4160,851097,668437.4578,0
1681137000000,0.7863,0.793,0.7841,0.7886,1605670,1681137899999,1265992.2071,5109,844531,665873.237,0
1681137900000,0.7887,0.7945,0.7866,0.7903,1552829,1681138799999,1227983.3644,4769,794737,628685.8207,0
1681138800000,0.7905,0.795,0.7875,0.7926,1247348,1681139699999,987056.0265,4184,591878,468574.014,0
1681139700000,0.7929,0.7958,0.7898,0.792,1072994,1681140599999,850225.7451,3388,505869,400908.1249,0
1681140600000,0.7920000,0.7985000,0.7920000,0.7964000,1561797,1681141499999,1242826.6748000,5001,819726,652364.1289000,0
1681141500000,0.7964000,0.8000000,0.7962000,0.7999000,1720336,1681142399999,1373624.5926000,4682,911369,727881.0200000,0
1681142400000,0.8000000,0.8000000,0.7912000,0.7918000,2095565,1681143299999,1665559.1373000,6006,809083,643154.9497000,0
1681143300000,0.7918000,0.7937000,0.7879000,0.7890000,1111826,1681144199999,879299.8058000,3308,480320,379977.4289000,0
1681144200000,0.7892000,0.8084000,0.7890000,0.8043000,4952197,1681145099999,3973417.6373000,12423,2713852,2176273.1588000,0
1681145100000,0.8043000,0.8164000,0.8023000,0.8159000,4432284,1681145999999,3587879.6938000,11213,2481025,2008569.0539000,0
1681146000000,0.8158000,0.8190000,0.8115000,0.8124000,3466994,1681146899999,2825146.3929000,9515,1729708,1409725.9965000,0
1681146900000,0.8123000,0.8291000,0.8122000,0.8274000,4436315,1681147799999,3646518.6729000,11874,2380942,1957329.5906000,0
1681147800000,0.8274000,0.8336000,0.8243000,0.8304000,5476234,1681148699999,4544398.1992000,14714,2677594,2222259.3641000,0
1681148700000,0.8305000,0.8350000,0.8256000,0.8316000,3622116,1681149599999,3007407.0849000,10054,1684626,1399058.4944000,0
1681149600000,0.8317000,0.8400000,0.8300000,0.8347000,3548799,1681150499999,2965061.8855000,9975,1762102,1472730.4026000,0
1681150500000,0.8346000,0.8445000,0.8345000,0.8411000,4018688,1681151399999,3378411.1268000,11133,2021700,1699632.4109000,0
1681151400000,0.8411000,0.8587000,0.8411000,0.8579000,8772756,1681152299999,7467563.0898000,21124,4531865,3858246.9287000,0
1681152300000,0.8580000,0.8598000,0.8420000,0.8439000,8239859,1681153199999,7010282.2833000,19037,3913648,3329821.5348000,0
1681153200000,0.8439000,0.8536000,0.8434000,0.8483000,3508863,1681154099999,2979682.1911000,8980,1822147,1546999.1810000,0
1681154100000,0.8483000,0.8533000,0.8440000,0.8462000,2797141,1681154999999,2372690.1337000,7923,1281936,1087597.3896000,0
1681155000000,0.8461000,0.8526000,0.8459000,0.8522000,1871486,1681155899999,1590534.6859000,5446,910119,773468.8870000,0
1681155900000,0.8522000,0.8580000,0.8491000,0.8542000,2998391,1681156799999,2559891.6169000,7741,1511321,1290394.4297000,0
1681156800000,0.8542000,0.8625000,0.8508000,0.8520000,4874579,1681157699999,4173262.4028000,12570,2406545,2061352.2078000,0
1681157700000,0.8521000,0.8528000,0.8407000,0.8427000,4054220,1681158599999,3427596.2280000,11503,1874866,1585173.6166000,0
1681158600000,0.8429000,0.8453000,0.8360000,0.8379000,3706953,1681159499999,3113226.4420000,10370,1897079,1593365.1379000,0
1681159500000,0.8379000,0.8400000,0.8335000,0.8350000,2299000,1681160399999,1924226.8640000,6008,1146672,959992.0430000,0
1681160400000,0.8352000,0.8451000,0.8343000,0.8448000,3040155,1681161299999,2551467.4378000,7558,1785514,1498890.3718000,0
1681161300000,0.8448000,0.8452000,0.8372000,0.8391000,2044770,1681162199999,1719103.9696000,5158,1043224,877182.8923000,0
1681162200000,0.8391000,0.8433000,0.8376000,0.8383000,1455243,1681163099999,1222345.6111000,4174,743796,624930.8380000,0
1681163100000,0.8383000,0.8410000,0.8370000,0.8405000,725841,1681163999999,608764.3784000,2074,415240,348278.0672000,0
1681164000000,0.8406000,0.8644000,0.8393000,0.8463000,6665917,1681164899999,5672437.4935000,16858,3418235,2910254.5912000,0
1681164900000,0.8464000,0.8523000,0.8464000,0.8500000,1864238,1681165799999,1584003.7229000,4971,936393,795627.5710000,0
1681165800000,0.8503000,0.8569000,0.8500000,0.8562000,1580860,1681166699999,1349707.7407000,4465,781819,667591.7239000,0
1681166700000,0.8561000,0.8649000,0.8540000,0.8550000,2167663,1681167599999,1861153.8812000,6009,1111564,954892.4045000,0
1681167600000,0.8550000,0.8614000,0.8538000,0.8594000,1450421,1681168499999,1244968.7687000,4422,792744,680658.4317000,0
1681168500000,0.8594000,0.8602000,0.8526000,0.8557000,1400226,1681169399999,1198737.7984000,3808,592878,507653.9914000,0
1681169400000,0.8557000,0.8575000,0.8523000,0.8527000,973089,1681170299999,832004.3372000,3146,413758,353860.5223000,0
1681170300000,0.8527000,0.8602000,0.8524000,0.8575000,1235052,1681171199999,1058915.2034000,4014,637942,546931.8769000,0
1681171200000,0.8577000,0.8682000,0.8543000,0.8590000,3615794,1681172099999,3111740.7659000,9892,1894439,1631548.8584000,0
1681172100000,0.8590000,0.8647000,0.8570000,0.8600000,2297425,1681172999999,1977825.5571000,6182,1122395,966259.6303000,0
1681173000000,0.8599000,0.8673000,0.8559000,0.8616000,2269038,1681173899999,1954434.9075000,6008,1152167,992388.7593000,0
1681173900000,0.8615000,0.8634000,0.8583000,0.8617000,1192338,1681174799999,1026593.1545000,3340,598571,515376.3797000,0
1681174800000,0.8617000,0.8618000,0.8508000,0.8514000,1788374,1681175699999,1528673.6565000,4876,712361,608800.8389000,0
1681175700000,0.8514000,0.8534000,0.8420000,0.8451000,2459713,1681176599999,2085330.3528000,6111,1105003,936953.9079000,0
1681176600000,0.8450000,0.8511000,0.8433000,0.8477000,1440307,1681177499999,1220283.0347000,3864,762838,646384.9583000,0
1681177500000,0.8478000,0.8560000,0.8451000,0.8506000,1754530,1681178399999,1490131.6441000,4589,1042515,885543.4680000,0
1681178400000,0.8507000,0.8534000,0.8439000,0.8478000,1723922,1681179299999,1462802.2193000,4674,908620,771056.2928000,0
1681179300000,0.8479000,0.8483000,0.8383000,0.8407000,1743433,1681180199999,1469085.4070000,5010,674513,568669.9671000,0
1681180200000,0.8407000,0.8429000,0.8378000,0.8382000,1383706,1681181099999,1162407.5475000,4451,719548,604564.7108000,0
1681181100000,0.8383000,0.8410000,0.8368000,0.8387000,955477,1681181999999,801590.2099000,3096,448879,376677.5122000,0
1681182000000,0.8388000,0.8404000,0.8350000,0.8372000,928294,1681182899999,777484.3261000,3329,458342,383933.5328000,0
1681182900000,0.8371000,0.8373000,0.8330000,0.8358000,1288920,1681183799999,1076352.1864000,3535,658814,550302.9989000,0
1681183800000,0.8358000,0.8367000,0.8319000,0.8333000,745367,1681184699999,622152.4578000,2244,372706,311209.8551000,0
1681184700000,0.8333000,0.8347000,0.8277000,0.8297000,1251010,1681185599999,1039621.5623000,3464,532599,442687.4135000,0
1681185600000,0.8298000,0.8353000,0.8251000,0.8257000,1967735,1681186499999,1631321.2216000,5416,986898,818405.7267000,0
1681186500000,0.8256000,0.8267000,0.8222000,0.8228000,1190091,1681187399999,981453.6608000,3401,656942,541859.1914000,0
1681187400000,0.8226000,0.8242000,0.8182000,0.8207000,1438354,1681188299999,1181358.4769000,3896,675971,555332.6791000,0
1681188300000,0.8208000,0.8217000,0.8172000,0.8193000,1095083,1681189199999,897228.5058000,3306,623185,510627.0551000,0
1681189200000,0.8193000,0.8256000,0.8188000,0.8216000,1435795,1681190099999,1181699.5569000,4286,833229,685780.8203000,0
1681190100000,0.8216000,0.8250000,0.8205000,0.8213000,987306,1681190999999,812323.0954000,3071,575152,473260.5097000,0
1681191000000,0.8214000,0.8229000,0.8180000,0.8196000,626072,1681191899999,513537.5932000,2546,320530,262944.5934000,0
1681191900000,0.8195000,0.8195000,0.8132000,0.8160000,1398033,1681192799999,1141261.6383000,3816,562004,458822.1787000,0
1681192800000,0.8162000,0.8195000,0.8141000,0.8180000,1243198,1681193699999,1015731.9426000,3789,640256,523224.4253000,0
1681193700000,0.8179000,0.8185000,0.8150000,0.8159000,509245,1681194599999,415715.8202000,1672,253403,206893.3018000,0
1681194600000,0.8159000,0.8165000,0.8141000,0.8159000,649470,1681195499999,529539.5087000,2042,344533,280930.6027000,0
1681195500000,0.8158000,0.8165000,0.8133000,0.8136000,857301,1681196399999,698610.5886000,2238,427650,348483.0302000,0
1681196400000,0.8136000,0.8148000,0.8125000,0.8131000,683513,1681197299999,556225.5551000,2182,386799,314819.5134000,0
1681197300000,0.8132000,0.8185000,0.8120000,0.8184000,1097145,1681198199999,894588.2544000,3264,610068,497586.2053000,0
1681198200000,0.8183000,0.8183000,0.8128000,0.8136000,618397,1681199099999,503892.4859000,1908,272621,222118.8193000,0
1681199100000,0.8135000,0.8138000,0.8105000,0.8110000,834727,1681199999999,677938.4371000,2438,296747,241073.1271000,0
1681200000000,0.8110000,0.8137000,0.8083000,0.8125000,1375688,1681200899999,1116307.0394000,3815,771431,626264.9237000,0
1681200900000,0.8124000,0.8197000,0.8115000,0.8183000,1412353,1681201799999,1152752.1740000,3686,881261,719226.6584000,0
1681201800000,0.8183000,0.8244000,0.8157000,0.8216000,1844705,1681202699999,1514151.5057000,4466,1127058,925110.2187000,0
1681202700000,0.8215000,0.8216000,0.8140000,0.8179000,1129581,1681203599999,923231.5786000,3033,476759,389585.3522000,0
1681203600000,0.8179000,0.8179000,0.8136000,0.8160000,645946,1681204499999,526683.5608000,2030,292426,238447.3392000,0
1681204500000,0.8160000,0.8206000,0.8147000,0.8199000,718052,1681205399999,587164.6691000,2185,427918,349966.4673000,0
