timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field
1681101900000,0.06654,0.06655,0.06644,0.06645,4048861,1681102799999,269194.29138,954,1335094,88773.83676,0
1681102800000,0.06645,0.06655,0.06645,0.06652,6833616,1681103699999,454520.03852,1192,3944702,262365.01608,0
1681103700000,0.06653,0.06656,0.06644,0.06655,3998021,1681104599999,265905.09222,947,2293190,152524.56437,0
1681104600000,0.06655,0.06667,0.06655,0.0666,8941174,1681105499999,595577.4573,1555,6463016,430498.6008,0
1681105500000,0.0666,0.06668,0.06657,0.06663,4903363,1681106399999,326702.16984,1109,2909128,193856.83952,0
1681106400000,0.06664,0.06668,0.06662,0.06663,3368895,1681107299999,224578.31801,387,776369,51756.65532,0
1681107300000,0.06662,0.06663,0.06657,0.06659,1174559,1681108199999,78229.76253,216,300439,20013.24306,0
1681108200000,0.06658,0.0666,0.06656,0.06659,1046709,1681109099999,69689.1658,189,446252,29715.12841,0
1681109100000,0.06659,0.06662,0.06657,0.06662,1109386,1681109999999,73876.87446,311,705341,46973.28105,0
1681110000000,0.06661,0.06671,0.06659,0.0666,4474646,1681110899999,298277.34047,1289,3003167,200218.45784,0
1681110900000,0.06659,0.06665,0.06652,0.06659,2905080,1681111799999,193395.52981,889,915835,60988.46799,0
1681111800000,0.06658,0.06663,0.06652,0.06653,3119827,1681112699999,207698.17401,862,1271512,84661.63397,0
1681112700000,0.06653,0.06688,0.0665,0.06675,14727936,1681113599999,982473.26443,2871,9996278,666914.97385,0
1681113600000,0.06675,0.06678,0.06663,0.06672,11656174,1681114499999,777599.88761,2470,5672582,378460.0148,0
1681114500000,0.06673,0.06677,0.06666,0.06675,6350955,1681115399999,423693.59985,1504,3853230,257092.78207,0
1681115400000,0.06675,0.0668,0.06667,0.0667,4362730,1681116299999,291115.24979,1497,2012850,134330.35721,0
1681116300000,0.06669,0.06677,0.06664,0.06666,4756087,1681117199999,317151.83377,1324,1844912,123035.67104,0
1681117200000,0.06665,0.0667,0.06663,0.06666,4349635,1681118099999,289979.5699,1364,2493593,166254.34122,0
1681118100000,0.06665,0.06671,0.06664,0.06667,2850650,1681118999999,190084.98435,874,1638062,109234.7405,0
1681119000000,0.06668,0.06673,0.06666,0.06672,3651173,1681119899999,243501.3003,1157,1819695,121369.75307,0
1681119900000,0.06671,0.06674,0.06666,0.06668,3910271,1681120799999,260828.18741,1102,1824510,121722.85362,0
1681120800000,0.06668,0.06676,0.06665,0.06671,4150149,1681121699999,276839.34102,1351,2480628,165478.65725,0
1681121700000,0.06671,0.06678,0.06668,0.06675,3163512,1681122599999,211098.28765,851,1861337,124206.4599,0
1681122600000,0.06674,0.06681,0.06674,0.0668,5565452,1681123499999,371693.05846,1220,3811256,254554.6822,0
1681123500000,0.0668,0.06686,0.0668,0.06682,5094049,1681124399999,340450.01108,1267,2778746,185724.80355,0
1681124400000,0.06682,0.06685,0.06678,0.06682,5120157,1681125299999,342130.43406,1516,1620084,108266.43079,0
1681125300000,0.06682,0.06682,0.06673,0.06678,3226380,1681126199999,215400.27777,921,1606229,107242.98445,0
1681126200000,0.06677,0.06681,0.0667,0.06672,6239219,1681127099999,416558.59412,1907,2631548,175718.02313,0
1681127100000,0.06672,0.06682,0.06671,0.06679,4217193,1681127999999,281530.61314,1742,2820434,188292.59409,0
1681128000000,0.0668,0.0668,0.06666,0.06676,4844281,1681128899999,323278.1543,1514,2314166,154442.16672,0
1681128900000,0.06676,0.06676,0.06667,0.06669,3829459,1681129799999,255472.66663,799,1125099,75054.84082,0
1681129800000,0.0667,0.06673,0.06662,0.06668,5298848,1681130699999,353278.74174,898,2924751,194982.76452,0
1681130700000,0.06668,0.06669,0.06657,0.06664,5942858,1681131599999,396001.30587,1353,2846631,189699.77331,0
1681131600000,0.06665,0.06666,0.06656,0.06661,6015599,1681132499999,400699.25764,1490,3104405,206802.58529,0
1681132500000,0.06661,0.06664,0.06645,0.0665,12925192,1681133399999,860323.31433,2002,5999064,399366.431,0
1681133400000,0.0665,0.0666,0.06646,0.06658,9659271,1681134299999,642567.92029,2088,6003689,399406.25264,0
1681134300000,0.06659,0.06659,0.06647,0.06651,6612640,1681135199999,439800.93371,1263,2295550,152691.56381,0
1681135200000,0.06651,0.06656,0.06645,0.06656,6665860,1681136099999,443243.94518,1656,3135482,208506.88921,0
1681136100000,0.06655,0.06661,0.06646,0.06652,10891903,1681136999999,724576.86803,1795,3916663,260625.98893,0
1681137000000,0.06653,0.06664,0.06652,0.06662,6456079,1681137899999,429830.47553,1518,4577586,304768.35723,0
1681137900000,0.06661,0.06664,0.06654,0.06659,6135956,1681138799999,408614.41848,1385,2881598,191907.12222,0
1681138800000,0.0666,0.0667,0.06648,0.06668,11011500,1681139699999,733328.9652,2689,5610608,373806.79564,0
1681139700000,0.06668,0.06683,0.06656,0.06659,11941505,1681140599999,796256.2374,2788,6147805,410089.12995,0
1681140600000,0.06660,0.06669,0.06655,0.06664,4880705,1681141499999,325123.18234,1628,2106084,140311.21046,0
1681141500000,0.06663,0.06668,0.06651,0.06655,4287474,1681142399999,285494.88742,1071,2106767,140278.12925,0
1681142400000,0.06656,0.06656,0.06637,0.06642,13152087,1681143299999,874030.12666,2768,6179020,410658.83277,0
1681143300000,0.06641,0.06647,0.06636,0.06638,6807694,1681144199999,452064.49776,1633,3650367,242407.53253,0
1681144200000,0.06639,0.06656,0.06636,0.06647,11787422,1681145099999,783403.09481,2291,5981936,397574.50167,0
1681145100000,0.06647,0.06687,0.06645,0.06679,24606905,1681145999999,1641560.25370,4152,14215253,948430.10569,0
1681146000000,0.06678,0.06700,0.06678,0.06680,27852453,1681146899999,1863731.12795,5129,15541968,1040086.53129,0
1681146900000,0.06681,0.06687,0.06672,0.06685,10250135,1681147799999,684627.64132,2172,4729601,315936.02375,0
1681147800000,0.06684,0.06698,0.06672,0.06676,13217681,1681148699999,883608.32230,1971,5935391,396854.60462,0
1681148700000,0.06676,0.06701,0.06676,0.06694,16499546,1681149599999,1104120.43718,2282,11674995,781306.83723,0
1681149600000,0.06695,0.06698,0.06688,0.06690,7751950,1681150499999,518891.20961,1577,3835351,256736.85117,0
1681150500000,0.06690,0.06693,0.06681,0.06685,5551290,1681151399999,371124.86809,1329,2726427,182276.25760,0
1681151400000,0.06684,0.06695,0.06684,0.06690,4150244,1681152299999,277716.26005,1007,2244621,150206.03792,0
1681152300000,0.06690,0.06699,0.06690,0.06699,4640637,1681153199999,310639.83573,1064,2409481,161303.17913,0
1681153200000,0.06699,0.06714,0.06695,0.06695,10751196,1681154099999,720717.32161,2623,5268199,353150.72693,0
1681154100000,0.06695,0.06701,0.06680,0.06685,7136699,1681154999999,477403.42440,1826,3795927,253937.37106,0
1681155000000,0.06686,0.06696,0.06686,0.06694,3100917,1681155899999,207512.01136,1047,1555161,104072.14336,0
1681155900000,0.06693,0.06701,0.06692,0.06697,2914984,1681156799999,195239.27947,802,1589913,106489.18099,0
1681156800000,0.06697,0.06707,0.06693,0.06695,7573909,1681157699999,507365.82671,1692,3173272,212585.96988,0
1681157700000,0.06695,0.06700,0.06690,0.06690,3357096,1681158599999,224763.69103,892,1549769,103764.66917,0
1681158600000,0.06690,0.06697,0.06687,0.06695,5601044,1681159499999,374817.07102,1187,3180031,212800.04743,0
1681159500000,0.06695,0.06701,0.06692,0.06697,4880563,1681160399999,326865.25968,820,3200264,214345.18709,0
1681160400000,0.06698,0.06706,0.06679,0.06686,11795565,1681161299999,789550.63771,2027,3150085,210950.24227,0
1681161300000,0.06686,0.06698,0.06686,0.06690,4930681,1681162199999,329933.35792,1165,2549474,170590.39178,0
1681162200000,0.06691,0.06699,0.06690,0.06691,4796647,1681163099999,321088.98642,1232,1781619,119261.91897,0
1681163100000,0.06691,0.06708,0.06691,0.06698,6593537,1681163999999,441844.99306,1194,4521071,302966.16051,0
1681164000000,0.06698,0.06742,0.06695,0.06724,26440440,1681164899999,1777855.46536,5710,14598100,981572.91430,0
1681164900000,0.06724,0.06734,0.06720,0.06722,9456855,1681165799999,636098.24109,2162,4585450,308459.09117,0
1681165800000,0.06723,0.06725,0.06711,0.06719,11580016,1681166699999,778068.28623,1914,3305914,222129.08188,0
1681166700000,0.06718,0.06742,0.06713,0.06723,11322196,1681167599999,761482.64935,1728,6205550,417454.33083,0
1681167600000,0.06723,0.06737,0.06722,0.06732,10134962,1681168499999,682037.49395,1879,5633531,379145.93010,0
1681168500000,0.06732,0.06737,0.06720,0.06721,3920341,1681169399999,263741.49768,1040,1798035,120960.14573,0
1681169400000,0.06722,0.06742,0.06722,0.06730,6331824,1681170299999,426313.59026,1459,3547117,238824.48844,0
1681170300000,0.06729,0.06732,0.06716,0.06726,5454439,1681171199999,366716.11882,1116,1816397,122132.63447,0
1681171200000,0.06725,0.06731,0.06704,0.06712,10357069,1681172099999,695568.01511,2368,4972270,333943.82121,0
1681172100000,0.06711,0.06714,0.06704,0.06705,4289540,1681172999999,287811.20913,1160,1390806,93319.43460,0
1681173000000,0.06705,0.06726,0.06701,0.06716,12516544,1681173899999,840228.07354,2334,6592931,442586.38642,0
1681173900000,0.06717,0.06721,0.06706,0.06719,5448951,1681174799999,365732.01314,1050,2234674,149998.64908,0
1681174800000,0.06719,0.06719,0.06705,0.06706,5113234,1681175699999,343122.62708,1278,1705749,114473.26529,0
1681175700000,0.06705,0.06713,0.06700,0.06711,4405607,1681176599999,295428.12044,1146,2642938,177232.01869,0
1681176600000,0.06712,0.06719,0.06708,0.06712,4647719,1681177499999,312028.79280,1478,2133631,143244.97842,0
1681177500000,0.06712,0.06736,0.06709,0.06735,13942448,1681178399999,937791.28836,2445,7104191,477902.90605,0
1681178400000,0.06735,0.06745,0.06725,0.06739,10531986,1681179299999,709560.54359,2518,5387848,363031.01344,0
1681179300000,0.06740,0.06746,0.06734,0.06742,6026193,1681180199999,406248.52749,1213,3269701,220429.39857,0
1681180200000,0.06741,0.06748,0.06739,0.06741,7588900,1681181099999,511837.97676,1845,3649954,246181.95661,0
1681181100000,0.06741,0.06745,0.06733,0.06745,6689327,1681181999999,450856.30262,1478,3087903,208139.08855,0
