timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field
1681101900000,0.5033,0.5036,0.5028,0.5031,258229.9,1681102799999,129940.86435,245,89426.7,44996.95114,0
1681102800000,0.503,0.5038,0.5027,0.5031,400707.7,1681103699999,201691.55878,338,176770.5,88975.79431,0
1681103700000,0.5031,0.5038,0.5026,0.5034,427740.7,1681104599999,215279.26274,348,213835.4,107627.39441,0
1681104600000,0.5034,0.5042,0.5027,0.5041,367781.6,1681105499999,185101.49919,287,213375.9,107385.22562,0
1681105500000,0.5041,0.5049,0.5034,0.5036,1031958.1,1681106399999,520404.90373,591,764337.0,385519.51467,0
1681106400000,0.5037,0.5042,0.5036,0.5042,139704.6,1681107299999,70410.81825,145,69999.8,35280.69811,0
1681107300000,0.5041,0.5043,0.5041,0.5042,48062.6,1681108199999,24233.10182,41,23573.0,11886.06282,0
1681108200000,0.5043,0.5043,0.5041,0.5042,52949.9,1681109099999,26697.84735,48,33391.5,16836.51424,0
1681109100000,0.5042,0.5043,0.504,0.504,59045.6,1681109999999,29766.27756,74,11067.5,5580.25286,0
1681110000000,0.5041,0.5043,0.504,0.5042,98264.4,1681110899999,49546.16989,134,80683.6,40683.30162,0
1681110900000,0.5042,0.5045,0.5041,0.5045,291078.0,1681111799999,146809.96571,224,272095.1,137240.28011,0
1681111800000,0.5046,0.505,0.5045,0.5047,346471.9,1681112699999,174865.49026,304,112174.1,56620.1136,0
1681112700000,0.5047,0.506,0.5042,0.506,501168.5,1681113599999,253157.59925,462,263853.5,133314.0902,0
1681113600000,0.5061,0.5066,0.5054,0.5062,1000072.0,1681114499999,506210.29954,703,336612.6,170295.45642,0
1681114500000,0.5062,0.5066,0.5053,0.5057,740829.5,1681115399999,374853.58953,807,451490.6,228461.5214,0
1681115400000,0.5058,0.5064,0.5058,0.5059,273445.1,1681116299999,138391.49399,334,164812.9,83414.93567,0
1681116300000,0.5059,0.5061,0.5054,0.5054,278208.9,1681117199999,140729.81724,298,121791.4,61612.03613,0
1681117200000,0.5055,0.5063,0.5054,0.5056,402975.5,1681118099999,203854.44439,360,150288.2,76031.81596,0
1681118100000,0.5057,0.5061,0.5052,0.5058,428645.8,1681118999999,216785.34733,423,286950.3,145108.03567,0
1681119000000,0.5059,0.5067,0.5056,0.5056,435503.2,1681119899999,220436.13404,381,216224.4,109449.28123,0
1681119900000,0.5057,0.5058,0.5047,0.505,526088.9,1681120799999,265747.29862,419,321160.0,162217.03549,0
1681120800000,0.5051,0.5051,0.5042,0.5042,506859.6,1681121699999,255718.59426,441,189885.0,95798.52328,0
1681121700000,0.5042,0.5043,0.5031,0.5036,570805.5,1681122599999,287445.09281,705,253932.2,127861.05274,0
1681122600000,0.5035,0.5042,0.5033,0.5033,346035.7,1681123499999,174265.06979,321,168683.1,84952.39316,0
1681123500000,0.5034,0.504,0.5033,0.5037,432849.2,1681124399999,218036.12763,411,231575.4,116645.14531,0
1681124400000,0.5037,0.5049,0.5036,0.5044,512254.8,1681125299999,258415.58708,664,217485.6,109698.0165,0
1681125300000,0.5045,0.5051,0.5044,0.5049,274121.7,1681126199999,138377.26333,253,138696.3,70013.13764,0
1681126200000,0.5049,0.505,0.5041,0.5048,291326.2,1681127099999,146985.92284,272,159139.7,80276.07437,0
1681127100000,0.5048,0.5051,0.5042,0.5047,208004.2,1681127999999,104980.51226,219,122928.2,62041.52097,0
1681128000000,0.5048,0.5049,0.5042,0.5046,341389.4,1681128899999,172278.60873,288,100961.4,50950.53689,0
1681128900000,0.5047,0.5051,0.5041,0.5043,448725.5,1681129799999,226388.59795,292,236724.9,119414.47717,0
1681129800000,0.5043,0.5051,0.504,0.5048,315482.1,1681130699999,159202.38141,284,158945.6,80200.3089,0
1681130700000,0.5048,0.5051,0.5044,0.5048,525596.1,1681131599999,265328.33308,336,215051.3,108575.80245,0
1681131600000,0.5048,0.5052,0.5035,0.5041,1178819.9,1681132499999,594732.8851,638,470525.3,237509.88816,0
1681132500000,0.5042,0.5045,0.5034,0.5038,372589.6,1681133399999,187786.73673,394,193636.1,97589.98836,0
1681133400000,0.5038,0.5039,0.5022,0.5023,1032023.5,1681134299999,518873.3681,733,334694.6,168321.62038,0
1681134300000,0.5024,0.5029,0.5017,0.5027,855848.6,1681135199999,429915.40973,626,393702.9,197747.87449,0
1681135200000,0.5027,0.5033,0.5016,0.5031,550003.2,1681136099999,276337.65369,526,262795.7,132024.1932,0
1681136100000,0.5031,0.5032,0.5026,0.5027,302006.8,1681136999999,151899.32741,258,158681.9,79806.05446,0
1681137000000,0.5027,0.5039,0.5025,0.5035,545079.3,1681137899999,274232.50284,454,312477.4,157195.43148,0
1681137900000,0.5035,0.504,0.5031,0.5036,693572.9,1681138799999,349295.08575,498,426266.2,214699.55565,0
1681138800000,0.5036,0.505,0.5032,0.5049,707507.0,1681139699999,356608.67796,693,378705.9,190954.18122,0
1681139700000,0.5048,0.5058,0.5045,0.505,981492.2,1681140599999,495766.53592,748,457327.4,231038.13688,0
1681140600000,0.5050,0.5057,0.5045,0.5051,432533.1,1681141499999,218466.35741,396,183424.7,92645.89471,0
1681141500000,0.5051,0.5055,0.5045,0.5045,258903.4,1681142399999,130735.87104,200,91929.7,46421.59612,0
1681142400000,0.5045,0.5049,0.5032,0.5038,875927.3,1681143299999,441376.19770,637,434664.7,219106.52248,0
1681143300000,0.5036,0.5045,0.5035,0.5040,276623.0,1681144199999,139457.04953,224,212858.4,107313.03625,0
1681144200000,0.5040,0.5056,0.5039,0.5054,512131.4,1681145099999,258655.14174,322,299175.0,151094.12621,0
1681145100000,0.5053,0.5092,0.5053,0.5089,2610122.8,1681145999999,1325728.05598,1968,1448494.8,735598.80738,0
1681146000000,0.5090,0.5117,0.5090,0.5096,2751178.8,1681146899999,1403720.76636,2546,1420762.2,725065.92627,0
1681146900000,0.5097,0.5114,0.5087,0.5105,1721365.8,1681147799999,878050.63874,1502,914844.3,466591.51451,0
1681147800000,0.5104,0.5115,0.5094,0.5097,1530012.7,1681148699999,781055.88237,1244,838184.1,427980.82789,0
1681148700000,0.5096,0.5107,0.5092,0.5107,878218.8,1681149599999,447972.97937,631,595700.0,303887.50554,0
1681149600000,0.5107,0.5110,0.5098,0.5110,773642.8,1681150499999,394814.33207,560,290437.8,148240.56451,0
