timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field
1672617600000,1365.0,1377.4,1344.4,1349.8,4206.09,1672703999999,5711307.2626,18065,1928.416,2620283.1961,0
1672704000000,1349.7,1357.1,1347.4,1348.7,2129.867,1672790399999,2878595.7117,10567,1041.442,1407913.5772,0
1672790400000,1348.6,1349.1,1312.3,1316.7,5544.366,1672876799999,7345901.9674,24670,2469.366,3270262.7156,0
1672876800000,1317.0,1330.9,1315.2,1326.8,3069.578,1672963199999,4062293.6191,14474,1297.968,1718371.2436,0
1672963200000,1326.8,1333.7,1312.0,1315.9,2945.72,1673049599999,3899580.8336,16566,1363.381,1805028.3931,0
1673049600000,1315.9,1321.1,1313.4,1318.7,1391.024,1673135999999,1833227.8533,9382,687.261,905786.4912,0
1673136000000,1318.5,1325.5,1293.2,1295.8,3084.596,1673222399999,4042151.3924,15920,1502.0,1968102.2547,0
1673222400000,1295.8,1299.1,1256.2,1274.6,10471.168,1673308799999,13333965.2657,41922,4601.332,5859804.7225,0
1673308800000,1274.5,1283.1,1265.4,1279.2,4320.183,1673395199999,5507274.0064,19169,2001.247,2551412.9477,0
1673395200000,1279.2,1286.5,1260.8,1271.5,5374.798,1673481599999,6864050.3532,21744,2428.628,3101889.5072,0
1673481600000,1271.5,1316.5,1266.6,1310.7,7690.79,1673567999999,9930376.4095,35410,3883.229,5018225.9466,0
1673568000000,1310.6,1348.2,1305.7,1348.0,5925.648,1673654399999,7865399.9649,30034,3000.103,3983844.0231,0
1673654400000,1348.1,1366.5,1312.9,1338.5,12130.473,1673740799999,16224775.5231,52678,5829.02,7801135.4519,0
1673740800000,1338.6,1353.7,1335.0,1339.3,4545.444,1673827199999,6110955.1703,20265,2164.138,2910818.2903,0
1673827200000,1339.3,1359.6,1334.1,1351.6,5730.192,1673913599999,7718599.3513,22575,2778.515,3744379.4119,0
1673913600000,1351.7,1358.0,1345.3,1355.5,4460.149,1673999999999,6027107.6617,20973,2287.505,3091695.6064,0
1674000000000,1355.0,1382.5,1345.4,1380.8,6757.448,1674086399999,9217161.2675,37554,3472.027,4738209.3603,0
1674086400000,1380.8,1381.8,1366.9,1370.4,4347.093,1674172799999,5973802.6819,27963,2105.195,2893353.0207,0
1674172800000,1370.5,1388.6,1358.7,1382.2,4610.34,1674259199999,6323675.7146,25521,2309.269,3168549.5903,0
1674259200000,1382.3,1420.0,1375.0,1415.1,5453.08,1674345599999,7630916.7768,28533,2877.139,4027352.6895,0
1674345600000,1415.2,1420.0,1384.3,1403.1,3729.912,1674431999999,5244131.0932,21165,1863.648,2622018.6832,0
1674432000000,1403.0,1417.1,1388.4,1408.0,3208.431,1674518399999,4500286.9424,18414,1565.184,2195957.0302,0
1674518400000,1407.6,1468.8,1395.0,1448.4,4793.055,1674604799999,6831484.4094,28174,2587.855,3692823.1756,0
1674604800000,1448.4,1463.9,1426.9,1427.0,7928.581,1674691199999,11482872.9448,36847,3930.946,5695506.5319,0
1674691200000,1427.1,1439.9,1420.4,1426.4,3301.306,1674777599999,4714972.9839,23842,1588.196,2268356.8253,0
1674777600000,1426.4,1451.9,1422.7,1422.8,3454.99,1674863999999,4962735.6056,19300,1622.527,2331544.404,0
1674864000000,1422.8,1449.2,1414.0,1439.6,2577.297,1674950399999,3687752.9504,16564,1251.208,1790201.2712,0
1674950400000,1440.0,1442.9,1420.4,1425.5,2793.209,1675036799999,3995892.5257,16856,1345.201,1924772.421,0
1675036800000,1425.5,1458.7,1421.9,1440.0,4063.419,1675123199999,5868717.2989,28972,1878.377,2712848.8833,0
1675123200000,1440.1,1440.2,1423.9,1434.2,2645.942,1675209599999,3790335.0526,21574,1329.53,1904531.668,0
1675209600000,1434.1,1453.6,1421.0,1426.5,5613.278,1675295999999,8069199.2515,33488,2617.716,3761716.4161,0
1675296000000,1426.7,1427.3,1390.3,1412.0,5704.528,1675382399999,8032439.2559,33034,2736.927,3855749.8843,0
1675382400000,1411.9,1417.9,1382.1,1386.9,3996.466,1675468799999,5590450.0875,22576,1912.533,2676386.1596,0
1675468800000,1386.9,1391.5,1369.5,1379.4,3673.31,1675555199999,5066035.4238,17956,1714.445,2365624.8172,0
1675555200000,1379.4,1397.7,1375.6,1388.0,2937.155,1675641599999,4071454.3088,18827,1385.344,1920917.5859,0
