timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field
1674172800000,10.199,11.461,9.781,10.871,5263124.4,1674259199999,54960684.8011,291794,2525953.7,26385353.0801,0
1674259200000,10.875,11.436,10.142,10.256,2461632.5,1674345599999,26703113.8027,160486,1119474.8,12160429.7155,0
1674345600000,10.254,10.869,9.548,10.04,1889761.0,1674431999999,19572199.4663,125198,868034.5,8997149.5238,0
1674432000000,10.04,10.855,9.612,10.453,2142313.6,1674518399999,21911882.4616,126217,1023972.0,10473405.9937,0
1674518400000,10.452,11.29,9.6,9.897,2457852.1,1674604799999,25834250.2292,151924,1139001.6,11974912.0494,0
1674604800000,9.88,10.86,9.487,10.35,1631891.8,1674691199999,16402746.0231,103195,760915.1,7653859.4945,0
1674691200000,10.361,11.3,10.043,10.219,1311970.0,1674777599999,13978063.9686,88822,607683.0,6478355.6626,0
1674777600000,10.212,11.076,9.823,10.774,2072808.5,1674863999999,21675968.8563,124573,986114.0,10314593.7609,0
1674864000000,10.773,11.906,10.591,11.003,5822735.7,1674950399999,66147265.037,272510,2811684.2,31972366.4694,0
1674950400000,11.002,11.362,10.82,11.208,1351682.3,1675036799999,14986649.1926,73870,642252.6,7126893.2568,0
1675036800000,11.208,11.252,9.862,10.179,1468683.9,1675123199999,15323241.9203,88140,626185.6,6523650.6691,0
1675123200000,10.181,10.53,10.012,10.32,837552.2,1675209599999,8624183.8893,53852,371028.2,3821929.6708,0
1675209600000,10.32,11.006,9.581,10.765,2818104.0,1675295999999,28755877.6553,133718,1398831.6,14276130.8513,0
1675296000000,10.783,11.767,10.582,10.691,3661963.2,1675382399999,40789451.5617,155544,1702221.4,18982625.8558,0
1675382400000,10.687,11.519,10.29,11.054,3238501.7,1675468799999,35301221.53,150829,1475433.4,16103151.0882,0
1675468800000,11.055,11.193,10.37,10.475,1497188.7,1675555199999,16167261.7198,82680,621933.3,6727195.5429,0
1675555200000,10.476,10.53,9.8,10.007,2164389.9,1675641599999,21987296.955,102280,948312.0,9642798.2533,0
1675641600000,10.0,12.9,9.9,12.117,21020040.0,1675727999999,250460101.2058,779602,10536050.8,125630909.8961,0
1675728000000,12.122,13.712,12.105,12.72,22450675.3,1675814399999,291012712.3671,1009065,11297481.2,146477231.1733,0
1675814400000,12.72,13.155,11.342,12.55,8405869.0,1675900799999,102227333.8759,414483,4023523.4,48982296.4068,0
