Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Open Interest
1700733300000,0.8400000,0.8416000,0.8400000,0.8415000,25618,1700733359999,21535.8524000,192,22436,18862.0651000,0,5500287
1700733360000,0.8415000,0.8421000,0.8415000,0.8421000,7691,1700733419999,6474.6062000,105,5994,5046.0827000,0,5499517
1700733420000,0.8420000,0.8421000,0.8412000,0.8412000,8686,1700733479999,7312.2015000,101,2098,1766.3358000,0,5494325
1700733480000,0.8410000,0.8432000,0.8410000,0.8428000,18461,1700733539999,15552.2914000,174,16131,13588.5323000,0,5493603
1700733540000,0.8428000,0.8438000,0.8427000,0.8436000,8986,1700733599999,7578.7454000,115,7706,6499.1528000,0,5488688
1700733600000,0.8436000,0.8446000,0.8436000,0.8446000,16081,1700733659999,13575.0484000,137,9210,7775.4595000,0,5485143
1700733660000,0.8444000,0.8444000,0.8419000,0.8420000,24314,1700733719999,20507.6557000,142,284,239.5656000,0,5480815
1700733720000,0.8418000,0.8418000,0.8409000,0.8409000,11425,1700733779999,9610.6274000,127,2284,1921.5428000,0,5479336
1700733780000,0.8410000,0.8416000,0.8407000,0.8411000,7051,1700733839999,5930.0726000,114,4492,3777.9845000,0,5483650
1700733840000,0.8410000,0.8411000,0.8403000,0.8404000,7478,1700733899999,6286.6178000,59,5133,4315.4232000,0,5485025
1700733900000,0.8403000,0.8406000,0.8399000,0.8399000,34614,1700733959999,29077.9545000,151,15678,13170.4933000,0,5495765
1700733960000,0.8399000,0.8403000,0.8388000,0.8391000,22792,1700734019999,19133.6360000,159,10109,8488.5404000,0,5493362
1700734020000,0.8392000,0.8395000,0.8390000,0.8391000,16611,1700734079999,13938.8176000,99,12711,10666.4765000,0,5498829
1700734080000,0.8393000,0.8395000,0.8389000,0.8389000,7655,1700734139999,6424.2975000,61,4623,3880.1749000,0,5496938
1700734140000,0.8388000,0.8389000,0.8383000,0.8385000,8995,1700734199999,7543.5369000,86,2950,2473.9896000,0,5495533
1700734200000,0.8385000,0.8387000,0.8384000,0.8386000,3417,1700734259999,2865.4457000,38,2657,2228.1255000,0,5495317
1700734260000,0.8387000,0.8391000,0.8386000,0.8391000,1345,1700734319999,1128.1451000,26,1275,1069.4431000,0,5494617
1700734320000,0.8390000,0.8395000,0.8386000,0.8393000,4663,1700734379999,3913.0764000,76,3071,2577.3023000,0,5494104
1700734380000,0.8393000,0.8397000,0.8391000,0.8391000,1708,1700734439999,1433.6661000,33,836,701.8797000,0,5497316
1700734440000,0.8390000,0.8390000,0.8376000,0.8376000,10376,1700734499999,8698.9143000,106,2213,1854.4382000,0,5495872
1700734500000,0.8376000,0.8381000,0.8373000,0.8374000,7748,1700734559999,6490.6415000,95,2458,2059.5233000,0,5497213
1700734560000,0.8374000,0.8374000,0.8357000,0.8367000,10580,1700734619999,8848.5023000,150,3182,2660.8568000,0,5496764
1700734620000,0.8366000,0.8379000,0.8364000,0.8372000,4593,1700734679999,3844.8810000,78,3331,2788.6003000,0,5496696
1700734680000,0.8373000,0.8389000,0.8373000,0.8384000,10630,1700734739999,8912.8757000,82,8797,7375.9246000,0,5494610
1700734740000,0.8383000,0.8386000,0.8381000,0.8384000,2829,1700734799999,2371.4583000,63,1230,1031.1649000,0,5493458
1700734800000,0.8383000,0.8389000,0.8381000,0.8382000,7637,1700734859999,6404.1567000,72,3916,3284.3346000,0,5493903
1700734860000,0.8382000,0.8392000,0.8380000,0.8392000,9908,1700734919999,8309.5354000,86,9802,8220.6598000,0,5491128
1700734920000,0.8392000,0.8402000,0.8392000,0.8402000,11355,1700734979999,9535.1227000,90,10719,9000.8755000,0,5501970
1700734980000,0.8401000,0.8409000,0.8401000,0.8403000,23746,1700735039999,19958.9429000,116,22591,18988.3044000,0,5499935
1700735040000,0.8406000,0.8407000,0.8383000,0.8391000,11868,1700735099999,9961.6532000,142,3028,2540.7434000,0,5498300
1700735100000,0.8390000,0.8398000,0.8388000,0.8389000,11467,1700735159999,9624.9385000,147,3409,2861.7346000,0,5493448
1700735160000,0.8393000,0.8409000,0.8393000,0.8401000,18694,1700735219999,15709.9864000,121,14387,12089.2259000,0,5493686
1700735220000,0.8403000,0.8419000,0.8403000,0.8419000,19001,1700735279999,15981.8226000,165,13062,10987.3956000,0,5492227
1700735280000,0.8417000,0.8425000,0.8407000,0.8425000,15265,1700735339999,12848.1974000,169,13984,11770.6310000,0,5493116
1700735340000,0.8424000,0.8426000,0.8418000,0.8425000,12315,1700735399999,10372.0299000,124,4586,3862.8379000,0,5493221
1700735400000,0.8420000,0.8431000,0.8418000,0.8431000,7587,1700735459999,6392.7604000,108,6770,5704.6395000,0,5490096
1700735460000,0.8430000,0.8438000,0.8423000,0.8423000,16137,1700735519999,13607.7122000,172,9784,8251.5928000,0,5486206
1700735520000,0.8425000,0.8425000,0.8412000,0.8416000,15184,1700735579999,12782.6529000,160,3568,3003.6431000,0,5487448
1700735580000,0.8414000,0.8414000,0.8401000,0.8401000,10802,1700735639999,9081.1862000,103,60,50.4720000,0,5490135
1700735640000,0.8402000,0.8407000,0.8398000,0.8401000,8073,1700735699999,6783.1790000,119,5894,4952.9243000,0,5487098
1700735700000,0.8400000,0.8400000,0.8391000,0.8391000,6379,1700735759999,5355.3379000,101,1550,1301.2669000,0,5485536
1700735760000,0.8390000,0.8390000,0.8381000,0.8385000,14884,1700735819999,12476.8832000,145,3746,3140.4541000,0,5480637
1700735820000,0.8386000,0.8392000,0.8369000,0.8369000,21136,1700735879999,17711.9707000,223,4996,4189.3597000,0,5475113
1700735880000,0.8369000,0.8382000,0.8367000,0.8369000,35781,1700735939999,29961.8644000,199,24503,20517.5864000,0,5473813
1700735940000,0.8369000,0.8371000,0.8366000,0.8370000,9139,1700735999999,7646.8107000,75,1966,1645.3159000,0,5473535
1700736000000,0.8370000,0.8374000,0.8364000,0.8364000,23074,1700736059999,19311.6079000,155,15631,13083.4730000,0,5469940
1700736060000,0.8366000,0.8366000,0.8361000,0.8362000,9960,1700736119999,8329.4538000,98,2121,1774.0017000,0,5471989
1700736120000,0.8362000,0.8362000,0.8354000,0.8354000,12527,1700736179999,10470.1092000,98,1526,1275.7865000,0,5469526
1700736180000,0.8354000,0.8356000,0.8344000,0.8351000,11071,1700736239999,9244.0265000,144,4308,3598.3832000,0,5468465
1700736240000,0.8351000,0.8354000,0.8345000,0.8345000,4438,1700736299999,3705.4422000,76,1167,974.6650000,0,5469794
1700736300000,0.8345000,0.8358000,0.8340000,0.8357000,31020,1700736359999,25899.3667000,178,26947,22498.3758000,0,5462039
1700736360000,0.8356000,0.8362000,0.8346000,0.8359000,10279,1700736419999,8588.1116000,127,7233,6045.0999000,0,5465000
1700736420000,0.8359000,0.8362000,0.8351000,0.8352000,10665,1700736479999,8912.0915000,100,656,548.4598000,0,5475058
1700736480000,0.8351000,0.8352000,0.8336000,0.8352000,28176,1700736539999,23510.8244000,177,5523,4608.7679000,0,5474595
1700736540000,0.8351000,0.8355000,0.8347000,0.8355000,4340,1700736599999,3624.2256000,69,2521,2105.5308000,0,5485327
1700736600000,0.8351000,0.8357000,0.8328000,0.8334000,67755,1700736659999,56520.2861000,449,15787,13179.2904000,0,5509265
1700736660000,0.8334000,0.8339000,0.8328000,0.8333000,11229,1700736719999,9358.3312000,112,6698,5582.1559000,0,5513639
1700736720000,0.8330000,0.8330000,0.8305000,0.8316000,30242,1700736779999,25145.7510000,272,6115,5085.9617000,0,5511256
1700736780000,0.8318000,0.8329000,0.8316000,0.8322000,6840,1700736839999,5691.4886000,110,5346,4448.3977000,0,5509346
1700736840000,0.8325000,0.8336000,0.8325000,0.8334000,13707,1700736899999,11420.2132000,82,12838,10696.2653000,0,5510237
1700736900000,0.8335000,0.8344000,0.8330000,0.8342000,20952,1700736959999,17471.3607000,189,11773,9817.7368000,0,5507173
1700736960000,0.8340000,0.8343000,0.8331000,0.8331000,5173,1700737019999,4313.8429000,82,1165,971.6655000,0,5506345
1700737020000,0.8330000,0.8339000,0.8330000,0.8339000,9039,1700737079999,7534.7173000,70,8889,7409.6697000,0,5503145
1700737080000,0.8340000,0.8346000,0.8338000,0.8340000,8150,1700737139999,6798.7219000,98,5311,4430.6758000,0,5503063
1700737140000,0.8339000,0.8340000,0.8335000,0.8340000,3870,1700737199999,3226.3310000,49,1986,1655.6056000,0,5500523
1700737200000,0.8338000,0.8345000,0.8326000,0.8336000,18702,1700737259999,15590.4086000,220,10177,8485.0128000,0,5500201
1700737260000,0.8336000,0.8341000,0.8327000,0.8332000,3882,1700737319999,3235.3792000,105,2435,2029.2210000,0,5498941
