Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Open Interest
1700733300000,0.1420,0.1421,0.1420,0.1421,88759,1700733359999,12612.1506,92,60296,8568.0616,0,52295460
1700733360000,0.1421,0.1423,0.1421,0.1423,33565,1700733419999,4774.3589,51,25337,3604.3561,0,52290634
1700733420000,0.1422,0.1422,0.1421,0.1422,10604,1700733479999,1507.8470,22,77,10.9494,0,52290634
1700733480000,0.1423,0.1423,0.1422,0.1422,36180,1700733539999,5147.7093,19,29133,4145.6259,0,52290678
1700733540000,0.1423,0.1424,0.1422,0.1424,10485,1700733599999,1492.3283,44,6903,982.6279,0,52253976
1700733600000,0.1423,0.1424,0.1422,0.1422,84331,1700733659999,11998.4856,85,46041,6551.6820,0,52273685
1700733660000,0.1422,0.1422,0.1420,0.1420,82014,1700733719999,11654.2616,89,1405,199.5108,0,52284839
1700733720000,0.1420,0.1420,0.1419,0.1420,28835,1700733779999,4094.4097,32,27232,3866.9440,0,52289873
1700733780000,0.1420,0.1420,0.1419,0.1420,70594,1700733839999,10021.1125,69,29141,4136.9112,0,52352373
1700733840000,0.1420,0.1421,0.1420,0.1420,123648,1700733899999,17566.1503,48,115197,16366.1083,0,52345868
1700733900000,0.1420,0.1420,0.1419,0.1419,82764,1700733959999,11749.0684,78,14860,2108.6694,0,52316368
1700733960000,0.1420,0.1420,0.1418,0.1419,66229,1700734019999,9395.0962,38,14011,1988.1707,0,52327846
1700734020000,0.1418,0.1419,0.1418,0.1419,56940,1700734079999,8079.7496,31,39397,5590.4343,0,52336942
1700734080000,0.1419,0.1419,0.1417,0.1417,35914,1700734139999,5093.1789,21,5948,844.0212,0,52314973
1700734140000,0.1417,0.1418,0.1416,0.1416,241581,1700734199999,34228.0678,104,31026,4396.8480,0,52293511
1700734200000,0.1417,0.1418,0.1417,0.1417,87395,1700734259999,12385.1457,42,54161,7675.8879,0,52272164
1700734260000,0.1417,0.1417,0.1416,0.1416,46386,1700734319999,6569.3350,25,0,0,0,52272164
