Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Open Interest
1700733300000,1.4175,1.4196,1.4175,1.4196,2951.1,1700733359999,4186.79787,43,2863.7,4062.81053,0,3492913.4
1700733360000,1.4197,1.4207,1.4197,1.4201,1860,1700733419999,2641.77048,46,820,1164.66452,0,3492424.4
1700733420000,1.4202,1.4204,1.4196,1.4199,932.3,1700733479999,1323.85773,46,178.2,253.08436,0,3490639.4
1700733480000,1.4200,1.4200,1.4192,1.4196,3135.2,1700733539999,4450.42038,50,129.9,184.39315,0,3490184.2
1700733540000,1.4198,1.4210,1.4198,1.4210,2951.6,1700733599999,4192.73071,80,2423.1,3442.03509,0,3494001.4
1700733600000,1.4205,1.4208,1.4199,1.4200,10273.5,1700733659999,14588.64920,85,788.4,1119.77833,0,3498471.5
1700733660000,1.4201,1.4202,1.4183,1.4183,5496.5,1700733719999,7803.92793,56,461.8,655.75843,0,3497889.4
1700733720000,1.4175,1.4180,1.4172,1.4174,2465.8,1700733779999,3495.41865,88,1475.1,2091.17433,0,3498623.4
1700733780000,1.4176,1.4193,1.4173,1.4193,4532,1700733839999,6425.69817,137,2235.8,3170.64655,0,3498013.3
1700733840000,1.4190,1.4192,1.4184,1.4187,1135.1,1700733899999,1610.45226,44,523.5,742.75796,0,3498375.3
1700733900000,1.4187,1.4191,1.4178,1.4181,5492.5,1700733959999,7791.57454,95,647.5,918.43631,0,3499801.1
1700733960000,1.4181,1.4184,1.4178,1.4180,649.6,1700734019999,921.19765,25,351.1,497.90709,0,3499190.9
1700734020000,1.4179,1.4183,1.4177,1.4181,2557.4,1700734079999,3626.58236,32,1679.6,2381.96671,0,3499670.6
1700734080000,1.4178,1.4184,1.4169,1.4169,6685.9,1700734139999,9480.88566,62,5376.9,7625.20589,0,3499733.5
1700734140000,1.4169,1.4169,1.4162,1.4162,477.7,1700734199999,676.63638,24,98.2,139.11960,0,3499529.8
1700734200000,1.4160,1.4160,1.4150,1.4150,1716.2,1700734259999,2429.39577,38,7.7,10.90166,0,3500353.5
1700734260000,1.4148,1.4153,1.4148,1.4153,299.9,1700734319999,424.36990,11,284.7,402.86494,0,3500453.5
1700734320000,1.4154,1.4160,1.4148,1.4160,4334.6,1700734379999,6136.36088,52,3787.9,5362.78969,0,3499232.7
1700734380000,1.4160,1.4160,1.4150,1.4152,1127.2,1700734439999,1595.73935,34,563.6,797.90499,0,3499000.1
1700734440000,1.4149,1.4149,1.4143,1.4143,537.5,1700734499999,760.37006,26,57.9,81.92271,0,3500548.5
1700734500000,1.4143,1.4143,1.4133,1.4135,4392.3,1700734559999,6209.99386,77,232.7,328.96942,0,3500694.0
1700734560000,1.4134,1.4134,1.4115,1.4121,1941.3,1700734619999,2741.06026,47,106,149.68339,0,3500092.4
1700734620000,1.4119,1.4127,1.4117,1.4126,1026.4,1700734679999,1449.48108,28,859.2,1213.41671,0,3497575.0
1700734680000,1.4125,1.4132,1.4113,1.4124,7673.1,1700734739999,10834.50490,137,1772.3,2503.71474,0,3498481.2
1700734740000,1.4123,1.4129,1.4120,1.4123,9030.5,1700734799999,12753.65224,126,6365.6,8990.72039,0,3496749.5
1700734800000,1.4122,1.4127,1.4118,1.4118,6310.2,1700734859999,8910.19320,62,311.7,440.26586,0,3501374.0
1700734860000,1.4111,1.4116,1.4108,1.4112,2352.4,1700734919999,3319.54325,88,1330.7,1877.90471,0,3501061.1
1700734920000,1.4112,1.4126,1.4112,1.4122,2358.8,1700734979999,3330.69879,72,1939.6,2738.77931,0,3500848.3
1700734980000,1.4121,1.4121,1.4118,1.4120,74.7,1700735039999,105.47380,9,23.9,33.74650,0,3502768.0
1700735040000,1.4120,1.4120,1.4103,1.4107,5020,1700735099999,7083.16154,42,1319.6,1861.51604,0,3502215.6
1700735100000,1.4106,1.4108,1.4094,1.4108,8794.1,1700735159999,12401.07888,160,4540.7,6404.44673,0,3500261.5
1700735160000,1.4105,1.4119,1.4105,1.4113,2462.1,1700735219999,3474.01263,64,2038.8,2876.87744,0,3500096.6
1700735220000,1.4109,1.4115,1.4104,1.4115,5394.6,1700735279999,7613.00672,60,4138.3,5840.72115,0,3498187.4
1700735280000,1.4114,1.4120,1.4111,1.4116,2920.1,1700735339999,4121.96014,28,2666.2,3763.54785,0,3499087.8
1700735340000,1.4117,1.4117,1.4111,1.4111,1436,1700735399999,2027.08771,17,0,0,0,3498947.0
1700735400000,1.4112,1.4115,1.4112,1.4114,692.8,1700735459999,977.79764,21,237.7,335.47324,0,3499384.6
1700735460000,1.4113,1.4119,1.4113,1.4116,635.9,1700735519999,897.57481,17,631.6,891.50493,0,3496921.8
1700735520000,1.4116,1.4120,1.4106,1.4108,5849.9,1700735579999,8256.22657,140,2756.1,3890.52648,0,3495561.8
