Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Open Interest
1700733300000,47.13000,47.15000,47.13000,47.15000,49.4,1700733359999,2328.843000,24,36.6,1725.323000,0,91190.6
1700733360000,47.15000,47.18000,47.15000,47.15000,58.4,1700733419999,2754.438000,30,39.4,1858.406000,0,91183.2
1700733420000,47.16000,47.20000,47.15000,47.20000,36.9,1700733479999,1740.933000,26,27.9,1316.513000,0,91187.9
1700733480000,47.19000,47.19000,47.17000,47.17000,26.1,1700733539999,1231.470000,6,0.3,14.151000,0,91205.6
1700733540000,47.17000,47.20000,47.16000,47.19000,60.5,1700733599999,2854.769000,33,43.7,2062.210000,0,91231.2
1700733600000,47.20000,47.20000,47.18000,47.18000,11.5,1700733659999,542.719000,20,6.8,320.935000,0,91235.5
1700733660000,47.18000,47.18000,47.16000,47.16000,12.3,1700733719999,580.160000,10,0,0,0,91249.9
1700733720000,47.15000,47.16000,47.14000,47.14000,55,1700733779999,2593.039000,28,35.6,1678.479000,0,91262.9
1700733780000,47.14000,47.16000,47.13000,47.15000,64.6,1700733839999,3045.196000,32,25.4,1197.431000,0,91260.2
1700733840000,47.16000,47.16000,47.14000,47.15000,163.2,1700733899999,7696.308000,31,10.1,476.250000,0,91301.2
1700733900000,47.14000,47.14000,47.11000,47.12000,56.2,1700733959999,2648.214000,49,24.8,1168.593000,0,91292.0
1700733960000,47.13000,47.14000,47.13000,47.14000,61.6,1700734019999,2903.340000,26,15.9,749.397000,0,91344.6
1700734020000,47.14000,47.16000,47.14000,47.16000,107.1,1700734079999,5049.696000,30,50.4,2376.291000,0,91350.5
1700734080000,47.17000,47.17000,47.16000,47.16000,95.3,1700734139999,4494.465000,20,11.7,551.889000,0,91387.9
1700734140000,47.16000,47.16000,47.16000,47.16000,0,1700734199999,0,0,0,0,0,91388.3
1700734200000,47.15000,47.15000,47.14000,47.14000,0.6,1700734259999,28.288000,2,0.4,18.860000,0,91398.7
1700734260000,47.14000,47.14000,47.14000,47.14000,12.8,1700734319999,603.392000,10,0,0,0,91398.7
1700734320000,47.13000,47.13000,47.13000,47.13000,0.2,1700734379999,9.426000,1,0,0,0,91399.5
1700734380000,47.13000,47.13000,47.13000,47.13000,2.3,1700734439999,108.399000,4,0,0,0,91399.5
1700734440000,47.12000,47.12000,47.12000,47.12000,0.3,1700734499999,14.136000,1,0,0,0,91397.3
1700734500000,47.13000,47.13000,47.12000,47.12000,8.3,1700734559999,391.137000,9,4.1,193.233000,0,91397.4
1700734560000,47.11000,47.11000,47.08000,47.08000,3.5,1700734619999,164.801000,4,0,0,0,91397.6
1700734620000,47.07000,47.08000,47.07000,47.08000,32.6,1700734679999,1534.803000,22,32.1,1511.268000,0,91376.7
1700734680000,47.08000,47.08000,47.07000,47.07000,7.7,1700734739999,362.461000,7,2.2,103.576000,0,91380.3
1700734740000,47.06000,47.06000,47.03000,47.04000,32.1,1700734799999,1510.189000,22,5.5,258.771000,0,91381.7
1700734800000,47.04000,47.05000,47.02000,47.03000,79,1700734859999,3714.787000,38,4.8,225.788000,0,91315.0
1700734860000,47.03000,47.04000,47.03000,47.03000,17.2,1700734919999,808.937000,16,13,611.405000,0,91302.4
1700734920000,47.04000,47.06000,47.04000,47.04000,31.3,1700734979999,1472.422000,18,28.7,1350.101000,0,91302.4
1700734980000,47.04000,47.04000,47.04000,47.04000,19.1,1700735039999,898.464000,9,19.1,898.464000,0,91292.1
1700735040000,47.04000,47.04000,46.99000,46.99000,124.1,1700735099999,5833.420000,41,65.2,3064.799000,0,91278.6
1700735100000,46.99000,46.99000,46.98000,46.98000,59.9,1700735159999,2814.174000,19,7.6,357.097000,0,91254.6
1700735160000,46.98000,47.01000,46.97000,46.97000,41.6,1700735219999,1954.702000,27,18.2,855.367000,0,91240.4
1700735220000,46.99000,47,46.99000,47,1.6,1700735279999,75.190000,6,1.6,75.190000,0,91243.3
1700735280000,47,47,46.97000,46.97000,4.7,1700735339999,220.859000,13,0.4,18.800000,0,91245.0
1700735340000,46.97000,46.98000,46.97000,46.98000,4.1,1700735399999,192.607000,8,3.7,173.819000,0,91246.5
1700735400000,46.98000,46.99000,46.98000,46.98000,19.7,1700735459999,925.536000,41,11.7,549.692000,0,91250.4
1700735460000,46.99000,47,46.99000,47,4.9,1700735519999,230.273000,8,4.9,230.273000,0,91233.1
1700735520000,47,47.02000,47,47.01000,33,1700735579999,1551.307000,14,32.3,1518.400000,0,91233.1
1700735580000,46.99000,46.99000,46.99000,46.99000,3.2,1700735639999,150.368000,5,0,0,0,91233.8
1700735640000,46.99000,46.99000,46.97000,46.97000,2,1700735699999,93.965000,4,0.9,42.291000,0,91233.9
1700735700000,46.97000,46.97000,46.93000,46.93000,6.9,1700735759999,323.936000,13,0.7,32.879000,0,91204.4
1700735760000,46.92000,46.92000,46.88000,46.90000,80.5,1700735819999,3775.031000,42,45.3,2124.126000,0,91228.9
1700735820000,46.90000,46.92000,46.90000,46.91000,83.9,1700735879999,3935.696000,29,56.3,2640.937000,0,91207.4
1700735880000,46.93000,46.93000,46.91000,46.92000,37.5,1700735939999,1759.437000,21,32.6,1529.570000,0,91198.7
1700735940000,46.92000,46.92000,46.90000,46.92000,52.6,1700735999999,2467.022000,10,51.8,2429.490000,0,91200.0
1700736000000,46.93000,46.94000,46.92000,46.94000,27.5,1700736059999,1290.658000,19,14.2,666.472000,0,91193.0
1700736060000,46.94000,46.95000,46.92000,46.95000,16.8,1700736119999,788.394000,18,2.4,112.674000,0,91191.5
1700736120000,46.94000,46.94000,46.94000,46.94000,4.9,1700736179999,230.006000,8,0.8,37.552000,0,91193.1
1700736180000,46.94000,46.94000,46.90000,46.91000,220.4,1700736239999,10341.662000,50,112.6,5282.664000,0,91145.8
1700736240000,46.92000,46.95000,46.92000,46.95000,28.4,1700736299999,1332.842000,21,28.4,1332.842000,0,91142.7
1700736300000,46.93000,46.93000,46.92000,46.92000,7.8,1700736359999,366.015000,6,3.3,154.869000,0,91155.4
1700736360000,46.91000,46.91000,46.90000,46.91000,18.4,1700736419999,863.030000,6,11.9,558.115000,0,91156.3
1700736420000,46.91000,46.92000,46.91000,46.92000,32.1,1700736479999,1505.904000,10,31.9,1496.522000,0,91147.0
1700736480000,46.91000,46.91000,46.89000,46.89000,51.7,1700736539999,2424.304000,17,0,0,0,91111.6
1700736540000,46.90000,46.93000,46.90000,46.93000,11.9,1700736599999,558.187000,11,11.9,558.187000,0,91109.7
1700736600000,46.92000,46.92000,46.91000,46.91000,12.5,1700736659999,586.436000,13,1.6,75.072000,0,91119.9
1700736660000,46.90000,46.90000,46.86000,46.86000,46.9,1700736719999,2198.491000,21,0,0,0,91065.7
1700736720000,46.87000,46.88000,46.82000,46.85000,165.1,1700736779999,7735.377000,86,108.2,5069.913000,0,91026.4
1700736780000,46.85000,46.85000,46.85000,46.85000,5.1,1700736839999,238.935000,6,1.6,74.960000,0,91032.6
1700736840000,46.85000,46.88000,46.85000,46.88000,18.7,1700736899999,876.234000,6,11.9,557.654000,0,91039.3
1700736900000,46.89000,46.91000,46.89000,46.90000,84.7,1700736959999,3972.170000,20,69.2,3245.166000,0,91037.3
1700736960000,46.88000,46.88000,46.86000,46.86000,9.1,1700737019999,426.588000,7,0,0,0,91028.9
1700737020000,46.85000,46.86000,46.83000,46.86000,39.8,1700737079999,1864.501000,10,39.1,1831.710000,0,91042.7
1700737080000,46.87000,46.89000,46.86000,46.88000,136.3,1700737139999,6389.104000,39,122.5,5742.413000,0,90969.7
1700737140000,46.87000,46.87000,46.86000,46.87000,17.6,1700737199999,824.872000,18,7.1,332.737000,0,90974.6
1700737200000,46.88000,46.88000,46.85000,46.86000,67.4,1700737259999,3158.470000,51,58.2,2727.360000,0,90967.5
1700737260000,46.86000,46.86000,46.86000,46.86000,4.2,1700737319999,196.812000,5,4.2,196.812000,0,90967.5
1700737320000,46.86000,46.86000,46.86000,46.86000,1,1700737379999,46.860000,3,1,46.860000,0,90843.1
1700737380000,46.85000,46.86000,46.81000,46.83000,334.1,1700737439999,15649.435000,144,213.9,10019.764000,0,90858.1
1700737440000,46.82000,46.83000,46.81000,46.83000,71.4,1700737499999,3343.112000,38,53.7,2514.536000,0,90865.1
1700737500000,46.84000,46.87000,46.84000,46.86000,148.3,1700737559999,6948.785000,71,31,1452.523000,0,90835.2
1700737560000,46.84000,46.84000,46.79000,46.84000,195.7,1700737619999,9160.968000,83,45.4,2125.552000,0,90837.2
1700737620000,46.85000,46.85000,46.83000,46.83000,22,1700737679999,1030.526000,17,11.3,529.304000,0,90708.8
1700737680000,46.82000,46.84000,46.77000,46.84000,226.4,1700737739999,10595.120000,53,16,749.334000,0,90723.0
1700737740000,46.84000,46.84000,46.82000,46.82000,40.6,1700737799999,1901.135000,13,3.2,149.872000,0,90715.7
1700737800000,46.82000,46.83000,46.81000,46.81000,68.9,1700737859999,3225.672000,43,14.7,688.357000,0,90748.1
1700737860000,46.80000,46.81000,46.79000,46.81000,59.4,1700737919999,2779.884000,19,58,2714.364000,0,90448.1
1700737920000,46.79000,46.79000,46.72000,46.76000,489.9,1700737979999,22902.146000,100,8.9,416.269000,0,90443.4
1700737980000,46.77000,46.77000,46.68000,46.69000,196.4,1700738039999,9174.598000,92,149.9,7002.102000,0,90484.6
1700738040000,46.68000,46.70000,46.57000,46.65000,704.7,1700738099999,32864.511000,193,288.3,13446.310000,0,90445.5
1700738100000,46.64000,46.73000,46.63000,46.70000,222.8,1700738159999,10402.316000,114,159.8,7460.797000,0,90436.6
1700738160000,46.70000,46.71000,46.65000,46.65000,32.7,1700738219999,1526.023000,23,1.7,79.400000,0,90432.1
1700738220000,46.66000,46.71000,46.65000,46.65000,140.4,1700738279999,6553.315000,42,92.7,4327.359000,0,90447.7
1700738280000,46.65000,46.69000,46.64000,46.68000,100.5,1700738339999,4689.708000,51,30,1399.791000,0,90496.1
1700738340000,46.68000,46.68000,46.64000,46.65000,177.1,1700738399999,8262.935000,50,4.1,191.255000,0,90493.5
1700738400000,46.66000,46.73000,46.66000,46.70000,186.4,1700738459999,8703.993000,94,60.4,2819.836000,0,90569.8
1700738460000,46.70000,46.72000,46.66000,46.68000,60.6,1700738519999,2829.314000,24,15.2,709.541000,0,90723.6
1700738520000,46.67000,46.67000,46.45000,46.53000,1337.4,1700738579999,62240.196000,372,557.7,25941.771000,0,90659.8
1700738580000,46.56000,46.64000,46.50000,46.52000,300.6,1700738639999,13998.107000,135,142,6613.395000,0,90649.0
1700738640000,46.51000,46.51000,46.38000,46.46000,384.6,1700738699999,17857.407000,140,170.1,7898.836000,0,90951.8
1700738700000,46.45000,46.53000,46.44000,46.53000,660.9,1700738759999,30711.597000,146,255,11851.552000,0,91006.0
1700738760000,46.54000,46.60000,46.54000,46.55000,357.2,1700738819999,16636.046000,87,276.4,12874.037000,0,91055.5
1700738820000,46.57000,46.61000,46.56000,46.61000,173.5,1700738879999,8083.319000,77,158.2,7370.698000,0,91062.1
1700738880000,46.61000,46.63000,46.61000,46.63000,17.7,1700738939999,825.275000,23,7.7,359.005000,0,90983.9
1700738940000,46.64000,46.72000,46.64000,46.70000,533.9,1700738999999,24918.994000,114,197.4,9214.423000,0,90945.8
1700739000000,46.68000,46.73000,46.67000,46.73000,69.6,1700739059999,3250.449000,53,50.4,2354.108000,0,90946.4
1700739060000,46.73000,46.73000,46.71000,46.72000,245.4,1700739119999,11465.278000,41,48.7,2275.453000,0,90959.6
1700739120000,46.72000,46.76000,46.71000,46.76000,294.4,1700739179999,13760.018000,70,63.3,2959.019000,0,90846.6
1700739180000,46.76000,46.77000,46.74000,46.75000,45.7,1700739239999,2136.586000,25,17.4,813.565000,0,90842.9
1700739240000,46.77000,46.77000,46.67000,46.71000,286.2,1700739299999,13369.324000,86,33.4,1559.871000,0,90886.6
1700739300000,46.72000,46.73000,46.68000,46.70000,154.4,1700739359999,7210.863000,116,67.9,3171.512000,0,90920.2
1700739360000,46.70000,46.72000,46.68000,46.68000,82,1700739419999,3829.491000,41,17.6,822.020000,0,90979.2
1700739420000,46.69000,46.69000,46.66000,46.67000,129.3,1700739479999,6035.394000,34,46.2,2156.894000,0,91074.4
1700739480000,46.67000,46.68000,46.66000,46.68000,76.3,1700739539999,3560.916000,22,35.8,1670.944000,0,91033.3
1700739540000,46.68000,46.69000,46.67000,46.68000,125.1,1700739599999,5839.107000,29,40.3,1881.210000,0,91074.4
1700739600000,46.67000,46.67000,46.63000,46.65000,137,1700739659999,6392.759000,60,4.7,219.238000,0,91072.4
1700739660000,46.66000,46.68000,46.66000,46.68000,10.9,1700739719999,508.717000,11,9.3,434.029000,0,91064.6
1700739720000,46.68000,46.69000,46.64000,46.65000,33.9,1700739779999,1581.929000,46,3.5,163.371000,0,91058.4
1700739780000,46.65000,46.66000,46.65000,46.66000,21.2,1700739839999,988.989000,6,21.2,988.989000,0,90868.8
1700739840000,46.66000,46.66000,46.58000,46.62000,476,1700739899999,22181.812000,86,40.6,1892.668000,0,90868.3
1700739900000,46.63000,46.63000,46.61000,46.61000,20.7,1700739959999,965.095000,44,5.1,237.813000,0,90870.0
1700739960000,46.59000,46.63000,46.59000,46.63000,20.8,1700740019999,969.391000,17,10.9,508.150000,0,90881.4
1700740020000,46.62000,46.62000,46.56000,46.56000,40.9,1700740079999,1905.400000,22,0.7,32.613000,0,90871.1
1700740080000,46.55000,46.55000,46.49000,46.53000,115.5,1700740139999,5372.774000,41,73.7,3427.903000,0,90874.6
1700740140000,46.54000,46.56000,46.50000,46.53000,70,1700740199999,3257.228000,37,23.4,1088.983000,0,91034.4
1700740200000,46.51000,46.54000,46.46000,46.54000,275.9,1700740259999,12823.705000,71,42.9,1994.509000,0,91045.1
1700740260000,46.55000,46.55000,46.49000,46.49000,49.9,1700740319999,2322.021000,24,4.5,209.404000,0,91086.5
1700740320000,46.51000,46.53000,46.48000,46.50000,221,1700740379999,10277.713000,51,88.5,4116.029000,0,91109.7
1700740380000,46.50000,46.51000,46.47000,46.51000,91.1,1700740439999,4234.859000,32,67.9,3156.181000,0,91113.1
1700740440000,46.52000,46.52000,46.48000,46.48000,40.3,1700740499999,1873.776000,27,0.8,37.201000,0,91138.1
1700740500000,46.49000,46.51000,46.49000,46.49000,54.3,1700740559999,2525.351000,58,5.8,269.720000,0,91499.8
1700740560000,46.50000,46.57000,46.50000,46.55000,670.3,1700740619999,31191.293000,139,608.2,28300.128000,0,91502.5
1700740620000,46.55000,46.57000,46.55000,46.57000,19.5,1700740679999,908.028000,28,17.1,796.260000,0,91504.5
1700740680000,46.58000,46.58000,46.58000,46.58000,3.6,1700740739999,167.688000,9,3.4,158.372000,0,91504.5
1700740740000,46.58000,46.59000,46.58000,46.59000,1,1700740799999,46.586000,4,0.9,41.927000,0,91472.2
1700740800000,46.60000,46.61000,46.58000,46.58000,90.8,1700740859999,4231.446000,105,65.8,3066.585000,0,91474.4
1700740860000,46.57000,46.58000,46.54000,46.58000,40,1700740919999,1862.090000,22,32.6,1517.661000,0,91287.7
1700740920000,46.58000,46.58000,46.50000,46.55000,324.8,1700740979999,15114.946000,85,22.1,1028.678000,0,91294.0
1700740980000,46.56000,46.59000,46.51000,46.56000,164,1700741039999,7631.593000,63,27,1257.051000,0,91344.3
1700741040000,46.56000,46.56000,46.52000,46.53000,40.9,1700741099999,1903.349000,28,6.5,302.414000,0,91337.5
1700741100000,46.53000,46.54000,46.51000,46.53000,60.3,1700741159999,2805.817000,100,23.8,1107.385000,0,91331.8
1700741160000,46.53000,46.58000,46.53000,46.58000,14.7,1700741219999,684.283000,13,9.6,446.839000,0,91315.7
1700741220000,46.59000,46.64000,46.59000,46.64000,28.3,1700741279999,1319.063000,30,25.2,1174.511000,0,91321.5
1700741280000,46.64000,46.64000,46.63000,46.63000,22.8,1700741339999,1063.348000,21,3.7,172.531000,0,91329.6
1700741340000,46.63000,46.63000,46.60000,46.60000,77.6,1700741399999,3617.561000,22,4.7,219.098000,0,91322.7
1700741400000,46.60000,46.64000,46.58000,46.63000,100.1,1700741459999,4665.469000,73,92.3,4301.966000,0,91319.5
1700741460000,46.62000,46.67000,46.61000,46.66000,20.3,1700741519999,946.981000,19,16.1,751.212000,0,91319.0
1700741520000,46.66000,46.66000,46.63000,46.65000,173.4,1700741579999,8088.981000,70,87.6,4087.111000,0,91357.0
1700741580000,46.66000,46.69000,46.66000,46.69000,18.3,1700741639999,854.166000,15,17.5,816.822000,0,91362.6
1700741640000,46.70000,46.72000,46.69000,46.71000,58.9,1700741699999,2750.729000,29,27.2,1270.587000,0,91430.0
1700741700000,46.72000,46.72000,46.68000,46.70000,178.4,1700741759999,8332.299000,41,50.7,2368.013000,0,91410.7
1700741760000,46.70000,46.70000,46.68000,46.68000,14.3,1700741819999,667.594000,12,4.3,200.770000,0,91411.4
1700741820000,46.69000,46.71000,46.68000,46.68000,32.8,1700741879999,1531.806000,25,8.3,387.666000,0,91439.9
1700741880000,46.67000,46.69000,46.64000,46.65000,115.1,1700741939999,5371.172000,44,13.3,620.472000,0,91486.5
1700741940000,46.68000,46.68000,46.68000,46.68000,36.4,1700741999999,1699.152000,7,36.4,1699.152000,0,91524.5
1700742000000,46.69000,46.76000,46.69000,46.76000,131.3,1700742059999,6135.113000,51,124.3,5807.952000,0,91482.8
1700742060000,46.76000,46.79000,46.76000,46.77000,138.2,1700742119999,6463.871000,35,81.1,3792.577000,0,91496.7
1700742120000,46.77000,46.77000,46.73000,46.73000,97.4,1700742179999,4553.338000,24,0,0,0,91538.7
1700742180000,46.73000,46.76000,46.69000,46.69000,59,1700742239999,2756.189000,34,14.6,681.881000,0,91547.9
1700742240000,46.69000,46.69000,46.69000,46.69000,6,1700742299999,280.140000,4,0.6,28.014000,0,91559.5
1700742300000,46.69000,46.70000,46.68000,46.69000,36.9,1700742359999,1722.755000,20,5.8,270.811000,0,91570.5
1700742360000,46.68000,46.69000,46.67000,46.68000,30.7,1700742419999,1433.090000,14,25.7,1199.692000,0,91569.1
1700742420000,46.69000,46.74000,46.69000,46.73000,18.7,1700742479999,873.767000,27,12.8,598.054000,0,91552.9
1700742480000,46.71000,46.71000,46.68000,46.70000,88.2,1700742539999,4118.978000,20,62.7,2928.014000,0,91577.3
1700742540000,46.70000,46.70000,46.67000,46.67000,37.7,1700742599999,1760.271000,17,1.6,74.699000,0,91562.8
1700742600000,46.67000,46.67000,46.61000,46.63000,150.7,1700742659999,7029.050000,41,36.1,1683.266000,0,91588.6
1700742660000,46.64000,46.64000,46.63000,46.64000,49.2,1700742719999,2294.663000,14,46.2,2154.768000,0,91588.8
1700742720000,46.63000,46.63000,46.57000,46.62000,264.6,1700742779999,12332.298000,80,157.9,7361.369000,0,91571.5
1700742780000,46.63000,46.63000,46.60000,46.60000,28.9,1700742839999,1347.307000,17,2.2,102.542000,0,91574.7
1700742840000,46.60000,46.60000,46.60000,46.60000,1.3,1700742899999,60.580000,4,0.6,27.960000,0,91574.2
1700742900000,46.59000,46.59000,46.57000,46.58000,128.1,1700742959999,5967.673000,28,83,3866.804000,0,91498.8
1700742960000,46.58000,46.58000,46.51000,46.51000,133,1700743019999,6189.984000,42,44.6,2076.121000,0,91540.1
1700743020000,46.52000,46.56000,46.52000,46.56000,81.1,1700743079999,3773.488000,25,32.1,1493.518000,0,91530.9
1700743080000,46.57000,46.58000,46.57000,46.58000,14,1700743139999,652.044000,7,13.4,624.096000,0,91530.4
1700743140000,46.58000,46.59000,46.54000,46.54000,16.1,1700743199999,749.891000,15,7.1,330.783000,0,91531.6
1700743200000,46.54000,46.58000,46.54000,46.56000,78.4,1700743259999,3649.503000,21,72.5,3374.700000,0,91531.2
1700743260000,46.55000,46.55000,46.48000,46.50000,42,1700743319999,1954.105000,15,0,0,0,91527.9
1700743320000,46.51000,46.55000,46.49000,46.53000,86.2,1700743379999,4010.338000,55,15.9,739.722000,0,91493.4
1700743380000,46.52000,46.52000,46.46000,46.50000,192.1,1700743439999,8930.302000,53,80.5,3743.211000,0,91449.6
1700743440000,46.51000,46.51000,46.49000,46.49000,29.9,1700743499999,1390.281000,23,11.8,548.631000,0,91500.0
1700743500000,46.49000,46.50000,46.38000,46.41000,517.4,1700743559999,24025.529000,124,143.8,6674.292000,0,91480.8
1700743560000,46.40000,46.42000,46.40000,46.40000,185.8,1700743619999,8623.023000,39,166,7704.074000,0,91477.3
1700743620000,46.40000,46.45000,46.40000,46.45000,274.7,1700743679999,12755.748000,52,225.6,10475.170000,0,91561.2
1700743680000,46.46000,46.48000,46.45000,46.48000,76.6,1700743739999,3559.458000,51,55.6,2583.595000,0,91560.1
1700743740000,46.49000,46.54000,46.46000,46.51000,329.6,1700743799999,15331.706000,82,278.3,12946.778000,0,91652.4
1700743800000,46.51000,46.51000,46.48000,46.48000,3,1700743859999,139.490000,4,0.7,32.543000,0,91651.2
1700743860000,46.46000,46.46000,46.45000,46.45000,16.7,1700743919999,775.768000,22,10,464.500000,0,91595.0
1700743920000,46.45000,46.48000,46.45000,46.47000,164.2,1700743979999,7631.279000,53,154.4,7175.894000,0,91588.6
