Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Open Interest
1700733300000,0.01434,0.01434,0.01433,0.01434,34624,1700733359999,496.41331,18,18398,263.82732,0,207406871
1700733360000,0.01435,0.01436,0.01435,0.01436,341973,1700733419999,4907.60528,38,329639,4730.61238,0,207539971
1700733420000,0.01435,0.01435,0.01434,0.01435,192855,1700733479999,2767.26925,28,36156,518.83860,0,207620355
1700733480000,0.01435,0.01435,0.01435,0.01435,116025,1700733539999,1664.95875,13,13095,187.91325,0,207483261
1700733540000,0.01435,0.01436,0.01435,0.01436,187423,1700733599999,2689.72150,11,187029,2684.06760,0,207486748
1700733600000,0.01436,0.01436,0.01435,0.01436,28520,1700733659999,409.47752,33,21552,309.48672,0,207099990
1700733660000,0.01435,0.01435,0.01433,0.01433,1001514,1700733719999,14364.79971,49,5996,86.01190,0,207029245
1700733720000,0.01433,0.01434,0.01433,0.01434,4383,1700733779999,62.81305,2,466,6.68244,0,207221123
1700733780000,0.01434,0.01434,0.01433,0.01433,278532,1700733839999,3991.60058,36,22166,317.86044,0,207221089
1700733840000,0.01433,0.01434,0.01433,0.01433,14645,1700733899999,209.88875,12,2590,37.14060,0,207220621
1700733900000,0.01433,0.01433,0.01432,0.01432,595131,1700733959999,8522.62721,51,55587,796.29461,0,206950174
1700733960000,0.01432,0.01432,0.01431,0.01431,41461,1700734019999,593.49207,7,3549,50.82168,0,206809925
1700734020000,0.01432,0.01434,0.01432,0.01433,381057,1700734079999,5460.72591,52,282458,4047.86020,0,206799596
1700734080000,0.01434,0.01434,0.01432,0.01433,147888,1700734139999,2119.37092,27,42365,607.49595,0,206813459
1700734140000,0.01432,0.01432,0.01432,0.01432,108020,1700734199999,1546.84640,11,0,0,0,206883466
1700734200000,0.01431,0.01431,0.01431,0.01431,393090,1700734259999,5625.11790,21,0,0,0,206967246
1700734260000,0.01430,0.01430,0.01430,0.01430,90981,1700734319999,1301.02830,19,0,0,0,207036628
1700734320000,0.01430,0.01431,0.01430,0.01431,88000,1700734379999,1258.49204,15,88000,1258.49204,0,207008480
1700734380000,0.01431,0.01431,0.01430,0.01431,16010,1700734439999,229.02206,11,7906,113.13486,0,207008480
1700734440000,0.01431,0.01431,0.01430,0.01431,19523,1700734499999,279.23418,4,5528,79.10568,0,206989258
1700734500000,0.01431,0.01431,0.01429,0.01429,109157,1700734559999,1560.79493,29,68085,973.65438,0,207063091
1700734560000,0.01429,0.01429,0.01427,0.01427,238004,1700734619999,3399.27315,40,54946,784.64708,0,207071370
1700734620000,0.01428,0.01429,0.01427,0.01428,87766,1700734679999,1253.29133,22,15846,226.31437,0,207125196
1700734680000,0.01428,0.01429,0.01428,0.01428,93897,1700734739999,1341.71577,14,86661,1238.38569,0,207123819
1700734740000,0.01429,0.01429,0.01429,0.01429,6438,1700734799999,91.99902,4,6438,91.99902,0,207196194
1700734800000,0.01429,0.01429,0.01427,0.01427,141926,1700734859999,2027.75095,27,114647,1638.30563,0,207215262
1700734860000,0.01428,0.01429,0.01428,0.01429,37072,1700734919999,529.41810,13,36162,516.42330,0,207218780
1700734920000,0.01429,0.01429,0.01429,0.01429,5528,1700734979999,78.99512,6,5528,78.99512,0,207221160
1700734980000,0.01429,0.01429,0.01429,0.01429,6079,1700735039999,86.86891,6,6079,86.86891,0,207231862
