Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Open Interest
1700733300000,0.07538,0.07544,0.07533,0.07539,945824,1700733359999,71311.96833,373,314765,23734.29981,0,124880414
1700733360000,0.07544,0.07549,0.07535,0.07536,443886,1700733419999,33472.75045,246,109052,8228.27038,0,124304524
1700733420000,0.07535,0.07535,0.07519,0.07529,1081686,1700733479999,81414.19005,354,198354,14931.53005,0,124192124
1700733480000,0.07527,0.07529,0.07525,0.07527,266939,1700733539999,20090.45034,85,60053,4520.31223,0,124208598
1700733540000,0.07527,0.07527,0.07506,0.07508,971009,1700733599999,72984.50381,351,133053,10002.86554,0,123735836
1700733600000,0.07508,0.07508,0.07497,0.07499,976458,1700733659999,73259.95003,362,413819,31051.98703,0,123681086
1700733660000,0.07500,0.07503,0.07484,0.07488,924783,1700733719999,69291.60177,321,264665,19842.53532,0,123465203
1700733720000,0.07488,0.07491,0.07487,0.07491,185911,1700733779999,13924.96760,100,103675,7765.83709,0,123380227
1700733780000,0.07491,0.07502,0.07486,0.07499,709942,1700733839999,53208.64052,315,437390,32791.52761,0,123584516
1700733840000,0.07499,0.07500,0.07490,0.07491,127251,1700733899999,9536.22110,79,27394,2053.16597,0,123569958
1700733900000,0.07492,0.07497,0.07486,0.07490,247942,1700733959999,18573.46868,198,100785,7551.46910,0,123520561
1700733960000,0.07490,0.07495,0.07490,0.07495,91931,1700734019999,6888.96993,78,67939,5090.82787,0,123570789
1700734020000,0.07496,0.07504,0.07496,0.07504,279105,1700734079999,20934.06989,135,229252,17195.60936,0,123554994
1700734080000,0.07504,0.07509,0.07490,0.07492,412237,1700734139999,30919.51835,192,167100,12542.89104,0,123402273
1700734140000,0.07492,0.07492,0.07485,0.07491,246476,1700734199999,18456.08318,116,44021,3297.15976,0,123388180
1700734200000,0.07490,0.07504,0.07490,0.07494,314015,1700734259999,23547.20039,149,214203,16061.53627,0,123357508
1700734260000,0.07495,0.07500,0.07495,0.07497,74482,1700734319999,5584.47923,56,63200,4738.74155,0,123525337
1700734320000,0.07496,0.07500,0.07495,0.07499,328146,1700734379999,24607.76587,175,244992,18373.03034,0,123543569
1700734380000,0.07500,0.07500,0.07495,0.07500,306837,1700734439999,23004.61594,130,93970,7046.32865,0,123725065
1700734440000,0.07500,0.07507,0.07499,0.07505,230376,1700734499999,17281.52108,74,228374,17131.28873,0,123676337
1700734500000,0.07505,0.07506,0.07491,0.07493,266876,1700734559999,20012.40958,160,102227,7669.90074,0,123458546
1700734560000,0.07493,0.07493,0.07484,0.07489,285720,1700734619999,21393.73878,168,55381,4147.89693,0,123454811
1700734620000,0.07489,0.07495,0.07486,0.07493,81375,1700734679999,6094.02048,87,24504,1835.35565,0,123466859
1700734680000,0.07493,0.07505,0.07493,0.07502,189400,1700734739999,14207.01351,145,123917,9294.93688,0,123466167
1700734740000,0.07502,0.07503,0.07490,0.07494,153819,1700734799999,11527.81727,134,64996,4870.41529,0,123492295
1700734800000,0.07493,0.07494,0.07487,0.07487,97233,1700734859999,7283.17387,59,16719,1251.99048,0,123469419
1700734860000,0.07488,0.07501,0.07488,0.07499,124836,1700734919999,9357.23147,101,115143,8631.27250,0,123671899
1700734920000,0.07500,0.07508,0.07497,0.07497,415365,1700734979999,31175.18487,176,300608,22564.00167,0,123756776
1700734980000,0.07496,0.07510,0.07496,0.07500,349871,1700735039999,26253.65766,555,230413,17288.44275,0,123833810
1700735040000,0.07501,0.07520,0.07501,0.07505,776154,1700735099999,58281.21522,271,588593,44200.48348,0,123462170
1700735100000,0.07505,0.07505,0.07493,0.07500,749693,1700735159999,56203.69749,215,130395,9775.34160,0,123688034
1700735160000,0.07499,0.07511,0.07499,0.07505,474315,1700735219999,35609.30127,174,419690,31507.91208,0,123691344
1700735220000,0.07505,0.07517,0.07505,0.07516,297793,1700735279999,22375.53466,122,229219,17223.70751,0,123799284
1700735280000,0.07516,0.07517,0.07507,0.07514,309129,1700735339999,23223.36086,121,129220,9708.34717,0,123825861
1700735340000,0.07515,0.07519,0.07514,0.07515,159818,1700735399999,12012.98608,106,54630,4106.69413,0,123662101
1700735400000,0.07515,0.07515,0.07507,0.07508,286177,1700735459999,21493.04232,167,83531,6273.65785,0,123610549
1700735460000,0.07508,0.07517,0.07507,0.07516,54113,1700735519999,4065.14420,59,18500,1389.62794,0,123598808
1700735520000,0.07517,0.07529,0.07517,0.07525,270300,1700735579999,20336.85060,159,196159,14758.03214,0,123613087
1700735580000,0.07525,0.07526,0.07518,0.07518,247668,1700735639999,18630.59590,103,52822,3973.53161,0,123685280
1700735640000,0.07520,0.07521,0.07513,0.07513,96209,1700735699999,7233.14925,66,32973,2479.68981,0,123658919
1700735700000,0.07515,0.07516,0.07505,0.07505,134154,1700735759999,10074.67203,104,24199,1817.77382,0,123582819
1700735760000,0.07505,0.07506,0.07490,0.07498,573511,1700735819999,42982.37159,243,161809,12129.03051,0,123514006
1700735820000,0.07499,0.07503,0.07498,0.07499,234627,1700735879999,17598.20223,119,87666,6576.69447,0,123441196
1700735880000,0.07499,0.07508,0.07497,0.07506,542737,1700735939999,40730.14590,142,511092,38356.26043,0,123616006
1700735940000,0.07503,0.07503,0.07490,0.07494,219957,1700735999999,16480.21827,106,19786,1482.40718,0,123619405
1700736000000,0.07493,0.07497,0.07491,0.07496,267578,1700736059999,20052.38946,95,171330,12840.07079,0,123670372
1700736060000,0.07496,0.07496,0.07491,0.07492,90378,1700736119999,6772.56370,36,13509,1012.58848,0,123406708
1700736120000,0.07493,0.07493,0.07485,0.07487,431372,1700736179999,32302.18697,106,13247,992.16615,0,123340292
1700736180000,0.07486,0.07486,0.07476,0.07484,206517,1700736239999,15451.11002,108,65277,4884.03449,0,123370816
1700736240000,0.07485,0.07490,0.07485,0.07489,85902,1700736299999,6432.23724,48,58622,4389.32953,0,123381361
1700736300000,0.07489,0.07490,0.07483,0.07488,109402,1700736359999,8190.48490,67,40917,3063.36193,0,123386701
1700736360000,0.07487,0.07487,0.07482,0.07484,112398,1700736419999,8411.98589,46,75288,5634.51033,0,123383076
1700736420000,0.07487,0.07492,0.07487,0.07491,58619,1700736479999,4390.23547,54,17975,1346.34464,0,123369314
1700736480000,0.07490,0.07490,0.07485,0.07486,15487,1700736539999,1159.67671,31,5417,405.53085,0,123401613
1700736540000,0.07485,0.07489,0.07485,0.07489,60153,1700736599999,4504.06993,42,52255,3912.63347,0,123408898
1700736600000,0.07489,0.07489,0.07479,0.07479,128330,1700736659999,9601.88402,69,5586,418.21602,0,123404331
1700736660000,0.07478,0.07482,0.07471,0.07471,203598,1700736719999,15219.60999,99,38929,2910.93939,0,123409827
1700736720000,0.07472,0.07473,0.07469,0.07473,108151,1700736779999,8079.45341,61,83573,6243.32537,0,123375936
1700736780000,0.07474,0.07477,0.07468,0.07474,257207,1700736839999,19222.40525,114,135071,10097.04895,0,123308922
1700736840000,0.07474,0.07478,0.07474,0.07477,60941,1700736899999,4556.65331,49,13988,1045.81744,0,123308259
1700736900000,0.07478,0.07479,0.07471,0.07471,161752,1700736959999,12091.87860,78,61113,4569.34623,0,123251536
1700736960000,0.07471,0.07471,0.07465,0.07465,99520,1700737019999,7431.07260,64,14034,1047.73379,0,123232066
1700737020000,0.07465,0.07465,0.07457,0.07461,247959,1700737079999,18499.98659,164,64572,4817.98932,0,123218406
1700737080000,0.07462,0.07463,0.07461,0.07463,292839,1700737139999,21852.56342,62,74661,5571.82794,0,123421160
1700737140000,0.07461,0.07464,0.07460,0.07463,103512,1700737199999,7724.41987,58,63673,4751.70970,0,123449306
1700737200000,0.07462,0.07465,0.07459,0.07463,157747,1700737259999,11771.69378,130,93490,6976.91496,0,123443670
1700737260000,0.07462,0.07462,0.07456,0.07457,114398,1700737319999,8534.51575,89,25292,1887.01140,0,123416255
1700737320000,0.07457,0.07459,0.07456,0.07458,56853,1700737379999,4239.98731,42,40958,3054.74652,0,123387718
1700737380000,0.07459,0.07459,0.07445,0.07446,499542,1700737439999,37209.59227,273,149956,11170.16527,0,123399762
1700737440000,0.07446,0.07453,0.07445,0.07453,138072,1700737499999,10283.84282,86,93077,6933.04232,0,123378286
1700737500000,0.07452,0.07454,0.07445,0.07446,196095,1700737559999,14604.84046,143,71298,5311.12926,0,123398670
1700737560000,0.07446,0.07451,0.07440,0.07451,258892,1700737619999,19269.04308,157,115274,8580.81615,0,123422340
1700737620000,0.07452,0.07455,0.07443,0.07446,225765,1700737679999,16811.70106,127,81600,6079.17949,0,123376178
1700737680000,0.07446,0.07449,0.07442,0.07442,57334,1700737739999,4268.83388,59,24650,1835.70879,0,123462398
1700737740000,0.07443,0.07444,0.07435,0.07437,694485,1700737799999,51659.66813,220,184012,13687.54762,0,123452152
1700737800000,0.07437,0.07443,0.07435,0.07438,364592,1700737859999,27119.23919,122,44918,3341.16468,0,123574587
1700737860000,0.07437,0.07437,0.07423,0.07424,712982,1700737919999,52960.17290,230,75847,5633.27918,0,123399466
1700737920000,0.07424,0.07426,0.07420,0.07426,420104,1700737979999,31182.07834,150,267011,19820.21097,0,123304253
1700737980000,0.07422,0.07432,0.07412,0.07423,1432433,1700738039999,106308.05606,499,981206,72830.52622,0,123530195
1700738040000,0.07420,0.07420,0.07408,0.07414,735469,1700738099999,54522.34080,256,355725,26373.59508,0,123472610
1700738100000,0.07413,0.07426,0.07413,0.07417,426915,1700738159999,31677.09708,183,247648,18375.10945,0,123462885
1700738160000,0.07416,0.07422,0.07408,0.07409,336510,1700738219999,24954.47014,152,82793,6139.56257,0,123410491
1700738220000,0.07410,0.07413,0.07379,0.07400,3034862,1700738279999,224400.15572,885,1089691,80552.82343,0,122609896
1700738280000,0.07399,0.07401,0.07392,0.07396,726202,1700738339999,53703.24641,333,340962,25215.13194,0,122487168
1700738340000,0.07398,0.07398,0.07392,0.07392,296097,1700738399999,21893.86664,168,46505,3439.12216,0,122461425
1700738400000,0.07397,0.07413,0.07397,0.07413,255933,1700738459999,18956.07039,155,110569,8190.99920,0,122395992
1700738460000,0.07413,0.07415,0.07407,0.07409,319244,1700738519999,23658.15296,164,125121,9275.29170,0,122143603
1700738520000,0.07411,0.07414,0.07383,0.07404,1939670,1700738579999,143454.59996,846,977977,72322.89803,0,122129311
1700738580000,0.07404,0.07414,0.07397,0.07401,317779,1700738639999,23537.13430,172,148841,11028.28028,0,122064513
1700738640000,0.07400,0.07400,0.07385,0.07392,377286,1700738699999,27881.23906,220,189052,13970.09228,0,122228983
1700738700000,0.07391,0.07400,0.07385,0.07398,671805,1700738759999,49678.97721,383,397150,29370.25932,0,122019066
1700738760000,0.07400,0.07408,0.07393,0.07400,622416,1700738819999,46047.84056,239,171274,12677.19372,0,122118205
1700738820000,0.07402,0.07407,0.07392,0.07407,406458,1700738879999,30071.75289,183,265056,19609.97113,0,122160367
1700738880000,0.07408,0.07410,0.07406,0.07408,175640,1700738939999,13010.90173,96,110926,8217.01576,0,122179362
1700738940000,0.07408,0.07413,0.07406,0.07408,379883,1700738999999,28146.68546,191,202017,14968.85403,0,122321024
1700739000000,0.07408,0.07419,0.07406,0.07419,322258,1700739059999,23886.86341,186,254565,18869.87719,0,122307495
1700739060000,0.07419,0.07424,0.07412,0.07422,434003,1700739119999,32189.01230,218,149650,11102.10631,0,122316085
1700739120000,0.07422,0.07435,0.07421,0.07435,156442,1700739179999,11620.76013,129,105189,7814.19043,0,122237931
1700739180000,0.07435,0.07435,0.07428,0.07435,158498,1700739239999,11778.17258,101,35738,2656.26152,0,122233388
