Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Open Interest
1700733300000,0.1431,0.1433,0.1430,0.1433,39602,1700733359999,5668.7502,40,39463,5648.8732,0,38811597
1700733360000,0.1433,0.1434,0.1433,0.1434,39630,1700733419999,5680.2152,54,28184,4039.7696,0,38824308
1700733420000,0.1435,0.1436,0.1434,0.1436,55689,1700733479999,7992.1061,46,30047,4312.4875,0,38824626
1700733480000,0.1435,0.1436,0.1434,0.1434,12523,1700733539999,1796.9768,24,2741,393.3381,0,38819947
1700733540000,0.1434,0.1436,0.1434,0.1435,6907,1700733599999,991.2548,14,6607,948.2056,0,38818035
1700733600000,0.1435,0.1436,0.1435,0.1436,10303,1700733659999,1478.7171,43,2366,339.7576,0,38827102
1700733660000,0.1435,0.1436,0.1434,0.1434,29318,1700733719999,4206.8910,52,11665,1674.7639,0,38831097
1700733720000,0.1433,0.1434,0.1433,0.1433,146,1700733779999,20.9277,5,59,8.4606,0,38831181
1700733780000,0.1434,0.1434,0.1433,0.1434,27574,1700733839999,3953.1046,41,20007,2868.2857,0,38831360
1700733840000,0.1433,0.1434,0.1433,0.1434,330,1700733899999,47.3219,3,329,47.1786,0,38830687
1700733900000,0.1433,0.1433,0.1432,0.1432,12420,1700733959999,1778.9716,35,1345,192.7385,0,38827672
1700733960000,0.1432,0.1432,0.1431,0.1431,31376,1700734019999,4491.4894,48,11687,1673.5784,0,38817915
1700734020000,0.1432,0.1432,0.1432,0.1432,19273,1700734079999,2759.8936,21,13296,1903.9872,0,38805656
1700734080000,0.1433,0.1435,0.1433,0.1433,55167,1700734139999,7908.9120,67,45277,6491.5539,0,38811096
1700734140000,0.1432,0.1432,0.1432,0.1432,2662,1700734199999,381.1984,7,0,0,0,38811194
1700734200000,0.1432,0.1432,0.1431,0.1431,5792,1700734259999,828.9891,18,1539,220.3848,0,38801127
1700734260000,0.1431,0.1431,0.1429,0.1430,22597,1700734319999,3231.1286,28,3927,561.5610,0,38801127
1700734320000,0.1430,0.1431,0.1430,0.1431,11693,1700734379999,1673.2631,15,11641,1665.8271,0,38791513
1700734380000,0.1431,0.1431,0.1430,0.1430,1894,1700734439999,270.9408,10,0,0,0,38791146
1700734440000,0.1430,0.1433,0.1430,0.1432,105942,1700734499999,15172.5537,174,94254,13498.9055,0,38859789
1700734500000,0.1431,0.1431,0.1430,0.1430,12597,1700734559999,1801.7821,29,1641,234.8271,0,38855158
1700734560000,0.1430,0.1430,0.1429,0.1430,16437,1700734619999,2349.1747,30,14162,2024.0772,0,38860431
1700734620000,0.1430,0.1431,0.1429,0.1431,54259,1700734679999,7762.7775,57,44896,6423.0036,0,38846164
1700734680000,0.1431,0.1431,0.1431,0.1431,9267,1700734739999,1326.1077,10,7718,1104.4458,0,38842942
1700734740000,0.1431,0.1431,0.1430,0.1431,3918,1700734799999,560.6300,8,3560,509.4360,0,38844753
1700734800000,0.1430,0.1431,0.1430,0.1430,11410,1700734859999,1631.6510,16,210,30.0510,0,38831803
1700734860000,0.1429,0.1430,0.1428,0.1430,19384,1700734919999,2769.5790,31,8724,1246.9069,0,38830529
1700734920000,0.1430,0.1430,0.1429,0.1429,19259,1700734979999,2753.4472,24,8051,1151.2930,0,38822173
1700734980000,0.1429,0.1429,0.1429,0.1429,0,1700735039999,0,0,0,0,0,38821386
1700735040000,0.1429,0.1429,0.1428,0.1428,2004,1700735099999,286.3003,6,126,17.9928,0,38820817
1700735100000,0.1427,0.1428,0.1427,0.1428,12377,1700735159999,1766.2644,23,665,94.9620,0,38821663
