Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Open Interest
1700733300000,6.296000,6.302000,6.296000,6.299000,2428.1,1700733359999,15293.5270000,150,1561.5,9834.9896000,0,2033085.2
1700733360000,6.299000,6.303000,6.298000,6.300000,1858.2,1700733419999,11708.1033000,113,829.2,5224.2120000,0,2033459.6
1700733420000,6.300000,6.305000,6.297000,6.304000,2646.6,1700733479999,16671.5266000,134,525.5,3311.4855000,0,2032165.6
1700733480000,6.304000,6.311000,6.301000,6.303000,4154.2,1700733539999,26198.3819000,201,3115.9,19652.9575000,0,2031534.7
1700733540000,6.303000,6.310000,6.303000,6.307000,3269.7,1700733599999,20620.8674000,204,1689.3,10654.0400000,0,2031842.6
1700733600000,6.307000,6.313000,6.303000,6.312000,6603.1,1700733659999,41654.8629000,324,2579.4,16276.2351000,0,2036941.1
1700733660000,6.312000,6.312000,6.296000,6.298000,8480.3,1700733719999,53466.6596000,252,2881.9,18165.4400000,0,2037577.0
1700733720000,6.299000,6.300000,6.296000,6.297000,1257.1,1700733779999,7917.5533000,91,822.9,5183.1328000,0,2036476.2
1700733780000,6.298000,6.305000,6.296000,6.303000,2750.3,1700733839999,17326.9170000,174,973.3,6133.0606000,0,2035034.8
1700733840000,6.303000,6.305000,6.301000,6.302000,1898.3,1700733899999,11965.7623000,126,511.6,3225.3642000,0,2035381.9
1700733900000,6.302000,6.302000,6.298000,6.301000,1365.9,1700733959999,8605.7152000,102,505.1,3182.2384000,0,2035381.5
1700733960000,6.300000,6.301000,6.295000,6.300000,1448.3,1700734019999,9119.9232000,90,796.1,5013.6957000,0,2034218.0
1700734020000,6.299000,6.303000,6.289000,6.298000,2707,1700734079999,17039.3304000,207,1036.1,6524.9785000,0,2034073.3
1700734080000,6.297000,6.297000,6.295000,6.297000,1039.2,1700734139999,6542.2738000,81,397.8,2504.5887000,0,2033112.7
1700734140000,6.295000,6.296000,6.292000,6.293000,2444.1,1700734199999,15381.6083000,188,1092,6872.1284000,0,2031934.9
1700734200000,6.293000,6.295000,6.289000,6.291000,2216.2,1700734259999,13942.8001000,149,681.1,4285.8722000,0,2031837.4
1700734260000,6.290000,6.291000,6.278000,6.281000,3820.4,1700734319999,24015.7279000,152,503.5,3163.8502000,0,2031199.1
1700734320000,6.280000,6.282000,6.274000,6.280000,4135.7,1700734379999,25961.8287000,156,1270.5,7977.5652000,0,2035276.5
1700734380000,6.281000,6.289000,6.281000,6.285000,7276.4,1700734439999,45736.5765000,231,6063.1,38113.0917000,0,2035579.2
1700734440000,6.285000,6.289000,6.285000,6.288000,820.4,1700734499999,5157.8748000,40,292.2,1836.9955000,0,2036000.8
1700734500000,6.288000,6.288000,6.277000,6.277000,1853.5,1700734559999,11649.3189000,90,284.7,1787.8025000,0,2036278.0
1700734560000,6.275000,6.277000,6.270000,6.270000,1718.7,1700734619999,10782.3124000,125,567.6,3561.7150000,0,2035298.3
1700734620000,6.270000,6.276000,6.265000,6.266000,3260.7,1700734679999,20444.5897000,182,1547.5,9704.3172000,0,2033842.2
1700734680000,6.267000,6.270000,6.264000,6.266000,2555,1700734739999,16008.7439000,118,1645.9,10312.7764000,0,2033838.4
1700734740000,6.267000,6.273000,6.267000,6.271000,1000.6,1700734799999,6273.6607000,132,528.4,3313.2072000,0,2033795.7
1700734800000,6.271000,6.274000,6.263000,6.263000,819.5,1700734859999,5137.3605000,79,65.1,408.3131000,0,2030546.3
1700734860000,6.263000,6.267000,6.254000,6.266000,8751.8,1700734919999,54766.4008000,362,1737.5,10877.3853000,0,2030243.3
1700734920000,6.266000,6.272000,6.266000,6.271000,714,1700734979999,4477.0939000,67,303.3,1901.5843000,0,2030322.8
1700734980000,6.270000,6.272000,6.270000,6.270000,665.6,1700735039999,4173.7055000,53,346.5,2172.8993000,0,2030296.4
1700735040000,6.269000,6.269000,6.251000,6.256000,5130.9,1700735099999,32096.2050000,230,1508.8,9437.7864000,0,2030773.3
1700735100000,6.256000,6.261000,6.252000,6.253000,3032.3,1700735159999,18968.6860000,202,1766.6,11051.8872000,0,2031435.3
1700735160000,6.253000,6.260000,6.250000,6.255000,6432.7,1700735219999,40240.2395000,296,3420.8,21404.1235000,0,2032160.3
1700735220000,6.254000,6.261000,6.252000,6.261000,2368.3,1700735279999,14817.4239000,193,1680.6,10515.4327000,0,2032571.7
1700735280000,6.259000,6.259000,6.248000,6.251000,6921.3,1700735339999,43283.2767000,244,1780.9,11140.2970000,0,2035322.8
1700735340000,6.252000,6.255000,6.250000,6.255000,981.3,1700735399999,6136.0167000,74,900.2,5628.8721000,0,2035452.8
1700735400000,6.256000,6.267000,6.256000,6.262000,2530.7,1700735459999,15849.4435000,161,921.3,5770.0098000,0,2034949.2
1700735460000,6.263000,6.266000,6.260000,6.265000,1243.3,1700735519999,7787.6202000,104,526.9,3301.0435000,0,2035073.3
1700735520000,6.265000,6.268000,6.257000,6.262000,2018,1700735579999,12636.2509000,195,632.3,3960.1959000,0,2035148.8
1700735580000,6.262000,6.267000,6.261000,6.263000,1077.7,1700735639999,6750.7076000,75,184.7,1156.9562000,0,2034707.0
1700735640000,6.261000,6.261000,6.252000,6.253000,2329.4,1700735699999,14568.3448000,92,254.7,1593.0895000,0,2035229.1
1700735700000,6.252000,6.252000,6.242000,6.242000,2899.7,1700735759999,18116.5595000,119,485.6,3034.0137000,0,2034049.0
1700735760000,6.242000,6.244000,6.232000,6.234000,7300.5,1700735819999,45541.8449000,309,1906.2,11894.6190000,0,2033954.0
1700735820000,6.235000,6.245000,6.235000,6.245000,2032.9,1700735879999,12686.6113000,122,1670.8,10426.4871000,0,2033782.9
1700735880000,6.245000,6.249000,6.238000,6.245000,4871.9,1700735939999,30411.0714000,244,1314.3,8207.0373000,0,2032471.8
1700735940000,6.245000,6.245000,6.233000,6.242000,6032.4,1700735999999,37630.7086000,309,1878.9,11721.1390000,0,2033278.7
1700736000000,6.241000,6.241000,6.236000,6.236000,3172.4,1700736059999,19788.9113000,158,1261.3,7868.7123000,0,2032582.3
1700736060000,6.235000,6.239000,6.232000,6.235000,4416.8,1700736119999,27536.2884000,169,1189.4,7417.4831000,0,2033100.8
1700736120000,6.234000,6.243000,6.232000,6.233000,2376.5,1700736179999,14823.5496000,193,927.4,5786.1023000,0,2033404.2
1700736180000,6.233000,6.235000,6.231000,6.234000,2262.7,1700736239999,14101.6554000,119,723.5,4509.7015000,0,2035417.0
1700736240000,6.235000,6.246000,6.234000,6.237000,6107.7,1700736299999,38110.1056000,257,3291.2,20537.9458000,0,2035698.4
1700736300000,6.238000,6.240000,6.231000,6.233000,2293.9,1700736359999,14305.4508000,143,557.5,3477.2324000,0,2036335.8
1700736360000,6.233000,6.236000,6.213000,6.221000,17361.7,1700736419999,108054.5879000,549,2643.6,16463.7624000,0,2033094.6
1700736420000,6.220000,6.228000,6.218000,6.228000,3864.9,1700736479999,24051.9220000,167,2667.9,16603.6266000,0,2033236.1
1700736480000,6.228000,6.235000,6.228000,6.231000,2575.2,1700736539999,16048.7737000,199,671.7,4185.1021000,0,2033588.6
1700736540000,6.232000,6.237000,6.225000,6.235000,3500.5,1700736599999,21808.0013000,150,1637.8,10205.3226000,0,2033850.7
1700736600000,6.234000,6.234000,6.224000,6.226000,1774.4,1700736659999,11049.5545000,130,345,2148.1917000,0,2033119.2
1700736660000,6.224000,6.224000,6.220000,6.222000,1409.8,1700736719999,8771.4018000,82,156.2,971.9901000,0,2034225.3
1700736720000,6.221000,6.221000,6.212000,6.221000,2510,1700736779999,15606.5523000,117,813.4,5057.2985000,0,2034231.8
1700736780000,6.221000,6.224000,6.218000,6.221000,1829.2,1700736839999,11380.2840000,108,1017.2,6328.4261000,0,2033569.5
1700736840000,6.220000,6.230000,6.219000,6.229000,1688,1700736899999,10506.0515000,245,916.5,5703.8370000,0,2033835.7
1700736900000,6.229000,6.232000,6.221000,6.221000,1567,1700736959999,9761.5125000,101,642,4000.1101000,0,2034024.5
1700736960000,6.220000,6.220000,6.207000,6.213000,10207.9,1700737019999,63412.4786000,331,847.5,5267.8528000,0,2027605.4
1700737020000,6.213000,6.214000,6.201000,6.213000,10760,1700737079999,66777.1981000,447,2194,13624.0919000,0,2029024.3
1700737080000,6.213000,6.215000,6.208000,6.212000,4233.9,1700737139999,26297.8806000,211,2600.4,16152.7171000,0,2029557.8
1700737140000,6.212000,6.217000,6.208000,6.213000,2731,1700737199999,16968.0265000,130,1203.9,7481.3004000,0,2029701.0
1700737200000,6.213000,6.219000,6.204000,6.206000,5544.8,1700737259999,34442.8652000,298,2045.7,12711.9552000,0,2023669.4
1700737260000,6.205000,6.206000,6.175000,6.185000,41923.6,1700737319999,259432.1283000,1427,6918.8,42828.5626000,0,2027104.9
1700737320000,6.186000,6.197000,6.185000,6.196000,7999.7,1700737379999,49535.5657000,296,4226.8,26172.7798000,0,2028591.9
1700737380000,6.196000,6.200000,6.191000,6.194000,4983,1700737439999,30867.9290000,175,2292.8,14204.3550000,0,2029003.5
1700737440000,6.194000,6.202000,6.190000,6.202000,5739.2,1700737499999,35556.7771000,237,3793.7,23509.6935000,0,2028067.1
1700737500000,6.201000,6.206000,6.201000,6.205000,6408.5,1700737559999,39760.8591000,204,2748.4,17053.6856000,0,2027480.9
1700737560000,6.205000,6.207000,6.195000,6.202000,4979,1700737619999,30874.8055000,176,1942.2,12046.6413000,0,2027081.5
1700737620000,6.202000,6.208000,6.195000,6.198000,5503.1,1700737679999,34129.4332000,248,2471,15328.5357000,0,2026799.0
1700737680000,6.199000,6.202000,6.194000,6.200000,5425.3,1700737739999,33632.6515000,258,2593.6,16078.1380000,0,2027366.6
1700737740000,6.199000,6.201000,6.190000,6.193000,2067.1,1700737799999,12806.9409000,84,510.2,3159.6164000,0,2028311.8
1700737800000,6.194000,6.200000,6.194000,6.194000,2001.8,1700737859999,12407.0371000,125,1027.7,6370.0084000,0,2029221.1
1700737860000,6.194000,6.198000,6.181000,6.183000,4269.9,1700737919999,26431.5193000,213,1532.1,9488.2613000,0,2030810.0
1700737920000,6.184000,6.187000,6.177000,6.178000,6301.6,1700737979999,38945.2514000,242,2030,12548.6675000,0,2031500.8
1700737980000,6.179000,6.181000,6.172000,6.177000,7056.8,1700738039999,43592.5781000,259,2721.8,16814.0516000,0,2029767.7
1700738040000,6.177000,6.177000,6.160000,6.169000,13334.9,1700738099999,82260.0206000,614,5068,31268.7217000,0,2031396.3
1700738100000,6.167000,6.177000,6.162000,6.174000,8656.4,1700738159999,53421.9168000,369,3859.4,23821.9304000,0,2032538.8
1700738160000,6.175000,6.177000,6.159000,6.165000,5073.6,1700738219999,31297.1569000,233,2335.8,14409.9925000,0,2032046.0
1700738220000,6.166000,6.171000,6.159000,6.171000,7877.3,1700738279999,48552.9935000,351,4115.6,25369.2104000,0,2032395.0
