Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Open Interest
1700733300000,0.680,0.681,0.679,0.681,130293.3,1700733359999,88621.9683,186,122425.6,83275.8201,0,34132198.9
1700733360000,0.681,0.681,0.680,0.681,5675.2,1700733419999,3861.4028,22,2266.8,1543.6908,0,34147875.7
1700733420000,0.680,0.681,0.680,0.680,37105.7,1700733479999,25243.0944,85,11218.4,7639.7304,0,34149995.8
1700733480000,0.681,0.681,0.680,0.680,69977.3,1700733539999,47651.9449,56,67380.9,45886.3929,0,34179105.0
1700733540000,0.681,0.681,0.680,0.680,24194,1700733599999,16474.3558,64,22435.8,15278.7798,0,34181030.8
1700733600000,0.681,0.681,0.680,0.681,17471.6,1700733659999,11890.3764,74,9688.4,6597.8004,0,34217103.0
1700733660000,0.681,0.681,0.679,0.680,157836.8,1700733719999,107330.8607,194,13325.9,9070.5930,0,34215104.0
1700733720000,0.680,0.680,0.679,0.680,3064.6,1700733779999,2082.8425,19,1979.1,1345.7880,0,34225133.6
1700733780000,0.679,0.680,0.678,0.679,148838.7,1700733839999,101061.8905,215,90682.7,61574.2133,0,34221218.2
1700733840000,0.680,0.680,0.678,0.678,129271.7,1700733899999,87777.4264,85,4020.7,2732.2948,0,34196056.3
1700733900000,0.679,0.679,0.678,0.679,6971,1700733959999,4729.5812,29,3243.2,2202.1328,0,34197679.7
1700733960000,0.679,0.679,0.678,0.679,1832.3,1700734019999,1243.2656,15,966.2,656.0498,0,34161050.6
1700734020000,0.678,0.679,0.677,0.678,343704.1,1700734079999,233001.2705,547,72851.6,49401.5572,0,34177753.1
1700734080000,0.679,0.679,0.678,0.679,36345.7,1700734139999,24677.5952,48,35210.6,23907.9974,0,34180394.8
1700734140000,0.678,0.679,0.678,0.679,7146.4,1700734199999,4851.3826,46,6123.4,4157.7886,0,34180577.8
1700734200000,0.678,0.679,0.677,0.678,57141.2,1700734259999,38728.6476,140,12437.3,8434.1795,0,34168105.4
1700734260000,0.678,0.679,0.677,0.678,117410.4,1700734319999,79599.3853,149,65859.5,44659.5934,0,34122449.9
1700734320000,0.678,0.679,0.677,0.678,193086.6,1700734379999,130850.3041,205,62353.9,42276.5413,0,34176409.0
1700734380000,0.678,0.679,0.677,0.677,198628.4,1700734439999,134686.9407,188,109734.1,74416.8498,0,34138512.7
1700734440000,0.678,0.678,0.677,0.678,11655,1700734499999,7901.7209,15,11285.9,7651.8402,0,34142190.4
1700734500000,0.678,0.678,0.677,0.677,2316.5,1700734559999,1568.5908,20,320.3,217.1634,0,34191127.7
1700734560000,0.677,0.678,0.676,0.676,143773,1700734619999,97315.9595,236,30332.5,20535.1394,0,34191300.9
1700734620000,0.677,0.678,0.676,0.676,140035.5,1700734679999,94801.7628,176,78588.5,53204.5539,0,34185076.4
1700734680000,0.677,0.678,0.677,0.677,52836.4,1700734739999,35775.6697,42,34859.4,23605.2407,0,34183856.0
1700734740000,0.677,0.678,0.676,0.676,40455.1,1700734799999,27385.4819,59,9016.5,6106.0814,0,34183611.4
1700734800000,0.676,0.677,0.676,0.677,7614,1700734859999,5153.7178,28,6653.8,4504.6226,0,34188457.7
1700734860000,0.676,0.677,0.676,0.677,89450.2,1700734919999,60557.3381,102,47347.2,32054.0544,0,34172832.2
1700734920000,0.676,0.677,0.676,0.676,89608.2,1700734979999,60651.7787,113,36886.7,24972.2959,0,34185996.9
1700734980000,0.677,0.677,0.676,0.677,4095.4,1700735039999,2771.7600,16,3269.6,2213.5192,0,34186338.2
1700735040000,0.676,0.677,0.675,0.676,196313.3,1700735099999,132706.4309,277,58693.9,39677.6294,0,34188370.5
1700735100000,0.676,0.677,0.675,0.675,89202,1700735159999,60301.8801,110,48869.3,33038.3454,0,34200551.8
1700735160000,0.676,0.677,0.675,0.675,258791,1700735219999,174900.8733,388,136970.1,92592.1896,0,34212212.3
1700735220000,0.676,0.677,0.675,0.676,56974.2,1700735279999,38513.8197,109,46773.3,31619.0560,0,34222964.4
1700735280000,0.677,0.677,0.675,0.676,148920.3,1700735339999,100660.0848,95,35453.7,23966.7435,0,34200399.8
1700735340000,0.675,0.676,0.675,0.675,62641.6,1700735399999,42340.4009,58,33306.5,22515.1940,0,34197993.5
1700735400000,0.676,0.677,0.675,0.676,68076.4,1700735459999,46022.8603,72,47054.6,31813.0752,0,34194870.1
1700735460000,0.676,0.677,0.676,0.677,7408.4,1700735519999,5012.1181,22,4039.7,2734.8769,0,34209371.3
1700735520000,0.677,0.677,0.676,0.677,100524.8,1700735579999,67971.9259,112,55064.2,37240.5603,0,34212107.8
1700735580000,0.676,0.677,0.676,0.677,15040.7,1700735639999,10178.6619,16,11148.7,7547.6699,0,34219595.6
1700735640000,0.676,0.677,0.675,0.676,83256.7,1700735699999,56263.9493,168,19295.1,13050.1522,0,34200156.9
1700735700000,0.675,0.676,0.675,0.676,154708,1700735759999,104431.6731,174,28664.3,19352.1756,0,34229431.6
1700735760000,0.675,0.676,0.674,0.676,150636,1700735819999,101657.8118,304,121560.6,82054.1681,0,34210253.8
1700735820000,0.675,0.676,0.674,0.675,59082.3,1700735879999,39878.9017,89,22969.4,15506.2895,0,34191152.6
1700735880000,0.675,0.676,0.675,0.675,22803.3,1700735939999,15393.9879,23,1760.4,1190.0304,0,34181423.1
1700735940000,0.676,0.676,0.675,0.675,5261,1700735999999,3554.0488,16,2873.8,1942.6888,0,34179795.4
1700736000000,0.676,0.677,0.675,0.677,125885.7,1700736059999,85108.2814,226,120719.1,81617.7232,0,34174824.4
1700736060000,0.676,0.676,0.675,0.675,40745.9,1700736119999,27539.4635,37,201,135.8760,0,34176861.0
1700736120000,0.675,0.677,0.675,0.676,118317,1700736179999,79982.1762,87,61236,41395.7701,0,34190915.9
1700736180000,0.676,0.676,0.675,0.676,6175.4,1700736239999,4174.3662,13,5971.2,4036.5312,0,34185734.6
1700736240000,0.675,0.676,0.675,0.675,9405.3,1700736299999,6355.7971,19,7219.6,4880.4496,0,34187487.4
1700736300000,0.676,0.676,0.675,0.675,3299.8,1700736359999,2230.2802,17,2915.2,1970.6752,0,34187067.6
1700736360000,0.675,0.676,0.675,0.675,2164.5,1700736419999,1462.8824,10,1844.9,1247.1524,0,34186969.3
1700736420000,0.676,0.676,0.675,0.676,8754,1700736479999,5917.5107,27,8560.7,5787.0332,0,34179788.8
1700736480000,0.676,0.676,0.675,0.676,2911.6,1700736539999,1966.1304,18,800.4,541.0704,0,34178233.4
1700736540000,0.676,0.676,0.675,0.675,7402.3,1700736599999,5000.4520,20,3899.5,2636.0620,0,34180176.7
1700736600000,0.676,0.676,0.675,0.676,1185.3,1700736659999,800.5443,15,466.8,315.5568,0,34179326.4
1700736660000,0.676,0.676,0.674,0.675,137497,1700736719999,92811.0529,205,10479.6,7074.4560,0,34316517.0
1700736720000,0.674,0.675,0.672,0.673,627290.7,1700736779999,422283.9313,961,159047.4,107056.5721,0,34233067.1
1700736780000,0.673,0.675,0.673,0.675,143164.2,1700736839999,96485.5446,210,131972.2,88952.3978,0,34162535.3
1700736840000,0.674,0.675,0.673,0.674,117611.8,1700736899999,79268.3666,124,61253.5,41286.4436,0,34190120.6
1700736900000,0.674,0.675,0.673,0.673,133910.1,1700736959999,90255.6340,128,31519,21244.6831,0,34188493.6
1700736960000,0.673,0.674,0.673,0.674,12178.8,1700737019999,8201.0441,37,4711.7,3175.6858,0,34187344.9
1700737020000,0.674,0.675,0.673,0.674,51827,1700737079999,34928.7156,75,43144.6,29079.5243,0,34200852.1
1700737080000,0.674,0.675,0.673,0.673,45270.1,1700737139999,30513.0872,43,4498.3,3032.9175,0,34215892.5
1700737140000,0.674,0.675,0.673,0.674,89471.9,1700737199999,60293.7307,80,77025.1,51914.9813,0,34225641.9
1700737200000,0.674,0.675,0.673,0.674,168640.9,1700737259999,113659.3446,235,89896.4,60590.2261,0,34238796.0
