timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field
1681084920000,20.583,20.586,20.562,20.565,285.3,1681084979999,5868.687,27,103.1,2121.067,0
1681084980000,20.569,20.57,20.569,20.57,5.2,1681085039999,106.9601,3,5.2,106.9601,0
1681085040000,20.583,20.583,20.578,20.578,32.4,1681085099999,666.8105,5,5.1,104.9478,0
1681085100000,20.572,20.583,20.569,20.583,79.2,1681085159999,1629.4129,10,23.5,483.5434,0
1681085160000,20.584,20.597,20.584,20.591,120.3,1681085219999,2477.3029,11,57.1,1175.7597,0
1681085220000,20.581,20.581,20.581,20.581,1.7,1681085279999,34.9877,1,1.7,34.9877,0
1681085280000,20.582,20.596,20.582,20.596,30.5,1681085339999,627.8925,6,12.9,265.5793,0
1681085340000,20.598,20.601,20.598,20.601,24.1,1681085399999,496.4555,5,24.1,496.4555,0
1681085400000,20.604,20.609,20.604,20.606,203.2,1681085459999,4187.2255,19,103.4,2130.7339,0
1681085460000,20.598,20.607,20.598,20.607,37.6,1681085519999,774.6622,9,28.2,581.041,0
1681085520000,20.609,20.631,20.609,20.631,107.5,1681085579999,2216.2208,16,107.5,2216.2208,0
1681085580000,20.636,20.636,20.622,20.631,5.9,1681085639999,121.7055,4,2.5,51.5631,0
1681085640000,20.63,20.632,20.606,20.61,478.5,1681085699999,9864.3723,27,71.7,1477.5194,0
1681085700000,20.61,20.616,20.61,20.611,272.9,1681085759999,5624.9438,19,165.1,3402.8544,0
1681085760000,20.607,20.61,20.598,20.6,93.8,1681085819999,1932.3573,14,86.5,1781.9265,0
1681085820000,20.599,20.599,20.593,20.599,67.0,1681085879999,1380.0586,5,4.5,92.6811,0
1681085880000,20.605,20.605,20.599,20.599,77.7,1681085939999,1600.7,5,0.0,0.0,0
1681085940000,20.583,20.591,20.583,20.583,227.3,1681085999999,4679.1262,16,111.5,2295.3814,0
1681086000000,20.583,20.583,20.583,20.583,0.0,1681086059999,0.0,0,0.0,0.0,0
1681086060000,20.586,20.586,20.578,20.578,60.4,1681086119999,1243.188,13,6.0,123.516,0
1681086120000,20.571,20.571,20.546,20.553,89.0,1681086179999,1828.9649,19,7.3,149.997,0
1681086180000,20.565,20.565,20.553,20.56,113.7,1681086239999,2338.2094,10,0.5,10.2772,0
1681086240000,20.562,20.562,20.562,20.562,2.8,1681086299999,57.5736,2,0.0,0.0,0
1681086300000,20.564,20.564,20.551,20.551,31.5,1681086359999,647.6855,6,3.9,80.1489,0
1681086360000,20.555,20.569,20.555,20.569,6.7,1681086419999,137.8039,6,6.4,131.6332,0
1681086420000,20.569,20.569,20.569,20.569,0.0,1681086479999,0.0,0,0.0,0.0,0
1681086480000,20.561,20.571,20.561,20.571,5.7,1681086539999,117.2437,4,5.7,117.2437,0
1681086540000,20.574,20.574,20.568,20.568,16.0,1681086599999,329.13,3,0.0,0.0,0
1681086600000,20.571,20.582,20.571,20.578,91.9,1681086659999,1891.3671,20,56.7,1166.9408,0
1681086660000,20.578,20.578,20.576,20.576,18.6,1681086719999,382.7362,3,0.0,0.0,0
1681086720000,20.574,20.574,20.568,20.568,45.0,1681086779999,925.6782,5,0.0,0.0,0
1681086780000,20.567,20.567,20.567,20.567,8.6,1681086839999,176.8762,2,8.6,176.8762,0
1681086840000,20.569,20.569,20.545,20.545,107.2,1681086899999,2203.757,12,0.0,0.0,0
1681086900000,20.542,20.553,20.542,20.553,107.3,1681086959999,2204.7732,5,107.0,2198.6073,0
1681086960000,20.553,20.553,20.553,20.553,15.4,1681087019999,316.5162,1,0.0,0.0,0
1681087020000,20.547,20.547,20.547,20.547,5.0,1681087079999,102.735,1,0.0,0.0,0
1681087080000,20.548,20.548,20.548,20.548,13.8,1681087139999,283.5624,3,13.8,283.5624,0
1681087140000,20.548,20.548,20.548,20.548,0.0,1681087199999,0.0,0,0.0,0.0,0
1681087200000,20.552,20.562,20.552,20.562,317.5,1681087259999,6527.0475,17,158.2,3252.2294,0
1681087260000,20.562,20.571,20.558,20.571,66.8,1681087319999,1373.7727,17,50.4,1036.5559,0
1681087320000,20.571,20.571,20.571,20.571,0.0,1681087379999,0.0,0,0.0,0.0,0
1681087380000,20.566,20.566,20.566,20.566,2.4,1681087439999,49.3584,1,0.0,0.0,0
1681087440000,20.571,20.574,20.569,20.569,23.2,1681087499999,477.2639,4,4.2,86.3982,0
1681087500000,20.566,20.566,20.548,20.548,98.0,1681087559999,2014.51,11,0.0,0.0,0
1681087560000,20.548,20.548,20.548,20.548,0.0,1681087619999,0.0,0,0.0,0.0,0
1681087620000,20.549,20.549,20.549,20.549,11.9,1681087679999,244.5331,2,11.9,244.5331,0
1681087680000,20.549,20.549,20.549,20.549,0.0,1681087739999,0.0,0,0.0,0.0,0
