Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Open Interest
1700733300000,1.4858,1.4882,1.4850,1.4879,33424,1700733359999,49684.9294,333,13373,19882.0323,0,22998645
1700733360000,1.4881,1.4898,1.4871,1.4892,40483,1700733419999,60244.1425,446,28089,41803.0884,0,22986553
1700733420000,1.4892,1.4900,1.4883,1.4889,53542,1700733479999,79741.9431,457,35817,53348.7072,0,22978029
1700733480000,1.4890,1.4892,1.4874,1.4891,25079,1700733539999,37329.0333,275,13138,19557.4239,0,22982785
1700733540000,1.4890,1.4900,1.4886,1.4891,33867,1700733599999,50441.0531,334,22505,33519.8955,0,22986157
1700733600000,1.4887,1.4895,1.4879,1.4892,42268,1700733659999,62936.1890,335,17524,26092.2592,0,22986082
1700733660000,1.4889,1.4892,1.4870,1.4870,13132,1700733719999,19537.5286,226,6104,9082.6840,0,22981260
1700733720000,1.4870,1.4875,1.4858,1.4860,14150,1700733779999,21037.5969,239,2721,4045.6594,0,22978827
1700733780000,1.4859,1.4875,1.4857,1.4867,30705,1700733839999,45648.4758,238,19952,29662.5725,0,22985103
1700733840000,1.4867,1.4878,1.4861,1.4878,16598,1700733899999,24679.1296,193,9294,13819.2803,0,22985544
1700733900000,1.4874,1.4874,1.4851,1.4854,29171,1700733959999,43350.9451,253,8552,12707.9665,0,22993304
1700733960000,1.4854,1.4871,1.4837,1.4838,30925,1700734019999,45940.0791,311,8914,13242.2192,0,22990167
1700734020000,1.4838,1.4860,1.4838,1.4859,27378,1700734079999,40654.9525,215,21693,32213.3353,0,22994931
1700734080000,1.4858,1.4863,1.4853,1.4857,18070,1700734139999,26849.0700,167,8116,12059.1627,0,22997661
1700734140000,1.4857,1.4862,1.4834,1.4838,15993,1700734199999,23738.6487,291,6076,9019.2724,0,22965615
1700734200000,1.4839,1.4843,1.4813,1.4813,78460,1700734259999,116340.0537,585,30632,45429.1006,0,22969921
1700734260000,1.4813,1.4813,1.4778,1.4789,92760,1700734319999,137245.9942,721,23064,34130.3347,0,22961240
1700734320000,1.4789,1.4802,1.4782,1.4802,33905,1700734379999,50150.4588,293,22764,33672.6778,0,22968229
1700734380000,1.4802,1.4812,1.4790,1.4794,20660,1700734439999,30575.9729,258,11539,17078.2207,0,22966068
1700734440000,1.4795,1.4795,1.4785,1.4791,11592,1700734499999,17142.6614,143,5001,7395.4819,0,22966907
1700734500000,1.4791,1.4798,1.4765,1.4769,72919,1700734559999,107766.1433,699,33404,49372.1099,0,22957544
1700734560000,1.4769,1.4774,1.4752,1.4756,52991,1700734619999,78235.9488,482,24660,36417.8785,0,22969795
1700734620000,1.4760,1.4771,1.4745,1.4745,65072,1700734679999,96024.9769,770,26884,39684.2826,0,22970001
1700734680000,1.4744,1.4770,1.4743,1.4761,39809,1700734739999,58747.3470,374,21994,32463.1647,0,22976980
1700734740000,1.4766,1.4772,1.4751,1.4755,30102,1700734799999,44437.4701,228,17739,26192.6663,0,22981232
1700734800000,1.4754,1.4757,1.4730,1.4733,32300,1700734859999,47628.1355,486,14612,21548.8155,0,22990032
1700734860000,1.4736,1.4741,1.4723,1.4741,33585,1700734919999,49477.5413,254,17108,25207.8001,0,22992905
1700734920000,1.4742,1.4773,1.4742,1.4764,39227,1700734979999,57887.2386,360,27223,40173.0538,0,22997506
1700734980000,1.4764,1.4785,1.4764,1.4775,24093,1700735039999,35597.5474,268,14975,22127.2516,0,23001553
1700735040000,1.4775,1.4775,1.4747,1.4749,19077,1700735099999,28155.2177,222,6647,9808.6119,0,23005363
1700735100000,1.4749,1.4760,1.4731,1.4747,33518,1700735159999,49427.7166,347,12474,18397.5464,0,23015079
1700735160000,1.4747,1.4771,1.4743,1.4743,29095,1700735219999,42939.2359,242,8819,13016.7761,0,23021531
1700735220000,1.4743,1.4754,1.4740,1.4752,19169,1700735279999,28269.4170,188,10115,14917.3280,0,23025100
1700735280000,1.4751,1.4751,1.4736,1.4736,15990,1700735339999,23575.1252,192,7455,10990.8502,0,23041995
1700735340000,1.4739,1.4744,1.4638,1.4651,373324,1700735399999,548137.9140,2141,95058,139536.8786,0,23053805
1700735400000,1.4655,1.4733,1.4651,1.4733,139004,1700735459999,204312.6112,957,94025,138221.5912,0,23064256
1700735460000,1.4731,1.4738,1.4707,1.4722,37661,1700735519999,55461.1418,380,17630,25965.3332,0,23067587
1700735520000,1.4722,1.4726,1.4705,1.4723,40390,1700735579999,59450.1906,442,20646,30390.8266,0,23075472
1700735580000,1.4721,1.4739,1.4720,1.4735,50095,1700735639999,73788.2584,413,34960,51492.4951,0,23078638
1700735640000,1.4735,1.4738,1.4714,1.4714,18797,1700735699999,27681.9136,212,3587,5283.4555,0,23089824
1700735700000,1.4713,1.4720,1.4709,1.4711,27174,1700735759999,39986.3258,291,11938,17567.1923,0,23101460
1700735760000,1.4713,1.4720,1.4700,1.4700,28052,1700735819999,41264.9202,229,10889,16018.7361,0,23104705
1700735820000,1.4701,1.4727,1.4701,1.4726,25087,1700735879999,36916.8329,215,16276,23949.3620,0,23108766
1700735880000,1.4725,1.4739,1.4712,1.4715,29240,1700735939999,43064.5319,297,15470,22783.2497,0,23109242
1700735940000,1.4711,1.4713,1.4696,1.4706,20036,1700735999999,29461.4766,214,11113,16341.2964,0,23116677
1700736000000,1.4706,1.4724,1.4706,1.4718,50915,1700736059999,74927.9410,346,31946,47016.4692,0,23119127
1700736060000,1.4718,1.4720,1.4693,1.4702,15258,1700736119999,22440.8482,234,9633,14169.1997,0,23107529
1700736120000,1.4699,1.4699,1.4651,1.4651,185817,1700736179999,272634.3526,1103,79081,116004.8810,0,23116302
1700736180000,1.4650,1.4664,1.4636,1.4658,92690,1700736239999,135818.6840,534,59970,87888.5721,0,23122900
1700736240000,1.4657,1.4668,1.4651,1.4666,28009,1700736299999,41056.4186,191,18334,26877.1579,0,23125520
1700736300000,1.4666,1.4702,1.4665,1.4687,87579,1700736359999,128607.6189,522,45763,67197.7479,0,23129032
1700736360000,1.4688,1.4694,1.4681,1.4691,15924,1700736419999,23391.5424,153,8197,12040.5356,0,23127690
1700736420000,1.4692,1.4693,1.4679,1.4687,9955,1700736479999,14619.9790,131,7077,10393.4764,0,23125341
1700736480000,1.4688,1.4689,1.4661,1.4676,26375,1700736539999,38709.2823,284,11007,16153.7645,0,23123837
1700736540000,1.4676,1.4700,1.4666,1.4691,39644,1700736599999,58199.7550,355,27387,40208.8647,0,23121255
1700736600000,1.4692,1.4703,1.4690,1.4691,25537,1700736659999,37534.9781,248,11170,16419.1858,0,23127045
1700736660000,1.4690,1.4690,1.4650,1.4668,52690,1700736719999,77287.5552,395,20779,30477.8907,0,23135707
1700736720000,1.4666,1.4669,1.4641,1.4663,36354,1700736779999,53268.9182,306,19663,28812.8260,0,23139156
1700736780000,1.4665,1.4676,1.4663,1.4676,33798,1700736839999,49580.7694,249,22023,32308.6688,0,23142991
1700736840000,1.4675,1.4695,1.4667,1.4685,19905,1700736899999,29222.5060,202,9034,13263.2427,0,23145503
1700736900000,1.4685,1.4703,1.4654,1.4661,61973,1700736959999,90975.4010,496,24988,36700.1004,0,23152114
1700736960000,1.4659,1.4665,1.4641,1.4657,35067,1700737019999,51385.5038,315,12110,17745.9370,0,23154667
1700737020000,1.4657,1.4663,1.4638,1.4644,27070,1700737079999,39657.2918,328,12443,18229.6793,0,23157327
1700737080000,1.4649,1.4652,1.4619,1.4621,50517,1700737139999,73912.9103,524,17879,26165.3028,0,23163156
1700737140000,1.4621,1.4634,1.4596,1.4620,131512,1700737199999,192168.2674,916,41303,60366.0634,0,23171127
1700737200000,1.4617,1.4635,1.4613,1.4622,53730,1700737259999,78582.9352,598,34648,50674.1131,0,23177449
1700737260000,1.4622,1.4634,1.4612,1.4620,37374,1700737319999,54648.6829,378,13000,19013.4280,0,23188709
1700737320000,1.4620,1.4627,1.4591,1.4627,66438,1700737379999,97046.0899,612,18507,27043.9674,0,23196366
1700737380000,1.4627,1.4635,1.4615,1.4620,45517,1700737439999,66582.3061,418,26277,38442.0283,0,23199721
1700737440000,1.4620,1.4646,1.4603,1.4646,88891,1700737499999,130035.9393,574,51415,75231.3642,0,23210303
1700737500000,1.4646,1.4659,1.4627,1.4645,58077,1700737559999,85074.3966,486,40185,58870.8283,0,23236504
1700737560000,1.4645,1.4665,1.4642,1.4665,76263,1700737619999,111751.2058,586,28494,41762.7036,0,23223118
1700737620000,1.4663,1.4700,1.4658,1.4699,78257,1700737679999,114862.9499,529,51600,75755.3402,0,23220297
1700737680000,1.4699,1.4718,1.4696,1.4703,81636,1700737739999,120059.2535,578,50036,73590.2273,0,23215861
1700737740000,1.4704,1.4722,1.4700,1.4718,42631,1700737799999,62712.6584,379,28243,41551.1289,0,23215265
1700737800000,1.4719,1.4719,1.4701,1.4701,23936,1700737859999,35200.9456,285,9969,14660.2672,0,23216007
1700737860000,1.4701,1.4717,1.4699,1.4702,23500,1700737919999,34565.9108,284,12294,18083.9579,0,23220258
1700737920000,1.4701,1.4702,1.4683,1.4692,41191,1700737979999,60525.2123,460,24357,35791.5074,0,23221940
1700737980000,1.4692,1.4693,1.4661,1.4669,25049,1700738039999,36762.2561,286,8839,12969.7238,0,23223397
1700738040000,1.4667,1.4694,1.4634,1.4667,84432,1700738099999,123823.2413,768,41179,60387.1677,0,23234080
1700738100000,1.4667,1.4708,1.4664,1.4690,51220,1700738159999,75255.8536,589,29776,43754.2041,0,23235634
1700738160000,1.4691,1.4702,1.4666,1.4673,40242,1700738219999,59101.7399,310,15138,22230.2802,0,23237741
1700738220000,1.4674,1.4691,1.4660,1.4670,33604,1700738279999,49304.7892,432,18817,27613.8009,0,23259497
1700738280000,1.4672,1.4672,1.4626,1.4638,87015,1700738339999,127408.3322,710,11991,17560.4274,0,23290219
1700738340000,1.4638,1.4647,1.4613,1.4645,72582,1700738399999,106188.3575,606,22708,33217.4338,0,23308507
1700738400000,1.4644,1.4670,1.4619,1.4619,71194,1700738459999,104251.9315,539,31295,45832.1722,0,23321208
1700738460000,1.4622,1.4625,1.4588,1.4593,102026,1700738519999,149031.5411,667,18977,27738.1533,0,23308403
1700738520000,1.4591,1.4591,1.4498,1.4550,312577,1700738579999,454553.8808,1929,96452,140260.7119,0,23337634
1700738580000,1.4552,1.4594,1.4544,1.4579,81346,1700738639999,118529.4686,736,43622,63569.7030,0,23326290
1700738640000,1.4577,1.4577,1.4519,1.4541,114529,1700738699999,166541.2706,766,43661,63509.5554,0,23344068
1700738700000,1.4541,1.4566,1.4539,1.4561,70270,1700738759999,102252.3667,708,39979,58173.9053,0,23353311
1700738760000,1.4564,1.4622,1.4564,1.4598,100845,1700738819999,147275.1813,893,42875,62619.3892,0,23356038
1700738820000,1.4600,1.4611,1.4568,1.4596,65991,1700738879999,96265.8478,675,26004,37940.3972,0,23362685
1700738880000,1.4595,1.4616,1.4586,1.4603,59446,1700738939999,86832.4472,492,25888,37816.6222,0,23364243
1700738940000,1.4603,1.4620,1.4598,1.4606,82659,1700738999999,120759.2369,659,39947,58369.5229,0,23365401
