Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Open Interest
1700733300000,0.3822000,0.3827000,0.3818000,0.3825000,21549,1700733359999,8235.7580000,103,7051,2696.1429000,0,9174246
1700733360000,0.3827000,0.3829000,0.3827000,0.3828000,4729,1700733419999,1810.2106000,31,3419,1308.7627000,0,9173714
1700733420000,0.3827000,0.3827000,0.3825000,0.3826000,2447,1700733479999,936.1891000,33,882,337.4343000,0,9172306
1700733480000,0.3826000,0.3830000,0.3826000,0.3828000,5664,1700733539999,2168.3639000,60,3867,1480.4900000,0,9172717
1700733540000,0.3827000,0.3829000,0.3827000,0.3828000,3684,1700733599999,1410.2414000,42,2169,830.3278000,0,9175644
1700733600000,0.3828000,0.3830000,0.3826000,0.3826000,45451,1700733659999,17401.9189000,137,38361,14688.4240000,0,9176136
1700733660000,0.3827000,0.3827000,0.3819000,0.3820000,15493,1700733719999,5924.0451000,68,4503,1720.5683000,0,9174357
1700733720000,0.3819000,0.3825000,0.3819000,0.3822000,29644,1700733779999,11331.0640000,129,17969,6869.6356000,0,9175258
1700733780000,0.3823000,0.3824000,0.3819000,0.3819000,10469,1700733839999,4000.4386000,86,1831,699.7704000,0,9170213
1700733840000,0.3819000,0.3819000,0.3813000,0.3814000,11359,1700733899999,4333.7983000,92,2354,897.8577000,0,9168364
1700733900000,0.3814000,0.3814000,0.3808000,0.3811000,33395,1700733959999,12724.1906000,328,3568,1360.2712000,0,9153549
1700733960000,0.3811000,0.3813000,0.3810000,0.3812000,2348,1700734019999,895.0065000,41,1476,562.6627000,0,9153097
1700734020000,0.3813000,0.3815000,0.3811000,0.3815000,6566,1700734079999,2503.4958000,47,5310,2024.6997000,0,9152246
1700734080000,0.3816000,0.3817000,0.3814000,0.3814000,7266,1700734139999,2772.5101000,48,3359,1281.8411000,0,9155768
1700734140000,0.3815000,0.3816000,0.3812000,0.3812000,11288,1700734199999,4304.7972000,59,2684,1024.0343000,0,9153293
1700734200000,0.3812000,0.3819000,0.3811000,0.3818000,13081,1700734259999,4991.7046000,126,8625,3291.6389000,0,9153857
1700734260000,0.3818000,0.3821000,0.3818000,0.3821000,8219,1700734319999,3139.1360000,72,7656,2924.1085000,0,9154040
1700734320000,0.3820000,0.3828000,0.3820000,0.3828000,38147,1700734379999,14586.6927000,109,35527,13585.0275000,0,9166446
1700734380000,0.3829000,0.3829000,0.3827000,0.3829000,14179,1700734439999,5428.2216000,66,6098,2334.6053000,0,9169150
1700734440000,0.3829000,0.3829000,0.3825000,0.3825000,9097,1700734499999,3481.7417000,41,2934,1123.4286000,0,9170906
1700734500000,0.3824000,0.3826000,0.3820000,0.3820000,19773,1700734559999,7560.2272000,126,10874,4158.0402000,0,9166580
1700734560000,0.3818000,0.3818000,0.3810000,0.3814000,21514,1700734619999,8203.8328000,129,5233,1995.9673000,0,9158794
1700734620000,0.3815000,0.3815000,0.3813000,0.3813000,2938,1700734679999,1120.4632000,37,1564,596.4562000,0,9156644
1700734680000,0.3813000,0.3820000,0.3813000,0.3819000,12431,1700734739999,4744.7305000,95,9426,3597.2781000,0,9154313
1700734740000,0.3820000,0.3823000,0.3818000,0.3822000,10797,1700734799999,4125.3051000,66,9611,3672.3357000,0,9155057
1700734800000,0.3823000,0.3826000,0.3822000,0.3822000,34943,1700734859999,13360.9953000,144,18498,7073.8673000,0,9153865
1700734860000,0.3823000,0.3827000,0.3822000,0.3826000,11432,1700734919999,4372.3490000,67,10038,3839.0759000,0,9168796
1700734920000,0.3826000,0.3838000,0.3826000,0.3836000,62168,1700734979999,23835.6061000,458,57792,22157.4842000,0,9174323
1700734980000,0.3836000,0.3836000,0.3830000,0.3831000,28215,1700735039999,10814.4567000,101,15449,5921.2781000,0,9174418
1700735040000,0.3831000,0.3831000,0.3828000,0.3829000,16006,1700735099999,6129.2551000,82,4564,1748.0617000,0,9168834
1700735100000,0.3828000,0.3829000,0.3827000,0.3828000,18057,1700735159999,6913.0718000,114,9673,3703.6701000,0,9178647
1700735160000,0.3829000,0.3829000,0.3828000,0.3828000,37841,1700735219999,14488.2162000,86,23666,9061.6064000,0,9178694
1700735220000,0.3829000,0.3837000,0.3829000,0.3836000,31860,1700735279999,12211.1643000,142,29792,11418.9303000,0,9186385
1700735280000,0.3836000,0.3836000,0.3832000,0.3834000,12332,1700735339999,4727.3601000,93,7023,2692.0618000,0,9191096
1700735340000,0.3834000,0.3837000,0.3834000,0.3837000,11095,1700735399999,4256.1981000,62,9345,3585.0087000,0,9190078
1700735400000,0.3837000,0.3840000,0.3837000,0.3840000,9975,1700735459999,3829.2009000,46,9844,3778.9231000,0,9193233
