Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Open Interest
1700733300000,0.0012960,0.0012980,0.0012960,0.0012980,8795103,1700733359999,11407.4650940,71,8379735,10868.9095560,0,5980366124
1700733360000,0.0012980,0.0012980,0.0012960,0.0012960,11876112,1700733419999,15399.7012790,69,681490,884.5740200,0,5979061767
1700733420000,0.0012960,0.0012970,0.0012950,0.0012960,4496435,1700733479999,5828.6616950,27,2182731,2830.9402040,0,5976188418
1700733480000,0.0012960,0.0012960,0.0012940,0.0012940,7761529,1700733539999,10053.5909770,67,113230,146.6328500,0,5976636677
1700733540000,0.0012940,0.0012960,0.0012940,0.0012950,2032288,1700733599999,2632.5819510,23,1952111,2528.8020300,0,5976477591
1700733600000,0.0012960,0.0012960,0.0012950,0.0012950,1981387,1700733659999,2566.2129940,33,316829,410.6103840,0,5975491792
1700733660000,0.0012950,0.0012960,0.0012930,0.0012940,5863187,1700733719999,7588.0575680,59,160397,207.8027920,0,5974434203
1700733720000,0.0012940,0.0012950,0.0012940,0.0012950,1636635,1700733779999,2117.9215270,22,1570438,2032.2626090,0,5974042455
1700733780000,0.0012950,0.0012960,0.0012950,0.0012960,5351929,1700733839999,6931.9337920,55,3393477,4395.7384520,0,5975414764
1700733840000,0.0012960,0.0012960,0.0012950,0.0012960,375633,1700733899999,486.5869050,5,142170,184.2523200,0,5975420756
1700733900000,0.0012950,0.0012960,0.0012930,0.0012940,9569673,1700733959999,12382.4508750,97,2128895,2756.3185520,0,5971819679
1700733960000,0.0012950,0.0012960,0.0012950,0.0012960,975284,1700734019999,1263.0682660,28,524148,678.8471460,0,5971876155
1700734020000,0.0012950,0.0012960,0.0012940,0.0012950,4840413,1700734079999,6270.3540480,45,2885685,3739.0035100,0,5970983226
1700734080000,0.0012960,0.0012960,0.0012950,0.0012950,3676953,1700734139999,4763.7527980,49,2069877,2682.4620900,0,5970020014
1700734140000,0.0012950,0.0012950,0.0012940,0.0012940,978598,1700734199999,1267.2043140,17,836326,1083.0421700,0,5970277415
1700734200000,0.0012950,0.0012950,0.0012950,0.0012950,928881,1700734259999,1202.9008950,7,691522,895.5209900,0,5970272266
1700734260000,0.0012940,0.0012950,0.0012940,0.0012940,1212973,1700734319999,1570.7889960,9,1201934,1556.5045300,0,5970239793
1700734320000,0.0012950,0.0012950,0.0012940,0.0012950,2752321,1700734379999,3564.2508070,38,2333781,3022.2463950,0,5970349964
