Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Open Interest
1700733300000,14.561,14.582,14.561,14.579,11553.43,1700733359999,168344.28234,459,8049.64,117294.54536,0,7596046.88
1700733360000,14.580,14.592,14.579,14.590,13988.89,1700733419999,204059.64057,570,9523.38,138926.09858,0,7596184.83
1700733420000,14.591,14.597,14.585,14.590,12561.85,1700733479999,183301.30590,536,4317.53,63002.66201,0,7592201.93
1700733480000,14.591,14.593,14.578,14.583,21250.37,1700733539999,309945.03685,554,9486.19,138366.30973,0,7597860.66
1700733540000,14.582,14.596,14.579,14.592,22428.39,1700733599999,327234.05926,532,8528.62,124426.67097,0,7596831.22
1700733600000,14.592,14.600,14.586,14.598,12726.85,1700733659999,185731.39204,508,8917.72,130147.92825,0,7598302.06
1700733660000,14.599,14.601,14.570,14.571,14498.38,1700733719999,211461.82991,423,7422.40,108259.52627,0,7595045.67
1700733720000,14.572,14.582,14.571,14.578,10313.35,1700733779999,150325.05895,406,4768.81,69510.30212,0,7598753.52
1700733780000,14.577,14.590,14.576,14.583,16379.26,1700733839999,238871.44065,480,10480.59,152856.53470,0,7599356.11
1700733840000,14.582,14.589,14.567,14.569,11969.95,1700733899999,174492.63761,390,3011.57,43905.09249,0,7595915.15
1700733900000,14.569,14.570,14.553,14.561,26302.04,1700733959999,382966.14488,642,7174.86,104465.86356,0,7595006.03
1700733960000,14.560,14.562,14.541,14.544,19235.02,1700734019999,279831.19186,546,3242.40,47184.52963,0,7587843.71
1700734020000,14.543,14.560,14.541,14.559,16555.17,1700734079999,240861.50753,573,10044.04,146133.28603,0,7589252.06
1700734080000,14.560,14.564,14.540,14.541,6730.15,1700734139999,97969.08298,317,3274.58,47675.72796,0,7589338.49
1700734140000,14.540,14.550,14.538,14.547,4769.39,1700734199999,69359.41796,257,2913.14,42363.31875,0,7590148.07
1700734200000,14.547,14.550,14.536,14.536,8102.04,1700734259999,117829.51185,333,3012.62,43815.21000,0,7589521.04
1700734260000,14.536,14.541,14.534,14.541,7042.06,1700734319999,102363.47937,215,2832.81,41180.10695,0,7589799.74
1700734320000,14.541,14.547,14.535,14.547,7016.52,1700734379999,102020.44480,289,3571.43,51928.09402,0,7590548.40
1700734380000,14.548,14.550,14.534,14.535,3515.93,1700734439999,51133.60134,166,1917,27880.69846,0,7590367.55
1700734440000,14.535,14.539,14.535,14.537,3046.92,1700734499999,44293.69889,167,1378.34,20036.96669,0,7590963.78
1700734500000,14.536,14.537,14.526,14.526,8674.99,1700734559999,126057.56504,286,2585.09,37567.58784,0,7592135.24
1700734560000,14.526,14.526,14.511,14.511,20890.89,1700734619999,303285.22183,549,5740.32,83331.68346,0,7592944.45
1700734620000,14.511,14.518,14.508,14.511,11951.63,1700734679999,173429.01017,457,5149.01,74720.06344,0,7591726.69
1700734680000,14.511,14.518,14.510,14.512,6328.74,1700734739999,91846.67881,350,2147.45,31165.80995,0,7594061.61
1700734740000,14.512,14.514,14.509,14.513,9494.48,1700734799999,137776.88095,337,6170.48,89542.70175,0,7593672.21
1700734800000,14.514,14.520,14.507,14.510,10419.52,1700734859999,151229.90988,353,5200.08,75475.24836,0,7594118.26
1700734860000,14.510,14.517,14.503,14.505,16640.30,1700734919999,241452.97853,441,5270.79,76491.86865,0,7596128.14
1700734920000,14.505,14.513,14.503,14.503,11016.28,1700734979999,159827.82944,312,4178.51,60627.93778,0,7595323.26
1700734980000,14.504,14.509,14.502,14.502,7270.23,1700735039999,105455.17392,276,2709.58,39304.26285,0,7599925.05
1700735040000,14.503,14.503,14.490,14.495,20727.22,1700735099999,300462.95456,546,3953.39,57296.74929,0,7601009.97
1700735100000,14.494,14.494,14.481,14.483,15567.52,1700735159999,225495.83026,414,6307.78,91364.96676,0,7599771.43
1700735160000,14.483,14.497,14.482,14.485,6861.55,1700735219999,99414.18624,259,4006.26,58048.83923,0,7601346.06
1700735220000,14.486,14.497,14.484,14.497,5398.78,1700735279999,78230.35511,227,3577.60,51842.08786,0,7600392.51
1700735280000,14.496,14.496,14.484,14.489,6347.99,1700735339999,91983.56934,283,3245.18,47023.96209,0,7600023.77
1700735340000,14.490,14.493,14.483,14.487,5566.51,1700735399999,80649.64357,283,2359.69,34190.22235,0,7601402.40
1700735400000,14.487,14.501,14.486,14.499,8926.81,1700735459999,129399.69062,358,6058.10,87817.20271,0,7596796.13
1700735460000,14.499,14.506,14.484,14.485,19405.95,1700735519999,281364.87294,414,11514.86,166974.86360,0,7536288.57
1700735520000,14.484,14.492,14.440,14.459,158377.41,1700735579999,2291301.46327,2126,40138.34,580928.28382,0,7533621.86
1700735580000,14.460,14.472,14.459,14.461,14497.24,1700735639999,209717.27832,414,6014.95,87009.26090,0,7535013.42
1700735640000,14.461,14.468,14.448,14.455,13344.02,1700735699999,192908.06504,381,4926.27,71224.99857,0,7531635.30
1700735700000,14.455,14.455,14.426,14.427,36606.72,1700735759999,528675.54297,889,6435.07,92951.61330,0,7509334.48
1700735760000,14.428,14.432,14.406,14.432,53243.82,1700735819999,767729.36357,1203,20741.36,299128.51916,0,7507115.66
1700735820000,14.432,14.459,14.432,14.456,23740.39,1700735879999,342932.22951,601,14544.28,210095.56491,0,7506160.33
1700735880000,14.456,14.462,14.452,14.457,12331.72,1700735939999,178285.63261,363,7616.21,110110.44670,0,7512730.08
1700735940000,14.457,14.457,14.442,14.454,15425.39,1700735999999,222882.64299,288,3731.44,53912.10417,0,7512828.90
1700736000000,14.455,14.464,14.454,14.463,5989.78,1700736059999,86602.02208,290,3001.09,43390.63301,0,7511110.17
1700736060000,14.463,14.464,14.444,14.451,17909.42,1700736119999,258881.87280,450,9789.55,141483.85541,0,7511983.38
1700736120000,14.451,14.469,14.451,14.461,10646.12,1700736179999,153994.00803,318,3201.92,46311.92213,0,7513080.80
1700736180000,14.460,14.460,14.440,14.448,11859.03,1700736239999,171341.68711,310,4793.37,69259.57965,0,7514864.12
1700736240000,14.449,14.457,14.447,14.449,6999.17,1700736299999,101147.88547,265,3196.59,46199.30504,0,7514308.02
1700736300000,14.449,14.454,14.441,14.450,12929.93,1700736359999,186804.02944,381,7308.80,105594.10516,0,7512157.52
1700736360000,14.451,14.458,14.444,14.458,8746.98,1700736419999,126391.68897,278,5455.49,78828.77318,0,7512538.65
1700736420000,14.457,14.467,14.457,14.458,16230.46,1700736479999,234723.88568,416,8236.78,119124.58922,0,7513233.59
1700736480000,14.458,14.458,14.451,14.453,6500.46,1700736539999,93960.72921,222,3642.35,52650.00567,0,7513600.77
1700736540000,14.453,14.464,14.452,14.458,6598.42,1700736599999,95396.70523,250,3126.32,45195.95914,0,7513895.93
1700736600000,14.459,14.459,14.444,14.445,4639.62,1700736659999,67060.20465,238,1218.42,17608.74163,0,7512894.67
1700736660000,14.444,14.453,14.442,14.444,6209.62,1700736719999,89709.81853,257,2554.26,36897.66500,0,7513714.96
1700736720000,14.442,14.443,14.430,14.440,9073.62,1700736779999,130981.70651,361,4659.65,67260.42168,0,7513415.64
1700736780000,14.439,14.450,14.435,14.444,14883.99,1700736839999,214958.69366,394,6782.94,97954.80526,0,7511532.32
1700736840000,14.444,14.462,14.444,14.461,9413.71,1700736899999,136094.61255,292,7259.13,104945.24962,0,7513302.59
1700736900000,14.461,14.463,14.445,14.445,5807.87,1700736959999,83969.67391,312,2273.49,32870.09207,0,7509845.62
