Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Open Interest
1700733300000,10.833,10.833,10.823,10.831,3059.91,1700733359999,33130.50114,123,1862.12,20161.13352,0,1137116.65
1700733360000,10.830,10.835,10.829,10.830,1526.81,1700733419999,16537.30436,67,821.44,8897.11328,0,1136251.26
1700733420000,10.831,10.831,10.821,10.827,1430.23,1700733479999,15480.82359,98,457.78,4955.41559,0,1136121.32
1700733480000,10.827,10.843,10.823,10.841,3630.27,1700733539999,39318.66291,176,2688.73,29126.23374,0,1138461.26
1700733540000,10.841,10.842,10.837,10.841,3064.71,1700733599999,33219.18204,129,1514.99,16420.57593,0,1136989.45
1700733600000,10.841,10.853,10.837,10.843,6533.78,1700733659999,70858.02185,268,3548.82,38486.85026,0,1137092.93
1700733660000,10.843,10.844,10.822,10.823,852.21,1700733719999,9233.64724,85,104.91,1136.09711,0,1137201.03
1700733720000,10.824,10.826,10.816,10.816,2818.57,1700733779999,30498.36874,153,1252.75,13556.48441,0,1136452.89
1700733780000,10.818,10.831,10.818,10.828,2798.92,1700733839999,30295.36694,185,1441.57,15603.85005,0,1136265.85
1700733840000,10.827,10.828,10.813,10.814,2367.79,1700733899999,25616.69402,128,846.29,9154.66772,0,1135854.83
1700733900000,10.813,10.826,10.812,10.818,4320.03,1700733959999,46732.82325,243,2072.51,22419.13474,0,1133871.20
1700733960000,10.819,10.819,10.813,10.813,2496.36,1700734019999,27001.05173,115,1470.76,15907.90282,0,1136726.06
1700734020000,10.814,10.825,10.809,10.813,6142.65,1700734079999,66425.90028,225,1601.47,17317.39609,0,1136761.14
1700734080000,10.814,10.815,10.804,10.804,2465.30,1700734139999,26651.42272,161,1630.16,17624.96265,0,1136302.66
1700734140000,10.805,10.805,10.793,10.794,2209.88,1700734199999,23867.56196,123,572.39,6183.15534,0,1136727.10
1700734200000,10.794,10.797,10.782,10.782,5755.52,1700734259999,62099.07109,294,1175.73,12687.35206,0,1136569.40
1700734260000,10.783,10.792,10.783,10.787,1247.89,1700734319999,13463.12007,94,624.38,6735.88600,0,1135731.26
1700734320000,10.788,10.799,10.785,10.798,3659.94,1700734379999,39491.99575,140,1887.83,20374.57828,0,1135721.65
1700734380000,10.798,10.798,10.776,10.782,3104.78,1700734439999,33482.08909,148,296.79,3200.02519,0,1134470.58
1700734440000,10.785,10.789,10.785,10.786,1049.58,1700734499999,11320.97434,85,860.35,9279.70611,0,1132796.18
1700734500000,10.787,10.788,10.771,10.771,3568.71,1700734559999,38476.45682,196,557.79,6015.97698,0,1132240.89
1700734560000,10.772,10.776,10.761,10.764,5820.93,1700734619999,62679.49197,279,2866.39,30866.86573,0,1132318.89
1700734620000,10.765,10.781,10.764,10.775,2937.82,1700734679999,31657.32076,151,1346.58,14507.49019,0,1131966.20
1700734680000,10.775,10.780,10.774,10.777,1150.33,1700734739999,12397.42243,99,710.75,7660.28869,0,1131375.78
1700734740000,10.777,10.777,10.766,10.770,1878.06,1700734799999,20224.52195,130,733.95,7904.57021,0,1132259.12
1700734800000,10.771,10.780,10.767,10.769,3784.37,1700734859999,40776.94595,209,2933.09,31606.78691,0,1131789.70
1700734860000,10.770,10.777,10.766,10.777,1588.92,1700734919999,17114.06554,124,783.09,8435.39353,0,1131495.91
1700734920000,10.776,10.780,10.767,10.770,2132.44,1700734979999,22974.77485,134,538.11,5798.34467,0,1131273.92
1700734980000,10.769,10.769,10.759,10.759,2818.62,1700735039999,30340.77797,130,378.44,4075.06556,0,1129206.02
