Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Open Interest
1700733300000,2.1245,2.1264,2.1239,2.1256,22736.8,1700733359999,48310.38064,288,12620.5,26815.05972,0,6083801.2
1700733360000,2.1258,2.1273,2.1253,2.1268,9420.9,1700733419999,20032.94882,211,4522.9,9618.70161,0,6083988.8
1700733420000,2.1270,2.1300,2.1245,2.1300,19277.2,1700733479999,41008.55678,307,14133.8,30074.35860,0,6093228.7
1700733480000,2.1294,2.1311,2.1289,2.1289,18692.6,1700733539999,39820.95730,306,12868.3,27414.74616,0,6088652.8
1700733540000,2.1292,2.1293,2.1270,2.1291,12080.8,1700733599999,25706.39408,213,4539.1,9660.08691,0,6086105.2
1700733600000,2.1290,2.1290,2.1268,2.1274,18515,1700733659999,39395.34718,292,5198.6,11062.37000,0,6084288.8
1700733660000,2.1273,2.1284,2.1237,2.1237,31550.1,1700733719999,67052.92326,256,4496.7,9564.94290,0,6086996.0
1700733720000,2.1237,2.1252,2.1236,2.1240,4204.7,1700733779999,8932.18395,119,2975.3,6320.41584,0,6082127.0
1700733780000,2.1241,2.1264,2.1230,2.1253,12767.6,1700733839999,27125.27169,259,8587.1,18245.54220,0,6080735.1
1700733840000,2.1253,2.1254,2.1237,2.1243,13305.3,1700733899999,28270.72179,191,10201.3,21675.88971,0,6087539.4
1700733900000,2.1242,2.1242,2.1230,2.1242,4876.9,1700733959999,10357.86709,147,2249.1,4776.86442,0,6080960.5
1700733960000,2.1242,2.1249,2.1227,2.1243,22697.4,1700734019999,48206.33492,266,11725.3,24909.48108,0,6090619.2
1700734020000,2.1243,2.1250,2.1200,2.1223,26093.4,1700734079999,55373.18848,407,8500.9,18047.79328,0,6089864.0
1700734080000,2.1227,2.1244,2.1222,2.1228,5954.6,1700734139999,12641.89850,181,3332.2,7074.82384,0,6088801.0
1700734140000,2.1225,2.1226,2.1209,2.1217,8006.1,1700734199999,16987.28051,212,2341.7,4969.27707,0,6088601.7
1700734200000,2.1216,2.1232,2.1211,2.1211,6278.2,1700734259999,13323.04040,144,4119.8,8744.12499,0,6090491.9
1700734260000,2.1211,2.1224,2.1209,2.1222,4160.3,1700734319999,8826.97332,86,3606.5,7651.97565,0,6089417.1
1700734320000,2.1223,2.1237,2.1220,2.1237,15515.5,1700734379999,32937.52796,232,10629.8,22566.23267,0,6089689.6
1700734380000,2.1238,2.1240,2.1199,2.1199,6848.3,1700734439999,14530.50525,175,1781.2,3780.82010,0,6086635.3
1700734440000,2.1198,2.1208,2.1184,2.1208,7247.5,1700734499999,15361.78663,142,3982.5,8443.28402,0,6086341.8
1700734500000,2.1207,2.1207,2.1155,2.1156,12773.6,1700734559999,27056.44117,243,2038.2,4318.41868,0,6087940.0
1700734560000,2.1158,2.1160,2.1126,2.1143,11522.7,1700734619999,24366.02977,234,5365.5,11347.46224,0,6084345.3
1700734620000,2.1140,2.1169,2.1140,2.1160,12854.5,1700734679999,27193.68110,200,10947.9,23161.63664,0,6085692.4
1700734680000,2.1159,2.1189,2.1154,2.1179,5110.8,1700734739999,10822.79733,129,3169.8,6711.19203,0,6085120.6
1700734740000,2.1178,2.1181,2.1152,2.1152,6963.4,1700734799999,14737.16866,143,1463.4,3097.27946,0,6082400.1
1700734800000,2.1157,2.1160,2.1121,2.1121,9831.1,1700734859999,20782.52312,275,2741.7,5797.20739,0,6078944.8
1700734860000,2.1123,2.1145,2.1120,2.1120,18519.1,1700734919999,39129.54066,220,6443.6,13615.69800,0,6074361.9
1700734920000,2.1125,2.1159,2.1125,2.1147,6583.2,1700734979999,13922.21878,134,4592.3,9711.51800,0,6072028.0
1700734980000,2.1146,2.1147,2.1136,2.1140,5525.5,1700735039999,11681.65447,88,1824.7,3857.32716,0,6070717.0
1700735040000,2.1137,2.1137,2.1106,2.1121,11768.4,1700735099999,24856.52600,176,5638.3,11911.68261,0,6070524.4
1700735100000,2.1119,2.1119,2.1101,2.1116,6719.3,1700735159999,14184.50097,176,2633.5,5560.06787,0,6069446.6
1700735160000,2.1116,2.1146,2.1109,2.1128,7442.1,1700735219999,15725.68308,146,4754,10046.87744,0,6069223.8
1700735220000,2.1127,2.1141,2.1126,2.1141,2766.5,1700735279999,5847.67439,63,1573,3324.88539,0,6068233.4
1700735280000,2.1142,2.1143,2.1123,2.1123,6899.8,1700735339999,14580.50577,182,4546.5,9607.64156,0,6068673.3
1700735340000,2.1124,2.1125,2.1117,2.1118,3194.1,1700735399999,6746.21241,57,702.9,1484.47098,0,6067219.4
1700735400000,2.1118,2.1139,2.1114,2.1130,5345.4,1700735459999,11295.34784,123,4141,8750.19561,0,6067680.6
1700735460000,2.1129,2.1147,2.1128,2.1145,4910.4,1700735519999,10379.66355,127,4077.3,8618.42427,0,6068220.1
1700735520000,2.1144,2.1159,2.1140,2.1159,6552.9,1700735579999,13860.19139,152,5391.8,11404.78643,0,6076927.1
1700735580000,2.1160,2.1166,2.1143,2.1163,18074.9,1700735639999,38246.21760,211,6969.6,14748.78462,0,6076925.7
1700735640000,2.1163,2.1163,2.1128,2.1128,3405.6,1700735699999,7202.05240,121,617.3,1305.46471,0,6076294.0
1700735700000,2.1127,2.1127,2.1103,2.1103,4829.4,1700735759999,10199.86786,139,3100.4,6548.77616,0,6070640.5
1700735760000,2.1103,2.1103,2.1063,2.1074,25884,1700735819999,54561.12878,343,6413.4,13517.01966,0,6068392.2
1700735820000,2.1074,2.1105,2.1066,2.1102,18484.6,1700735879999,38990.62195,267,9791.5,20656.70567,0,6074341.1
1700735880000,2.1101,2.1121,2.1071,2.1092,43033.8,1700735939999,90765.03754,597,14020.1,29572.56776,0,6075874.4
1700735940000,2.1092,2.1098,2.1076,2.1095,5305.5,1700735999999,11187.96310,150,1671.5,3525.02043,0,6074953.2
1700736000000,2.1095,2.1123,2.1095,2.1116,6828.5,1700736059999,14414.35516,165,6048.6,12768.08004,0,6079228.6
1700736060000,2.1116,2.1124,2.1101,2.1116,11526.1,1700736119999,24332.30371,204,8073.6,17044.99542,0,6078883.5
1700736120000,2.1108,2.1125,2.1108,2.1112,6233,1700736179999,13162.78105,130,4756.9,10046.12837,0,6080346.1
1700736180000,2.1112,2.1113,2.1083,2.1094,5492.4,1700736239999,11586.64072,140,3467.2,7312.88875,0,6078449.2
1700736240000,2.1095,2.1111,2.1095,2.1102,3945.3,1700736299999,8326.40630,80,1325.2,2796.62308,0,6076888.8
1700736300000,2.1104,2.1105,2.1054,2.1061,14484.1,1700736359999,30518.04586,282,3124,6584.38135,0,6072985.1
1700736360000,2.1062,2.1066,2.1041,2.1066,7482.4,1700736419999,15751.05277,228,2380.1,5010.74885,0,6073088.4
