Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Open Interest
1700733300000,8515,8518,8499,8514,15.894,1700733359999,135201.8590,538,3.771,32090.3100,0,2237.331
1700733360000,8514,8538,8514,8534,9.849,1700733419999,83960.3590,358,7.985,68059.9790,0,2236.152
1700733420000,8535,8546,8534,8544,10.094,1700733479999,86200.6710,320,7.568,64634.6590,0,2240.099
1700733480000,8544,8544,8520,8540,10.346,1700733539999,88276.1170,398,7.811,66644.5880,0,2237.101
1700733540000,8540,8545,8538,8543,2.551,1700733599999,21791.0950,213,0.991,8465.2930,0,2233.719
1700733600000,8543,8554,8536,8549,9.752,1700733659999,83317.4990,526,5.682,48539.1120,0,2231.887
1700733660000,8549,8551,8538,8539,2.601,1700733719999,22222.8100,222,1.509,12893.1610,0,2231.399
1700733720000,8538,8538,8515,8515,4.646,1700733779999,39611.6650,319,1.460,12445.3990,0,2233.383
1700733780000,8516,8518,8509,8512,8.064,1700733839999,68656.6550,379,3.594,30601.7100,0,2234.825
1700733840000,8511,8514,8508,8513,5.415,1700733899999,46085.7850,225,3.397,28911.7060,0,2237.123
1700733900000,8512,8516,8506,8508,6.885,1700733959999,58590.1800,317,3.480,29612.4960,0,2238.908
1700733960000,8510,8516,8508,8516,3.909,1700734019999,33273.7960,252,2.543,21644.7650,0,2229.884
1700734020000,8515,8523,8493,8500,31.775,1700734079999,270259.5120,830,4.678,39796.5540,0,2228.887
1700734080000,8497,8504,8495,8496,5.910,1700734139999,50241.6900,239,2.690,22871.1730,0,2227.908
1700734140000,8496,8503,8495,8496,3.678,1700734199999,31259.3630,191,1.881,15986.7430,0,2227.308
1700734200000,8498,8501,8483,8485,7.059,1700734259999,59937.8120,318,1.763,14969.2350,0,2227.923
1700734260000,8484,8491,8483,8489,6.028,1700734319999,51158.8860,209,2.848,24172.2900,0,2227.123
1700734320000,8488,8500,8486,8498,6.381,1700734379999,54199.7920,188,4.208,35739.2650,0,2227.260
1700734380000,8498,8499,8494,8496,1.202,1700734439999,10213.7110,83,0.426,3620.0530,0,2226.624
