timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field,ratio
1681592100000,0.03209,0.03209,0.03207,0.03207,100733,1681592399999,3231.61649,53,38718,1242.27133,0,2.5881
1681592400000,0.03207,0.03208,0.03201,0.03207,669255,1681592699999,21441.73433,162,399813,12807.49886,0,2.5753
1681592700000,0.03207,0.03207,0.032,0.03202,472070,1681592999999,15119.0864,106,253597,8120.17065,0,2.5651
1681593000000,0.03202,0.03211,0.03199,0.03209,1865294,1681593299999,59783.81659,295,1538342,49304.38119,0,2.5945
1681593300000,0.03209,0.03216,0.03207,0.03214,1088649,1681593599999,34953.39965,298,728924,23404.97571,0,2.5881
1681593600000,0.03213,0.03216,0.03213,0.03215,520053,1681593899999,16715.68793,169,374289,12030.77679,0,2.4423
1681593900000,0.03215,0.03216,0.03212,0.03214,385682,1681594199999,12394.05044,150,138166,4441.07739,0,2.4235
1681594200000,0.03214,0.0322,0.03214,0.03216,695584,1681594499999,22376.22936,295,466703,15014.60073,0,2.4235
1681594500000,0.03216,0.0322,0.03215,0.03215,289008,1681594799999,9301.56329,108,130639,4204.70754,0,2.3535
1681594800000,0.03216,0.0322,0.03215,0.03219,229862,1681595099999,7399.63866,85,75313,2423.25058,0,2.367
1681595100000,0.0322,0.0322,0.03213,0.03215,440373,1681595399999,14161.75844,152,238251,7660.59247,0,2.3818
1681595400000,0.03215,0.0322,0.0321,0.03214,811828,1681595699999,26096.79119,177,424813,13654.10882,0,2.3738
1681595700000,0.03214,0.03214,0.03209,0.03212,322719,1681595999999,10364.3843,101,132756,4263.22795,0,2.3795
1681596000000,0.03212,0.0322,0.03207,0.03216,995900,1681596299999,31997.86226,271,500036,16061.37603,0,2.3772
1681596300000,0.03215,0.03222,0.03215,0.0322,400493,1681596599999,12893.26404,101,181744,5850.56663,0,2.3967
1681596600000,0.03221,0.03223,0.03221,0.03222,160119,1681596899999,5158.62158,81,72831,2346.21857,0,2.3852
1681596900000,0.03222,0.03229,0.03222,0.03228,522296,1681597199999,16840.03588,99,258812,8344.2507,0,2.406
1681597200000,0.03229,0.03231,0.03224,0.03229,619546,1681597499999,19999.40893,121,267763,8642.68324,0,2.4083
1681597500000,0.03229,0.0323,0.03226,0.03228,331148,1681597799999,10691.66008,55,134323,4335.19478,0,2.4025
1681597800000,0.03229,0.0323,0.03227,0.03227,262068,1681598099999,8460.21973,81,131312,4239.04811,0,2.3864
1681598100000,0.03227,0.03228,0.03225,0.03227,360418,1681598399999,11629.29438,74,197406,6369.62497,0,2.3898
1681598400000,0.0323,0.03231,0.03228,0.03228,471041,1681598699999,15211.71826,147,78811,2545.44005,0,2.3933
1681598700000,0.03229,0.03231,0.03226,0.03226,473419,1681598999999,15284.66336,111,225967,7295.95118,0,2.4118
1681599000000,0.03228,0.03228,0.03227,0.03227,38062,1681599299999,1228.4253,25,16456,531.19968,0,2.4317
1681599300000,0.03227,0.0323,0.03227,0.0323,115341,1681599599999,3723.99164,46,73464,2371.98164,0,2.4435
1681599600000,0.03229,0.03232,0.03225,0.03231,583950,1681599899999,18849.29833,216,222210,7171.22752,0,2.4483
1681599900000,0.0323,0.0323,0.03228,0.03229,191511,1681600199999,6184.31522,126,26503,855.78561,0,2.4698
1681600200000,0.03228,0.03229,0.03227,0.03228,273228,1681600499999,8820.6858,158,87351,2820.19323,0,2.4819
1681600500000,0.03228,0.03232,0.03227,0.03228,412138,1681600799999,13311.30299,181,186535,6024.86434,0,2.499
1681600800000,0.03229,0.03229,0.03227,0.03228,202300,1681601099999,6530.25761,44,67431,2176.89382,0,2.5051
1681601100000,0.03228,0.0323,0.03223,0.03227,207141,1681601399999,6685.30916,64,34442,1111.00598,0,2.4892
1681601400000,0.03228,0.03233,0.03228,0.0323,653355,1681601699999,21105.47906,137,346605,11196.7383,0,2.4965
1681601700000,0.0323,0.03233,0.03225,0.0323,859481,1681601999999,27748.80433,164,193891,6262.36948,0,2.4855
1681602000000,0.03231,0.03232,0.03224,0.03226,816588,1681602299999,26352.40251,147,151075,4875.68021,0,2.471
1681602300000,0.03227,0.03231,0.03222,0.03222,591616,1681602599999,19099.42232,165,225559,7283.68909,0,2.488
1681602600000,0.03221,0.03222,0.03215,0.03222,560999,1681602899999,18063.72816,118,150120,4834.31807,0,2.5298
1681602900000,0.03223,0.03223,0.03217,0.03217,281080,1681603199999,9052.90654,110,43644,1406.235,0,2.5211
1681603200000,0.03218,0.03238,0.03217,0.03238,2759842,1681603499999,89132.70246,473,1664228,53737.80537,0,2.5211
1681603500000,0.03238,0.03249,0.03233,0.03235,4010915,1681603799999,130001.51168,795,2147181,69602.72025,0,2.4855
1681603800000,0.03235,0.03237,0.03225,0.03225,2516300,1681604099999,81320.60949,489,979439,31655.68042,0,2.3047
1681604100000,0.03224,0.03228,0.03218,0.03228,1232647,1681604399999,39705.48082,244,707802,22802.74716,0,2.2436
1681604400000,0.03229,0.03229,0.03222,0.03223,601153,1681604699999,19392.06001,262,127144,4101.28345,0,2.2862
1681604700000,0.03223,0.03224,0.03217,0.03219,797779,1681604999999,25686.08074,263,247305,7962.95378,0,2.3795
1681605000000,0.03219,0.03223,0.03218,0.03223,697716,1681605299999,22472.27455,241,297987,9597.34578,0,2.4602
1681605300000,0.03222,0.03222,0.03216,0.03216,761981,1681605599999,24539.7068,162,176033,5668.88413,0,2.4674
1681605600000,0.03217,0.03225,0.03216,0.03224,499624,1681605899999,16091.25687,231,204044,6570.7374,0,2.4771
1681605900000,0.03224,0.03224,0.0322,0.03222,416329,1681606199999,13414.05026,82,202252,6515.82677,0,2.4855
1681606200000,0.03222,0.03224,0.03216,0.03217,430953,1681606499999,13887.67915,96,146765,4729.78106,0,2.4734
1681606500000,0.03217,0.03217,0.03208,0.03208,493321,1681606799999,15845.74702,112,157630,5062.489,0,2.4771
1681606800000,0.03209,0.03212,0.03202,0.03203,1349916,1681607099999,43273.48082,215,530271,17003.88658,0,2.4674
1681607100000,0.03204,0.03204,0.03195,0.03199,1307377,1681607399999,41829.14439,197,741141,23718.95838,0,2.4783
1681607400000,0.03199,0.032,0.03178,0.03185,4978209,1681607699999,158667.50465,713,3372656,107495.33404,0,2.4843
1681607700000,0.03185,0.03187,0.03173,0.03183,2128620,1681607999999,67675.11092,310,1249729,39731.30268,0,2.4941
1681608000000,0.03184,0.03194,0.0318,0.03193,790836,1681608299999,25200.47323,156,389031,12398.67363,0,2.4626
1681608300000,0.0319,0.03199,0.03188,0.03197,425055,1681608599999,13573.96174,91,259929,8299.99173,0,2.4341
1681608600000,0.03196,0.03199,0.0319,0.03197,397232,1681608899999,12688.84578,104,172910,5522.84207,0,2.4447
1681608900000,0.03198,0.03199,0.03196,0.03198,355507,1681609199999,11369.84264,92,200933,6426.29722,0,2.4542
1681609200000,0.03197,0.03203,0.03194,0.03197,597628,1681609499999,19117.87969,125,193093,6178.31748,0,2.465
1681609500000,0.03196,0.03202,0.03193,0.03201,772131,1681609799999,24680.59862,109,363340,11611.69015,0,2.4734
1681609800000,0.03202,0.03203,0.032,0.03203,238346,1681610099999,7630.22999,118,99683,3191.49387,0,2.4795
1681610100000,0.03203,0.03206,0.03201,0.03202,238059,1681610399999,7626.57685,110,38534,1234.07556,0,2.5063
1681610400000,0.03202,0.03204,0.03197,0.03203,707009,1681610699999,22622.18349,123,340788,10904.43539,0,2.5174
1681610700000,0.03204,0.03208,0.03199,0.03208,880292,1681610999999,28200.1374,162,521864,16717.06957,0,2.5174
1681611000000,0.03207,0.03214,0.03207,0.0321,1323742,1681611299999,42505.70718,176,864120,27744.52251,0,2.5361
1681611300000,0.03209,0.03209,0.03207,0.03207,325396,1681611599999,10437.13609,60,191917,6155.17161,0,2.499
1681611600000,0.03207,0.0321,0.03205,0.03206,248062,1681611899999,7953.07032,44,186067,5964.85729,0,2.4698
1681611900000,0.03205,0.03206,0.03201,0.03202,380569,1681612199999,12188.43592,62,265614,8506.50068,0,2.4807
1681612200000,0.03201,0.03203,0.03196,0.03203,739251,1681612499999,23643.88395,132,478932,15315.58115,0,2.4928
1681612500000,0.03202,0.03202,0.03198,0.03201,136968,1681612799999,4382.79353,41,84187,2693.37303,0,2.4855
1681612800000,0.03201,0.03206,0.03201,0.03204,100741,1681613099999,3228.99668,28,19318,618.7982,0,2.5298
1681613100000,0.03206,0.03207,0.03203,0.03203,280479,1681613399999,8989.98456,48,5095,163.37756,0,2.5336
1681613400000,0.03204,0.03206,0.03203,0.03206,141664,1681613699999,4541.28942,29,35494,1137.52149,0,2.5361
1681613700000,0.03206,0.03207,0.03202,0.03204,391523,1681613999999,12545.4315,57,85589,2742.48263,0,2.5336
1681614000000,0.03203,0.03204,0.03201,0.03203,309393,1681614299999,9908.95156,89,145002,4644.46929,0,2.5361
1681614300000,0.03204,0.03205,0.03202,0.03204,96633,1681614599999,3095.28163,62,35177,1126.93156,0,2.5423
1681614600000,0.03204,0.03208,0.03204,0.03207,393468,1681614899999,12617.70572,149,145506,4664.99977,0,2.5651
1681614900000,0.03206,0.03208,0.03202,0.03202,651605,1681615199999,20884.09528,92,356167,11416.95481,0,2.5689
1681615200000,0.03202,0.03203,0.032,0.03202,228830,1681615499999,7325.80136,48,58051,1858.08385,0,2.5804
1681615500000,0.03201,0.03217,0.03199,0.03213,1887983,1681615799999,60580.97778,294,1563919,50175.16628,0,2.5273
1681615800000,0.03213,0.03215,0.03204,0.03215,1476875,1681616099999,47413.00772,380,987410,31702.38886,0,2.5286
1681616100000,0.03214,0.0322,0.03214,0.03218,507809,1681616399999,16337.71808,160,330553,10634.71627,0,2.3102
1681616400000,0.03217,0.03217,0.0321,0.03212,373729,1681616699999,12007.13396,143,277517,8915.48268,0,2.2884
1681616700000,0.03212,0.03218,0.03211,0.03218,272919,1681616999999,8771.53667,74,208525,6702.56973,0,2.2938
1681617000000,0.03218,0.03218,0.03207,0.03209,575228,1681617299999,18473.89994,118,197784,6348.07622,0,2.2895
1681617300000,0.0321,0.03215,0.03209,0.03214,184189,1681617599999,5914.23656,66,94771,3042.9492,0,2.2982
1681617600000,0.03214,0.03215,0.03207,0.03209,543675,1681617899999,17448.16955,197,179306,5753.45436,0,2.2895
1681617900000,0.03209,0.03211,0.03209,0.0321,101540,1681618199999,3259.71448,66,30167,968.49885,0,2.3036
1681618200000,0.03211,0.03212,0.03205,0.03209,1033782,1681618499999,33162.88157,147,209971,6738.90967,0,2.3478
1681618500000,0.03209,0.0321,0.03206,0.03209,678519,1681618799999,21763.08719,277,178449,5724.90695,0,2.3546
1681618800000,0.03209,0.03211,0.03205,0.03206,366204,1681619099999,11746.37603,181,97236,3119.28308,0,2.471
1681619100000,0.03205,0.03207,0.03205,0.03206,250647,1681619399999,8035.32659,66,132510,4248.34707,0,2.5149
1681619400000,0.03207,0.0321,0.03203,0.0321,300838,1681619699999,9647.36488,203,86052,2759.89437,0,2.5174
1681619700000,0.03211,0.03214,0.03209,0.03213,739892,1681619999999,23767.65031,214,315530,10135.70579,0,2.5373
1681620000000,0.03214,0.03215,0.03213,0.03215,253924,1681620299999,8160.8719,66,67522,2170.16807,0,2.5461
1681620300000,0.03215,0.03216,0.03214,0.03214,316081,1681620599999,10163.73617,75,78478,2523.46601,0,2.5511
1681620600000,0.03215,0.03216,0.03214,0.03215,280232,1681620899999,9009.95202,61,127659,4104.39367,0,2.5511
1681620900000,0.03215,0.03218,0.03215,0.03218,459824,1681621199999,14793.16853,79,146467,4711.83009,0,2.5461
1681621200000,0.03217,0.03219,0.03216,0.03216,464068,1681621499999,14933.17313,112,136281,4385.64804,0,2.5386
1681621500000,0.03216,0.03218,0.03216,0.03218,220225,1681621799999,7086.20523,64,90186,2901.84902,0,2.5311
1681621800000,0.03217,0.03219,0.03216,0.03217,590309,1681622099999,18993.82229,97,204034,6565.31478,0,2.5423
1681622100000,0.03217,0.03219,0.03217,0.03217,476945,1681622399999,15348.68469,89,228232,7344.64398,0,2.5286
1681622400000,0.03217,0.03219,0.03217,0.03217,122935,1681622699999,3955.54141,35,30563,983.52979,0,2.5436
1681622700000,0.03218,0.03221,0.03217,0.03221,542726,1681622999999,17470.87054,107,215940,6951.22901,0,2.5436
1681623000000,0.0322,0.03222,0.03219,0.03221,218196,1681623299999,7026.78989,112,28136,906.27635,0,2.5486
