timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field,ratio
1681592100000,0.5622,0.5622,0.561,0.5616,51396,1681592399999,28854.1821,184,31362,17605.6992,0,3.4464
1681592400000,0.5615,0.5616,0.5608,0.561,94098,1681592699999,52813.3053,371,39279,22045.8891,0,3.4385
1681592700000,0.561,0.561,0.5599,0.5599,125396,1681592999999,70267.4477,422,56079,31425.655,0,3.4543
1681593000000,0.5599,0.5602,0.5592,0.56,82591,1681593299999,46218.5387,359,40496,22660.3211,0,3.4803
1681593300000,0.56,0.5607,0.56,0.5605,75075,1681593599999,42064.3778,359,34742,19467.8104,0,3.529
1681593600000,0.5606,0.5612,0.5605,0.5611,49345,1681593899999,27679.6518,195,14406,8080.0624,0,3.5558
1681593900000,0.5611,0.5615,0.561,0.5613,33442,1681594199999,18771.3528,109,19754,11089.0765,0,3.5767
1681594200000,0.5613,0.5618,0.5613,0.5617,64151,1681594499999,36028.843,254,16779,9423.3397,0,3.5704
1681594500000,0.5618,0.5626,0.5617,0.5622,76442,1681594799999,42989.0335,255,26079,14664.3446,0,3.5641
1681594800000,0.5622,0.5629,0.5622,0.5626,62159,1681595099999,34964.0919,151,25878,14558.2165,0,3.5393
1681595100000,0.5625,0.5627,0.5614,0.5618,185503,1681595399999,104293.118,369,98246,55245.8908,0,3.5147
1681595400000,0.5617,0.5625,0.5609,0.5614,72648,1681595699999,40802.5885,246,38068,21381.1631,0,3.5126
1681595700000,0.5612,0.5613,0.5606,0.5612,109181,1681595999999,61237.8652,218,62915,35290.4534,0,3.4743
1681596000000,0.5613,0.5617,0.5596,0.5617,177639,1681596299999,99589.8591,515,82735,46384.1442,0,3.4803
1681596300000,0.5617,0.5625,0.5617,0.5623,61606,1681596599999,34629.0993,302,42717,24011.099,0,3.5167
1681596600000,0.5623,0.5629,0.5622,0.5629,68990,1681596899999,38812.2333,235,37792,21260.6251,0,3.5393
1681596900000,0.5629,0.5637,0.5628,0.5636,74795,1681597199999,42129.5742,229,43531,24518.6243,0,3.5188
1681597200000,0.5637,0.5642,0.5631,0.564,104120,1681597499999,58688.9419,328,46046,25953.9114,0,3.5269
1681597500000,0.5639,0.5655,0.5638,0.5643,239615,1681597799999,135299.0782,508,154311,87150.9469,0,3.5393
1681597800000,0.5642,0.5647,0.5637,0.564,98534,1681598099999,55584.4634,345,55505,31312.4029,0,3.5269
1681598100000,0.564,0.5642,0.5632,0.5642,74081,1681598399999,41757.9563,277,40346,22738.8433,0,3.5126
1681598400000,0.5642,0.5645,0.5637,0.5642,76361,1681598699999,43078.1884,213,27692,15623.0829,0,3.4924
1681598700000,0.5643,0.5647,0.5635,0.564,87811,1681598999999,49540.0177,253,43757,24684.4998,0,3.5188
1681599000000,0.5642,0.5645,0.5637,0.5643,45134,1681599299999,25460.7495,166,20472,11549.1532,0,3.4984
1681599300000,0.5643,0.5649,0.5643,0.5645,49465,1681599599999,27926.8669,116,23367,13191.5447,0,3.5249
1681599600000,0.5644,0.5659,0.5644,0.5655,234583,1681599899999,132633.7091,668,148419,83919.2809,0,3.5126
1681599900000,0.5654,0.5658,0.5649,0.5654,128998,1681600199999,72926.2658,464,48218,27258.4741,0,3.5126
1681600200000,0.5653,0.5656,0.565,0.565,38942,1681600499999,22015.4878,216,17284,9771.0515,0,3.4683
1681600500000,0.5651,0.566,0.5651,0.5659,77166,1681600799999,43643.4679,276,47066,26619.4743,0,3.4964
1681600800000,0.5658,0.566,0.5656,0.5656,41903,1681601099999,23708.1979,165,18585,10514.6121,0,3.5045
1681601100000,0.5656,0.5664,0.565,0.566,81003,1681601399999,45826.6458,262,43727,24740.1208,0,3.5147
1681601400000,0.5659,0.5673,0.5658,0.5667,205410,1681601699999,116379.1073,514,118711,67261.7029,0,3.5106
1681601700000,0.5667,0.5673,0.5665,0.5672,80205,1681601999999,45472.8837,336,40561,22997.1335,0,3.5025
1681602000000,0.5671,0.5675,0.5666,0.5673,58662,1681602299999,33268.0366,285,17618,9992.2791,0,3.4248
1681602300000,0.5672,0.5674,0.5662,0.5662,44062,1681602599999,24978.7925,204,4300,2437.5523,0,3.3995
1681602600000,0.5662,0.5662,0.5653,0.5662,76145,1681602899999,43082.2722,275,50666,28668.9352,0,3.4267
1681602900000,0.5662,0.5662,0.5652,0.5659,77931,1681603199999,44082.8661,194,51638,29209.002,0,3.4405
1681603200000,0.5659,0.5703,0.5658,0.5678,636995,1681603499999,361749.1128,1607,382030,216900.3965,0,3.4464
1681603500000,0.5678,0.5704,0.5678,0.5702,251752,1681603799999,143281.2958,658,154699,88030.2567,0,3.4346
1681603800000,0.5702,0.572,0.5687,0.5687,447338,1681604099999,255230.8531,1346,242970,138671.5063,0,3.3459
1681604100000,0.5686,0.5699,0.5683,0.5697,100874,1681604399999,57408.4266,322,64750,36849.9449,0,3.3029
1681604400000,0.5697,0.5699,0.5687,0.5697,185232,1681604699999,105464.7305,529,120095,68379.98,0,3.2499
1681604700000,0.5697,0.5697,0.5687,0.5694,68402,1681604999999,38929.8989,270,32790,18658.8501,0,3.2517
1681605000000,0.5694,0.5709,0.5692,0.5701,130457,1681605299999,74372.8023,443,81847,46655.6613,0,3.2481
1681605300000,0.5701,0.5705,0.5684,0.5687,87895,1681605599999,50038.0458,258,28799,16387.5494,0,3.2626
1681605600000,0.5687,0.5692,0.5681,0.5689,87919,1681605899999,49990.7628,253,53633,30495.5297,0,3.2517
1681605900000,0.5689,0.5694,0.5687,0.5688,54540,1681606199999,31035.0447,177,23099,13144.8307,0,3.2699
1681606200000,0.5689,0.5702,0.5683,0.5691,160971,1681606499999,91627.4922,370,74675,42520.5012,0,3.2626
1681606500000,0.5691,0.5691,0.5668,0.567,272238,1681606799999,154498.0317,566,116662,66191.7044,0,3.2717
1681606800000,0.567,0.567,0.5644,0.5659,383688,1681607099999,217052.7589,949,159001,89951.5967,0,3.2626
1681607100000,0.566,0.5662,0.5646,0.5655,91027,1681607399999,51452.831,238,42060,23766.771,0,3.2699
1681607400000,0.5656,0.5657,0.559,0.5605,1091758,1681607699999,612569.2494,1868,364915,204705.9821,0,3.3497
1681607700000,0.5604,0.5605,0.557,0.5602,605679,1681607999999,338460.8049,1288,238089,133061.3295,0,3.3403
1681608000000,0.5602,0.5617,0.5594,0.5615,221885,1681608299999,124416.4771,630,92213,51702.0314,0,3.4385
1681608300000,0.5616,0.5628,0.5607,0.5627,205134,1681608599999,115242.7662,510,107632,60470.7558,0,3.4944
1681608600000,0.5627,0.5638,0.5622,0.5634,192750,1681608899999,108523.4077,630,65461,36864.3772,0,3.5025
1681608900000,0.5635,0.5638,0.5631,0.5632,67806,1681609199999,38200.6337,248,22992,12952.8846,0,3.5005
1681609200000,0.5632,0.5645,0.5632,0.5637,126625,1681609499999,71389.966,307,58188,32803.6505,0,3.4743
1681609500000,0.5637,0.5648,0.5633,0.5643,144865,1681609799999,81721.3541,378,62018,34983.2455,0,3.4603
1681609800000,0.5643,0.5654,0.5643,0.5646,70854,1681610099999,40024.2882,189,25461,14382.1417,0,3.4326
1681610100000,0.5645,0.5647,0.5639,0.564,65730,1681610399999,37087.6938,195,19028,10737.4204,0,3.4464
1681610400000,0.564,0.5655,0.5635,0.5655,103475,1681610699999,58410.8625,378,49663,28040.0939,0,3.4623
1681610700000,0.5655,0.5658,0.5646,0.5655,86509,1681610999999,48909.0394,327,31325,17707.1802,0,3.4643
1681611000000,0.5655,0.5664,0.5649,0.5655,78780,1681611299999,44566.8001,288,26423,14945.4871,0,3.4543
1681611300000,0.5655,0.5658,0.5651,0.5655,46402,1681611599999,26241.035,142,30615,17314.6054,0,3.4425
1681611600000,0.5656,0.5665,0.5654,0.566,82767,1681611899999,46850.4289,203,37018,20957.8012,0,3.4228
1681611900000,0.566,0.5662,0.5652,0.5654,51033,1681612199999,28874.448,265,26767,15144.5641,0,3.417
1681612200000,0.5655,0.5668,0.5652,0.5668,66041,1681612499999,37383.3541,299,44831,25377.7754,0,3.3783
1681612500000,0.5667,0.5677,0.5665,0.5674,109968,1681612799999,62368.3933,318,76307,43288.2849,0,3.3649
1681612800000,0.5675,0.5686,0.5673,0.5685,164423,1681613099999,93405.3948,390,90295,51284.0892,0,3.3937
1681613100000,0.5685,0.5685,0.5677,0.568,43727,1681613399999,24845.3574,148,13229,7515.7546,0,3.3879
1681613400000,0.5681,0.5688,0.567,0.5674,102000,1681613699999,57940.5698,279,26737,15179.5601,0,3.3573
1681613700000,0.5675,0.5676,0.5663,0.5669,94983,1681613999999,53866.7492,291,36327,20601.2618,0,3.363
1681614000000,0.5669,0.5673,0.5663,0.5667,102951,1681614299999,58347.1029,399,52677,29850.8352,0,3.3783
1681614300000,0.5667,0.5673,0.5665,0.5671,83186,1681614599999,47156.2142,314,51849,29394.0731,0,3.417
1681614600000,0.5672,0.5678,0.567,0.5677,45534,1681614899999,25832.7368,155,31783,18032.4658,0,3.4053
