timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field
1680873900000,0.04159,0.04172,0.04152,0.04164,22503592,1680874199999,936396.4393,2890,11434354,475912.94634,0
1680874200000,0.04164,0.04172,0.04153,0.04167,20241733,1680874499999,842199.46214,2933,10936424,455122.99464,0
1680874500000,0.04168,0.04191,0.04165,0.04178,23732006,1680874799999,991596.03265,3240,14356916,599967.14611,0
1680874800000,0.04179,0.04184,0.0417,0.04174,8731108,1680875099999,364709.35354,1210,3910868,163378.15894,0
1680875100000,0.04174,0.04194,0.04172,0.04177,15732529,1680875399999,658163.22031,2113,8111203,339354.97353,0
1680875400000,0.04176,0.04182,0.04156,0.04164,16277146,1680875699999,678026.65205,2256,6935458,288963.42365,0
1680875700000,0.04164,0.04167,0.04153,0.04157,18119904,1680875999999,753756.21185,2207,8112415,337551.82251,0
1680876000000,0.04158,0.04181,0.04157,0.04163,15759339,1680876299999,657001.88088,2527,8019884,334420.76069,0
1680876300000,0.04163,0.04184,0.0416,0.04183,13053387,1680876599999,544964.40241,2051,7689419,321043.81296,0
1680876600000,0.04183,0.04192,0.04172,0.04191,9955603,1680876899999,416473.09977,1605,5451997,228129.19752,0
1680876900000,0.0419,0.04191,0.04157,0.04158,15598047,1680877199999,650321.08968,2140,6851765,285649.58072,0
1680877200000,0.04158,0.04165,0.04146,0.04158,23718670,1680877499999,985669.28921,3016,9003435,374332.65995,0
1680877500000,0.04158,0.04168,0.04143,0.04153,26361514,1680877799999,1095412.99945,3387,11660299,484664.49942,0
1680877800000,0.04154,0.04167,0.04145,0.04158,20609222,1680878099999,856368.52039,3048,9850623,409333.13949,0
1680878100000,0.04159,0.04176,0.04157,0.04169,17790579,1680878399999,741453.79546,2462,8214888,342354.9155,0
1680878400000,0.04169,0.04186,0.04153,0.04155,18521556,1680878699999,772298.81584,2507,9214097,384357.41624,0
1680878700000,0.04155,0.04167,0.04145,0.04163,14532089,1680878999999,603775.61647,1984,7912231,328761.36358,0
1680879000000,0.04163,0.04175,0.0416,0.04172,9390753,1680879299999,391396.65167,1506,4426050,184489.99633,0
1680879300000,0.04172,0.0418,0.04148,0.0416,18872269,1680879599999,784742.35255,2454,9258999,384855.20943,0
1680879600000,0.0416,0.04186,0.0416,0.04186,17563040,1680879899999,733483.12294,2953,8703761,363480.77558,0
1680879900000,0.04187,0.0419,0.0416,0.04176,11129133,1680880199999,464234.65947,1936,5532484,230780.70506,0
1680880200000,0.04175,0.04182,0.04161,0.04166,8104925,1680880499999,338185.04762,1232,3960454,165269.17216,0
1680880500000,0.04169,0.04173,0.0415,0.04158,12775846,1680880799999,531321.70264,1832,6751219,280780.84942,0
1680880800000,0.04157,0.0416,0.04148,0.0415,7557968,1680881099999,313897.42034,1153,3802723,157928.49727,0
1680881100000,0.04149,0.04156,0.04145,0.04152,14787495,1680881399999,613421.24085,1738,7177588,297814.32505,0
1680881400000,0.04152,0.04155,0.04142,0.04148,14720073,1680881699999,610300.24705,1818,6753906,280091.21154,0
1680881700000,0.04148,0.0417,0.04146,0.04165,14231497,1680881999999,592055.65795,2027,8190475,340769.27719,0
1680882000000,0.04165,0.04175,0.04162,0.04171,10133450,1680882299999,422432.48715,1682,5298423,220888.54692,0
1680882300000,0.04171,0.04189,0.04166,0.04185,18630332,1680882599999,778310.95553,2477,10916380,456163.33897,0
1680882600000,0.04187,0.04188,0.04149,0.04155,15066861,1680882899999,627656.84562,2105,4612251,192248.26495,0
1680882900000,0.04156,0.04162,0.04148,0.04158,7416558,1680883199999,308257.39752,1181,3811360,158440.32923,0
1680883200000,0.04156,0.04177,0.04154,0.04162,18764406,1680883499999,781995.95628,2487,9957432,414861.45095,0
1680883500000,0.04162,0.0417,0.04148,0.04149,10946108,1680883799999,455061.91932,1530,5667020,235612.97211,0
1680883800000,0.04149,0.04157,0.04075,0.04095,67351035,1680884099999,2765352.15358,8241,22255999,913851.28292,0
1680884100000,0.04095,0.04099,0.04056,0.0406,55481670,1680884399999,2261306.57049,6392,21023234,857151.56926,0
1680884400000,0.0406,0.04077,0.04035,0.04052,36983508,1680884699999,1500020.05713,4894,15728943,638316.42197,0
