timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field,ratio
1681592100000,0.04395,0.04397,0.04389,0.0439,643465,1681592399999,28267.29858,169,216832,9522.57916,0,2.9604
1681592400000,0.04389,0.04397,0.04387,0.04392,1080034,1681592699999,47432.85798,299,561898,24677.91775,0,2.9526
1681592700000,0.04392,0.04393,0.04386,0.0439,989933,1681592999999,43446.39639,261,641595,28158.55106,0,2.9432
1681593000000,0.0439,0.04392,0.04384,0.04389,861484,1681593299999,37805.46285,245,408981,17946.84902,0,2.9573
1681593300000,0.0439,0.04399,0.04388,0.04395,433828,1681593599999,19055.34654,200,210902,9263.90821,0,2.9262
1681593600000,0.04396,0.04408,0.04396,0.04408,961966,1681593899999,42353.66567,307,460219,20264.59957,0,2.9448
1681593900000,0.04405,0.04405,0.04397,0.04399,454014,1681594199999,19982.11554,160,137841,6066.54469,0,2.917
1681594200000,0.044,0.04415,0.044,0.04412,555387,1681594499999,24495.50834,255,344821,15202.57634,0,2.9185
1681594500000,0.04413,0.04418,0.04409,0.04409,641714,1681594799999,28318.75918,212,257966,11384.88785,0,2.9124
1681594800000,0.04412,0.04416,0.04412,0.04413,236914,1681595099999,10457.2179,97,127958,5647.62489,0,2.9093
1681595100000,0.04413,0.04415,0.04408,0.04408,263072,1681595399999,11605.22054,135,120440,5312.59921,0,2.8956
1681595400000,0.04408,0.04411,0.04398,0.04402,460074,1681595699999,20260.30683,193,285269,12559.11162,0,2.9154
1681595700000,0.04401,0.04403,0.044,0.04403,372873,1681595999999,16410.64797,134,271691,11957.83918,0,2.9448
1681596000000,0.04402,0.04403,0.04393,0.04402,864321,1681596299999,38010.36467,345,485416,21346.73034,0,2.9526
1681596300000,0.04403,0.04413,0.04403,0.04409,478034,1681596599999,21082.48406,209,209589,9242.00478,0,2.9417
1681596600000,0.0441,0.04414,0.0441,0.04413,256520,1681596899999,11318.17817,124,93304,4116.43592,0,2.9339
1681596900000,0.04414,0.04427,0.04414,0.04427,528312,1681597199999,23353.75536,153,329001,14541.60704,0,2.9308
1681597200000,0.04427,0.04431,0.04421,0.04427,1121734,1681597499999,49663.24709,319,456169,20193.07102,0,2.917
1681597500000,0.04427,0.04429,0.04423,0.04428,435056,1681597799999,19252.59471,130,229677,10164.58558,0,2.8941
1681597800000,0.04427,0.04431,0.04423,0.04426,410859,1681598099999,18187.11906,192,98354,4354.20975,0,2.8911
1681598100000,0.04427,0.04428,0.04422,0.04428,357872,1681598399999,15831.02628,123,142040,6284.15024,0,2.9063
1681598400000,0.04427,0.0443,0.04427,0.0443,197400,1681598699999,8742.22345,99,134929,5975.61116,0,2.9108
1681598700000,0.0443,0.04437,0.04428,0.04433,532236,1681598999999,23589.72402,209,159524,7071.52703,0,2.9139
1681599000000,0.04434,0.04439,0.04434,0.04436,166729,1681599299999,7397.26728,97,65921,2924.38278,0,2.8775
1681599300000,0.04436,0.04437,0.0443,0.04434,459273,1681599599999,20359.20064,221,204587,9070.23327,0,2.885
1681599600000,0.04434,0.04438,0.04431,0.04437,322706,1681599899999,14310.66871,221,188005,8337.30517,0,2.8986
1681599900000,0.04437,0.04443,0.04436,0.04437,247209,1681600199999,10973.78472,145,145979,6480.64793,0,2.885
1681600200000,0.04437,0.04437,0.04432,0.04432,318949,1681600499999,14141.63369,128,200587,8893.59057,0,2.888
1681600500000,0.04433,0.04438,0.04433,0.04438,346763,1681600799999,15380.56296,126,175057,7765.10901,0,2.9078
1681600800000,0.04439,0.04445,0.04434,0.04445,442444,1681601099999,19641.77495,175,242519,10769.12569,0,2.8986
1681601100000,0.04446,0.04447,0.04436,0.04442,446465,1681601399999,19829.16922,174,206159,9154.0564,0,2.8941
1681601400000,0.04443,0.04451,0.0444,0.04446,756432,1681601699999,33638.62474,259,471846,20985.34578,0,2.885
1681601700000,0.04448,0.04449,0.04443,0.04446,248283,1681601999999,11041.08116,126,136427,6067.7804,0,2.8835
1681602000000,0.04446,0.04448,0.04443,0.04448,315270,1681602299999,14016.00055,129,173575,7716.74185,0,2.876
1681602300000,0.04448,0.04448,0.0444,0.04442,318634,1681602599999,14158.26265,156,162306,7211.77985,0,2.87
1681602600000,0.04443,0.04443,0.04428,0.04437,1767986,1681602899999,78418.98275,390,476748,21139.51701,0,2.8685
1681602900000,0.04437,0.04445,0.04434,0.04436,536913,1681603199999,23836.64504,265,204191,9065.40663,0,2.8865
1681603200000,0.04437,0.0445,0.04434,0.0445,901579,1681603499999,40031.0221,353,636848,28279.57182,0,2.8462
1681603500000,0.04449,0.04458,0.04438,0.04441,2644435,1681603799999,117590.78513,512,517729,23033.99016,0,2.8373
1681603800000,0.04441,0.04448,0.04433,0.04433,911089,1681604099999,40469.40284,253,302428,13432.51773,0,2.873
1681604100000,0.04434,0.04446,0.04431,0.04446,433307,1681604399999,19232.96177,167,264800,11753.13924,0,2.8685
1681604400000,0.04447,0.04449,0.04431,0.04435,683546,1681604699999,30330.5267,185,93411,4146.26977,0,2.8745
1681604700000,0.04433,0.04437,0.04431,0.04431,328402,1681604999999,14563.04276,121,131485,5830.33725,0,2.9124
1681605000000,0.04431,0.04451,0.04431,0.04451,1536182,1681605299999,68209.87504,487,862447,38302.10928,0,2.9063
1681605300000,0.04449,0.04459,0.04445,0.04459,1675122,1681605599999,74545.44187,349,770186,34277.39377,0,2.885
1681605600000,0.04458,0.04477,0.04458,0.04476,2305142,1681605899999,102976.29516,501,1234175,55133.12366,0,2.8926
1681605900000,0.04476,0.04479,0.04466,0.04467,1690481,1681606199999,75634.59914,330,518586,23206.47408,0,2.873
1681606200000,0.04466,0.04467,0.04459,0.04462,927657,1681606499999,41387.54427,303,562984,25113.82228,0,2.8745
1681606500000,0.04462,0.04462,0.04451,0.04451,1142439,1681606799999,50912.19201,232,546973,24377.0339,0,2.9078
1681606800000,0.04452,0.04452,0.04431,0.04442,1770501,1681607099999,78626.25346,561,953259,42334.42003,0,2.9216
1681607100000,0.04441,0.04442,0.04422,0.04429,920611,1681607399999,40790.51643,294,310635,13764.74324,0,2.9231
1681607400000,0.04429,0.04434,0.04384,0.04401,3442015,1681607699999,151449.80479,833,1777512,78215.56009,0,2.973
1681607700000,0.04401,0.04407,0.04375,0.04397,2660513,1681607999999,116839.47989,661,1219961,53551.18014,0,2.9793
1681608000000,0.04398,0.04414,0.0439,0.04408,1323109,1681608299999,58281.56098,472,644356,28380.93839,0,3.0306
1681608300000,0.04408,0.04415,0.04402,0.04408,1196361,1681608599999,52730.08023,371,438786,19338.82444,0,3.0453
1681608600000,0.04407,0.04417,0.04405,0.04414,1195341,1681608899999,52731.51849,486,564682,24911.6834,0,3.0519
1681608900000,0.04411,0.04418,0.04411,0.04417,617476,1681609199999,27255.21876,265,262640,11593.48637,0,3.0437
1681609200000,0.04417,0.04431,0.04417,0.0442,612465,1681609499999,27092.81529,235,194525,8603.72445,0,3.0225
1681609500000,0.04421,0.0443,0.04418,0.04426,1432583,1681609799999,63381.1533,377,640086,28319.30768,0,3.0502
1681609800000,0.04426,0.04437,0.04426,0.04435,475543,1681610099999,21077.25806,303,207329,9188.72004,0,3.0717
1681610100000,0.04434,0.04436,0.04429,0.04432,686445,1681610399999,30420.3738,164,198472,8796.5975,0,3.0502
1681610400000,0.04432,0.04436,0.04427,0.04435,910317,1681610699999,40349.4163,404,468590,20769.09619,0,3.0683
1681610700000,0.04436,0.04437,0.04424,0.04431,450663,1681610999999,19969.01637,212,157176,6965.17326,0,3.0177
1681611000000,0.04431,0.04443,0.04427,0.04437,1025959,1681611299999,45507.9451,308,735323,32615.40516,0,3.0128
1681611300000,0.04438,0.04439,0.04427,0.04428,558482,1681611599999,24747.82062,170,257720,11418.81408,0,2.9683
1681611600000,0.0443,0.04447,0.04424,0.0444,1808512,1681611899999,80182.5494,357,985487,43706.6561,0,2.9841
1681611900000,0.0444,0.0444,0.04431,0.04433,445279,1681612199999,19745.49228,185,199678,8853.9577,0,2.9604
1681612200000,0.04432,0.04435,0.04429,0.04432,436872,1681612499999,19359.70633,197,177723,7874.48206,0,2.9857
1681612500000,0.04433,0.04436,0.04428,0.04436,470177,1681612799999,20834.46844,203,292213,12949.25017,0,2.9777
1681612800000,0.04437,0.04441,0.04432,0.04435,596400,1681613099999,26449.74654,208,250742,11120.81251,0,2.9746
1681613100000,0.04436,0.04443,0.04435,0.04435,446527,1681613399999,19823.90795,154,197540,8769.62444,0,2.9714
1681613400000,0.04435,0.0444,0.04431,0.04432,284271,1681613699999,12606.2145,131,160243,7105.61491,0,2.9857
1681613700000,0.04432,0.04437,0.04431,0.04433,347116,1681613999999,15390.44956,134,195246,8656.30298,0,3.008
1681614000000,0.04433,0.04435,0.0443,0.04432,226688,1681614299999,10046.60866,171,116762,5174.64971,0,3.008
1681614300000,0.04431,0.04435,0.04428,0.0443,325098,1681614599999,14404.91988,157,206512,9150.39778,0,3.0161
1681614600000,0.04429,0.04429,0.04414,0.04422,1258204,1681614899999,55638.69878,251,139766,6180.45712,0,3.0241
1681614900000,0.04422,0.04423,0.04411,0.04412,405214,1681615199999,17906.59914,149,124181,5490.01916,0,3.07
1681615200000,0.04412,0.04412,0.04403,0.04404,741340,1681615499999,32673.63317,201,375711,16562.04628,0,3.0601
1681615500000,0.04403,0.04405,0.04397,0.04399,1147656,1681615799999,50492.84186,203,448126,19715.03969,0,3.1
1681615800000,0.04398,0.044,0.04386,0.04397,1034668,1681616099999,45453.28772,278,553590,24314.27144,0,3.1152
