timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field
1681025100000,0.07456,0.0746,0.07454,0.07459,215999,1681025399999,16103.76727,88,79342,5915.69814,0
1681025400000,0.07458,0.07475,0.07458,0.07474,419947,1681025699999,31361.38793,253,219040,16357.66942,0
1681025700000,0.07474,0.07483,0.07468,0.07471,448478,1681025999999,33529.94771,398,252219,18856.14905,0
1681026000000,0.0747,0.07481,0.07469,0.07479,323210,1681026299999,24166.35046,245,228827,17108.75619,0
1681026300000,0.07478,0.07479,0.07463,0.07474,172239,1681026599999,12867.07725,181,100213,7484.72531,0
1681026600000,0.07474,0.07487,0.07468,0.07482,223130,1681026899999,16679.67426,144,119581,8940.83929,0
1681026900000,0.07482,0.07482,0.07456,0.07457,244760,1681027199999,18270.69514,190,120439,8990.2184,0
1681027200000,0.07458,0.07458,0.07442,0.07443,441109,1681027499999,32843.58717,260,243787,18148.12847,0
1681027500000,0.07443,0.07456,0.07439,0.07453,276126,1681027799999,20556.91514,130,157756,11744.56778,0
1681027800000,0.07454,0.07454,0.07444,0.07449,96041,1681028099999,7155.1264,52,35233,2624.79936,0
1681028100000,0.0745,0.07451,0.07437,0.07442,441454,1681028399999,32853.94827,143,42570,3168.95949,0
1681028400000,0.07441,0.07444,0.07432,0.07432,166161,1681028699999,12357.23492,89,79617,5920.67839,0
1681028700000,0.07432,0.07432,0.07416,0.07427,447966,1681028999999,33258.31561,205,213133,15827.21214,0
1681029000000,0.07426,0.07432,0.07417,0.07429,243803,1681029299999,18098.46337,242,159864,11866.2187,0
1681029300000,0.07425,0.07437,0.07424,0.07432,148230,1681029599999,11016.91517,97,105874,7868.60058,0
1681029600000,0.07431,0.07431,0.0742,0.07426,158984,1681029899999,11802.55149,101,103960,7718.16455,0
1681029900000,0.07425,0.07426,0.07401,0.0741,414248,1681030199999,30709.28401,160,137648,10205.32979,0
1681030200000,0.0741,0.07416,0.07391,0.07405,1272806,1681030499999,94212.81904,454,299732,22201.10223,0
1681030500000,0.07406,0.07416,0.07379,0.07402,2185175,1681030799999,161611.33484,736,684832,50693.84049,0
1681030800000,0.07403,0.07429,0.07402,0.07426,816972,1681031099999,60603.4344,466,339560,25186.7312,0
1681031100000,0.07426,0.07428,0.07416,0.0742,181746,1681031399999,13490.02997,256,20287,1505.71797,0
1681031400000,0.0742,0.07432,0.07413,0.07429,545534,1681031699999,40494.10983,254,162051,12033.14498,0
1681031700000,0.07429,0.07436,0.07415,0.07415,369945,1681031999999,27487.48724,263,126924,9430.35208,0
1681032000000,0.07416,0.07434,0.07416,0.07434,485569,1681032299999,36071.59178,210,389982,28972.13,0
1681032300000,0.07434,0.07435,0.07412,0.07418,175599,1681032599999,13035.0265,127,62605,4644.14769,0
1681032600000,0.07417,0.07417,0.074,0.07401,274963,1681032899999,20367.11024,207,127626,9453.94826,0
1681032900000,0.07401,0.07403,0.07387,0.0739,597747,1681033199999,44198.51248,354,190082,14057.86317,0
1681033200000,0.0739,0.07405,0.0739,0.07405,438866,1681033499999,32470.50813,169,305245,22582.97841,0
1681033500000,0.07405,0.0741,0.07401,0.07409,517791,1681033799999,38356.49355,156,189611,14048.19279,0
1681033800000,0.07407,0.07408,0.07399,0.07399,88120,1681034099999,6522.79658,64,27693,2050.09089,0
1681034100000,0.07399,0.07409,0.07399,0.07402,265995,1681034399999,19699.12839,106,112823,8354.82056,0
1681034400000,0.07402,0.0741,0.07401,0.07409,464174,1681034699999,34382.42572,294,232573,17226.51807,0
1681034700000,0.07409,0.07416,0.07407,0.07416,292471,1681034999999,21677.44772,163,118064,8750.43915,0
1681035000000,0.07415,0.07423,0.07415,0.07423,229048,1681035299999,16997.66143,142,49761,3691.938,0
1681035300000,0.07423,0.07426,0.07422,0.07425,492427,1681035599999,36559.47598,232,156272,11601.63885,0
1681035600000,0.07424,0.07432,0.07421,0.07432,218596,1681035899999,16229.98506,200,127029,9432.11354,0
1681035900000,0.07432,0.07438,0.07432,0.07437,366570,1681036199999,27254.58078,183,123131,9156.34346,0
1681036200000,0.07436,0.07437,0.07423,0.07431,448453,1681036499999,33305.4215,229,267791,19886.54264,0
1681036500000,0.07431,0.07434,0.07427,0.07433,91072,1681036799999,6767.9954,83,60834,4521.18227,0
1681036800000,0.07433,0.07435,0.07432,0.07434,116023,1681037099999,8624.24352,168,63682,4733.56446,0
1681037100000,0.07434,0.07446,0.07429,0.07445,352049,1681037399999,26184.04588,275,264956,19707.54967,0
1681037400000,0.07445,0.07447,0.07434,0.07437,275369,1681037699999,20493.52868,240,193561,14405.72314,0
1681037700000,0.07439,0.07448,0.07433,0.07445,487209,1681037999999,36259.76759,301,332095,24716.86654,0
1681038000000,0.07445,0.0746,0.07439,0.0746,387636,1681038299999,28868.84728,258,291576,21714.44759,0
