timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field
1681025100000,0.4306,0.4311,0.43,0.4305,789989,1681025399999,340192.6536,966,526862,226906.0329,0
1681025400000,0.4305,0.4317,0.4303,0.4312,877673,1681025699999,378233.7703,1048,520657,224394.5682,0
1681025700000,0.4311,0.4316,0.4308,0.4312,474340,1681025999999,204538.9724,810,187641,80921.191,0
1681026000000,0.4311,0.4311,0.4297,0.43,566956,1681026299999,243950.9705,1038,177405,76332.3822,0
1681026300000,0.4299,0.43,0.4293,0.4295,402108,1681026599999,172777.8758,600,247994,106571.2404,0
1681026600000,0.4295,0.4305,0.4295,0.4302,568913,1681026899999,244626.6387,601,391078,168153.6227,0
1681026900000,0.4301,0.4301,0.429,0.4292,338177,1681027199999,145210.2011,476,108777,46703.6776,0
1681027200000,0.4292,0.4297,0.4287,0.4287,707251,1681027499999,303598.2389,1058,373239,160236.6472,0
1681027500000,0.4287,0.4288,0.4281,0.4283,750861,1681027799999,321744.9936,762,327926,140549.9526,0
1681027800000,0.4282,0.4286,0.4275,0.4282,795332,1681028099999,340517.0768,1071,413351,177020.8441,0
1681028100000,0.4282,0.4288,0.4281,0.4287,481863,1681028399999,206417.1092,705,317645,136084.0096,0
1681028400000,0.4287,0.4288,0.4282,0.4287,369648,1681028699999,158391.662,757,205270,87957.8911,0
1681028700000,0.4287,0.4287,0.427,0.4271,1149771,1681028999999,491666.6818,1346,334298,143020.997,0
1681029000000,0.4271,0.4278,0.4265,0.4275,1364230,1681029299999,582703.7121,1614,603940,258013.3318,0
1681029300000,0.4274,0.4293,0.4273,0.4283,1023601,1681029599999,438625.5816,1162,691359,296224.32,0
1681029600000,0.4283,0.4284,0.4275,0.4281,767992,1681029899999,328665.6109,883,469317,200861.0644,0
1681029900000,0.4281,0.4281,0.4274,0.4278,464468,1681030199999,198724.6809,689,246756,105588.0717,0
1681030200000,0.4277,0.4292,0.4271,0.4283,763681,1681030499999,327014.2977,876,424714,181905.9994,0
1681030500000,0.4283,0.4292,0.4282,0.4291,484258,1681030799999,207619.5653,528,335732,143963.9335,0
1681030800000,0.4291,0.4311,0.4285,0.4305,1758630,1681031099999,756004.9343,1851,1023288,439874.9904,0
