timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field,ratio
1681592100000,0.1075,0.1076,0.1075,0.1076,35802,1681592399999,3851.9551,46,32401,3486.3476,0,2.3591
1681592400000,0.1075,0.1076,0.1072,0.1073,399847,1681592699999,42918.0389,245,176588,18948.973,0,2.3501
1681592700000,0.1074,0.1074,0.107,0.1071,324506,1681592999999,34789.8308,239,166586,17859.5367,0,2.3841
1681593000000,0.1071,0.1073,0.107,0.1072,234428,1681593299999,25125.8116,164,132875,14241.1313,0,2.3772
1681593300000,0.1072,0.1075,0.1072,0.1074,149819,1681593599999,16087.7658,114,87721,9418.8682,0,2.3875
1681593600000,0.1075,0.1076,0.1074,0.1075,22225,1681593899999,2389.2624,38,13860,1490.1829,0,2.3727
1681593900000,0.1075,0.1077,0.1075,0.1077,42725,1681594199999,4598.9497,56,29020,3124.2918,0,2.3681
1681594200000,0.1077,0.1078,0.1077,0.1078,115191,1681594499999,12409.4653,78,60238,6491.0272,0,2.3647
1681594500000,0.1078,0.108,0.1077,0.1079,191500,1681594799999,20649.0795,135,99633,10742.824,0,2.3659
1681594800000,0.1078,0.1081,0.1077,0.108,190043,1681595099999,20508.7272,122,147008,15868.6387,0,2.3681
1681595100000,0.108,0.108,0.1077,0.1078,247361,1681595399999,26678.7738,157,83068,8957.0516,0,2.34
1681595400000,0.1078,0.1079,0.1076,0.1077,189285,1681595699999,20410.5996,129,78593,8475.374,0,2.3591
1681595700000,0.1076,0.1077,0.1076,0.1077,25105,1681595999999,2701.6734,28,3754,404.3058,0,2.3535
1681596000000,0.1076,0.1078,0.1075,0.1078,341883,1681596299999,36794.7527,259,269894,29051.3758,0,2.3535
1681596300000,0.1079,0.108,0.1078,0.108,67964,1681596599999,7336.7733,67,62017,6695.2141,0,2.3445
1681596600000,0.108,0.1081,0.108,0.1081,92132,1681596899999,9952.9094,111,26426,2856.6506,0,2.3367
1681596900000,0.1081,0.1083,0.1081,0.1082,117539,1681597199999,12721.8595,127,99215,10739.7712,0,2.3201
1681597200000,0.1082,0.1084,0.1081,0.1083,364839,1681597499999,39486.6036,244,132117,14300.8483,0,2.3135
1681597500000,0.1082,0.1083,0.1082,0.1083,89031,1681597799999,9633.7898,66,36476,3947.3388,0,2.3167
1681597800000,0.1082,0.1084,0.1081,0.1081,238377,1681598099999,25800.521,189,134098,14515.9329,0,2.2982
1681598100000,0.1082,0.1083,0.108,0.1082,341082,1681598399999,36892.4001,190,210083,22725.2956,0,2.3135
1681598400000,0.1082,0.1083,0.1082,0.1082,21321,1681598699999,2307.3516,38,13972,1512.1898,0,2.3102
1681598700000,0.1082,0.1083,0.1081,0.1081,334252,1681598999999,36169.6613,228,150029,16236.8821,0,2.308
1681599000000,0.1082,0.1083,0.1081,0.1082,71036,1681599299999,7689.673,58,56785,6147.8979,0,2.3523
1681599300000,0.1083,0.1083,0.1082,0.1083,133507,1681599599999,14450.5138,85,70940,7680.7644,0,2.3411
1681599600000,0.1082,0.1084,0.1081,0.1083,348078,1681599899999,37671.5713,282,184420,19965.1631,0,2.3344
1681599900000,0.1082,0.1084,0.1082,0.1083,148194,1681600199999,16049.0541,151,95507,10343.6763,0,2.3456
1681600200000,0.1082,0.1084,0.1082,0.1083,56024,1681600499999,6067.1102,53,35449,3839.1873,0,2.3535
1681600500000,0.1082,0.1083,0.1081,0.1081,68384,1681600799999,7400.237,64,14927,1616.4452,0,2.3445
1681600800000,0.1082,0.1084,0.1082,0.1083,249724,1681601099999,27041.6969,141,103081,11160.65,0,2.3636
1681601100000,0.1082,0.1082,0.108,0.1081,307232,1681601399999,33211.354,152,152385,16475.1581,0,2.3557
1681601400000,0.1082,0.1084,0.1082,0.1083,306423,1681601699999,33184.1217,201,167546,18144.4415,0,2.3944
1681601700000,0.1083,0.1084,0.1082,0.1083,151933,1681601999999,16445.3961,84,39375,4262.6505,0,2.3647
1681602000000,0.1082,0.1083,0.1081,0.1082,157404,1681602299999,17030.0957,78,79565,8610.0866,0,2.3852
1681602300000,0.1081,0.1082,0.1081,0.1081,54390,1681602599999,5880.3193,72,7603,822.6446,0,2.3933
1681602600000,0.108,0.108,0.1079,0.108,194637,1681602899999,21007.1863,124,105083,11343.3288,0,2.42
1681602900000,0.1081,0.1081,0.1077,0.1078,271048,1681603199999,29242.241,179,106888,11533.0543,0,2.427
1681603200000,0.1079,0.1083,0.1078,0.1083,553459,1681603499999,59838.5132,499,342552,37033.9834,0,2.4305
