timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field
1681041600000,0.039406,0.039406,0.039288,0.039313,1336333,1681041899999,52551.014238,268,536812,21106.026709,0
1681041900000,0.039321,0.039321,0.039296,0.0393,132987,1681042199999,5227.193775,41,70038,2752.814272,0
1681042200000,0.039297,0.039304,0.03928,0.039304,451489,1681042499999,17743.613771,64,441601,17355.030543,0
1681042500000,0.039289,0.039309,0.039289,0.039306,40794,1681042799999,1603.253603,34,28014,1100.931894,0
1681042800000,0.0393,0.039426,0.039293,0.039417,463249,1681043099999,18233.735342,234,214453,8442.739907,0
1681043100000,0.039418,0.039513,0.039407,0.039495,374370,1681043399999,14771.777651,174,123903,4888.390785,0
1681043400000,0.039503,0.039515,0.039431,0.039467,407861,1681043699999,16100.763617,87,221835,8755.542507,0
1681043700000,0.039446,0.039527,0.039432,0.039511,391193,1681043999999,15441.730433,134,156241,6165.701573,0
1681044000000,0.039473,0.039514,0.039443,0.039472,253841,1681044299999,10020.505296,70,92691,3657.77471,0
1681044300000,0.039451,0.039454,0.039394,0.039453,233789,1681044599999,9216.712229,44,153257,6040.188555,0
1681044600000,0.039421,0.039436,0.039349,0.039398,300232,1681044899999,11821.775437,68,95151,3747.666985,0
1681044900000,0.039405,0.039415,0.039399,0.039399,32604,1681045199999,1284.732744,8,7240,285.264324,0
1681045200000,0.039398,0.039415,0.039367,0.03939,161653,1681045499999,6366.760169,40,124258,4894.252416,0
1681045500000,0.039388,0.039415,0.039384,0.039384,56564,1681045799999,2228.362441,15,44571,1755.980224,0
1681045800000,0.039375,0.039375,0.039301,0.039329,130788,1681046099999,5143.479859,53,31706,1246.698668,0
1681046100000,0.039344,0.039348,0.039314,0.03932,93024,1681046399999,3659.15037,35,39988,1572.815228,0
1681046400000,0.039312,0.039312,0.039264,0.039277,162144,1681046699999,6371.843462,58,71316,2802.764294,0
1681046700000,0.039295,0.039304,0.039267,0.039277,51807,1681046999999,2035.469972,29,31244,1227.644644,0
1681047000000,0.039293,0.039312,0.039252,0.039311,305287,1681047299999,11991.912949,90,202486,7955.003281,0
1681047300000,0.039302,0.039331,0.03929,0.039331,135777,1681047599999,5337.76139,34,112811,4434.913314,0
1681047600000,0.03936,0.039393,0.039346,0.039351,335651,1681047899999,13214.648898,86,219916,8658.064075,0
1681047900000,0.039361,0.039395,0.039361,0.039395,62328,1681048199999,2454.519415,14,59860,2357.323801,0
1681048200000,0.039395,0.039399,0.039378,0.039378,54797,1681048499999,2158.726808,19,34726,1368.065496,0
1681048500000,0.039365,0.039412,0.039365,0.039401,202794,1681048799999,7990.782638,33,68645,2704.250554,0
1681048800000,0.039404,0.039412,0.039374,0.039374,141171,1681049099999,5561.744086,38,89422,3522.747226,0
1681049100000,0.039354,0.039356,0.039323,0.039345,177808,1681049399999,6993.092603,19,162887,6405.901269,0
1681049400000,0.039348,0.039396,0.039326,0.039343,103569,1681049699999,4076.971993,35,52964,2084.392375,0
1681049700000,0.039347,0.039385,0.039269,0.039281,304052,1681049999999,11963.960248,92,171030,6730.077473,0
1681050000000,0.039279,0.039279,0.03905,0.039068,1263264,1681050299999,49428.128333,319,349553,13675.883835,0
1681050300000,0.039052,0.039177,0.039052,0.039173,783944,1681050599999,30657.331521,321,214986,8406.382142,0
1681050600000,0.039173,0.039174,0.039076,0.039154,334241,1681050899999,13081.492948,124,156999,6143.220463,0
1681050900000,0.039134,0.039202,0.039125,0.039192,147436,1681051199999,5772.997878,57,105783,4140.977598,0
1681051200000,0.039201,0.039219,0.039179,0.039199,151166,1681051499999,5925.098396,61,42238,1655.465622,0
1681051500000,0.039176,0.039215,0.039147,0.039151,110934,1681051799999,4345.87438,116,59430,2327.616026,0
1681051800000,0.039181,0.039251,0.039181,0.039204,173762,1681052099999,6813.567243,78,113380,4445.100499,0
1681052100000,0.039219,0.03925,0.039195,0.039249,238909,1681052399999,9369.613449,39,97839,3837.999981,0
1681052400000,0.039243,0.039243,0.039179,0.039205,420929,1681052699999,16505.90047,96,231224,9067.333969,0
1681052700000,0.039205,0.039256,0.0392,0.039255,160156,1681052999999,6283.644478,40,88590,3475.35804,0
1681053000000,0.039253,0.039359,0.039234,0.039359,268318,1681053299999,10538.190916,97,171398,6727.337094,0
1681053300000,0.039356,0.039388,0.03935,0.039381,330388,1681053599999,13008.031456,189,166164,6542.819471,0
1681053600000,0.03939,0.039392,0.039351,0.039359,396224,1681053899999,15601.706238,204,197457,7776.313692,0
1681053900000,0.039359,0.039374,0.039329,0.039364,318889,1681054199999,12549.280564,85,221256,8707.604661,0
1681054200000,0.039387,0.039399,0.0393,0.039312,456348,1681054499999,17950.504414,83,317027,12468.276819,0
1681054500000,0.039307,0.039333,0.039293,0.039323,64099,1681054799999,2520.273317,18,31588,1242.002644,0
1681054800000,0.039319,0.039415,0.039319,0.039415,325894,1681055099999,12832.766001,65,177057,6968.352987,0
1681055100000,0.039416,0.039435,0.039395,0.039415,214834,1681055399999,8468.221811,85,41637,1641.371081,0
1681055400000,0.039411,0.039452,0.039411,0.039418,515968,1681055699999,20348.148794,110,127547,5030.634365,0
1681055700000,0.039426,0.039445,0.039424,0.039441,44989,1681055999999,1774.151589,18,9448,372.62358,0
