timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field,ratio
1681592100000,2.304,2.305,2.297,2.298,33104.8,1681592399999,76177.6876,349,12475.9,28718.2567,0,2.7707
1681592400000,2.298,2.31,2.298,2.306,61255.8,1681592699999,141251.7631,704,30962.5,71383.4408,0,2.7369
1681592700000,2.306,2.308,2.298,2.303,33590.0,1681592999999,77356.4788,418,16939.6,39010.6616,0,2.7258
1681593000000,2.303,2.309,2.302,2.306,36635.2,1681593299999,84454.3365,426,19122.8,44092.9884,0,2.7495
1681593300000,2.305,2.317,2.305,2.317,33379.9,1681593599999,77168.5485,380,25137.6,58124.8392,0,2.6982
1681593600000,2.316,2.32,2.31,2.32,27512.2,1681593899999,63681.7738,346,17840.6,41302.6498,0,2.7216
1681593900000,2.32,2.323,2.313,2.318,45621.8,1681594199999,105774.3949,458,21975.5,50958.5209,0,2.6941
1681594200000,2.317,2.325,2.315,2.323,47969.8,1681594499999,111289.1228,535,29526.3,68501.6465,0,2.7202
1681594500000,2.323,2.326,2.318,2.319,57896.6,1681594799999,134427.2259,501,29392.8,68270.3937,0,2.6969
1681594800000,2.32,2.326,2.32,2.324,26200.9,1681595099999,60882.7289,271,15754.7,36609.3752,0,2.7216
1681595100000,2.322,2.328,2.32,2.32,35017.1,1681595399999,81371.0651,309,14323.7,33285.373,0,2.6982
1681595400000,2.321,2.325,2.316,2.321,36601.4,1681595699999,84948.1181,435,14769.9,34286.9085,0,2.7092
1681595700000,2.321,2.325,2.317,2.318,25307.7,1681595999999,58743.5254,265,9453.3,21951.5567,0,2.7286
1681596000000,2.319,2.326,2.31,2.315,88510.7,1681596299999,205129.2724,887,24493.0,56805.1748,0,2.7258
1681596300000,2.315,2.326,2.315,2.326,49462.2,1681596599999,114885.4501,618,26715.8,62042.2948,0,2.785
1681596600000,2.326,2.331,2.321,2.329,32974.0,1681596899999,76718.7758,408,16978.1,39503.1558,0,2.667
1681596900000,2.329,2.343,2.327,2.342,92518.8,1681597199999,216139.6017,757,53912.3,125981.5075,0,2.6403
1681597200000,2.342,2.342,2.331,2.337,67982.9,1681597499999,158904.9922,677,31266.8,73086.2191,0,2.6657
1681597500000,2.337,2.342,2.336,2.339,44006.4,1681597799999,102944.0622,394,19021.0,44505.0097,0,2.6563
1681597800000,2.339,2.34,2.334,2.337,44385.1,1681598099999,103731.8327,661,15246.8,35641.3492,0,2.647
1681598100000,2.337,2.339,2.329,2.335,56295.6,1681598399999,131373.7444,607,20608.3,48093.2809,0,2.7147
1681598400000,2.336,2.338,2.33,2.334,26555.9,1681598699999,61981.1039,385,7049.5,16460.1791,0,2.6982
1681598700000,2.334,2.337,2.327,2.332,48152.8,1681598999999,112251.6102,527,16157.2,37668.8578,0,2.7355
1681599000000,2.333,2.337,2.33,2.334,22912.4,1681599299999,53464.5257,243,9993.5,23323.3163,0,2.7286
1681599300000,2.335,2.338,2.333,2.334,16081.8,1681599599999,37557.3657,209,7015.3,16386.1791,0,2.7092
1681599600000,2.334,2.364,2.334,2.363,134306.9,1681599899999,315962.3375,1462,82423.0,193864.057,0,2.7161
1681599900000,2.363,2.363,2.348,2.354,149594.6,1681600199999,352251.1223,1253,64248.3,151302.8515,0,2.6738
1681600200000,2.355,2.356,2.346,2.348,59906.2,1681600499999,140813.5626,671,27620.2,64930.566,0,2.6271
1681600500000,2.349,2.349,2.338,2.344,61854.7,1681600799999,144937.0104,643,18405.7,43126.1417,0,2.667
1681600800000,2.345,2.355,2.341,2.351,59513.4,1681601099999,139791.8972,563,37114.1,87168.4973,0,2.6765
1681601100000,2.35,2.377,2.348,2.376,114338.6,1681601399999,270269.5353,1059,77639.9,183606.2441,0,2.6153
1681601400000,2.376,2.377,2.35,2.354,171218.3,1681601699999,403949.8677,1418,74934.3,176658.1141,0,2.6075
1681601700000,2.355,2.358,2.343,2.349,72396.2,1681601999999,170168.1834,672,25510.1,59967.3989,0,2.667
1681602000000,2.35,2.361,2.349,2.358,43257.8,1681602299999,101950.5757,488,24480.9,57698.0377,0,2.6819
1681602300000,2.358,2.361,2.346,2.346,43315.0,1681602599999,102002.0929,486,17819.0,41970.5606,0,2.6711
1681602600000,2.347,2.366,2.345,2.366,75494.6,1681602899999,177904.8065,709,41584.2,98049.5162,0,2.6617
1681602900000,2.365,2.365,2.351,2.353,54275.6,1681603199999,127884.2645,548,23931.6,56347.9565,0,2.6166
1681603200000,2.352,2.353,2.32,2.324,159581.2,1681603499999,372590.8456,1623,43303.7,101168.2639,0,2.6036
1681603500000,2.324,2.339,2.322,2.327,126507.0,1681603799999,294752.6666,1019,57078.5,133031.5764,0,2.6523
1681603800000,2.327,2.331,2.315,2.316,84340.8,1681604099999,195829.5674,777,22839.9,53067.9205,0,2.6887
1681604100000,2.317,2.323,2.315,2.322,70837.0,1681604399999,164247.5737,577,25516.3,59175.407,0,2.6887
1681604400000,2.322,2.325,2.316,2.318,45208.8,1681604699999,104896.8543,464,16712.2,38772.3681,0,2.7608
1681604700000,2.317,2.318,2.312,2.314,40001.0,1681604999999,92579.6773,412,9192.1,21278.1355,0,2.7736
1681605000000,2.315,2.32,2.315,2.317,41911.3,1681605299999,97137.6034,560,17351.3,40215.5192,0,2.7979
1681605300000,2.318,2.318,2.309,2.312,50291.6,1681605599999,116346.4203,608,14365.3,33251.838,0,2.7538
1681605600000,2.312,2.321,2.31,2.318,36622.3,1681605899999,84792.42,537,19569.7,45323.8246,0,2.8139
1681605900000,2.318,2.322,2.314,2.315,39874.5,1681606199999,92377.039,468,20027.7,46409.9663,0,2.7411
1681606200000,2.314,2.321,2.31,2.315,50936.6,1681606499999,118033.5704,499,33104.5,76730.4089,0,2.7064
1681606500000,2.315,2.316,2.304,2.306,67285.4,1681606799999,155410.7204,825,29972.0,69252.95,0,2.6805
1681606800000,2.307,2.315,2.3,2.306,111006.8,1681607099999,256103.8211,1108,53217.7,122841.4469,0,2.8344
1681607100000,2.305,2.311,2.304,2.31,44356.7,1681607399999,102369.9421,444,26411.5,60971.3049,0,2.7397
1681607400000,2.311,2.312,2.261,2.291,312669.2,1681607699999,714183.0827,2648,108467.7,248022.3183,0,2.6724
1681607700000,2.292,2.292,2.273,2.285,136456.6,1681607999999,311402.4842,1308,37302.1,85136.2954,0,2.8521
1681608000000,2.285,2.305,2.284,2.297,74781.4,1681608299999,171704.4923,869,45340.3,104090.807,0,2.7764
1681608300000,2.298,2.306,2.293,2.302,50208.4,1681608599999,115494.7986,548,25924.7,59646.6307,0,2.6873
1681608600000,2.302,2.317,2.302,2.316,72113.7,1681608899999,166565.5252,895,48160.6,111248.8649,0,2.6603
1681608900000,2.315,2.337,2.313,2.326,153126.0,1681609199999,356310.5736,1398,86009.5,200135.914,0,2.592
1681609200000,2.325,2.335,2.32,2.328,92395.0,1681609499999,215059.3927,787,57886.5,134794.4428,0,2.643
1681609500000,2.327,2.331,2.32,2.323,77425.6,1681609799999,180072.4739,765,42329.1,98466.5008,0,2.6206
1681609800000,2.322,2.324,2.314,2.319,53117.0,1681610099999,123182.4375,472,26770.5,62093.6079,0,2.6603
1681610100000,2.319,2.319,2.312,2.312,42134.2,1681610399999,97539.1117,440,16380.2,37929.1397,0,2.6887
1681610400000,2.313,2.337,2.313,2.327,96792.3,1681610699999,225123.8128,984,47409.7,110254.3265,0,2.7552
1681610700000,2.327,2.333,2.322,2.329,57755.8,1681610999999,134459.9733,550,27743.8,64596.2813,0,2.655
1681611000000,2.329,2.33,2.321,2.324,49399.5,1681611299999,114819.5106,548,25837.2,60048.9778,0,2.6657
1681611300000,2.323,2.325,2.318,2.321,35532.4,1681611599999,82485.3514,374,15401.6,35759.138,0,2.701
1681611600000,2.321,2.322,2.318,2.319,24192.4,1681611899999,56135.7215,254,10795.9,25051.8582,0,2.7078
1681611900000,2.319,2.319,2.312,2.315,37537.7,1681612199999,86937.8006,419,14872.8,34446.7445,0,2.7216
1681612200000,2.315,2.318,2.309,2.314,55068.1,1681612499999,127385.1936,595,19904.7,46071.8789,0,2.7509
1681612500000,2.315,2.317,2.307,2.312,37784.6,1681612799999,87317.4288,422,14642.1,33835.7674,0,2.6914
1681612800000,2.312,2.318,2.311,2.317,18840.3,1681613099999,43605.3325,222,8949.6,20716.0273,0,2.7411
1681613100000,2.316,2.317,2.311,2.312,16590.4,1681613399999,38385.9722,203,5169.2,11957.2925,0,2.7078
1681613400000,2.313,2.32,2.308,2.311,37538.0,1681613699999,86848.8507,361,11198.4,25929.0085,0,2.712
1681613700000,2.312,2.313,2.309,2.312,17126.7,1681613999999,39591.79,239,6343.3,14663.7034,0,2.7636
1681614000000,2.312,2.313,2.307,2.31,24156.8,1681614299999,55809.5221,322,10645.2,24597.9605,0,2.7779
1681614300000,2.309,2.312,2.308,2.31,9883.1,1681614599999,22827.6076,135,3672.9,8483.6892,0,2.7679
1681614600000,2.309,2.31,2.302,2.306,29031.9,1681614899999,66929.8995,267,6149.9,14180.268,0,2.7636
1681614900000,2.305,2.305,2.296,2.296,39750.0,1681615199999,91415.2189,405,8851.0,20357.001,0,2.8095
1681615200000,2.297,2.299,2.293,2.295,28643.9,1681615499999,65763.3889,297,7672.3,17621.0199,0,2.8226
1681615500000,2.296,2.298,2.29,2.291,22803.7,1681615799999,52319.6683,235,8394.1,19270.3663,0,2.7879
1681615800000,2.291,2.294,2.287,2.293,39211.2,1681616099999,89782.3616,592,11709.9,26819.814,0,2.7936
1681616100000,2.292,2.296,2.287,2.291,41811.5,1681616399999,95778.0373,710,10949.8,25081.536,0,2.888
1681616400000,2.291,2.292,2.284,2.285,57698.6,1681616699999,132052.742,520,14974.4,34263.4379,0,2.8565
1681616700000,2.285,2.29,2.277,2.288,62589.9,1681616999999,142854.1189,576,14274.3,32610.2434,0,2.8329
1681617000000,2.288,2.29,2.282,2.282,35675.3,1681617299999,81532.339,356,10790.3,24665.833,0,2.8491
1681617300000,2.282,2.288,2.281,2.288,27995.1,1681617599999,63945.6731,316,16636.0,38006.2512,0,2.8373
1681617600000,2.288,2.301,2.287,2.295,95948.7,1681617899999,220167.8199,1033,60925.6,139804.0101,0,2.8595
1681617900000,2.296,2.299,2.29,2.291,40424.8,1681618199999,92773.5734,426,20076.2,46085.3884,0,2.8715
1681618200000,2.292,2.294,2.29,2.292,20938.3,1681618499999,47978.2617,216,7376.0,16906.1381,0,2.8865
1681618500000,2.292,2.296,2.29,2.295,16735.5,1681618799999,38369.9059,217,9807.4,22487.4331,0,2.8971
1681618800000,2.295,2.297,2.29,2.29,25290.9,1681619099999,57977.2764,239,9622.7,22057.3548,0,2.8971
1681619100000,2.29,2.292,2.288,2.291,14655.5,1681619399999,33564.2204,177,7761.7,17775.6706,0,2.8956
1681619400000,2.29,2.298,2.288,2.296,29905.9,1681619699999,68558.5473,485,16354.6,37498.4963,0,2.8911
1681619700000,2.295,2.305,2.295,2.302,49333.4,1681619999999,113473.6288,632,27337.2,62891.2539,0,2.9002
1681620000000,2.302,2.303,2.3,2.302,25559.5,1681620299999,58832.7732,293,15792.1,36352.5263,0,2.8926
1681620300000,2.301,2.307,2.3,2.302,31788.6,1681620599999,73220.2313,321,14561.0,33546.9255,0,2.8715
1681620600000,2.301,2.307,2.298,2.304,32539.1,1681620899999,74890.0175,338,19731.8,45418.0041,0,2.9185
1681620900000,2.304,2.309,2.301,2.305,25251.3,1681621199999,58206.2023,317,16251.1,37459.9959,0,2.9139
1681621200000,2.306,2.307,2.298,2.304,36116.2,1681621499999,83179.4234,457,16206.0,37343.7128,0,2.9308
1681621500000,2.305,2.306,2.301,2.306,19291.0,1681621799999,44430.7527,264,11033.3,25412.4787,0,2.9063
1681621800000,2.306,2.31,2.302,2.307,36199.2,1681622099999,83490.9573,392,21746.2,50166.2558,0,2.9277
1681622100000,2.306,2.312,2.306,2.31,22623.5,1681622399999,52224.2344,246,10126.6,23378.6308,0,2.876
1681622400000,2.31,2.311,2.305,2.305,23965.3,1681622699999,55304.2551,223,7873.0,18170.4856,0,2.885
