timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field,ratio
1681592100000,0.6198,0.6198,0.6179,0.6186,40971,1681592399999,25353.3397,189,15468,9571.4931,0,1.8662
1681592400000,0.6186,0.6195,0.6174,0.6189,103766,1681592699999,64153.8519,377,53382,33003.3162,0,1.8785
1681592700000,0.6189,0.6193,0.6171,0.6181,72606,1681592999999,44882.6424,248,28721,17758.9983,0,1.8514
1681593000000,0.6181,0.6187,0.6175,0.6179,71100,1681593299999,43945.5788,224,47020,29065.0297,0,1.8539
1681593300000,0.6179,0.6197,0.6177,0.6197,95633,1681593599999,59180.0581,329,44023,27241.7785,0,1.8711
1681593600000,0.6197,0.6208,0.6193,0.6208,118695,1681593899999,73610.18,354,63369,39299.5718,0,1.8678
1681593900000,0.6207,0.6211,0.6197,0.6207,68035,1681594199999,42225.1126,340,25140,15601.8204,0,1.8902
1681594200000,0.6208,0.6218,0.6204,0.6213,79407,1681594499999,49313.7703,313,30242,18780.65,0,1.9061
1681594500000,0.6214,0.6224,0.6213,0.6216,125264,1681594799999,77888.2306,319,77777,48362.2608,0,1.9061
1681594800000,0.6212,0.622,0.6207,0.6215,63432,1681595099999,39410.5105,210,28299,17582.3856,0,1.8927
1681595100000,0.6214,0.6222,0.6206,0.621,77796,1681595399999,48340.5888,272,52642,32713.3731,0,1.9036
1681595400000,0.6209,0.6222,0.6203,0.6205,104304,1681595699999,64785.1084,322,44088,27385.1916,0,1.8944
1681595700000,0.6205,0.621,0.6203,0.6209,30162,1681595999999,18718.0925,100,23708,14713.3617,0,1.8969
1681596000000,0.6209,0.6215,0.6193,0.6212,115249,1681596299999,71467.2407,325,57590,35709.8758,0,1.9019
1681596300000,0.6212,0.623,0.6212,0.6224,110348,1681596599999,68669.9228,345,56384,35094.7233,0,1.9087
1681596600000,0.6224,0.624,0.6224,0.6229,91777,1681596899999,57188.6069,313,50032,31174.4212,0,1.9078
1681596900000,0.623,0.6243,0.623,0.624,55950,1681597199999,34896.3499,264,30557,19061.6276,0,1.9291
1681597200000,0.624,0.6248,0.6227,0.6244,78634,1681597499999,49073.6759,359,27811,17355.6279,0,1.9377
1681597500000,0.6243,0.625,0.6237,0.6246,43044,1681597799999,26873.1442,217,20471,12782.9003,0,1.9533
1681597800000,0.6247,0.6252,0.624,0.6248,47680,1681598099999,29781.7907,207,16847,10525.0352,0,1.9481
1681598100000,0.6247,0.6252,0.6235,0.6249,38337,1681598399999,23943.5658,166,24719,15440.2922,0,1.9586
1681598400000,0.6249,0.6261,0.6249,0.6259,42661,1681598699999,26685.7887,266,23528,14717.5528,0,1.9586
1681598700000,0.6259,0.6262,0.6243,0.6244,61663,1681598999999,38574.5317,254,22767,14243.498,0,1.9674
1681599000000,0.6246,0.6263,0.6246,0.626,46771,1681599299999,29262.7161,150,25625,16034.1589,0,1.9525
1681599300000,0.6256,0.6261,0.6249,0.6257,41435,1681599599999,25922.5118,143,16574,10370.788,0,1.9551
1681599600000,0.6255,0.6255,0.6241,0.6252,43557,1681599899999,27206.7046,149,23989,14982.0445,0,1.9674
1681599900000,0.6252,0.6252,0.6237,0.6237,74249,1681600199999,46382.7328,182,19687,12305.3033,0,1.9789
1681600200000,0.6239,0.6254,0.6239,0.6241,64291,1681600499999,40163.2324,227,30678,19158.3378,0,1.9886
1681600500000,0.6241,0.6252,0.6241,0.6251,53180,1681600799999,33220.2436,215,36699,22922.751,0,1.9895
1681600800000,0.6252,0.6255,0.6244,0.6249,36868,1681601099999,23044.4517,151,16218,10136.613,0,1.9797
1681601100000,0.6248,0.6259,0.6242,0.6249,36182,1681601399999,22617.1867,167,25766,16108.7329,0,1.9762
1681601400000,0.6252,0.6269,0.6242,0.6259,84816,1681601699999,53065.0828,283,63158,39519.0319,0,1.9735
1681601700000,0.6259,0.6267,0.6259,0.6263,34935,1681601999999,21880.9882,161,19058,11936.3332,0,1.9771
1681602000000,0.6263,0.6267,0.6261,0.6265,29666,1681602299999,18579.9533,102,11254,7049.2822,0,1.9464
1681602300000,0.6265,0.6265,0.6244,0.6248,37741,1681602599999,23606.3539,146,11106,6945.1611,0,1.942
1681602600000,0.6248,0.625,0.6233,0.6242,77541,1681602899999,48381.9139,270,22532,14061.7104,0,1.956
1681602900000,0.6242,0.6249,0.6236,0.6242,32831,1681603199999,20491.8376,199,21918,13677.9339,0,1.9789
1681603200000,0.6243,0.6244,0.6217,0.6219,104899,1681603499999,65303.3781,348,37946,23621.2438,0,1.9789
1681603500000,0.6219,0.6223,0.6214,0.6218,82175,1681603799999,51095.6535,184,36305,22578.4327,0,1.9931
1681603800000,0.6217,0.6217,0.6206,0.6206,44785,1681604099999,27826.2779,152,18936,11767.9209,0,1.9878
1681604100000,0.6206,0.6211,0.6203,0.6209,38644,1681604399999,23979.2222,129,32748,20319.7625,0,1.9744
1681604400000,0.6209,0.6225,0.6209,0.6215,80002,1681604699999,49738.3614,201,65869,40946.4238,0,1.9815
1681604700000,0.6216,0.6221,0.6215,0.622,21801,1681604999999,13557.4636,64,20348,12653.9158,0,1.9647
1681605000000,0.6219,0.6233,0.6216,0.6231,45722,1681605299999,28469.3189,149,27872,17352.5163,0,1.9744
1681605300000,0.6229,0.6229,0.6211,0.6214,35867,1681605599999,22311.9941,187,8613,5354.4236,0,1.9727
1681605600000,0.6212,0.623,0.6209,0.623,34041,1681605899999,21156.2478,141,15636,9721.281,0,1.9806
1681605900000,0.623,0.623,0.6224,0.6225,23029,1681606199999,14341.0036,126,4817,2999.7352,0,1.9878
1681606200000,0.6225,0.6225,0.6191,0.6203,181546,1681606499999,112728.667,392,42664,26470.5796,0,1.9753
1681606500000,0.6202,0.6213,0.6194,0.6197,131452,1681606799999,81547.2808,341,95339,59155.9832,0,2.0148
1681606800000,0.6196,0.6197,0.6177,0.6185,149187,1681607099999,92287.2066,344,71530,44241.8408,0,1.978
1681607100000,0.6185,0.6185,0.6172,0.6179,76752,1681607399999,47392.5033,215,48817,30144.7205,0,1.9621
