timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field,ratio
1681592100000,1.156,1.157,1.155,1.155,32800.7,1681592399999,37915.634,134,15697.1,18148.4777,0,2.1221
1681592400000,1.156,1.157,1.155,1.155,61808.1,1681592699999,71430.1726,223,29035.7,33568.6443,0,2.1397
1681592700000,1.156,1.157,1.155,1.155,40804.7,1681592999999,47159.905,168,14798.0,17107.272,0,2.1279
1681593000000,1.155,1.156,1.153,1.154,88249.7,1681593299999,101884.7513,306,31887.1,36819.3069,0,2.1201
1681593300000,1.154,1.157,1.153,1.156,25059.3,1681593599999,28940.8383,129,18273.6,21105.9841,0,2.1466
1681593600000,1.156,1.159,1.156,1.158,25904.4,1681593899999,29989.002,103,20355.9,23565.916,0,2.1417
1681593900000,1.158,1.16,1.158,1.16,23707.1,1681594199999,27468.9873,152,13233.3,15337.97,0,2.1486
1681594200000,1.159,1.16,1.159,1.159,24231.5,1681594499999,28094.4814,141,10172.9,11800.564,0,2.1437
1681594500000,1.159,1.164,1.159,1.161,92555.1,1681594799999,107543.4358,425,65312.6,75885.7688,0,2.1536
1681594800000,1.161,1.163,1.161,1.161,41681.0,1681595099999,48425.9077,173,18480.0,21476.0553,0,2.1377
1681595100000,1.162,1.162,1.16,1.161,32239.8,1681595399999,37428.7497,136,9744.4,11320.6304,0,2.1397
1681595400000,1.16,1.162,1.158,1.158,70656.2,1681595699999,81972.3079,197,20990.3,24365.3773,0,2.1456
1681595700000,1.159,1.16,1.158,1.159,16890.9,1681595999999,19580.7806,96,13363.6,15493.1949,0,2.1348
1681596000000,1.16,1.164,1.154,1.162,180620.8,1681596299999,209456.4568,637,120910.3,140281.6064,0,2.1417
1681596300000,1.162,1.164,1.161,1.163,42426.8,1681596599999,49316.8989,230,23125.7,26884.4588,0,2.1309
1681596600000,1.162,1.169,1.162,1.168,222041.8,1681596899999,258973.4984,840,134360.9,156729.241,0,2.125
1681596900000,1.168,1.171,1.165,1.17,191921.5,1681597199999,224160.0201,578,97174.8,113537.2486,0,2.0989
1681597200000,1.171,1.171,1.168,1.169,150096.8,1681597499999,175556.9165,484,64284.8,75206.4337,0,2.1162
1681597500000,1.17,1.171,1.168,1.17,66992.0,1681597799999,78352.9398,230,25755.7,30133.8957,0,2.1377
