timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field
1681041600000,0.6305,0.6307,0.6302,0.6306,318766,1681041899999,200958.8801,737,177175,111697.7365,0
1681041900000,0.6307,0.6308,0.6304,0.6304,263355,1681042199999,166066.9456,434,103048,64987.7305,0
1681042200000,0.6305,0.6305,0.6297,0.6303,301103,1681042499999,189734.393,357,81086,51102.6644,0
1681042500000,0.6304,0.6304,0.6299,0.6302,154997,1681042799999,97666.4916,315,48844,30780.1625,0
1681042800000,0.6302,0.6314,0.6298,0.6311,366529,1681043099999,231199.8359,654,206994,130575.9088,0
1681043100000,0.6311,0.6324,0.631,0.6322,407156,1681043399999,257179.1759,610,285025,180053.564,0
1681043400000,0.6322,0.6333,0.6317,0.6317,482792,1681043699999,305394.6717,966,199045,125911.446,0
1681043700000,0.6317,0.6325,0.6314,0.6318,314286,1681043999999,198591.5996,548,120000,75841.1354,0
1681044000000,0.6317,0.6321,0.6312,0.6315,245378,1681044299999,154962.9669,449,113600,71734.7775,0
1681044300000,0.6315,0.6315,0.6308,0.6313,215906,1681044599999,136263.9963,371,117246,74004.5275,0
1681044600000,0.6313,0.6314,0.6301,0.6306,167808,1681044899999,105815.5037,353,53043,33444.0834,0
1681044900000,0.6306,0.6306,0.6302,0.6302,97690,1681045199999,61586.5052,243,39671,25011.3575,0
1681045200000,0.6303,0.6304,0.6291,0.6295,236156,1681045499999,148736.6963,620,91948,57921.5046,0
1681045500000,0.6296,0.6302,0.6294,0.6295,133013,1681045799999,83773.9669,351,75806,47745.7971,0
1681045800000,0.6294,0.6296,0.6287,0.6291,160684,1681046099999,101085.1909,326,76444,48091.74,0
1681046100000,0.629,0.6295,0.6286,0.6286,185659,1681046399999,116805.658,361,70901,44617.5184,0
1681046400000,0.6287,0.6287,0.6278,0.6283,404756,1681046699999,254265.434,576,112640,70771.8306,0
1681046700000,0.6282,0.6282,0.6276,0.628,210857,1681046999999,132415.7217,348,133339,83733.9759,0
1681047000000,0.6279,0.6281,0.6275,0.6281,325975,1681047299999,204637.9569,729,211762,132941.2516,0
1681047300000,0.628,0.6296,0.6278,0.6296,274041,1681047599999,172308.9702,622,192072,120769.9044,0
1681047600000,0.6296,0.6298,0.6288,0.6292,194500,1681047899999,122385.9621,499,68085,42844.5725,0
1681047900000,0.6291,0.6295,0.6291,0.6294,77517,1681048199999,48783.4825,288,60483,38063.5373,0
1681048200000,0.6294,0.6297,0.6292,0.6294,98005,1681048499999,61692.0326,306,46712,29405.7927,0
1681048500000,0.6294,0.6299,0.6293,0.6297,105758,1681048799999,66594.1181,295,44358,27931.6789,0
1681048800000,0.6297,0.63,0.6292,0.6293,244643,1681049099999,154034.1767,653,129553,81573.5231,0
1681049100000,0.6293,0.6293,0.6285,0.629,94409,1681049399999,59364.3499,265,39594,24896.1153,0
1681049400000,0.629,0.6299,0.629,0.6294,163695,1681049699999,103040.0307,305,91376,57512.5364,0
1681049700000,0.6294,0.6296,0.6273,0.6275,267063,1681049999999,167742.5655,519,55120,34634.6948,0
1681050000000,0.6276,0.6276,0.6211,0.6247,3675542,1681050299999,2293726.9709,5447,1392355,869016.4031,0
1681050300000,0.6247,0.6257,0.6232,0.6256,995898,1681050599999,621778.8354,2161,486752,303950.2333,0
1681050600000,0.6256,0.6257,0.6233,0.6245,787108,1681050899999,491535.7041,1548,374067,233582.7947,0
1681050900000,0.6246,0.6249,0.6234,0.6244,509669,1681051199999,318102.2934,1245,187254,116895.5488,0
