timestamp,open,high,low,close,volume,close time,Quote assest volume,Number of Trades,Taker BAV,Taker QAV,Unused field,ratio
1681592100000,0.6832,0.6834,0.6805,0.6822,1044705.7,1681592399999,712285.9578,1856,496945.1,338827.79092,0,1.6817
1681592400000,0.6823,0.6824,0.6784,0.6787,1206267.6,1681592699999,820576.24981,2667,444645.2,302594.20154,0,1.6853
1681592700000,0.6787,0.679,0.6762,0.6766,1537120.9,1681592999999,1041370.1768,2431,610831.4,413820.209,0,1.6752
1681593000000,0.6767,0.6773,0.6752,0.6757,1206489.4,1681593299999,816222.79417,1592,542981.7,367416.77289,0,1.681
1681593300000,0.6758,0.6796,0.6758,0.6796,1011972.1,1681593599999,686149.64299,1486,673588.4,456619.57893,0,1.6795
1681593600000,0.6795,0.6796,0.6777,0.6781,689511.6,1681593899999,467777.43878,1100,325282.4,220673.80903,0,1.686
1681593900000,0.6782,0.6796,0.6777,0.6796,318912.7,1681594199999,216355.81972,724,151003.5,102458.10211,0,1.6889
1681594200000,0.6795,0.6804,0.6793,0.6799,505586.5,1681594499999,343661.90098,1164,228096.9,155049.7021,0,1.6853
1681594500000,0.6799,0.6802,0.6776,0.6786,772859.3,1681594799999,524539.50141,1337,307862.5,208983.0433,0,1.6874
1681594800000,0.6785,0.68,0.6785,0.6798,255438.4,1681595099999,173539.77818,630,139872.3,95028.22138,0,1.6925
1681595100000,0.6797,0.6797,0.6774,0.6781,316512.2,1681595399999,214738.26825,698,162492.9,110239.72079,0,1.6961
1681595400000,0.6782,0.6798,0.6773,0.6776,733495.2,1681595699999,498005.98952,1406,350681.0,238086.86769,0,1.6976
1681595700000,0.6776,0.6783,0.6767,0.6783,436370.4,1681595999999,295563.00672,855,184190.9,124776.3042,0,1.6961
1681596000000,0.6782,0.6805,0.6773,0.6803,684844.6,1681596299999,464807.85436,1806,319666.8,216962.46789,0,1.6947
1681596300000,0.6803,0.681,0.6798,0.6799,562892.2,1681596599999,383049.62425,1228,251865.6,171407.48675,0,1.6918
1681596600000,0.68,0.6814,0.6795,0.6802,329794.4,1681596899999,224349.10682,832,162444.7,110507.06409,0,1.6874
1681596900000,0.6803,0.6832,0.6803,0.6831,526576.1,1681597199999,359021.62655,1222,324040.1,220931.53741,0,1.6925
1681597200000,0.6831,0.6845,0.682,0.6831,780323.6,1681597499999,533142.49712,1462,405461.6,277002.30412,0,1.694
1681597500000,0.683,0.6839,0.6824,0.6825,500834.5,1681597799999,342180.32047,950,247082.7,168822.05988,0,1.6903
1681597800000,0.6826,0.6829,0.6815,0.6819,476765.2,1681598099999,325170.27276,1170,211525.0,144268.00628,0,1.694
1681598100000,0.6819,0.682,0.6806,0.6816,478061.4,1681598399999,325633.39146,1046,220522.9,150206.53226,0,1.6911
1681598400000,0.6816,0.6823,0.681,0.682,341930.0,1681598699999,233103.55424,812,152843.0,104206.70654,0,1.6889
1681598700000,0.682,0.683,0.6816,0.6825,635815.9,1681598999999,433764.75559,1096,307390.5,209716.66426,0,1.6903
1681599000000,0.6826,0.6832,0.6812,0.6823,508890.9,1681599299999,347216.95272,927,253323.1,172889.76102,0,1.6961
1681599300000,0.6823,0.6826,0.6814,0.6814,363555.4,1681599599999,247982.9902,632,200624.5,136861.22892,0,1.6969
1681599600000,0.6815,0.6824,0.6812,0.6816,503334.5,1681599899999,343118.8826,1171,279558.4,190593.77317,0,1.6983
1681599900000,0.6817,0.683,0.6811,0.6823,343337.8,1681600199999,234157.01005,726,203548.2,138819.53324,0,1.6983
1681600200000,0.6823,0.6825,0.6814,0.6817,293881.8,1681600499999,200412.32799,569,179795.6,122618.06841,0,1.7034
1681600500000,0.6816,0.6822,0.6804,0.6811,475335.4,1681600799999,323707.08824,862,270942.5,184509.96179,0,1.702
1681600800000,0.6811,0.6829,0.6808,0.6827,328348.3,1681601099999,223872.99346,811,185648.4,126588.40584,0,1.6991
1681601100000,0.6828,0.6844,0.6824,0.683,525094.7,1681601399999,358884.15705,1450,227138.8,155232.75597,0,1.6998
1681601400000,0.6829,0.6832,0.6809,0.6811,490717.5,1681601699999,334576.66755,1145,280445.3,191224.43266,0,1.6983
1681601700000,0.6812,0.683,0.6809,0.6829,407787.0,1681601999999,277937.55665,979,227812.5,155284.5532,0,1.7071
1681602000000,0.6829,0.6833,0.6823,0.6831,434647.1,1681602299999,296838.69947,857,243955.1,166612.59956,0,1.7078
1681602300000,0.6832,0.6838,0.6806,0.6806,623573.8,1681602599999,425292.91374,1048,226081.4,154187.80345,0,1.7064
1681602600000,0.6807,0.6807,0.6792,0.6802,676648.0,1681602899999,460127.53206,1119,286779.1,195032.33323,0,1.7115
1681602900000,0.6802,0.6809,0.6791,0.6809,572229.5,1681603199999,389015.96612,1081,285234.7,193933.05558,0,1.7203
1681603200000,0.6808,0.6872,0.6804,0.6818,3175895.3,1681603499999,2171600.3441,5224,1764952.3,1206740.10935,0,1.7159
1681603500000,0.6818,0.6833,0.6775,0.6777,2178656.1,1681603799999,1482227.96852,3375,798658.4,543570.47927,0,1.7115
1681603800000,0.6777,0.6779,0.6724,0.6738,2534020.1,1681604099999,1709982.02706,3775,818424.5,552319.12583,0,1.7042
1681604100000,0.6739,0.6805,0.6738,0.6794,2079353.0,1681604399999,1409067.89055,3317,1398519.3,947547.41143,0,1.7108
1681604400000,0.6794,0.6895,0.6794,0.6888,3208319.8,1681604699999,2193266.58194,5110,1916484.2,1310064.60418,0,1.7034
1681604700000,0.6888,0.691,0.6846,0.6848,3744198.2,1681604999999,2577297.47127,5213,1951070.0,1343358.66231,0,1.6969
1681605000000,0.6849,0.6853,0.6819,0.6841,2167704.4,1681605299999,1481658.41631,2893,1024570.3,700360.79126,0,1.6695
1681605300000,0.6842,0.6847,0.6781,0.679,2244535.1,1681605599999,1526556.26361,3298,1017951.9,692169.86142,0,1.6674
1681605600000,0.679,0.6809,0.6784,0.6799,1243899.8,1681605899999,845482.28721,1983,821203.7,558193.00428,0,1.6795
1681605900000,0.6798,0.6811,0.6772,0.6776,1383944.0,1681606199999,939324.45656,2023,688906.3,467629.16423,0,1.7012
1681606200000,0.6776,0.6788,0.6758,0.6764,777924.4,1681606499999,526607.70151,1465,379306.0,256769.52578,0,1.6983
1681606500000,0.6765,0.6781,0.675,0.6755,851698.4,1681606799999,576075.64732,1609,392914.5,265822.9273,0,1.6983
