open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1700352000000,0.711,0.711,0.709,0.709,218047.8,1700352059999,154806.2638,246,18432.3,13103.0987,0
1700352060000,0.71,0.711,0.709,0.709,104953.4,1700352119999,74515.512,124,59103.1,41963.7735,0
1700352120000,0.71,0.71,0.708,0.708,89697.8,1700352179999,63590.397,191,6579.3,4670.983,0
1700352180000,0.709,0.709,0.707,0.708,269433.4,1700352239999,190766.899,287,210570.6,149093.8359,0
1700352240000,0.709,0.71,0.708,0.709,96460.8,1700352299999,68393.9918,156,74689.3,52959.405,0
1700352300000,0.709,0.71,0.708,0.708,254594.6,1700352359999,180505.3154,89,783.5,555.6147,0
1700352360000,0.708,0.709,0.707,0.707,194563.4,1700352419999,137752.2261,169,2463.9,1746.0328,0
1700352420000,0.707,0.707,0.705,0.707,361716.4,1700352479999,255443.6208,509,258533.0,182535.2947,0
1700352480000,0.706,0.708,0.706,0.707,404730.1,1700352539999,285949.3822,316,262464.1,185484.9766,0
1700352540000,0.708,0.708,0.706,0.707,205369.8,1700352599999,145191.0656,149,73750.9,52145.6687,0
1700352600000,0.706,0.708,0.706,0.708,187619.3,1700352659999,132580.4588,299,144348.4,102030.9965,0
1700352660000,0.708,0.708,0.706,0.707,100623.5,1700352719999,71142.8458,156,24882.8,17596.8983,0
1700352720000,0.706,0.707,0.706,0.707,20053.5,1700352779999,14173.4507,19,15679.7,11085.5479,0
1700352780000,0.707,0.708,0.707,0.707,224196.9,1700352839999,158508.7747,173,124548.3,88057.2145,0
1700352840000,0.707,0.707,0.706,0.707,18815.7,1700352899999,13301.1733,14,17289.1,12223.3937,0
1700352900000,0.706,0.707,0.706,0.706,77955.8,1700352959999,55046.4617,155,10349.3,7316.2727,0
1700352960000,0.705,0.709,0.705,0.709,251901.4,1700353019999,178064.2917,298,247648.2,175059.3682,0
1700353020000,0.709,0.709,0.707,0.707,178310.4,1700353079999,126259.597,162,71365.3,50542.589,0
1700353080000,0.708,0.709,0.707,0.709,51091.0,1700353139999,36182.7815,97,47207.1,33432.9903,0
1700353140000,0.709,0.71,0.707,0.708,300058.1,1700353199999,212347.5289,396,75404.2,53395.1765,0
1700353200000,0.707,0.708,0.706,0.707,89229.9,1700353259999,63085.6869,136,35045.3,24778.2598,0
1700353260000,0.707,0.709,0.707,0.708,142644.5,1700353319999,100985.3116,191,83352.5,59013.7039,0
1700353320000,0.708,0.709,0.708,0.708,130163.2,1700353379999,92156.483,107,61016.2,43200.407,0
1700353380000,0.708,0.709,0.708,0.709,4601.1,1700353439999,3261.0923,17,3513.5,2491.0715,0
1700353440000,0.709,0.71,0.709,0.709,59549.6,1700353499999,42225.3468,164,57976.8,41110.2316,0
1700353500000,0.709,0.71,0.708,0.71,152009.0,1700353559999,107777.6152,155,50884.6,36080.8585,0
1700353560000,0.709,0.71,0.709,0.71,87599.6,1700353619999,62192.0629,231,55000.3,39050.213,0
1700353620000,0.71,0.71,0.708,0.708,148714.0,1700353679999,105374.0302,225,21357.4,15122.9102,0
1700353680000,0.708,0.709,0.707,0.708,73768.7,1700353739999,52224.697,62,46103.0,32642.0512,0
1700353740000,0.709,0.709,0.708,0.708,1508.1,1700353799999,1069.1165,6,1381.7,979.6253,0
1700353800000,0.709,0.709,0.708,0.709,59980.1,1700353859999,42525.5191,99,59608.3,42262.2847,0
1700353860000,0.709,0.709,0.708,0.709,2832.5,1700353919999,2006.6251,11,1215.1,861.5059,0
1700353920000,0.709,0.709,0.708,0.709,42239.1,1700353979999,29946.4037,87,38409.9,27232.6191,0
1700353980000,0.71,0.711,0.709,0.71,161485.0,1700354039999,114653.6764,203,51682.8,36694.8307,0
1700354040000,0.71,0.71,0.708,0.709,279065.2,1700354099999,197886.1796,234,148638.2,105391.1741,0
1700354100000,0.709,0.709,0.707,0.708,178946.6,1700354159999,126775.7092,199,51117.7,36192.7743,0
1700354160000,0.708,0.71,0.708,0.708,192949.6,1700354219999,136801.5465,181,120183.9,85211.0839,0
1700354220000,0.709,0.709,0.708,0.709,16768.0,1700354279999,11888.4036,14,16659.6,11811.6564,0
1700354280000,0.709,0.709,0.707,0.707,138646.0,1700354339999,98158.3656,151,876.7,620.8991,0
1700354340000,0.707,0.709,0.707,0.707,63621.9,1700354399999,45043.8301,78,34505.2,24430.2556,0
1700354400000,0.707,0.709,0.707,0.709,152347.6,1700354459999,107881.9424,146,149587.4,105929.5044,0
1700354460000,0.708,0.709,0.706,0.706,255864.9,1700354519999,181047.3424,290,115507.2,81745.0523,0
1700354520000,0.706,0.708,0.706,0.707,430910.1,1700354579999,304449.6698,502,270690.1,191331.3613,0
1700354580000,0.707,0.708,0.707,0.707,5074.7,1700354639999,3589.4228,21,1609.9,1139.8092,0
1700354640000,0.707,0.708,0.707,0.707,1770.9,1700354699999,1252.4822,7,455.9,322.7772,0
1700354700000,0.707,0.709,0.707,0.709,39070.5,1700354759999,27660.1344,77,36866.6,26101.9771,0
1700354760000,0.708,0.708,0.707,0.707,41329.3,1700354819999,29260.3638,62,7833.8,5546.3304,0
1700354820000,0.707,0.708,0.706,0.706,185993.0,1700354879999,131430.3721,244,24888.6,17572.9744,0
1700354880000,0.706,0.707,0.706,0.706,6427.1,1700354939999,4538.6727,17,1140.1,806.0507,0
1700354940000,0.706,0.707,0.705,0.706,21815.0,1700354999999,15397.0372,70,2269.1,1602.2883,0
1700355000000,0.706,0.707,0.705,0.706,232384.3,1700355059999,164075.4502,145,174294.7,123064.2227,0
1700355060000,0.706,0.707,0.706,0.706,2815.6,1700355119999,1989.2873,14,1473.7,1041.9059,0
1700355120000,0.706,0.707,0.705,0.705,44005.4,1700355179999,31064.4067,131,665.3,470.2221,0
1700355180000,0.705,0.706,0.705,0.705,36577.0,1700355239999,25790.0077,151,3222.7,2275.2262,0
1700355240000,0.706,0.706,0.704,0.705,193212.0,1700355299999,136195.5602,435,80613.3,56832.9918,0
1700355300000,0.705,0.706,0.704,0.705,112046.7,1700355359999,78992.7329,127,51115.2,36036.2171,0
1700355360000,0.705,0.705,0.703,0.703,128292.2,1700355419999,90361.7864,418,836.0,588.6352,0
1700355420000,0.703,0.705,0.703,0.704,241294.9,1700355479999,169867.1877,244,151388.5,106583.6355,0
1700355480000,0.703,0.704,0.702,0.702,80202.6,1700355539999,56382.2318,147,5079.5,3571.3187,0
1700355540000,0.703,0.704,0.7,0.702,1060704.3,1700355599999,743942.0121,1782,386455.9,271233.1879,0
1700355600000,0.703,0.704,0.702,0.703,115634.7,1700355659999,81274.8277,261,95636.0,67233.8877,0
1700355660000,0.703,0.704,0.702,0.704,170361.6,1700355719999,119770.3859,153,85426.6,60061.1236,0
1700355720000,0.704,0.705,0.703,0.704,174518.2,1700355779999,122863.8764,533,128036.5,90141.738,0
1700355780000,0.704,0.705,0.703,0.705,54118.6,1700355839999,38103.4012,96,48228.7,33957.6761,0
1700355840000,0.705,0.705,0.704,0.705,8677.4,1700355899999,6114.3142,19,5424.6,3824.343,0
1700355900000,0.705,0.705,0.703,0.703,92199.6,1700355959999,64909.0031,109,547.9,386.2623,0
1700355960000,0.704,0.704,0.702,0.702,141278.9,1700356019999,99317.7626,171,44817.9,31506.9979,0
1700356020000,0.703,0.703,0.701,0.702,392603.4,1700356079999,275605.562,296,183193.3,128601.8044,0
1700356080000,0.702,0.703,0.701,0.701,47625.4,1700356139999,33434.2574,40,1592.0,1119.0085,0
1700356140000,0.702,0.702,0.7,0.7,169319.1,1700356199999,118667.8345,352,61214.2,42918.8799,0
1700356200000,0.701,0.702,0.7,0.7,64822.8,1700356259999,45435.4319,264,48706.8,34144.4088,0
1700356260000,0.7,0.702,0.7,0.702,34985.5,1700356319999,24524.4072,167,27370.8,19193.0707,0
1700356320000,0.701,0.703,0.7,0.701,289353.1,1700356379999,202981.9436,300,156034.5,109472.5384,0
1700356380000,0.702,0.702,0.701,0.701,181088.6,1700356439999,127122.9876,169,87690.9,61559.0118,0
1700356440000,0.701,0.702,0.7,0.701,106361.7,1700356499999,74570.3885,144,35604.0,24969.2762,0
1700356500000,0.7,0.702,0.7,0.701,44292.8,1700356559999,31053.4514,53,28594.0,20048.9818,0
1700356560000,0.701,0.702,0.7,0.701,94000.8,1700356619999,65918.2205,214,45463.9,31898.4466,0
1700356620000,0.702,0.703,0.701,0.702,243989.3,1700356679999,171284.5024,179,129422.1,90859.0201,0
1700356680000,0.702,0.703,0.701,0.703,173334.1,1700356739999,121690.2968,209,98947.2,69470.931,0
1700356740000,0.703,0.703,0.7,0.701,253015.5,1700356799999,177411.8697,239,153611.8,107708.4677,0
1700356800000,0.702,0.702,0.701,0.702,35345.0,1700356859999,24810.6403,57,33795.3,23724.3006,0
1700356860000,0.702,0.702,0.701,0.702,37659.2,1700356919999,26428.2622,87,29163.0,20472.426,0
1700356920000,0.702,0.703,0.701,0.703,153656.0,1700356979999,107875.4283,122,90710.6,63688.3707,0
1700356980000,0.703,0.703,0.701,0.702,150734.4,1700357039999,105833.2076,112,86610.8,60818.5402,0
1700357040000,0.703,0.703,0.701,0.701,77223.0,1700357099999,54212.0557,77,38952.4,27347.4289,0
1700357100000,0.702,0.702,0.701,0.702,21707.9,1700357159999,15231.0406,28,13802.7,9689.4954,0
1700357160000,0.702,0.703,0.701,0.701,217023.0,1700357219999,152353.5052,194,96731.0,67909.0274,0
1700357220000,0.701,0.702,0.7,0.7,196118.7,1700357279999,137395.4506,351,80115.4,56136.676,0
1700357280000,0.7,0.701,0.699,0.7,74319.3,1700357339999,52026.0222,115,41549.2,29088.2997,0
1700357340000,0.699,0.7,0.698,0.699,427080.5,1700357399999,298370.1773,1027,166752.8,116540.683,0
1700357400000,0.699,0.699,0.698,0.698,98900.3,1700357459999,69121.1693,169,70216.3,49081.1937,0
1700357460000,0.698,0.699,0.697,0.697,207245.2,1700357519999,144627.4828,461,88822.1,61999.2737,0
1700357520000,0.698,0.698,0.696,0.697,304339.9,1700357579999,212007.4059,500,79860.3,55666.6833,0
1700357580000,0.697,0.698,0.695,0.697,647189.0,1700357639999,450574.1552,828,224802.7,156549.9987,0
1700357640000,0.697,0.698,0.695,0.697,235474.9,1700357699999,164010.4585,248,117765.3,82043.8568,0
1700357700000,0.697,0.699,0.697,0.698,257276.1,1700357759999,179530.4128,305,157759.8,110083.5167,0
1700357760000,0.698,0.699,0.697,0.698,233306.5,1700357819999,162869.9852,226,118844.5,82976.8302,0
1700357820000,0.698,0.699,0.697,0.697,220603.3,1700357879999,153947.6066,271,64670.5,45140.3605,0
1700357880000,0.697,0.698,0.696,0.697,98557.0,1700357939999,68695.0135,127,43777.5,30514.1543,0
1700357940000,0.697,0.698,0.696,0.697,106924.1,1700357999999,74531.8531,112,61134.8,42618.2442,0
1700358000000,0.696,0.697,0.695,0.697,243640.6,1700358059999,169691.6705,273,139989.8,97544.5644,0
