Symbol,Side,Order Type,Time,Quantity,Price
1000LUNCUSDT,SELL,LIMIT,1701915053251,3921,0.2249192
1000LUNCUSDT,SELL,LIMIT,1701915061087,100,0.2237132
1000LUNCUSDT,SELL,LIMIT,1701915062107,33,0.2237137
1000LUNCUSDT,SELL,LIMIT,1701915199424,44,0.2235934
1000LUNCUSDT,SELL,LIMIT,1701915248943,3069,0.2234244
1000LUNCUSDT,SELL,LIMIT,1701915257308,2195,0.2231404
1000LUNCUSDT,SELL,LIMIT,1701916648996,4838,0.2230268
1000LUNCUSDT,SELL,LIMIT,1701916828788,629,0.2230884
1000LUNCUSDT,SELL,LIMIT,1701917106381,2486,0.2228766
1000LUNCUSDT,SELL,LIMIT,1701917109331,386,0.2227721
1000LUNCUSDT,SELL,LIMIT,1701917111715,3403,0.2224058
1000LUNCUSDT,SELL,LIMIT,1701917115084,311,0.2219601
1000LUNCUSDT,SELL,LIMIT,1701917122153,21479,0.2218657
1000LUNCUSDT,SELL,LIMIT,1701917123628,14965,0.2217011
1000LUNCUSDT,SELL,LIMIT,1701917169123,5643,0.2215253
1000LUNCUSDT,SELL,LIMIT,1701917170365,40,0.2217165
1000LUNCUSDT,SELL,LIMIT,1701917171375,80,0.2215015
1000LUNCUSDT,SELL,LIMIT,1701917172749,670,0.2214117
1000LUNCUSDT,SELL,LIMIT,1701917253771,583,0.2211212
1000LUNCUSDT,SELL,LIMIT,1701917258727,390,0.2210065
1000LUNCUSDT,SELL,LIMIT,1701917268988,759,0.2209146
1000LUNCUSDT,SELL,LIMIT,1701917574168,1423,0.2211454
1000LUNCUSDT,SELL,LIMIT,1701917590113,42,0.2208890
1000LUNCUSDT,SELL,LIMIT,1701917610995,9527,0.2209786
1000LUNCUSDT,BUY,LIMIT,1701917838780,185,0.2257854
1000LUNCUSDT,SELL,LIMIT,1701918459806,178,0.2207268
1000LUNCUSDT,SELL,LIMIT,1701918462513,1607,0.2204707
1000LUNCUSDT,SELL,LIMIT,1701918647707,14283,0.2204751
1000LUNCUSDT,SELL,LIMIT,1701919123678,1204,0.2200318
1000LUNCUSDT,BUY,LIMIT,1701920127653,5592,0.2266951
1000LUNCUSDT,BUY,LIMIT,1701920167092,112,0.2268591
1000LUNCUSDT,SELL,LIMIT,1701921842181,2462,0.2198695
1000LUNCUSDT,SELL,LIMIT,1701921845130,1050,0.2197736
1000LUNCUSDT,BUY,LIMIT,1701922069962,44,0.2267960
1000LUNCUSDT,BUY,LIMIT,1701924305692,1248,0.2269666
1000LUNCUSDT,SELL,LIMIT,1701924772089,579,0.2206939
1000LUNCUSDT,SELL,LIMIT,1701924823572,1116,0.2202307
1000LUNCUSDT,SELL,LIMIT,1701924964597,2228,0.2198780
1000LUNCUSDT,SELL,LIMIT,1701924967095,269,0.2196745
1000LUNCUSDT,SELL,LIMIT,1701924969613,502,0.2196474
1000LUNCUSDT,SELL,LIMIT,1701924971956,26,0.2195644
1000LUNCUSDT,SELL,LIMIT,1701924974106,29,0.2195079
1000LUNCUSDT,SELL,LIMIT,1701924975465,83,0.2194334
1000LUNCUSDT,SELL,LIMIT,1701924978567,10047,0.2193718
1000LUNCUSDT,SELL,LIMIT,1701924980395,1126,0.2191903
1000LUNCUSDT,SELL,LIMIT,1701924981988,525,0.2190711
1000LUNCUSDT,SELL,LIMIT,1701925009786,577,0.2189269
1000LUNCUSDT,SELL,LIMIT,1701925013121,7593,0.2187550
1000LUNCUSDT,SELL,LIMIT,1701925014189,574,0.2186368
1000LUNCUSDT,SELL,LIMIT,1701925015788,464,0.2183890
1000LUNCUSDT,SELL,LIMIT,1701925017615,26,0.2183189
1000LUNCUSDT,SELL,LIMIT,1701925019417,990,0.2182499
1000LUNCUSDT,SELL,LIMIT,1701925027059,1246,0.2181639
1000LUNCUSDT,SELL,LIMIT,1701925028089,9179,0.2178318
1000LUNCUSDT,SELL,LIMIT,1701925029206,17130,0.2177836
1000LUNCUSDT,SELL,LIMIT,1701925084503,3108,0.2174528
1000LUNCUSDT,SELL,LIMIT,1701925086510,685,0.2174070
1000LUNCUSDT,SELL,LIMIT,1701925088443,201,0.2171271
1000LUNCUSDT,SELL,LIMIT,1701925089773,11512,0.2170924
1000LUNCUSDT,SELL,LIMIT,1701925123305,3469,0.2170309
1000LUNCUSDT,SELL,LIMIT,1701925124419,11208,0.2169066
1000LUNCUSDT,SELL,LIMIT,1701925125456,2036,0.2168341
1000LUNCUSDT,SELL,LIMIT,1701925127900,11085,0.2166243
1000LUNCUSDT,BUY,LIMIT,1701926494529,913,0.2241599
1000LUNCUSDT,SELL,LIMIT,1701926823304,2235,0.2195794
1000LUNCUSDT,BUY,LIMIT,1701926998606,11052,0.2250710
1000LUNCUSDT,BUY,LIMIT,1701927046065,10140,0.2255335
1000LUNCUSDT,BUY,LIMIT,1701927265440,1393,0.2259590
1000LUNCUSDT,BUY,LIMIT,1701927392620,2747,0.2268563
1000LUNCUSDT,BUY,LIMIT,1701927556778,1351,0.2269619
1000LUNCUSDT,BUY,LIMIT,1701927565189,22448,0.2271400
1000LUNCUSDT,BUY,LIMIT,1701927644715,103,0.2272387
1000LUNCUSDT,BUY,LIMIT,1701927837664,26,0.2282924
1000LUNCUSDT,BUY,LIMIT,1701927840257,382,0.2283279
1000LUNCUSDT,BUY,LIMIT,1701927841308,24,0.2283797
1000LUNCUSDT,BUY,LIMIT,1701928293367,2680,0.2271342
1000LUNCUSDT,SELL,LIMIT,1701928815549,10022,0.2217514
1000LUNCUSDT,BUY,LIMIT,1701928843525,2240,0.2267456
1000LUNCUSDT,SELL,LIMIT,1701929406022,22095,0.2215878
1000LUNCUSDT,SELL,LIMIT,1701929615379,191,0.2211057
1000LUNCUSDT,SELL,LIMIT,1701929617041,246,0.2210745
1000LUNCUSDT,SELL,LIMIT,1701929618427,8541,0.2210561
1000LUNCUSDT,SELL,LIMIT,1701930129756,2935,0.2205585
1000LUNCUSDT,SELL,LIMIT,1701930200106,38,0.2204486
1000LUNCUSDT,SELL,LIMIT,1701930205737,145,0.2204230
1000LUNCUSDT,SELL,LIMIT,1701930209708,2491,0.2203489
1000LUNCUSDT,SELL,LIMIT,1701930286210,103,0.2201667
1000LUNCUSDT,SELL,LIMIT,1701930493360,2647,0.2198615
1000LUNCUSDT,SELL,LIMIT,1701930681260,522,0.2195213
1000LUNCUSDT,BUY,LIMIT,1701930786334,10468,0.2219306
1000LUNCUSDT,SELL,LIMIT,1701931010041,2000,0.2192317
1000LUNCUSDT,SELL,LIMIT,1701931020079,2000,0.2189962
1000LUNCUSDT,SELL,LIMIT,1701931133735,156,0.2184241
1000LUNCUSDT,SELL,LIMIT,1701931459459,241,0.2178413
1000LUNCUSDT,SELL,LIMIT,1701931501420,10130,0.2176223
1000LUNCUSDT,SELL,LIMIT,1701931503019,22212,0.2175608
1000LUNCUSDT,SELL,LIMIT,1701931506447,227,0.2174286
1000LUNCUSDT,SELL,LIMIT,1701931515132,431,0.2172554
1000LUNCUSDT,SELL,LIMIT,1701931549199,41,0.2168474
1000LUNCUSDT,SELL,LIMIT,1701931551133,184,0.2166243
1000LUNCUSDT,SELL,LIMIT,1701931555494,213,0.2164448
1000LUNCUSDT,SELL,LIMIT,1701931569054,580,0.2131962
1000LUNCUSDT,SELL,LIMIT,1701931570059,53,0.2138392
1000LUNCUSDT,SELL,LIMIT,1701931572043,601,0.2129391
1000LUNCUSDT,SELL,LIMIT,1701931573061,2226,0.2126759
1000LUNCUSDT,SELL,LIMIT,1701931636236,238,0.2127978
1000LUNCUSDT,SELL,LIMIT,1701931643128,1250,0.2127130
1000LUNCUSDT,SELL,LIMIT,1701931650195,18697,0.2126366
1000LUNCUSDT,SELL,LIMIT,1701931651937,2232,0.2125913
1000LUNCUSDT,SELL,LIMIT,1701931653050,311,0.2123794
1000LUNCUSDT,SELL,LIMIT,1701931654167,98,0.2123467
1000LUNCUSDT,SELL,LIMIT,1701931673914,7054,0.2122080
1000LUNCUSDT,SELL,LIMIT,1701931675102,924,0.2121762
1000LUNCUSDT,SELL,LIMIT,1701931691070,2240,0.2121197
1000LUNCUSDT,SELL,LIMIT,1701931692383,380,0.2120990
1000LUNCUSDT,SELL,LIMIT,1701931693395,25,0.2120703
1000LUNCUSDT,SELL,LIMIT,1701931695612,13401,0.2119754
1000LUNCUSDT,SELL,LIMIT,1701931702373,438,0.2119563
1000LUNCUSDT,SELL,LIMIT,1701931704079,45,0.2117997
1000LUNCUSDT,SELL,LIMIT,1701931707523,6526,0.2117932
1000LUNCUSDT,SELL,LIMIT,1701931713400,1608,0.2117332
1000LUNCUSDT,SELL,LIMIT,1701931715067,475,0.2115783
1000LUNCUSDT,SELL,LIMIT,1701931716110,29,0.2115550
1000LUNCUSDT,SELL,LIMIT,1701931721240,3173,0.2114769
1000LUNCUSDT,SELL,LIMIT,1701931746434,280,0.2114642
1000LUNCUSDT,SELL,LIMIT,1701931750118,59,0.2114008
1000LUNCUSDT,SELL,LIMIT,1701931751304,185,0.2113443
1000LUNCUSDT,SELL,LIMIT,1701931752308,11125,0.2113228
1000LUNCUSDT,SELL,LIMIT,1701931753853,68,0.2111486
1000LUNCUSDT,SELL,LIMIT,1701931754880,4753,0.2110331
1000LUNCUSDT,SELL,LIMIT,1701931756105,10429,0.2107187
1000LUNCUSDT,SELL,LIMIT,1701931757201,444,0.2105990
1000LUNCUSDT,SELL,LIMIT,1701931761447,880,0.2105262
1000LUNCUSDT,SELL,LIMIT,1701931801050,3740,0.2088541
1000LUNCUSDT,SELL,LIMIT,1701931802055,475,0.2092969
1000LUNCUSDT,SELL,LIMIT,1701931804616,325,0.2081565
1000LUNCUSDT,SELL,LIMIT,1701931813176,10852,0.2083011
1000LUNCUSDT,SELL,LIMIT,1701931821591,3202,0.2082435
1000LUNCUSDT,SELL,LIMIT,1701931823446,238,0.2078781
1000LUNCUSDT,SELL,LIMIT,1701931825062,323,0.2077577
1000LUNCUSDT,SELL,LIMIT,1701931827466,1103,0.2077339
1000LUNCUSDT,SELL,LIMIT,1701931829136,4495,0.2077001
1000LUNCUSDT,SELL,LIMIT,1701931830249,4969,0.2076852
1000LUNCUSDT,SELL,LIMIT,1701931831281,1522,0.2071026
1000LUNCUSDT,SELL,LIMIT,1701931832303,1126,0.2068845
1000LUNCUSDT,SELL,LIMIT,1701931833314,1000,0.2064584
1000LUNCUSDT,SELL,LIMIT,1701931834316,2926,0.2066425
1000LUNCUSDT,SELL,LIMIT,1701931835370,2466,0.2061701
1000LUNCUSDT,SELL,LIMIT,1701931923321,352,0.2060274
1000LUNCUSDT,SELL,LIMIT,1701931925016,2270,0.2058632
1000LUNCUSDT,SELL,LIMIT,1701931926070,59569,0.2035210
1000LUNCUSDT,SELL,LIMIT,1701931927132,324,0.2053044
1000LUNCUSDT,SELL,LIMIT,1701931928134,4130,0.2053009
1000LUNCUSDT,SELL,LIMIT,1701932419341,222,0.2084126
1000LUNCUSDT,SELL,LIMIT,1701932457870,11759,0.2059589
1000LUNCUSDT,SELL,LIMIT,1701932462074,1879,0.2059554
1000LUNCUSDT,SELL,LIMIT,1701932466059,709,0.2058249
1000LUNCUSDT,SELL,LIMIT,1701932535162,100,0.2051142
1000LUNCUSDT,SELL,LIMIT,1701932617132,783,0.2048634
1000LUNCUSDT,SELL,LIMIT,1701932618158,2551,0.2049193
1000LUNCUSDT,SELL,LIMIT,1701932619274,1530,0.2047096
1000LUNCUSDT,SELL,LIMIT,1701932622309,32,0.2043455
1000LUNCUSDT,SELL,LIMIT,1701932624129,1896,0.2041909
1000LUNCUSDT,SELL,LIMIT,1701932625228,5992,0.2040365
1000LUNCUSDT,BUY,LIMIT,1701932767890,261,0.2104136
1000LUNCUSDT,BUY,LIMIT,1701932833823,15518,0.2109265
1000LUNCUSDT,BUY,LIMIT,1701932872172,2835,0.2115294
1000LUNCUSDT,BUY,LIMIT,1701932926086,9552,0.2124246
1000LUNCUSDT,BUY,LIMIT,1701932928427,911,0.2124480
1000LUNCUSDT,BUY,LIMIT,1701932960029,1016,0.2126557
1000LUNCUSDT,BUY,LIMIT,1701932999763,6533,0.2132255
1000LUNCUSDT,BUY,LIMIT,1701933009833,1060,0.2133115
1000LUNCUSDT,BUY,LIMIT,1701933035650,14841,0.2137637
1000LUNCUSDT,BUY,LIMIT,1701933039573,107,0.2137824
1000LUNCUSDT,BUY,LIMIT,1701933053301,4726,0.2139185
1000LUNCUSDT,BUY,LIMIT,1701933096130,27,0.2143424
1000LUNCUSDT,BUY,LIMIT,1701933218584,196,0.2160108
1000LUNCUSDT,SELL,LIMIT,1701933519083,8891,0.2086562
1000LUNCUSDT,SELL,LIMIT,1701933520145,466,0.2086244
1000LUNCUSDT,SELL,LIMIT,1701933521177,2637,0.2076751
1000LUNCUSDT,SELL,LIMIT,1701933522252,626,0.2074673
1000LUNCUSDT,SELL,LIMIT,1701933524024,9702,0.2073118
1000LUNCUSDT,BUY,LIMIT,1701934230706,2540,0.2116839
1000LUNCUSDT,SELL,LIMIT,1701934319412,52,0.2065052
1000LUNCUSDT,SELL,LIMIT,1701935732669,1287,0.2070064
1000LUNCUSDT,SELL,LIMIT,1701935733810,11979,0.2068378
1000LUNCUSDT,SELL,LIMIT,1701935735707,603,0.2067163
1000LUNCUSDT,SELL,LIMIT,1701935749279,23676,0.2066047
1000LUNCUSDT,SELL,LIMIT,1701936867399,288,0.2064925
1000LUNCUSDT,SELL,LIMIT,1701936877298,22455,0.2063621
1000LUNCUSDT,SELL,LIMIT,1701936879640,109,0.2063236
1000LUNCUSDT,SELL,LIMIT,1701936882446,24,0.2060206
1000LUNCUSDT,SELL,LIMIT,1701936884438,437,0.2059062
1000LUNCUSDT,SELL,LIMIT,1701936891515,17349,0.2061130
1000LUNCUSDT,SELL,LIMIT,1701936892594,3094,0.2057931
1000LUNCUSDT,SELL,LIMIT,1701936896582,42,0.2056208
1000LUNCUSDT,SELL,LIMIT,1701936900160,5717,0.2056228
1000LUNCUSDT,SELL,LIMIT,1701936903378,738,0.2055917
1000LUNCUSDT,SELL,LIMIT,1701936905026,24,0.2054815
1000LUNCUSDT,SELL,LIMIT,1701936906338,465,0.2053821
1000LUNCUSDT,SELL,LIMIT,1701936912776,96,0.2052667
1000LUNCUSDT,SELL,LIMIT,1701936917521,421,0.2052271
1000LUNCUSDT,SELL,LIMIT,1701936919280,182,0.2053481
1000LUNCUSDT,SELL,LIMIT,1701936923943,819,0.2051801
1000LUNCUSDT,SELL,LIMIT,1701936926080,391,0.2050022
1000LUNCUSDT,SELL,LIMIT,1701936966275,9389,0.2048614
1000LUNCUSDT,SELL,LIMIT,1701937307076,132,0.2060908
1000LUNCUSDT,SELL,LIMIT,1701937340762,31,0.2049006
1000LUNCUSDT,SELL,LIMIT,1701937342055,2406,0.2036691
1000LUNCUSDT,SELL,LIMIT,1701937343063,1019,0.2032996
1000LUNCUSDT,SELL,LIMIT,1701937344114,97,0.2034641
1000LUNCUSDT,SELL,LIMIT,1701937346256,2390,0.2029071
1000LUNCUSDT,SELL,LIMIT,1701937347317,1530,0.2031421
1000LUNCUSDT,SELL,LIMIT,1701937349439,611,0.2027553
1000LUNCUSDT,SELL,LIMIT,1701937350495,17862,0.2027638
1000LUNCUSDT,SELL,LIMIT,1701937353051,3116,0.2027028
1000LUNCUSDT,SELL,LIMIT,1701937354122,89,0.2024592
1000LUNCUSDT,SELL,LIMIT,1701937394127,47,0.2038821
1000LUNCUSDT,SELL,LIMIT,1701937483692,5482,0.2037838
1000LUNCUSDT,SELL,LIMIT,1701937926053,5921,0.2052137
1000LUNCUSDT,BUY,LIMIT,1701938300345,604,0.2094324
1000LUNCUSDT,BUY,LIMIT,1701938583219,243,0.2104934
1000LUNCUSDT,BUY,LIMIT,1701938767205,1207,0.2109928
1000LUNCUSDT,SELL,LIMIT,1701939269820,69,0.2048657
1000LUNCUSDT,SELL,LIMIT,1701939300322,4411,0.2044531
1000LUNCUSDT,SELL,LIMIT,1701939334328,2581,0.2044455
1000LUNCUSDT,SELL,LIMIT,1701939336089,953,0.2043669
1000LUNCUSDT,SELL,LIMIT,1701939339901,35,0.2040972
1000LUNCUSDT,SELL,LIMIT,1701939340972,1087,0.2036862
1000LUNCUSDT,SELL,LIMIT,1701939372245,91406,0.2014984
1000LUNCUSDT,SELL,LIMIT,1701939456654,580,0.2036139
1000LUNCUSDT,SELL,LIMIT,1701939460521,1420,0.2033916
1000LUNCUSDT,SELL,LIMIT,1701939576202,27137,0.2036275
