Symbol,Side,Order Type,Time,Quantity,Price
1000XECUSDT,SELL,LIMIT,1701918511657,3260,0.03363
1000XECUSDT,SELL,LIMIT,1701919106190,7654,0.03343
1000XECUSDT,BUY,LIMIT,1701924235425,302,0.03501
1000XECUSDT,SELL,LIMIT,1701925299673,143,0.03334
1000XECUSDT,SELL,LIMIT,1701925301467,5597,0.03333
1000XECUSDT,SELL,LIMIT,1701925302739,160,0.03330
1000XECUSDT,SELL,LIMIT,1701925355794,2347,0.03327
1000XECUSDT,SELL,LIMIT,1701925407185,25696,0.03325
1000XECUSDT,SELL,LIMIT,1701928606436,161,0.03342
1000XECUSDT,SELL,LIMIT,1701931569716,11536,0.03371
1000XECUSDT,SELL,LIMIT,1701931829246,1470,0.03330
1000XECUSDT,SELL,LIMIT,1701932697367,4595,0.03316
1000XECUSDT,SELL,LIMIT,1701932699060,2187,0.03311
1000XECUSDT,SELL,LIMIT,1701932703383,7836,0.03307
1000XECUSDT,SELL,LIMIT,1701932704402,5480,0.03308
1000XECUSDT,SELL,LIMIT,1701933450043,5714,0.03306
1000XECUSDT,SELL,LIMIT,1701936755423,23147,0.03295
1000XECUSDT,SELL,LIMIT,1701936790135,5778,0.03290
1000XECUSDT,SELL,LIMIT,1701936858873,12392,0.03287
1000XECUSDT,SELL,LIMIT,1701936925100,7401,0.03278
1000XECUSDT,SELL,LIMIT,1701937022091,7257,0.03275
1000XECUSDT,SELL,LIMIT,1701937027402,226,0.03269
1000XECUSDT,SELL,LIMIT,1701937028474,27971,0.03266
1000XECUSDT,SELL,LIMIT,1701937345328,204,0.03283
1000XECUSDT,SELL,LIMIT,1701937368090,148178,0.03270
1000XECUSDT,SELL,LIMIT,1701937531976,87544,0.03264
1000XECUSDT,SELL,LIMIT,1701939572126,643,0.03252
1000XECUSDT,SELL,LIMIT,1701939578210,6,0.03251
1000XECUSDT,SELL,LIMIT,1701939976179,530,0.03251
1000XECUSDT,SELL,LIMIT,1701940477713,2416,0.03244
1000XECUSDT,SELL,LIMIT,1701940481368,1146,0.03236
1000XECUSDT,SELL,LIMIT,1701940558020,9947,0.03229
1000XECUSDT,SELL,LIMIT,1701940559734,15910,0.03228
1000XECUSDT,SELL,LIMIT,1701940564483,2094,0.03224
1000XECUSDT,SELL,LIMIT,1701940569366,5347,0.03220
1000XECUSDT,SELL,LIMIT,1701940995110,605,0.03216
1000XECUSDT,SELL,LIMIT,1701941005346,11824,0.03213
1000XECUSDT,SELL,LIMIT,1701941077281,14001,0.03206
1000XECUSDT,SELL,LIMIT,1701941165257,64200,0.03197
1000XECUSDT,SELL,LIMIT,1701941167237,31163,0.03195
1000XECUSDT,SELL,LIMIT,1701941170055,1553,0.03189
1000XECUSDT,SELL,LIMIT,1701941173882,1870,0.03186
1000XECUSDT,SELL,LIMIT,1701941176103,5727,0.03185
1000XECUSDT,SELL,LIMIT,1701941178212,15213,0.03184
1000XECUSDT,SELL,LIMIT,1701941180966,6364,0.03186
1000XECUSDT,SELL,LIMIT,1701941189048,3070,0.03181
1000XECUSDT,SELL,LIMIT,1701941192320,1439,0.03182
1000XECUSDT,SELL,LIMIT,1701941207965,37790,0.03190
1000XECUSDT,SELL,LIMIT,1701941236795,258,0.03183
1000XECUSDT,SELL,LIMIT,1701941245452,190000,0.03176
1000XECUSDT,SELL,LIMIT,1701941247606,150,0.03175
