Symbol,Side,Order Type,Time,Quantity,Price
1INCHUSDT,SELL,LIMIT,1700999832629,37,0.3567
1INCHUSDT,SELL,LIMIT,1701001502180,750,0.3559
1INCHUSDT,SELL,LIMIT,1701001504651,1147,0.3553
1INCHUSDT,SELL,LIMIT,1701008406092,47,0.3559
1INCHUSDT,SELL,LIMIT,1701008449581,3115,0.3547
1INCHUSDT,SELL,LIMIT,1701009265141,40,0.3537
1INCHUSDT,SELL,LIMIT,1701009287132,2939,0.3531
1INCHUSDT,BUY,LIMIT,1701012642536,1325,0.3609
1INCHUSDT,SELL,LIMIT,1701014040023,68,0.3524
1INCHUSDT,SELL,LIMIT,1701014041630,14,0.3534
1INCHUSDT,SELL,LIMIT,1701014921311,14,0.3540
1INCHUSDT,SELL,LIMIT,1701015644388,274,0.3522
1INCHUSDT,SELL,LIMIT,1701015665429,25,0.3520
1INCHUSDT,SELL,LIMIT,1701015666456,1900,0.3516
1INCHUSDT,SELL,LIMIT,1701015684297,539,0.3511
1INCHUSDT,SELL,LIMIT,1701015733293,1833,0.3504
1INCHUSDT,SELL,LIMIT,1701015749625,2000,0.3501
1INCHUSDT,SELL,LIMIT,1701015761722,14000,0.3497
1INCHUSDT,SELL,LIMIT,1701016013648,3575,0.3489
1INCHUSDT,SELL,LIMIT,1701016014753,994,0.3486
1INCHUSDT,SELL,LIMIT,1701016028836,6186,0.3482
1INCHUSDT,SELL,LIMIT,1701016031018,40,0.3481
1INCHUSDT,SELL,LIMIT,1701016035359,55,0.3479
1INCHUSDT,SELL,LIMIT,1701016042049,1641,0.3473
1INCHUSDT,SELL,LIMIT,1701016043256,16,0.3468
1INCHUSDT,SELL,LIMIT,1701016044836,45,0.3469
1INCHUSDT,SELL,LIMIT,1701016045835,142,0.3461
1INCHUSDT,SELL,LIMIT,1701016047678,55,0.3460
1INCHUSDT,SELL,LIMIT,1701016048889,375,0.3461
1INCHUSDT,SELL,LIMIT,1701016049917,89,0.3457
1INCHUSDT,SELL,LIMIT,1701016051395,2314,0.3459
1INCHUSDT,SELL,LIMIT,1701016085125,286,0.3457
1INCHUSDT,SELL,LIMIT,1701016088605,16,0.3454
1INCHUSDT,SELL,LIMIT,1701016094108,4877,0.3453
1INCHUSDT,SELL,LIMIT,1701016095276,4055,0.3451
1INCHUSDT,SELL,LIMIT,1701016099854,160,0.3442
1INCHUSDT,SELL,LIMIT,1701016101121,44,0.3438
1INCHUSDT,SELL,LIMIT,1701016102412,24,0.3437
1INCHUSDT,BUY,LIMIT,1701016313044,614,0.3558
1INCHUSDT,BUY,LIMIT,1701031800347,3,0.3613
1INCHUSDT,SELL,LIMIT,1701055062793,56,0.3435
1INCHUSDT,SELL,LIMIT,1701055563560,2012,0.3432
1INCHUSDT,SELL,LIMIT,1701055951974,1508,0.3423
1INCHUSDT,SELL,LIMIT,1701056055473,446,0.3417
1INCHUSDT,SELL,LIMIT,1701056141217,1780,0.3408
