Symbol,Side,Order Type,Time,Quantity,Price
AAVEUSDT,BUY,LIMIT,1701920910379,3.5,99.223
AAVEUSDT,BUY,LIMIT,1701922002207,51.3,99.571
AAVEUSDT,SELL,LIMIT,1701937343098,0.9,96.362
AAVEUSDT,SELL,LIMIT,1701937529957,10.4,96.256
AAVEUSDT,SELL,LIMIT,1701939365408,5.0,96.195
AAVEUSDT,SELL,LIMIT,1701939570874,30.4,95.957
AAVEUSDT,SELL,LIMIT,1701939975223,0.5,95.840
AAVEUSDT,SELL,LIMIT,1701940032401,0.2,95.680
AAVEUSDT,SELL,LIMIT,1701940513869,5.6,95.629
AAVEUSDT,SELL,LIMIT,1701940563111,1.8,95.316
AAVEUSDT,SELL,LIMIT,1701940569277,8.1,95.656
AAVEUSDT,SELL,LIMIT,1701941064230,0.5,95.086
AAVEUSDT,SELL,LIMIT,1701941083044,1.0,94.984
AAVEUSDT,SELL,LIMIT,1701941156179,10.5,94.767
AAVEUSDT,SELL,LIMIT,1701941157936,1.8,94.723
AAVEUSDT,SELL,LIMIT,1701941171101,10.3,94.637
AAVEUSDT,SELL,LIMIT,1701941172138,0.9,94.649
AAVEUSDT,SELL,LIMIT,1701941184095,9.8,94.513
AAVEUSDT,SELL,LIMIT,1701941186706,1.5,95.617
AAVEUSDT,SELL,LIMIT,1701941188425,24.4,95.602
AAVEUSDT,SELL,LIMIT,1701941189915,8.5,94.290
AAVEUSDT,SELL,LIMIT,1701941236159,25.5,94.358
AAVEUSDT,SELL,LIMIT,1701941239760,13.8,94.222
AAVEUSDT,SELL,LIMIT,1701941245572,7.9,94.157
AAVEUSDT,SELL,LIMIT,1701941411689,0.2,94.054
AAVEUSDT,SELL,LIMIT,1701941413352,0.5,94.023
AAVEUSDT,SELL,LIMIT,1701941417781,78.6,93.668
AAVEUSDT,SELL,LIMIT,1701941422657,2.6,93.875
AAVEUSDT,SELL,LIMIT,1701941480209,1.8,93.788
AAVEUSDT,SELL,LIMIT,1701941499056,2.0,93.749
AAVEUSDT,SELL,LIMIT,1701941519466,5.1,93.688
AAVEUSDT,SELL,LIMIT,1701941521376,12.9,93.626
AAVEUSDT,SELL,LIMIT,1701941522642,0.1,93.598
AAVEUSDT,SELL,LIMIT,1701941523802,1.0,93.583
AAVEUSDT,SELL,LIMIT,1701941525273,18.1,93.489
AAVEUSDT,SELL,LIMIT,1701941526713,7.9,93.427
AAVEUSDT,SELL,LIMIT,1701941543317,0.2,93.358
AAVEUSDT,SELL,LIMIT,1701941544443,0.1,93.331
AAVEUSDT,SELL,LIMIT,1701941552237,1.2,93.307
AAVEUSDT,SELL,LIMIT,1701941554077,10.7,93.267
AAVEUSDT,SELL,LIMIT,1701943653390,0.4,94.273
AAVEUSDT,SELL,LIMIT,1701943672222,3.2,94.241
AAVEUSDT,SELL,LIMIT,1701951901293,1.3,95.283
AAVEUSDT,BUY,LIMIT,1701953976591,0.1,98.347
AAVEUSDT,SELL,LIMIT,1701954849760,0.3,95.140
