Symbol,Side,Order Type,Time,Quantity,Price
AGIXUSDT,SELL,LIMIT,1700995626667,381,0.3148481
AGIXUSDT,SELL,LIMIT,1700995706461,1633,0.3147798
AGIXUSDT,SELL,LIMIT,1700995879248,425,0.3129334
AGIXUSDT,SELL,LIMIT,1700995946721,1437,0.3120441
AGIXUSDT,SELL,LIMIT,1700995969701,260,0.3118109
AGIXUSDT,SELL,LIMIT,1701000463148,370,0.3117233
AGIXUSDT,SELL,LIMIT,1701000466174,499,0.3115607
AGIXUSDT,SELL,LIMIT,1701000468247,65,0.3112231
AGIXUSDT,SELL,LIMIT,1701000490423,2481,0.3112004
AGIXUSDT,SELL,LIMIT,1701000495813,77,0.3109351
AGIXUSDT,SELL,LIMIT,1701000656191,1484,0.3107086
AGIXUSDT,SELL,LIMIT,1701001433514,768,0.3092912
AGIXUSDT,SELL,LIMIT,1701001909966,9318,0.3091471
AGIXUSDT,SELL,LIMIT,1701001912930,2039,0.3090355
AGIXUSDT,SELL,LIMIT,1701001914157,383,0.3088975
AGIXUSDT,SELL,LIMIT,1701001917341,1112,0.3085756
AGIXUSDT,SELL,LIMIT,1701002659782,498,0.3086316
AGIXUSDT,SELL,LIMIT,1701004967294,36,0.3077201
AGIXUSDT,SELL,LIMIT,1701005144171,469,0.3064280
AGIXUSDT,SELL,LIMIT,1701005145438,27,0.3063461
AGIXUSDT,SELL,LIMIT,1701006079387,75,0.3055528
AGIXUSDT,SELL,LIMIT,1701006080547,460,0.3054970
AGIXUSDT,SELL,LIMIT,1701006113387,10936,0.3053432
AGIXUSDT,SELL,LIMIT,1701008380761,5504,0.3033968
AGIXUSDT,SELL,LIMIT,1701008395484,2687,0.3033040
AGIXUSDT,SELL,LIMIT,1701008397193,141,0.3031013
AGIXUSDT,SELL,LIMIT,1701008417843,16034,0.3030134
AGIXUSDT,SELL,LIMIT,1701008430161,139,0.3028369
AGIXUSDT,SELL,LIMIT,1701008436386,293,0.3025706
AGIXUSDT,SELL,LIMIT,1701008438096,2225,0.3024664
AGIXUSDT,SELL,LIMIT,1701008440480,1234,0.3023023
AGIXUSDT,SELL,LIMIT,1701008449993,1038,0.3019756
AGIXUSDT,SELL,LIMIT,1701008451688,3448,0.3018336
AGIXUSDT,SELL,LIMIT,1701009013793,1540,0.3033065
AGIXUSDT,SELL,LIMIT,1701009289197,107,0.3025215
AGIXUSDT,SELL,LIMIT,1701010481688,304,0.3023601
AGIXUSDT,SELL,LIMIT,1701012247217,269,0.3039654
AGIXUSDT,SELL,LIMIT,1701015644390,331,0.3034021
AGIXUSDT,SELL,LIMIT,1701015684296,615,0.3017039
AGIXUSDT,SELL,LIMIT,1701015747805,603,0.3010537
AGIXUSDT,SELL,LIMIT,1701015760580,18498,0.3007658
AGIXUSDT,SELL,LIMIT,1701015904043,532,0.3006861
AGIXUSDT,SELL,LIMIT,1701016020463,550,0.2996960
AGIXUSDT,SELL,LIMIT,1701016032353,543,0.2992462
AGIXUSDT,SELL,LIMIT,1701016041866,4769,0.2987496
AGIXUSDT,SELL,LIMIT,1701016044116,11412,0.2982010
AGIXUSDT,SELL,LIMIT,1701016045014,1996,0.2980462
AGIXUSDT,SELL,LIMIT,1701016046747,6516,0.2976747
AGIXUSDT,SELL,LIMIT,1701016049196,3967,0.2975196
AGIXUSDT,SELL,LIMIT,1701016094761,1124,0.2980665
AGIXUSDT,SELL,LIMIT,1701016099453,2520,0.2971048
AGIXUSDT,SELL,LIMIT,1701016101294,10075,0.2969826
AGIXUSDT,SELL,LIMIT,1701016102141,64,0.2968110
AGIXUSDT,SELL,LIMIT,1701016105301,805,0.2967463
AGIXUSDT,BUY,LIMIT,1701031601179,577,0.3155345
AGIXUSDT,BUY,LIMIT,1701036164267,564,0.3192186
AGIXUSDT,BUY,LIMIT,1701044943304,753,0.3198194
AGIXUSDT,BUY,LIMIT,1701045072960,404,0.3207783
AGIXUSDT,SELL,LIMIT,1701047074759,884,0.3045323
AGIXUSDT,SELL,LIMIT,1701048290351,226,0.3021298
AGIXUSDT,SELL,LIMIT,1701048453099,185,0.3030888
AGIXUSDT,SELL,LIMIT,1701048454462,239,0.3029611
AGIXUSDT,SELL,LIMIT,1701048455610,498,0.3030489
AGIXUSDT,SELL,LIMIT,1701048458193,308,0.3029874
AGIXUSDT,SELL,LIMIT,1701048513999,337,0.3029618
AGIXUSDT,SELL,LIMIT,1701048746653,350,0.3026544
AGIXUSDT,SELL,LIMIT,1701049113125,738,0.2993590
AGIXUSDT,SELL,LIMIT,1701049326239,36,0.2989709
AGIXUSDT,SELL,LIMIT,1701050780294,130,0.2975142
AGIXUSDT,SELL,LIMIT,1701050870510,707,0.2965260
AGIXUSDT,SELL,LIMIT,1701052282833,599,0.2974376
AGIXUSDT,SELL,LIMIT,1701052550336,197,0.2965879
AGIXUSDT,SELL,LIMIT,1701052863183,1332,0.2961676
AGIXUSDT,SELL,LIMIT,1701052866229,2030,0.2961134
AGIXUSDT,SELL,LIMIT,1701052880124,45,0.2957248
AGIXUSDT,SELL,LIMIT,1701054446460,193,0.2955071
AGIXUSDT,SELL,LIMIT,1701054812854,90,0.2951907
AGIXUSDT,SELL,LIMIT,1701054814175,169,0.2945968
AGIXUSDT,SELL,LIMIT,1701054843121,2781,0.2940228
AGIXUSDT,SELL,LIMIT,1701054925581,4298,0.2936778
AGIXUSDT,SELL,LIMIT,1701054926725,12105,0.2929942
AGIXUSDT,SELL,LIMIT,1701054929819,41167,0.2912482
AGIXUSDT,SELL,LIMIT,1701054932262,4706,0.2916125
AGIXUSDT,SELL,LIMIT,1701054946290,8541,0.2909286
AGIXUSDT,SELL,LIMIT,1701054948569,150,0.2908503
AGIXUSDT,SELL,LIMIT,1701055062791,64,0.2929075
AGIXUSDT,SELL,LIMIT,1701056055269,1136,0.2904721
AGIXUSDT,SELL,LIMIT,1701056098199,248,0.2902044
AGIXUSDT,SELL,LIMIT,1701056139412,1900,0.2898322
AGIXUSDT,SELL,LIMIT,1701056154403,441,0.2896881
AGIXUSDT,SELL,LIMIT,1701056160267,75,0.2896881
AGIXUSDT,BUY,LIMIT,1701057042649,1020,0.3077958
