Symbol,Side,Order Type,Time,Quantity,Price
ALICEUSDT,BUY,LIMIT,1701067203658,5.5,1.228
ALICEUSDT,SELL,LIMIT,1701069857198,46.9,1.144
ALICEUSDT,SELL,LIMIT,1701069859626,299.2,1.144
ALICEUSDT,SELL,LIMIT,1701069869114,83.4,1.142
ALICEUSDT,SELL,LIMIT,1701069874987,7.1,1.141
ALICEUSDT,BUY,LIMIT,1701069896237,8.5,1.076
ALICEUSDT,SELL,LIMIT,1701069899640,500.0,1.140
ALICEUSDT,SELL,LIMIT,1701069901802,750.0,1.139
ALICEUSDT,SELL,LIMIT,1701069913098,25.8,1.139
ALICEUSDT,SELL,LIMIT,1701069914124,491.7,1.138
ALICEUSDT,SELL,LIMIT,1701069918485,4.3,1.136
ALICEUSDT,SELL,LIMIT,1701070167354,68.6,1.140
ALICEUSDT,SELL,LIMIT,1701070172016,112.5,1.156
ALICEUSDT,BUY,LIMIT,1701077399082,1.2,1.211
ALICEUSDT,BUY,LIMIT,1701081498132,64.7,1.143
ALICEUSDT,SELL,LIMIT,1701082118277,171.1,1.152
ALICEUSDT,SELL,LIMIT,1701082620218,50.7,1.141
ALICEUSDT,SELL,LIMIT,1701100336079,0.1,1.146
ALICEUSDT,BUY,LIMIT,1701100529751,153.8,1.178
ALICEUSDT,BUY,LIMIT,1701100537019,809.7,1.188
ALICEUSDT,SELL,LIMIT,1701100571216,600.0,1.140
ALICEUSDT,SELL,LIMIT,1701100643685,2275.5,1.138
ALICEUSDT,SELL,LIMIT,1701100782632,20.0,1.138
ALICEUSDT,SELL,LIMIT,1701114163336,72.5,1.148
ALICEUSDT,SELL,LIMIT,1701114214428,175.0,1.148
ALICEUSDT,BUY,LIMIT,1701114234428,135.0,1.188
ALICEUSDT,SELL,LIMIT,1701114265627,107.3,1.144
ALICEUSDT,SELL,LIMIT,1701114368763,7.9,1.143
ALICEUSDT,SELL,LIMIT,1701114469632,257.5,1.141
ALICEUSDT,SELL,LIMIT,1701117093338,390.2,1.135
ALICEUSDT,BUY,LIMIT,1701121738756,151.0,1.189
ALICEUSDT,BUY,LIMIT,1701123182161,23.3,1.184
ALICEUSDT,SELL,LIMIT,1701147801060,20.0,1.133
ALICEUSDT,SELL,LIMIT,1701147802337,8.8,1.133
ALICEUSDT,SELL,LIMIT,1701147850153,184.1,1.132
ALICEUSDT,SELL,LIMIT,1701147859219,167.7,1.132
ALICEUSDT,SELL,LIMIT,1701147860590,96.4,1.131
ALICEUSDT,SELL,LIMIT,1701147881733,137.0,1.130
ALICEUSDT,SELL,LIMIT,1701147891409,5.0,1.129
ALICEUSDT,SELL,LIMIT,1701147986171,24.8,1.128
ALICEUSDT,SELL,LIMIT,1701147996341,70.6,1.127
ALICEUSDT,SELL,LIMIT,1701148008583,254.4,1.127
ALICEUSDT,SELL,LIMIT,1701148044349,23.9,1.127
ALICEUSDT,SELL,LIMIT,1701148052101,84.4,1.126
ALICEUSDT,SELL,LIMIT,1701148231146,3204.0,1.123
ALICEUSDT,SELL,LIMIT,1701148233475,18.9,1.123
ALICEUSDT,SELL,LIMIT,1701148241098,285.0,1.122
ALICEUSDT,SELL,LIMIT,1701148940103,210.5,1.121
ALICEUSDT,SELL,LIMIT,1701148941277,30.5,1.121
ALICEUSDT,SELL,LIMIT,1701149753185,30.9,1.121
ALICEUSDT,SELL,LIMIT,1701149843183,273.6,1.118
ALICEUSDT,SELL,LIMIT,1701149844517,118.6,1.117
ALICEUSDT,SELL,LIMIT,1701149850417,851.0,1.117
ALICEUSDT,SELL,LIMIT,1701149851941,100.0,1.117
ALICEUSDT,SELL,LIMIT,1701149882644,104.2,1.115
ALICEUSDT,SELL,LIMIT,1701149886938,195.1,1.116
ALICEUSDT,SELL,LIMIT,1701149889041,205.7,1.115
ALICEUSDT,BUY,LIMIT,1701153458221,5.6,1.199
ALICEUSDT,BUY,LIMIT,1701153459283,194.7,1.202
ALICEUSDT,BUY,LIMIT,1701153485390,15.8,1.207
ALICEUSDT,BUY,LIMIT,1701160298678,1077.5,1.217
ALICEUSDT,BUY,LIMIT,1701160505455,114.0,1.219
ALICEUSDT,BUY,LIMIT,1701160615837,8.9,1.224
ALICEUSDT,SELL,LIMIT,1701165781825,5.9,1.153
