Symbol,Side,Order Type,Time,Quantity,Price
ALPHAUSDT,SELL,LIMIT,1700849900125,588,0.09132
ALPHAUSDT,SELL,LIMIT,1700851249285,6354,0.09106
ALPHAUSDT,BUY,LIMIT,1700859096643,54318,0.09380
ALPHAUSDT,SELL,LIMIT,1700862189070,6591,0.09092
ALPHAUSDT,SELL,LIMIT,1700863861932,7207,0.09031
ALPHAUSDT,SELL,LIMIT,1700863962280,3647,0.08979
ALPHAUSDT,SELL,LIMIT,1700870644841,5877,0.09005
ALPHAUSDT,SELL,LIMIT,1700870650511,327,0.08990
ALPHAUSDT,BUY,LIMIT,1700871862485,1143,0.09344
ALPHAUSDT,SELL,LIMIT,1700877272223,64,0.09224
ALPHAUSDT,BUY,LIMIT,1700880743941,1868,0.09562
ALPHAUSDT,BUY,LIMIT,1700880849218,1227,0.09581
ALPHAUSDT,BUY,LIMIT,1700883954165,90,0.09609
ALPHAUSDT,BUY,LIMIT,1700886589374,229,0.09532
ALPHAUSDT,BUY,LIMIT,1700899133327,53435,0.09585
ALPHAUSDT,SELL,LIMIT,1700902092039,26438,0.09252
ALPHAUSDT,SELL,LIMIT,1700907585511,29377,0.09177
ALPHAUSDT,SELL,LIMIT,1700908146405,266,0.09156
ALPHAUSDT,SELL,LIMIT,1700908523020,107,0.09141
ALPHAUSDT,SELL,LIMIT,1700911147418,9151,0.09125
ALPHAUSDT,SELL,LIMIT,1700912283366,54,0.09088
ALPHAUSDT,SELL,LIMIT,1700912481514,11300,0.09062
ALPHAUSDT,BUY,LIMIT,1700913350768,11636,0.09393
