Symbol,Side,Order Type,Time,Quantity,Price
AMBUSDT,BUY,LIMIT,1701002905988,51246,0.0083289
AMBUSDT,SELL,LIMIT,1701014921311,643,0.0078366
AMBUSDT,SELL,LIMIT,1701015644390,12800,0.0078038
AMBUSDT,SELL,LIMIT,1701015685159,100746,0.0077543
AMBUSDT,SELL,LIMIT,1701015747529,6137,0.0077241
AMBUSDT,SELL,LIMIT,1701015872594,226073,0.0077066
AMBUSDT,SELL,LIMIT,1701015874478,3073,0.0076947
AMBUSDT,SELL,LIMIT,1701016029779,787,0.0076851
AMBUSDT,SELL,LIMIT,1701016031233,9955,0.0076770
AMBUSDT,SELL,LIMIT,1701016033293,468925,0.0076823
AMBUSDT,SELL,LIMIT,1701016034512,626,0.0076823
AMBUSDT,SELL,LIMIT,1701016041755,670,0.0076674
AMBUSDT,SELL,LIMIT,1701016044449,5119,0.0076622
AMBUSDT,SELL,LIMIT,1701016045613,51268,0.0076545
AMBUSDT,SELL,LIMIT,1701016046756,7338,0.0076432
AMBUSDT,SELL,LIMIT,1701016049652,657,0.0076391
AMBUSDT,SELL,LIMIT,1701016050476,14081,0.0076241
AMBUSDT,SELL,LIMIT,1701016102891,514311,0.0076020
AMBUSDT,SELL,LIMIT,1701016104793,5313,0.0075864
AMBUSDT,BUY,LIMIT,1701022140655,2267,0.0083501
AMBUSDT,BUY,LIMIT,1701024695783,24813,0.0084654
AMBUSDT,BUY,LIMIT,1701024889316,4845,0.0085033
AMBUSDT,BUY,LIMIT,1701025449894,882,0.0085235
AMBUSDT,BUY,LIMIT,1701025715359,24815,0.0085919
AMBUSDT,BUY,LIMIT,1701025734136,12685,0.0085985
AMBUSDT,BUY,LIMIT,1701025753064,98,0.0086354
AMBUSDT,BUY,LIMIT,1701026943933,1823,0.0087115
AMBUSDT,BUY,LIMIT,1701027133217,360305,0.0087277
AMBUSDT,BUY,LIMIT,1701027153343,1158,0.0087467
AMBUSDT,BUY,LIMIT,1701028473141,49967,0.0088285
AMBUSDT,BUY,LIMIT,1701028874518,24001,0.0088515
AMBUSDT,BUY,LIMIT,1701028881395,15080,0.0088722
AMBUSDT,BUY,LIMIT,1701028894235,352697,0.0089001
AMBUSDT,BUY,LIMIT,1701028904376,14290,0.0089072
AMBUSDT,BUY,LIMIT,1701028905716,427622,0.0089159
AMBUSDT,BUY,LIMIT,1701028910254,6898,0.0089263
AMBUSDT,BUY,LIMIT,1701028916674,1241,0.0089429
AMBUSDT,BUY,LIMIT,1701028943778,270551,0.0089573
AMBUSDT,BUY,LIMIT,1701028969128,107817,0.0089857
AMBUSDT,BUY,LIMIT,1701029014075,14766,0.0090098
AMBUSDT,SELL,LIMIT,1701030501237,40036,0.0083785
AMBUSDT,SELL,LIMIT,1701030502430,34414,0.0083598
AMBUSDT,SELL,LIMIT,1701030504036,10547,0.0083544
AMBUSDT,SELL,LIMIT,1701030685361,7331,0.0083218
AMBUSDT,SELL,LIMIT,1701030688174,17828,0.0083085
AMBUSDT,SELL,LIMIT,1701030712433,49634,0.0082997
AMBUSDT,SELL,LIMIT,1701030718701,575,0.0082890
AMBUSDT,SELL,LIMIT,1701034248475,4722,0.0082657
AMBUSDT,SELL,LIMIT,1701034813064,6462,0.0081687
AMBUSDT,SELL,LIMIT,1701034814337,18957,0.0081686
AMBUSDT,SELL,LIMIT,1701034822093,109158,0.0081508
AMBUSDT,SELL,LIMIT,1701035063324,61569,0.0081121
AMBUSDT,SELL,LIMIT,1701035211259,175395,0.0080870
AMBUSDT,SELL,LIMIT,1701035212544,9660,0.0080853
AMBUSDT,SELL,LIMIT,1701035394282,113250,0.0080364
AMBUSDT,SELL,LIMIT,1701035464383,1347,0.0080309
AMBUSDT,SELL,LIMIT,1701035473545,94410,0.0080225
AMBUSDT,SELL,LIMIT,1701049348463,793,0.0081871
AMBUSDT,SELL,LIMIT,1701055062792,2384,0.0080112
AMBUSDT,SELL,LIMIT,1701055146155,279401,0.0080018
AMBUSDT,SELL,LIMIT,1701055167850,219770,0.0079909
AMBUSDT,SELL,LIMIT,1701055347790,2620,0.0079771
AMBUSDT,SELL,LIMIT,1701055644162,33436,0.0079575
AMBUSDT,SELL,LIMIT,1701055972370,39737,0.0079502
AMBUSDT,SELL,LIMIT,1701056044138,48195,0.0079403
AMBUSDT,SELL,LIMIT,1701056053415,23964,0.0079308
AMBUSDT,SELL,LIMIT,1701056069329,14815,0.0079247
AMBUSDT,SELL,LIMIT,1701056090325,833,0.0079106
AMBUSDT,SELL,LIMIT,1701056127069,5629,0.0079052
AMBUSDT,SELL,LIMIT,1701056141092,24038,0.0079044
AMBUSDT,SELL,LIMIT,1701056159258,5700,0.0079003
AMBUSDT,SELL,LIMIT,1701063494995,616,0.0079713
