Symbol,Side,Order Type,Time,Quantity,Price
ARKUSDT,BUY,LIMIT,1700847027457,28,1.6363730
ARKUSDT,BUY,LIMIT,1700851040545,5,1.6523822
ARKUSDT,BUY,LIMIT,1700851702042,15,1.6531256
ARKUSDT,BUY,LIMIT,1700851746737,3,1.6551063
ARKUSDT,BUY,LIMIT,1700852401657,3978,1.6579211
ARKUSDT,BUY,LIMIT,1700852411226,133,1.6584375
ARKUSDT,BUY,LIMIT,1700852505597,70,1.6608518
ARKUSDT,BUY,LIMIT,1700852988288,1597,1.6632142
ARKUSDT,BUY,LIMIT,1700853047594,213,1.6639464
ARKUSDT,BUY,LIMIT,1700853344849,2151,1.6676594
ARKUSDT,BUY,LIMIT,1700853405202,100,1.6679708
ARKUSDT,BUY,LIMIT,1700853457115,1977,1.6684106
ARKUSDT,BUY,LIMIT,1700853730460,48,1.6705512
ARKUSDT,BUY,LIMIT,1700853740696,80,1.6710287
ARKUSDT,BUY,LIMIT,1700854064124,68,1.6764827
ARKUSDT,BUY,LIMIT,1700854161478,35,1.6799047
ARKUSDT,BUY,LIMIT,1700855434759,296,1.6884701
ARKUSDT,BUY,LIMIT,1700860373771,109,1.6920656
ARKUSDT,BUY,LIMIT,1700860421202,5,1.6930110
ARKUSDT,BUY,LIMIT,1700860509923,6,1.7004040
ARKUSDT,BUY,LIMIT,1700860553043,53,1.7049387
ARKUSDT,SELL,LIMIT,1700860606391,1005,1.5608372
ARKUSDT,SELL,LIMIT,1700860607410,142,1.5585664
ARKUSDT,SELL,LIMIT,1700860608482,338,1.5608937
ARKUSDT,SELL,LIMIT,1700860609763,340,1.5472601
ARKUSDT,SELL,LIMIT,1700860620331,53,1.5466407
ARKUSDT,SELL,LIMIT,1700860622414,200,1.5452424
ARKUSDT,SELL,LIMIT,1700860623418,996,1.5463025
ARKUSDT,SELL,LIMIT,1700860761319,134,1.5406403
ARKUSDT,SELL,LIMIT,1700860767145,1624,1.5342519
ARKUSDT,SELL,LIMIT,1700860778315,136,1.5322998
ARKUSDT,BUY,LIMIT,1700865137134,91,1.6607845
ARKUSDT,SELL,LIMIT,1700866971364,14,1.5641356
ARKUSDT,BUY,LIMIT,1700871358886,31,1.6781107
ARKUSDT,BUY,LIMIT,1700871385068,155,1.6793198
ARKUSDT,BUY,LIMIT,1700871568710,719,1.6819091
ARKUSDT,BUY,LIMIT,1700872543498,63,1.6860078
ARKUSDT,BUY,LIMIT,1700872644592,545,1.6870846
ARKUSDT,BUY,LIMIT,1700872651247,90,1.6871878
ARKUSDT,BUY,LIMIT,1700872669074,262,1.6874126
ARKUSDT,BUY,LIMIT,1700872676848,531,1.6876592
ARKUSDT,BUY,LIMIT,1700872948495,1,1.6919097
ARKUSDT,SELL,LIMIT,1700873325146,36,1.5647783
ARKUSDT,SELL,LIMIT,1700874368076,150,1.5500045
ARKUSDT,SELL,LIMIT,1700874499137,1901,1.5392350
ARKUSDT,SELL,LIMIT,1700874503114,56,1.5327190
ARKUSDT,SELL,LIMIT,1700874504435,327,1.5302154
ARKUSDT,SELL,LIMIT,1700874508070,12,1.5282127
ARKUSDT,SELL,LIMIT,1700874509115,231,1.5288703
ARKUSDT,SELL,LIMIT,1700874600158,732,1.5143635
ARKUSDT,SELL,LIMIT,1700874601195,565,1.5188057
ARKUSDT,SELL,LIMIT,1700874623849,1612,1.5101962
ARKUSDT,SELL,LIMIT,1700874624899,77,1.5083033
ARKUSDT,SELL,LIMIT,1700874633179,12,1.5046475
ARKUSDT,SELL,LIMIT,1700874636598,535,1.5014397
ARKUSDT,SELL,LIMIT,1700874647156,14,1.4994860
ARKUSDT,SELL,LIMIT,1700874648323,6205,1.4982838
ARKUSDT,SELL,LIMIT,1700874649449,4,1.4956149
ARKUSDT,SELL,LIMIT,1700874653237,425,1.4931231
ARKUSDT,SELL,LIMIT,1700874654430,121,1.4944535
ARKUSDT,SELL,LIMIT,1700874688361,144,1.4837745
ARKUSDT,SELL,LIMIT,1700874690076,128,1.4836624
ARKUSDT,SELL,LIMIT,1700874693656,40,1.4821184
ARKUSDT,SELL,LIMIT,1700874697205,32,1.4768110
ARKUSDT,BUY,LIMIT,1700880181099,1172,1.6211896
ARKUSDT,BUY,LIMIT,1700880452112,973,1.6282087
ARKUSDT,BUY,LIMIT,1700880748161,3000,1.6335800
ARKUSDT,BUY,LIMIT,1700881248839,975,1.6354204
ARKUSDT,BUY,LIMIT,1700882302938,12,1.6505228
