Symbol,Side,Order Type,Time,Quantity,Price
ATAUSDT,SELL,LIMIT,1701068147469,3146,0.0913
ATAUSDT,SELL,LIMIT,1701068175697,4611,0.0911
ATAUSDT,SELL,LIMIT,1701069389651,105,0.0911
ATAUSDT,SELL,LIMIT,1701069518282,3372,0.0911
ATAUSDT,SELL,LIMIT,1701069555706,5842,0.0908
ATAUSDT,SELL,LIMIT,1701069856433,400,0.0903
ATAUSDT,SELL,LIMIT,1701070174790,3692,0.0898
ATAUSDT,SELL,LIMIT,1701081193005,209,0.0901
ATAUSDT,SELL,LIMIT,1701082140360,1,0.0898
ATAUSDT,SELL,LIMIT,1701082647432,816,0.0896
ATAUSDT,SELL,LIMIT,1701082652361,468,0.0895
ATAUSDT,SELL,LIMIT,1701084664697,433,0.0895
ATAUSDT,SELL,LIMIT,1701097079051,566,0.0890
ATAUSDT,SELL,LIMIT,1701097080504,23,0.0889
ATAUSDT,SELL,LIMIT,1701112223488,2500,0.0885
ATAUSDT,SELL,LIMIT,1701114352850,86,0.0881
ATAUSDT,SELL,LIMIT,1701114355681,4374,0.0881
ATAUSDT,SELL,LIMIT,1701114357400,4595,0.0881
ATAUSDT,SELL,LIMIT,1701114475430,31660,0.0877
ATAUSDT,SELL,LIMIT,1701114501378,220,0.0877
ATAUSDT,BUY,LIMIT,1701136525132,942,0.0942
ATAUSDT,BUY,LIMIT,1701180365094,10000,0.0973
ATAUSDT,BUY,LIMIT,1701189811043,6351,0.0990
ATAUSDT,BUY,LIMIT,1701191913769,5154,0.0985
ATAUSDT,BUY,LIMIT,1701201882745,84,0.1007
ATAUSDT,BUY,LIMIT,1701201891576,21208,0.1013
ATAUSDT,BUY,LIMIT,1701203321106,19818,0.1012
ATAUSDT,BUY,LIMIT,1701203621199,6359,0.1016
ATAUSDT,BUY,LIMIT,1701203626440,12873,0.1019
ATAUSDT,BUY,LIMIT,1701203664111,4874,0.1021
ATAUSDT,BUY,LIMIT,1701204416253,54,0.1025
ATAUSDT,SELL,LIMIT,1701216861611,276,0.0954
ATAUSDT,SELL,LIMIT,1701216879053,3956,0.0953
ATAUSDT,SELL,LIMIT,1701236171530,1258,0.0950
