Symbol,Side,Order Type,Time,Quantity,Price
ATOMUSDT,SELL,LIMIT,1700989518126,475.96,9.691
ATOMUSDT,SELL,LIMIT,1700989520125,60.40,9.689
ATOMUSDT,SELL,LIMIT,1700989939438,3.00,9.684
ATOMUSDT,SELL,LIMIT,1700990442511,4.07,9.680
ATOMUSDT,SELL,LIMIT,1700990537478,46.03,9.674
ATOMUSDT,SELL,LIMIT,1700990539114,81.31,9.672
ATOMUSDT,SELL,LIMIT,1700990548396,551.86,9.667
ATOMUSDT,SELL,LIMIT,1700990550205,27.40,9.666
ATOMUSDT,SELL,LIMIT,1700990754803,1.01,9.660
ATOMUSDT,SELL,LIMIT,1700990783038,101.70,9.654
ATOMUSDT,SELL,LIMIT,1700990870860,99.95,9.649
ATOMUSDT,SELL,LIMIT,1700990890893,13.47,9.645
ATOMUSDT,SELL,LIMIT,1700990897317,11.07,9.643
ATOMUSDT,SELL,LIMIT,1700990900577,893.00,9.642
ATOMUSDT,SELL,LIMIT,1700990925139,52.04,9.632
ATOMUSDT,SELL,LIMIT,1700990933194,403.45,9.629
ATOMUSDT,SELL,LIMIT,1700990950207,503.03,9.623
ATOMUSDT,SELL,LIMIT,1700990958452,29.92,9.618
ATOMUSDT,SELL,LIMIT,1700991121971,142.23,9.617
ATOMUSDT,SELL,LIMIT,1700991153573,0.58,9.613
ATOMUSDT,SELL,LIMIT,1700991157911,224.88,9.611
ATOMUSDT,SELL,LIMIT,1700991213720,47.84,9.600
ATOMUSDT,SELL,LIMIT,1700991214949,1020.54,9.599
ATOMUSDT,SELL,LIMIT,1700991217756,16.48,9.596
ATOMUSDT,SELL,LIMIT,1700992900022,21.62,9.619
ATOMUSDT,SELL,LIMIT,1700994244019,3988.39,9.566
ATOMUSDT,SELL,LIMIT,1700994396205,12.81,9.589
ATOMUSDT,SELL,LIMIT,1700994403921,49.52,9.588
ATOMUSDT,SELL,LIMIT,1700994410367,182.66,9.585
ATOMUSDT,BUY,LIMIT,1700995207805,18.34,9.783
ATOMUSDT,BUY,LIMIT,1700995210100,0.98,9.784
ATOMUSDT,BUY,LIMIT,1700995427585,4.22,9.797
ATOMUSDT,SELL,LIMIT,1700999093972,266.96,9.587
ATOMUSDT,SELL,LIMIT,1700999191132,1015.53,9.576
ATOMUSDT,SELL,LIMIT,1700999193381,515.51,9.572
ATOMUSDT,SELL,LIMIT,1700999199128,162.03,9.570
ATOMUSDT,SELL,LIMIT,1700999322825,51.07,9.564
ATOMUSDT,SELL,LIMIT,1701000490423,199.77,9.571
ATOMUSDT,SELL,LIMIT,1701000618019,28.12,9.560
ATOMUSDT,SELL,LIMIT,1701000619361,2.95,9.558
ATOMUSDT,SELL,LIMIT,1701000716183,22.86,9.549
ATOMUSDT,SELL,LIMIT,1701001502638,3.92,9.538
ATOMUSDT,SELL,LIMIT,1701001504180,6.78,9.535
ATOMUSDT,SELL,LIMIT,1701001513997,549.56,9.523
ATOMUSDT,BUY,LIMIT,1701002698293,25.26,9.746
ATOMUSDT,BUY,LIMIT,1701002699511,2.15,9.747
ATOMUSDT,BUY,LIMIT,1701002709693,218.37,9.752
ATOMUSDT,BUY,LIMIT,1701002750816,0.61,9.754
ATOMUSDT,BUY,LIMIT,1701002814855,16.33,9.766
ATOMUSDT,BUY,LIMIT,1701002825774,14.97,9.770
ATOMUSDT,BUY,LIMIT,1701002839500,115.28,9.774
ATOMUSDT,SELL,LIMIT,1701005471638,8.27,9.550
ATOMUSDT,BUY,LIMIT,1701006431966,1.74,9.730
ATOMUSDT,BUY,LIMIT,1701006479350,1039.71,9.772
ATOMUSDT,BUY,LIMIT,1701006497090,932.64,9.776
ATOMUSDT,SELL,LIMIT,1701008018286,3.13,9.570
ATOMUSDT,SELL,LIMIT,1701008173266,53.55,9.550
ATOMUSDT,SELL,LIMIT,1701008414355,58.10,9.539
ATOMUSDT,SELL,LIMIT,1701008440199,150.00,9.524
ATOMUSDT,SELL,LIMIT,1701008441719,5.71,9.521
ATOMUSDT,SELL,LIMIT,1701008443064,195.13,9.519
ATOMUSDT,SELL,LIMIT,1701008444499,259.25,9.517
ATOMUSDT,SELL,LIMIT,1701008446689,40.83,9.505
ATOMUSDT,SELL,LIMIT,1701008448369,5.09,9.504
ATOMUSDT,SELL,LIMIT,1701008451555,0.69,9.493
ATOMUSDT,SELL,LIMIT,1701008490354,248.48,9.492
ATOMUSDT,SELL,LIMIT,1701008494669,53.39,9.491
ATOMUSDT,SELL,LIMIT,1701008496960,26.00,9.491
ATOMUSDT,SELL,LIMIT,1701009012617,34.76,9.488
ATOMUSDT,SELL,LIMIT,1701009259359,2.07,9.483
ATOMUSDT,SELL,LIMIT,1701009260585,6.07,9.482
ATOMUSDT,SELL,LIMIT,1701009262317,3.09,9.479
ATOMUSDT,SELL,LIMIT,1701009263375,3.64,9.479
ATOMUSDT,SELL,LIMIT,1701009268470,36.19,9.477
ATOMUSDT,SELL,LIMIT,1701009287678,19.92,9.471
ATOMUSDT,BUY,LIMIT,1701011579166,3.06,9.693
ATOMUSDT,BUY,LIMIT,1701012557677,1.93,9.681
ATOMUSDT,SELL,LIMIT,1701013818080,16.54,9.473
ATOMUSDT,SELL,LIMIT,1701013872262,155.99,9.470
ATOMUSDT,SELL,LIMIT,1701013900351,209.87,9.467
ATOMUSDT,SELL,LIMIT,1701013902206,1.52,9.463
ATOMUSDT,SELL,LIMIT,1701013953986,7.06,9.463
ATOMUSDT,SELL,LIMIT,1701013955814,11.88,9.461
ATOMUSDT,SELL,LIMIT,1701013957163,30.77,9.458
ATOMUSDT,SELL,LIMIT,1701013965270,75.16,9.457
ATOMUSDT,SELL,LIMIT,1701013967198,420.16,9.452
ATOMUSDT,SELL,LIMIT,1701013995548,42.23,9.448
ATOMUSDT,SELL,LIMIT,1701014014787,60.20,9.450
ATOMUSDT,SELL,LIMIT,1701014042839,310.02,9.445
ATOMUSDT,SELL,LIMIT,1701014055781,61.90,9.436
ATOMUSDT,SELL,LIMIT,1701014057434,8.00,9.426
ATOMUSDT,SELL,LIMIT,1701014059012,201.63,9.425
ATOMUSDT,SELL,LIMIT,1701014060672,167.35,9.423
ATOMUSDT,SELL,LIMIT,1701014914261,25.38,9.476
ATOMUSDT,SELL,LIMIT,1701015210690,3.12,9.452
ATOMUSDT,SELL,LIMIT,1701015254552,114.98,9.439
ATOMUSDT,SELL,LIMIT,1701015597357,66.12,9.424
ATOMUSDT,SELL,LIMIT,1701015635317,9.78,9.417
ATOMUSDT,SELL,LIMIT,1701015647507,16.80,9.409
