Symbol,Side,Order Type,Time,Quantity,Price
AVAXUSDT,BUY,LIMIT,1700846794370,21,21.5092
AVAXUSDT,SELL,LIMIT,1700847509306,96,21.0879
AVAXUSDT,SELL,LIMIT,1700847889055,32,21.0532
AVAXUSDT,SELL,LIMIT,1700847900103,1,21.0466
AVAXUSDT,SELL,LIMIT,1700847902840,5,21.0398
AVAXUSDT,SELL,LIMIT,1700848189085,3,21.0229
AVAXUSDT,SELL,LIMIT,1700848289037,497,20.9900
AVAXUSDT,SELL,LIMIT,1700848299399,28,20.9874
AVAXUSDT,SELL,LIMIT,1700848301092,87,20.9772
AVAXUSDT,SELL,LIMIT,1700850205580,30,20.9696
AVAXUSDT,SELL,LIMIT,1700850617248,20,20.9454
AVAXUSDT,SELL,LIMIT,1700850618539,60,20.9354
AVAXUSDT,SELL,LIMIT,1700850665821,2,20.9306
AVAXUSDT,SELL,LIMIT,1700850697534,9,20.9267
AVAXUSDT,SELL,LIMIT,1700850707299,6,20.9155
AVAXUSDT,SELL,LIMIT,1700850844108,64,20.9106
AVAXUSDT,SELL,LIMIT,1700851181580,1,20.9072
AVAXUSDT,SELL,LIMIT,1700851249270,135,20.9015
AVAXUSDT,SELL,LIMIT,1700851250364,65,20.8734
AVAXUSDT,SELL,LIMIT,1700851520810,9,20.8446
AVAXUSDT,SELL,LIMIT,1700851568097,7,20.8387
AVAXUSDT,SELL,LIMIT,1700853749360,235,20.8405
AVAXUSDT,SELL,LIMIT,1700853899555,2,20.8437
AVAXUSDT,BUY,LIMIT,1700859047164,10,21.2010
AVAXUSDT,BUY,LIMIT,1700859513565,2,21.2630
AVAXUSDT,BUY,LIMIT,1700860287714,9,21.2864
AVAXUSDT,BUY,LIMIT,1700860306819,3,21.2748
AVAXUSDT,BUY,LIMIT,1700860598943,55,21.3211
AVAXUSDT,SELL,LIMIT,1700863018388,27,20.9252
AVAXUSDT,SELL,LIMIT,1700863281219,20,20.8718
AVAXUSDT,SELL,LIMIT,1700863827194,31,20.8552
AVAXUSDT,SELL,LIMIT,1700863847242,58,20.8436
AVAXUSDT,SELL,LIMIT,1700863913126,1,20.8285
AVAXUSDT,SELL,LIMIT,1700863930458,67,20.8274
AVAXUSDT,SELL,LIMIT,1700863937462,9,20.8241
AVAXUSDT,SELL,LIMIT,1700863938916,2,20.7844
AVAXUSDT,SELL,LIMIT,1700863940262,116,20.7841
AVAXUSDT,SELL,LIMIT,1700863948513,90,20.7468
AVAXUSDT,SELL,LIMIT,1700863949473,1,20.7431
AVAXUSDT,SELL,LIMIT,1700863950392,18,20.7284
AVAXUSDT,SELL,LIMIT,1700863951284,46,20.7081
AVAXUSDT,SELL,LIMIT,1700863953117,39,20.6975
AVAXUSDT,SELL,LIMIT,1700863956590,6,20.6837
AVAXUSDT,SELL,LIMIT,1700863958207,18,20.6717
AVAXUSDT,SELL,LIMIT,1700863959786,11,20.6590
AVAXUSDT,SELL,LIMIT,1700863961351,25,20.6217
AVAXUSDT,SELL,LIMIT,1700863962490,8,20.6141
AVAXUSDT,SELL,LIMIT,1700863963536,2,20.6135
AVAXUSDT,SELL,LIMIT,1700867049849,27,20.6599
AVAXUSDT,SELL,LIMIT,1700867060577,4,20.6563
AVAXUSDT,SELL,LIMIT,1700867071526,29,20.6508
AVAXUSDT,SELL,LIMIT,1700867179517,3,20.6418
AVAXUSDT,SELL,LIMIT,1700867373270,110,20.6342
AVAXUSDT,SELL,LIMIT,1700870636094,7,20.6932
AVAXUSDT,SELL,LIMIT,1700870648787,610,20.6221
AVAXUSDT,SELL,LIMIT,1700870650262,5,20.6401
AVAXUSDT,BUY,LIMIT,1700876046085,3,21.1294
AVAXUSDT,BUY,LIMIT,1700876304668,3,21.1780
AVAXUSDT,BUY,LIMIT,1700876346135,17,21.1944
AVAXUSDT,BUY,LIMIT,1700876360916,59,21.1967
AVAXUSDT,BUY,LIMIT,1700876366437,481,21.2235
AVAXUSDT,BUY,LIMIT,1700876586412,5,21.2706
AVAXUSDT,BUY,LIMIT,1700876589357,19,21.2715
AVAXUSDT,BUY,LIMIT,1700876617032,17,21.2918
AVAXUSDT,BUY,LIMIT,1700876765006,2,21.3321
AVAXUSDT,BUY,LIMIT,1700876906223,2,21.3517
AVAXUSDT,BUY,LIMIT,1700876931552,205,21.3753
AVAXUSDT,BUY,LIMIT,1700876936374,1,21.3771
AVAXUSDT,BUY,LIMIT,1700877094218,3,21.3918
AVAXUSDT,BUY,LIMIT,1700877098902,160,21.4046
AVAXUSDT,BUY,LIMIT,1700877100025,4,21.4113
AVAXUSDT,BUY,LIMIT,1700877138602,6,21.4193
AVAXUSDT,BUY,LIMIT,1700877143061,1,21.4327
AVAXUSDT,BUY,LIMIT,1700877151284,2,21.4508
AVAXUSDT,BUY,LIMIT,1700877153203,5,21.4509
AVAXUSDT,BUY,LIMIT,1700877184698,102,21.4535
AVAXUSDT,BUY,LIMIT,1700877292703,7,21.4712
AVAXUSDT,BUY,LIMIT,1700877308422,23,21.4838
AVAXUSDT,BUY,LIMIT,1700877364132,8,21.5178
AVAXUSDT,BUY,LIMIT,1700877757413,36,21.5455
AVAXUSDT,SELL,LIMIT,1700878906113,21,21.1183
AVAXUSDT,SELL,LIMIT,1700879090344,4,21.0643
AVAXUSDT,SELL,LIMIT,1700879092373,88,21.0529
AVAXUSDT,BUY,LIMIT,1700879650747,231,21.5287
AVAXUSDT,BUY,LIMIT,1700879652071,74,21.5431
