Symbol,Side,Order Type,Time,Quantity,Price
BLURUSDT,BUY,LIMIT,1700845588161,1383,0.6485928
BLURUSDT,BUY,LIMIT,1700845589340,3163,0.6481796
BLURUSDT,BUY,LIMIT,1700845591156,6658,0.6488284
BLURUSDT,BUY,LIMIT,1700845592240,4794,0.6489320
BLURUSDT,BUY,LIMIT,1700845593244,1977,0.6491065
BLURUSDT,BUY,LIMIT,1700845595101,2354,0.6496126
BLURUSDT,BUY,LIMIT,1700845596111,7867,0.6506251
BLURUSDT,BUY,LIMIT,1700845597117,719,0.6526538
BLURUSDT,BUY,LIMIT,1700845598127,42,0.6525160
BLURUSDT,BUY,LIMIT,1700845608062,4028,0.6559385
BLURUSDT,BUY,LIMIT,1700845609083,380,0.6541162
BLURUSDT,BUY,LIMIT,1700845610150,22,0.6569222
BLURUSDT,BUY,LIMIT,1700845612759,478,0.6568656
BLURUSDT,BUY,LIMIT,1700845613814,319,0.6574704
BLURUSDT,BUY,LIMIT,1700845614817,60,0.6595039
BLURUSDT,BUY,LIMIT,1700845615828,1348,0.6625091
BLURUSDT,SELL,LIMIT,1700845638782,703,0.6390819
BLURUSDT,SELL,LIMIT,1700845689165,46,0.6357563
