Symbol,Side,Order Type,Time,Quantity,Price
BLZUSDT,SELL,LIMIT,1700999858347,919,0.23958
BLZUSDT,SELL,LIMIT,1701000489409,177,0.23845
BLZUSDT,SELL,LIMIT,1701001501615,708,0.23798
BLZUSDT,SELL,LIMIT,1701003894202,40,0.24150
BLZUSDT,SELL,LIMIT,1701008239052,2803,0.23949
BLZUSDT,SELL,LIMIT,1701008241425,422,0.23949
BLZUSDT,SELL,LIMIT,1701009288427,395,0.23793
BLZUSDT,SELL,LIMIT,1701010670528,656,0.23870
BLZUSDT,SELL,LIMIT,1701014017368,29,0.23789
BLZUSDT,SELL,LIMIT,1701014026739,21,0.23812
BLZUSDT,SELL,LIMIT,1701014059095,20,0.23754
BLZUSDT,SELL,LIMIT,1701014064891,1600,0.23744
BLZUSDT,SELL,LIMIT,1701014380360,1056,0.23743
BLZUSDT,SELL,LIMIT,1701014406363,905,0.23728
BLZUSDT,SELL,LIMIT,1701014431998,200,0.23713
BLZUSDT,SELL,LIMIT,1701014441084,7596,0.23711
BLZUSDT,SELL,LIMIT,1701015603620,4143,0.23778
BLZUSDT,SELL,LIMIT,1701015644389,405,0.23737
BLZUSDT,SELL,LIMIT,1701015664638,49,0.23725
BLZUSDT,SELL,LIMIT,1701015671228,2239,0.23703
BLZUSDT,SELL,LIMIT,1701015687451,32,0.23680
BLZUSDT,SELL,LIMIT,1701015729680,5414,0.23661
BLZUSDT,SELL,LIMIT,1701015734039,41488,0.23635
BLZUSDT,SELL,LIMIT,1701015743092,11960,0.23624
BLZUSDT,SELL,LIMIT,1701015747954,2972,0.23621
BLZUSDT,SELL,LIMIT,1701015751104,6297,0.23618
BLZUSDT,SELL,LIMIT,1701015875337,867,0.23602
BLZUSDT,SELL,LIMIT,1701016034603,3643,0.23557
BLZUSDT,BUY,LIMIT,1701016041112,79,0.24738
BLZUSDT,SELL,LIMIT,1701016043894,1268,0.23576
BLZUSDT,SELL,LIMIT,1701016044852,1508,0.23511
BLZUSDT,SELL,LIMIT,1701016046517,2117,0.23498
BLZUSDT,SELL,LIMIT,1701016047522,4536,0.23488
BLZUSDT,SELL,LIMIT,1701016048354,96,0.23441
BLZUSDT,SELL,LIMIT,1701016049299,422,0.23453
BLZUSDT,SELL,LIMIT,1701016051141,2911,0.23417
BLZUSDT,SELL,LIMIT,1701016054447,812,0.23380
BLZUSDT,SELL,LIMIT,1701016055954,405,0.23308
BLZUSDT,SELL,LIMIT,1701016057275,1106,0.23284
BLZUSDT,SELL,LIMIT,1701016068348,810,0.23214
BLZUSDT,SELL,LIMIT,1701016070327,165,0.23187
BLZUSDT,SELL,LIMIT,1701016071367,8649,0.23164
BLZUSDT,SELL,LIMIT,1701016075456,13892,0.23206
BLZUSDT,SELL,LIMIT,1701016086367,161,0.23181
BLZUSDT,SELL,LIMIT,1701016100060,1230,0.23179
BLZUSDT,SELL,LIMIT,1701016102833,12930,0.23172
BLZUSDT,SELL,LIMIT,1701049282112,116,0.23312
BLZUSDT,SELL,LIMIT,1701054398388,290,0.23153
BLZUSDT,SELL,LIMIT,1701054475302,5819,0.23144
BLZUSDT,SELL,LIMIT,1701056001324,108,0.23125
BLZUSDT,SELL,LIMIT,1701056089493,223,0.23082
BLZUSDT,SELL,LIMIT,1701056091062,199,0.23077
BLZUSDT,SELL,LIMIT,1701056092132,206,0.23073
BLZUSDT,SELL,LIMIT,1701056153430,340,0.23056
BLZUSDT,SELL,LIMIT,1701056154788,2068,0.23050
BLZUSDT,SELL,LIMIT,1701056157056,490,0.23019
BLZUSDT,SELL,LIMIT,1701056158157,824,0.23027
BLZUSDT,SELL,LIMIT,1701056160140,979,0.23005
