Symbol,Side,Order Type,Time,Quantity,Price
BNBUSDT,BUY,LIMIT,1701066150088,21.84,231.863
BNBUSDT,BUY,LIMIT,1701066151266,0.16,231.930
BNBUSDT,BUY,LIMIT,1701066152514,1.27,232.343
BNBUSDT,BUY,LIMIT,1701066414205,2.16,231.938
BNBUSDT,SELL,LIMIT,1701066981019,2.77,229.686
BNBUSDT,BUY,LIMIT,1701067289746,5.82,232.356
BNBUSDT,SELL,LIMIT,1701067565102,0.34,229.785
BNBUSDT,SELL,LIMIT,1701067750360,23.45,230.453
BNBUSDT,SELL,LIMIT,1701067772781,1.76,229.471
BNBUSDT,SELL,LIMIT,1701067785402,2.00,229.272
BNBUSDT,SELL,LIMIT,1701068163530,0.16,228.618
BNBUSDT,SELL,LIMIT,1701068404023,11.24,228.108
BNBUSDT,SELL,LIMIT,1701068997436,0.76,228.598
BNBUSDT,SELL,LIMIT,1701069012314,3.19,233.899
BNBUSDT,SELL,LIMIT,1701069030763,11.62,228.831
BNBUSDT,BUY,LIMIT,1701069193268,7.23,230.865
BNBUSDT,SELL,LIMIT,1701069555522,3.86,228.074
BNBUSDT,SELL,LIMIT,1701069574163,6.42,227.930
BNBUSDT,SELL,LIMIT,1701069618479,0.10,227.964
BNBUSDT,SELL,LIMIT,1701069633156,2.56,227.905
BNBUSDT,SELL,LIMIT,1701069634180,1.08,227.902
BNBUSDT,SELL,LIMIT,1701069639905,7.11,227.746
BNBUSDT,SELL,LIMIT,1701069795668,0.05,227.557
BNBUSDT,SELL,LIMIT,1701069853479,21.45,227.358
BNBUSDT,SELL,LIMIT,1701069879168,60.00,226.801
BNBUSDT,SELL,LIMIT,1701069882121,0.58,227.149
BNBUSDT,SELL,LIMIT,1701069897125,0.35,228.393
BNBUSDT,SELL,LIMIT,1701069898283,0.35,227.050
BNBUSDT,SELL,LIMIT,1701069906116,51.43,226.717
BNBUSDT,SELL,LIMIT,1701069907190,0.07,226.980
BNBUSDT,SELL,LIMIT,1701069911088,0.68,226.935
