Symbol,Side,Order Type,Time,Quantity,Price
BNTUSDT,SELL,LIMIT,1700854591391,1031,0.7457020
BNTUSDT,SELL,LIMIT,1700863963966,4557,0.7470122
BNTUSDT,SELL,LIMIT,1700866268412,32,0.7528558
BNTUSDT,SELL,LIMIT,1700877272223,7,0.7580873
BNTUSDT,BUY,LIMIT,1700879452302,6871,0.7836248
BNTUSDT,SELL,LIMIT,1700895351009,7,0.7568501
BNTUSDT,SELL,LIMIT,1700902060603,6497,0.7540614
BNTUSDT,SELL,LIMIT,1700903220275,251,0.7524110
BNTUSDT,SELL,LIMIT,1700905198174,348,0.7503852
BNTUSDT,SELL,LIMIT,1700912207132,44,0.7415705
BNTUSDT,SELL,LIMIT,1700912499153,2560,0.7390561
BNTUSDT,SELL,LIMIT,1700912517962,4376,0.7387135
BNTUSDT,BUY,LIMIT,1700926294344,6598,0.7689640
