Symbol,Side,Order Type,Time,Quantity,Price
C98USDT,SELL,LIMIT,1700846592127,73,0.1862
C98USDT,BUY,LIMIT,1700866353937,6281,0.1895
C98USDT,SELL,LIMIT,1700866711422,13001,0.1821
C98USDT,SELL,LIMIT,1700867107188,31,0.1815
C98USDT,SELL,LIMIT,1700867819688,95,0.1811
C98USDT,SELL,LIMIT,1700870648755,3275,0.1812
C98USDT,BUY,LIMIT,1700872943711,62,0.1924
C98USDT,BUY,LIMIT,1700877242229,376,0.1938
C98USDT,BUY,LIMIT,1700877328862,647,0.1942
C98USDT,BUY,LIMIT,1700877370632,360,0.1941
C98USDT,BUY,LIMIT,1700880505855,358,0.1950
C98USDT,BUY,LIMIT,1700880516111,59,0.1951
C98USDT,BUY,LIMIT,1700881714326,123,0.1953
C98USDT,BUY,LIMIT,1700882062150,27111,0.1957
C98USDT,BUY,LIMIT,1700882196603,3211,0.1958
C98USDT,BUY,LIMIT,1700882280716,31,0.1961
