Symbol,Side,Order Type,Time,Quantity,Price
CAKEUSDT,BUY,LIMIT,1701930786176,123,2.5080924
CAKEUSDT,BUY,LIMIT,1701930867421,306,2.5177988
CAKEUSDT,SELL,LIMIT,1701931595028,500,2.4177854
CAKEUSDT,SELL,LIMIT,1701936776702,395,2.4174896
CAKEUSDT,SELL,LIMIT,1701937815031,1000,2.3973884
CAKEUSDT,SELL,LIMIT,1701939104044,390,2.3932305
CAKEUSDT,SELL,LIMIT,1701939462965,425,2.3781927
CAKEUSDT,SELL,LIMIT,1701939907414,26,2.3730415
CAKEUSDT,SELL,LIMIT,1701939973114,92,2.3677021
CAKEUSDT,SELL,LIMIT,1701940717274,49,2.3502368
CAKEUSDT,SELL,LIMIT,1701941059854,192,2.3471903
CAKEUSDT,SELL,LIMIT,1701941061753,85,2.3461716
CAKEUSDT,SELL,LIMIT,1701941063315,11,2.3459242
CAKEUSDT,SELL,LIMIT,1701941067480,26,2.3451819
CAKEUSDT,SELL,LIMIT,1701941075129,532,2.3443427
CAKEUSDT,SELL,LIMIT,1701941076298,1000,2.3426781
CAKEUSDT,SELL,LIMIT,1701941085509,433,2.3424878
CAKEUSDT,SELL,LIMIT,1701941086527,100,2.3407939
CAKEUSDT,SELL,LIMIT,1701941093482,103,2.3405489
CAKEUSDT,SELL,LIMIT,1701941104400,199,2.3395985
CAKEUSDT,SELL,LIMIT,1701941110689,406,2.3361042
CAKEUSDT,SELL,LIMIT,1701941112355,1935,2.3357350
CAKEUSDT,SELL,LIMIT,1701941151201,46,2.3346822
CAKEUSDT,SELL,LIMIT,1701941154383,46,2.3339576
CAKEUSDT,SELL,LIMIT,1701941155992,87,2.3319180
CAKEUSDT,SELL,LIMIT,1701941167217,13,2.3295034
CAKEUSDT,SELL,LIMIT,1701941169042,203,2.3288117
CAKEUSDT,SELL,LIMIT,1701941170146,359,2.3281288
CAKEUSDT,SELL,LIMIT,1701941175268,3,2.3264653
CAKEUSDT,SELL,LIMIT,1701941179121,418,2.3251938
CAKEUSDT,SELL,LIMIT,1701941180425,115,2.3262448
CAKEUSDT,SELL,LIMIT,1701941181876,280,2.3244000
CAKEUSDT,SELL,LIMIT,1701941183787,413,2.3244308
CAKEUSDT,SELL,LIMIT,1701941186107,72,2.3237917
CAKEUSDT,SELL,LIMIT,1701941187679,1162,2.3237173
CAKEUSDT,SELL,LIMIT,1701941189280,2,2.3210900
CAKEUSDT,SELL,LIMIT,1701941192219,25,2.3209056
CAKEUSDT,SELL,LIMIT,1701941240506,4,2.3183342
CAKEUSDT,SELL,LIMIT,1701941243721,30,2.3171876
CAKEUSDT,SELL,LIMIT,1701941245691,1201,2.3157552
CAKEUSDT,SELL,LIMIT,1701941247114,267,2.3162594
CAKEUSDT,SELL,LIMIT,1701941744335,162,2.3585813
CAKEUSDT,BUY,LIMIT,1701952347653,688,2.4667401
CAKEUSDT,BUY,LIMIT,1701953976591,1,2.4456420
CAKEUSDT,SELL,LIMIT,1701964170663,38,2.3929625
