Symbol,Side,Order Type,Time,Quantity,Price
COMBOUSDT,SELL,LIMIT,1701940024198,32.3,0.720328
COMBOUSDT,SELL,LIMIT,1701940563354,1435.6,0.717920
COMBOUSDT,SELL,LIMIT,1701940679181,53.0,0.716126
COMBOUSDT,SELL,LIMIT,1701941021260,1261.4,0.715420
COMBOUSDT,SELL,LIMIT,1701941024302,28.6,0.714587
COMBOUSDT,SELL,LIMIT,1701941166946,540.8,0.712174
COMBOUSDT,SELL,LIMIT,1701941187978,854.2,0.709820
COMBOUSDT,SELL,LIMIT,1701941246347,121.3,0.708680
COMBOUSDT,SELL,LIMIT,1701956877285,1355.2,0.740077
COMBOUSDT,BUY,LIMIT,1701965066293,1342.1,0.781345
COMBOUSDT,SELL,LIMIT,1701985124776,45.7,0.761657
COMBOUSDT,BUY,LIMIT,1701996759500,11.8,0.813354
COMBOUSDT,BUY,LIMIT,1702001157360,1050.3,0.816597
COMBOUSDT,BUY,LIMIT,1702001363967,1887.9,0.819772
COMBOUSDT,BUY,LIMIT,1702001526127,621.1,0.821805
COMBOUSDT,SELL,LIMIT,1702002728331,187.2,0.780257
COMBOUSDT,BUY,LIMIT,1702007154541,35.8,0.815183
COMBOUSDT,BUY,LIMIT,1702007890587,810.0,0.816810
COMBOUSDT,SELL,LIMIT,1702015876055,84.9,0.796423
COMBOUSDT,SELL,LIMIT,1702016520287,719.1,0.783354
COMBOUSDT,SELL,LIMIT,1702022235682,50.4,0.774593
COMBOUSDT,BUY,LIMIT,1702039097275,15.1,0.807606
COMBOUSDT,SELL,LIMIT,1702042574465,20.6,0.903491
COMBOUSDT,BUY,LIMIT,1702052530227,93.5,0.809778
COMBOUSDT,SELL,LIMIT,1702065560219,72.2,0.784197
COMBOUSDT,BUY,LIMIT,1702080687269,136.2,0.820181
COMBOUSDT,BUY,LIMIT,1702096034203,809.5,0.818550
COMBOUSDT,BUY,LIMIT,1702107982046,22.0,0.816383
COMBOUSDT,BUY,LIMIT,1702108103354,100.4,0.819770
COMBOUSDT,BUY,LIMIT,1702109359571,13.7,0.823853
COMBOUSDT,BUY,LIMIT,1702109514107,129.7,0.824863
COMBOUSDT,BUY,LIMIT,1702109768382,63.2,0.826093
COMBOUSDT,BUY,LIMIT,1702109780749,13.9,0.826710
COMBOUSDT,SELL,LIMIT,1702111031400,6.9,0.776304
COMBOUSDT,SELL,LIMIT,1702111045712,684.5,0.769872
COMBOUSDT,SELL,LIMIT,1702111383074,580.3,0.767502
