Symbol,Side,Order Type,Time,Quantity,Price
COMPUSDT,SELL,LIMIT,1701000617168,1.445,52.44
COMPUSDT,SELL,LIMIT,1701001368111,0.501,52.38
COMPUSDT,SELL,LIMIT,1701001503312,2.717,52.22
COMPUSDT,SELL,LIMIT,1701008425510,3.533,52.13
COMPUSDT,SELL,LIMIT,1701008443229,3.495,52.03
COMPUSDT,SELL,LIMIT,1701008447220,1.588,51.94
COMPUSDT,SELL,LIMIT,1701009287882,24.236,51.81
COMPUSDT,SELL,LIMIT,1701009291344,22.839,51.78
COMPUSDT,SELL,LIMIT,1701013750265,9.194,51.69
COMPUSDT,SELL,LIMIT,1701013968032,2.845,51.63
COMPUSDT,SELL,LIMIT,1701013977312,4.866,51.59
COMPUSDT,SELL,LIMIT,1701013992318,1.473,51.59
COMPUSDT,SELL,LIMIT,1701015644389,1.937,51.59
COMPUSDT,SELL,LIMIT,1701015646730,36.681,51.61
COMPUSDT,SELL,LIMIT,1701015669464,1.087,51.50
COMPUSDT,SELL,LIMIT,1701015671633,5.634,51.46
COMPUSDT,SELL,LIMIT,1701015682571,3.316,51.41
COMPUSDT,SELL,LIMIT,1701015684297,3.755,51.35
COMPUSDT,SELL,LIMIT,1701015728319,3.320,51.30
COMPUSDT,SELL,LIMIT,1701015732422,5.403,51.29
COMPUSDT,SELL,LIMIT,1701015734061,0.181,51.25
COMPUSDT,SELL,LIMIT,1701015741346,3.612,51.25
COMPUSDT,SELL,LIMIT,1701015759231,4.502,51.20
COMPUSDT,SELL,LIMIT,1701015761238,3.314,51.18
COMPUSDT,SELL,LIMIT,1701015873086,1.510,51.14
COMPUSDT,SELL,LIMIT,1701015877448,12.330,51.13
COMPUSDT,SELL,LIMIT,1701016000613,1.665,51.28
COMPUSDT,SELL,LIMIT,1701016015023,40.909,51.10
COMPUSDT,SELL,LIMIT,1701016020671,5.645,51.08
COMPUSDT,SELL,LIMIT,1701016028836,48.254,51.07
COMPUSDT,SELL,LIMIT,1701016031040,1.000,51.06
COMPUSDT,SELL,LIMIT,1701016031960,2.000,51.04
COMPUSDT,SELL,LIMIT,1701016035475,30.966,51.00
COMPUSDT,SELL,LIMIT,1701016037372,0.372,50.99
COMPUSDT,SELL,LIMIT,1701016041791,202.444,50.48
COMPUSDT,SELL,LIMIT,1701016044108,191.946,50.38
COMPUSDT,SELL,LIMIT,1701016045039,26.917,50.79
COMPUSDT,SELL,LIMIT,1701016047227,10.046,50.64
COMPUSDT,SELL,LIMIT,1701016050133,0.354,50.58
COMPUSDT,SELL,LIMIT,1701016051152,2.276,50.61
COMPUSDT,SELL,LIMIT,1701016100060,0.600,50.62
COMPUSDT,BUY,LIMIT,1701031606142,8.319,53.37
COMPUSDT,BUY,LIMIT,1701031800347,0.018,35.70
COMPUSDT,SELL,LIMIT,1701055062793,0.382,50.95
COMPUSDT,SELL,LIMIT,1701055754474,82.718,50.78
COMPUSDT,SELL,LIMIT,1701056136434,3.348,50.63
COMPUSDT,SELL,LIMIT,1701056152925,33.487,50.62
