Symbol,Side,Order Type,Time,Quantity,Price
CTKUSDT,SELL,LIMIT,1701067365820,424,0.52830
CTKUSDT,SELL,LIMIT,1701067880109,1,0.52460
CTKUSDT,SELL,LIMIT,1701068020904,53,0.52345
CTKUSDT,SELL,LIMIT,1701068045727,294,0.52324
CTKUSDT,SELL,LIMIT,1701068054140,444,0.52285
CTKUSDT,SELL,LIMIT,1701069548249,236,0.51881
CTKUSDT,SELL,LIMIT,1701069560129,7973,0.51828
CTKUSDT,SELL,LIMIT,1701069562477,1598,0.51735
CTKUSDT,SELL,LIMIT,1701069575433,229,0.51652
CTKUSDT,SELL,LIMIT,1701069869994,888,0.51467
CTKUSDT,BUY,LIMIT,1701076515861,947,0.55531
CTKUSDT,SELL,LIMIT,1701084641165,117,0.51689
CTKUSDT,SELL,LIMIT,1701093136132,410,0.51545
CTKUSDT,SELL,LIMIT,1701097101336,302,0.51450
CTKUSDT,SELL,LIMIT,1701101061282,2100,0.51906
CTKUSDT,SELL,LIMIT,1701112055690,140,0.51459
CTKUSDT,SELL,LIMIT,1701112145311,107,0.51346
CTKUSDT,SELL,LIMIT,1701114368763,16,0.51382
CTKUSDT,SELL,LIMIT,1701114471425,2767,0.51372
CTKUSDT,SELL,LIMIT,1701114496857,209,0.51206
CTKUSDT,SELL,LIMIT,1701114503850,396,0.51107
CTKUSDT,BUY,LIMIT,1701116785183,417,0.53315
CTKUSDT,BUY,LIMIT,1701117497053,1498,0.53180
CTKUSDT,SELL,LIMIT,1701144389393,486,0.52264
CTKUSDT,BUY,LIMIT,1701149213250,14,0.55251
CTKUSDT,BUY,LIMIT,1701149324113,1887,0.55439
CTKUSDT,SELL,LIMIT,1701149771344,37,0.52974
CTKUSDT,BUY,LIMIT,1701149820453,88,0.55080
CTKUSDT,BUY,LIMIT,1701150894115,583,0.55634
CTKUSDT,BUY,LIMIT,1701150983103,15,0.55747
CTKUSDT,BUY,LIMIT,1701151429968,45,0.55811
CTKUSDT,BUY,LIMIT,1701151753712,2075,0.55916
CTKUSDT,BUY,LIMIT,1701151774173,1874,0.55996
CTKUSDT,BUY,LIMIT,1701152086022,343,0.56169
CTKUSDT,BUY,LIMIT,1701152087871,3077,0.56180
CTKUSDT,BUY,LIMIT,1701152121022,87,0.56526
CTKUSDT,BUY,LIMIT,1701152362374,4409,0.56779
CTKUSDT,BUY,LIMIT,1701152368172,297,0.56794
CTKUSDT,BUY,LIMIT,1701152393238,175,0.56889
CTKUSDT,BUY,LIMIT,1701153408931,728,0.56947
CTKUSDT,BUY,LIMIT,1701154450681,1022,0.57025
CTKUSDT,BUY,LIMIT,1701154512103,73,0.57082
CTKUSDT,BUY,LIMIT,1701157617735,322,0.57099
CTKUSDT,BUY,LIMIT,1701158025345,18,0.57233
CTKUSDT,BUY,LIMIT,1701158047378,17,0.57385
CTKUSDT,BUY,LIMIT,1701158449313,1157,0.57656
CTKUSDT,BUY,LIMIT,1701158456413,1278,0.57793
CTKUSDT,BUY,LIMIT,1701161801219,90,0.58059
CTKUSDT,BUY,LIMIT,1701161980299,199,0.58167
CTKUSDT,BUY,LIMIT,1701161983453,74,0.58276
CTKUSDT,BUY,LIMIT,1701162229536,95,0.58368
CTKUSDT,BUY,LIMIT,1701162239605,715,0.58395
CTKUSDT,BUY,LIMIT,1701162308615,214,0.58469
CTKUSDT,BUY,LIMIT,1701162318612,1699,0.58479
CTKUSDT,BUY,LIMIT,1701162323878,456,0.58510
CTKUSDT,BUY,LIMIT,1701164274822,2056,0.58790
CTKUSDT,BUY,LIMIT,1701164282294,169,0.58834
CTKUSDT,BUY,LIMIT,1701164295253,4447,0.59011
CTKUSDT,BUY,LIMIT,1701164314505,79,0.59049
CTKUSDT,BUY,LIMIT,1701164317903,3730,0.59102
CTKUSDT,BUY,LIMIT,1701164331179,2082,0.59093
CTKUSDT,BUY,LIMIT,1701164392365,201,0.58977
CTKUSDT,BUY,LIMIT,1701167196534,298,0.58646
CTKUSDT,SELL,LIMIT,1701169734688,845,0.54769
CTKUSDT,SELL,LIMIT,1701169738480,1049,0.54724
CTKUSDT,SELL,LIMIT,1701169746295,463,0.54713
