Symbol,Side,Order Type,Time,Quantity,Price
ETHUSDT_231229,SELL,LIMIT,1701939869413,0.043,2232.47
ETHUSDT_231229,SELL,LIMIT,1701941160148,0.040,2219.12
ETHUSDT_231229,SELL,LIMIT,1701941240461,5.342,2214.41
ETHUSDT_231229,BUY,LIMIT,1701953839074,0.016,2287.38
ETHUSDT_231229,BUY,LIMIT,1701960961503,0.209,2300.58
ETHUSDT_231229,BUY,LIMIT,1701961041037,0.022,2304.38
ETHUSDT_231229,BUY,LIMIT,1701961405855,0.003,2308.75
ETHUSDT_231229,BUY,LIMIT,1701962230698,0.026,2324.41
ETHUSDT_231229,BUY,LIMIT,1701962514495,0.132,2333.66
ETHUSDT_231229,BUY,LIMIT,1701962708263,0.188,2340.75
ETHUSDT_231229,BUY,LIMIT,1701962858526,0.027,2353.57
ETHUSDT_231229,BUY,LIMIT,1701963033130,0.078,2358.95
ETHUSDT_231229,BUY,LIMIT,1701963041483,0.674,2359.71
ETHUSDT_231229,BUY,LIMIT,1701963579418,0.572,2353.83
ETHUSDT_231229,BUY,LIMIT,1701963862146,0.458,2362.05
ETHUSDT_231229,BUY,LIMIT,1701964373961,0.014,2364.35
ETHUSDT_231229,BUY,LIMIT,1701965519153,0.011,2377.47
ETHUSDT_231229,BUY,LIMIT,1701965551357,0.058,2378.92
ETHUSDT_231229,BUY,LIMIT,1701966413484,0.005,2384.11
ETHUSDT_231229,BUY,LIMIT,1701966467269,0.848,2385.00
ETHUSDT_231229,BUY,LIMIT,1701966860760,0.700,2388.85
ETHUSDT_231229,BUY,LIMIT,1701970126097,0.003,2373.12
ETHUSDT_231229,SELL,LIMIT,1701977383071,0.006,2318.54
ETHUSDT_231229,BUY,LIMIT,1701984193047,0.042,2391.53
ETHUSDT_231229,BUY,LIMIT,1701984279463,0.092,2402.48
ETHUSDT_231229,BUY,LIMIT,1701984741646,0.368,2413.94
ETHUSDT_231229,BUY,LIMIT,1701984759519,0.016,2415.77
ETHUSDT_231229,BUY,LIMIT,1701984766224,0.180,2415.45
ETHUSDT_231229,BUY,LIMIT,1702003959616,0.117,2423.97
ETHUSDT_231229,BUY,LIMIT,1702008927844,0.060,2427.65
ETHUSDT_231229,BUY,LIMIT,1702011152745,0.003,2402.23
ETHUSDT_231229,SELL,LIMIT,1702022566379,0.104,2342.17
ETHUSDT_231229,SELL,LIMIT,1702042247312,0.022,2334.36
ETHUSDT_231229,BUY,LIMIT,1702053308162,0.061,2394.64
ETHUSDT_231229,BUY,LIMIT,1702054437926,0.200,2392.05
ETHUSDT_231229,SELL,LIMIT,1702056282877,0.021,2335.36
ETHUSDT_231229,BUY,LIMIT,1702065764614,0.042,2389.62
ETHUSDT_231229,BUY,LIMIT,1702070630772,0.019,2406.74
ETHUSDT_231229,BUY,LIMIT,1702070658191,0.257,2406.54
ETHUSDT_231229,BUY,LIMIT,1702070732421,0.943,2410.81
ETHUSDT_231229,BUY,LIMIT,1702104772820,0.656,2404.28
ETHUSDT_231229,BUY,LIMIT,1702105970543,0.067,2424.75
ETHUSDT_231229,BUY,LIMIT,1702106866137,0.509,2417.85
ETHUSDT_231229,BUY,LIMIT,1702109756789,0.047,2432.43
ETHUSDT_231229,BUY,LIMIT,1702109787270,0.215,2434.48
ETHUSDT_231229,BUY,LIMIT,1702110067620,0.007,2438.64
ETHUSDT_231229,SELL,LIMIT,1702111037954,0.615,2374.38
ETHUSDT_231229,SELL,LIMIT,1702111043506,0.029,2375.40
ETHUSDT_231229,SELL,LIMIT,1702133004942,0.092,2339.98
ETHUSDT_231229,SELL,LIMIT,1702133008412,0.004,2333.82
ETHUSDT_231229,SELL,LIMIT,1702133395642,1.000,2329.09
